X,Y,Value
20,43,10.03472
19,43,10.066279999999999
18,43,10.103100000000001
17,43,4.08566
16,43,3.90156
15,43,10.25564
15,44,10.01368
14,43,16.26519
14,44,3.9304900000000003
13,43,16.28886
13,44,16.18366
12,43,16.43088
12,44,13.03292
11,43,22.3852
11,44,16.05479
10,43,22.39572
10,44,10.10836
9,43,22.41939
9,44,16.249409999999997
9,45,3.9304900000000003
8,43,10.0505
8,44,22.40361
8,45,10.01368
7,43,21.604090000000003
7,44,22.39835
7,45,16.08372
6,43,16.231
6,44,22.35627
6,45,3.8910400000000003
5,43,22.39046
5,44,16.241519999999998
5,45,10.06891
4,43,16.35461
4,44,22.38783
4,45,3.90945
3,43,16.16262
3,44,16.16262
3,45,9.97686
2,43,22.32208
2,44,10.02683
2,45,8.99587
1,43,16.17051
1,44,10.04787
1,45,3.89893
0,43,22.31682
0,44,22.31156
0,45,9.997900000000001
-1,43,16.19681
-1,44,22.351010000000002
-1,45,3.89893
-2,43,22.32997
-2,44,16.228369999999998
-2,45,10.00053
-3,43,15.54983
-3,44,10.04787
-3,45,3.89893
-4,43,22.28263
-4,44,16.233629999999998
-4,45,16.12317
-5,43,22.26159
-5,44,10.01368
-5,45,16.14684
-6,43,22.30893
-6,44,22.31945
-6,45,16.149469999999997
-7,43,22.33523
-7,44,22.37205
-7,45,16.17314
-8,43,22.364160000000002
-8,44,22.364160000000002
-8,45,16.18366
-9,43,22.345750000000002
-9,44,16.28097
-9,45,15.715519999999998
-10,43,17.793219999999998
-10,44,22.33523
-10,45,16.09424
-11,43,22.35364
-11,44,16.21522
-12,43,22.39309
-12,44,16.08898
-13,43,22.38257
-13,44,15.96011
-14,43,19.76309
-15,43,22.36153
-16,43,22.358900000000002
-16,44,10.00053
-17,43,22.34049
-17,44,82.77789
-18,43,16.34409
-18,44,82.77789
-19,43,16.11002
-19,44,22.11957
-20,43,22.30104
-20,44,9.98475
-21,43,18.96094
-21,44,3.8963
-22,43,16.228369999999998
-23,43,16.06794
-24,43,16.128429999999998
-25,43,15.925919999999998
-38,39,9.966339999999999
-37,39,16.07057
-36,39,3.99887
-35,39,10.06891
-35,40,3.8910400000000003
-34,39,10.08995
-34,40,16.217850000000002
-33,39,10.19778
-33,40,10.12414
-33,41,3.88841
-32,39,19.82621
-32,40,16.37565
-32,41,22.52985
-31,39,16.2836
-31,40,3.93838
-31,41,4.29606
-30,39,16.25993
-30,40,10.10573
-30,41,10.15044
-30,42,82.77526
-29,39,22.44569
-29,40,10.78953
-29,41,3.8910400000000003
-29,42,10.02157
-28,39,16.23889
-28,40,16.27571
-28,41,3.8910400000000003
-28,42,16.22048
-27,39,22.36153
-27,40,22.41939
-27,41,16.27834
-27,42,16.07846
-26,39,22.34312
-26,40,22.36679
-26,41,16.241519999999998
-26,42,10.02157
-25,39,22.29315
-25,40,22.31945
-25,41,10.087319999999998
-25,42,15.804940000000002
-24,39,22.31945
-24,40,22.3326
-24,41,22.358900000000002
-24,42,22.364160000000002
-23,39,22.28
-23,40,16.1521
-23,41,10.02946
-23,42,22.32471
-22,39,22.26159
-22,40,22.264219999999998
-22,41,22.31156
-22,42,21.63565
-21,39,22.28789
-21,40,22.30367
-21,41,22.32208
-21,42,22.34838
-20,39,22.25633
-20,40,22.25107
-20,41,16.15473
-20,42,22.3326
-19,39,16.24678
-19,40,22.29052
-19,41,22.31945
-19,42,22.364160000000002
-18,39,22.23792
-18,40,21.95125
-18,41,16.149469999999997
-18,42,22.34049
-17,39,22.25107
-17,40,22.26159
-17,41,16.338829999999998
-17,42,22.32734
-16,39,22.24581
-16,40,22.25633
-16,41,22.29841
-16,42,22.34312
-15,39,22.253700000000002
-15,40,19.91826
-15,41,22.30367
-15,42,16.18366
-14,39,16.8622
-14,40,22.25633
-14,41,22.29841
-14,42,22.11431
-13,39,22.23529
-13,40,22.25107
-13,41,22.30367
-13,42,22.33523
-12,39,22.240550000000002
-12,40,22.248440000000002
-12,41,22.28526
-12,42,22.3326
-11,39,4.07251
-11,40,16.49137
-11,41,22.27474
-11,42,22.32734
-10,39,21.227999999999998
-10,40,22.240550000000002
-10,41,22.26948
-10,42,22.3063
-9,39,22.227400000000003
-9,40,16.11002
-9,41,22.25633
-9,42,16.97266
-8,39,20.094469999999998
-8,40,22.240550000000002
-8,41,11.4707
-8,42,22.28526
-7,39,22.23003
-7,40,22.22477
-7,41,22.264219999999998
-7,42,22.26948
-6,39,22.22214
-6,40,22.2011
-6,41,16.14684
-6,42,16.29149
-5,39,16.09424
-5,40,22.21951
-5,41,16.131059999999998
-5,42,22.28
-4,39,22.22477
-4,40,22.21951
-4,41,21.81186
-4,42,22.26685
-3,39,22.21951
-3,40,22.23003
-3,41,22.26685
-3,42,22.28526
-2,39,22.23266
-2,40,22.23792
-2,41,22.24581
-2,42,22.28526
-1,39,22.23266
-1,40,22.23529
-1,41,22.26159
-1,42,22.26159
0,39,22.227400000000003
0,40,22.24318
0,41,22.26685
0,42,16.144209999999998
1,39,22.1748
1,40,22.24581
1,41,22.27474
1,42,16.16262
2,39,22.25107
2,40,22.258960000000002
2,41,16.149469999999997
2,42,22.31945
3,39,22.23003
3,40,22.07223
3,41,22.27211
3,42,16.14158
4,39,16.68862
4,40,22.253700000000002
4,41,22.18006
4,42,22.3063
5,39,22.24581
5,40,22.253700000000002
5,41,22.277369999999998
5,42,22.31945
6,39,22.26159
6,40,22.258960000000002
6,41,22.11431
6,42,22.31945
7,39,22.26948
7,40,22.28
7,41,22.29315
7,42,16.17051
8,39,22.26159
8,40,22.28526
8,41,22.30104
8,42,22.31682
9,39,22.28
9,40,22.28263
9,41,16.17314
9,42,22.32997
10,39,16.494
10,40,22.28526
10,41,22.3063
10,42,19.61318
11,39,22.29052
11,40,22.29841
11,41,22.33523
11,42,22.25107
12,39,22.30104
12,40,22.31945
12,41,21.19644
12,42,16.18892
13,39,22.31419
13,40,22.31682
13,41,22.34049
13,42,22.3852
14,39,22.32734
14,40,20.08658
14,41,22.358900000000002
14,42,16.241519999999998
15,39,22.34049
15,40,16.61761
15,41,22.39309
15,42,16.23889
16,39,22.351010000000002
16,40,19.87881
16,41,22.38783
16,42,22.21688
17,39,22.37731
17,40,21.93021
17,41,22.44832
17,42,16.72544
18,39,16.30201
18,40,16.217850000000002
18,41,16.26256
18,42,22.479879999999998
19,39,22.42465
19,40,22.41413
19,41,22.47725
19,42,16.30464
20,39,22.450950000000002
20,40,16.23889
20,41,16.341459999999998
20,42,16.32831
21,39,22.39835
21,40,22.32208
21,41,16.31253
21,42,3.8778900000000003
22,39,22.5167
22,40,22.58245
22,41,17.062079999999998
22,42,16.27571
23,39,16.59394
23,40,22.71658
23,41,10.21619
23,42,3.8778900000000003
24,39,22.58771
24,40,16.359869999999997
24,41,10.276679999999999
25,39,22.66135
25,40,14.63722
25,41,10.28194
26,39,16.51504
26,40,16.50715
26,41,3.8910400000000003
27,39,22.64557
27,40,10.55809
27,41,3.8910400000000003
28,39,16.38617
28,40,16.359869999999997
29,39,16.40458
29,40,3.97257
30,39,10.38977
30,40,3.87
31,39,10.274049999999999
32,39,3.9226
41,35,3.88315
40,35,16.346719999999998
39,35,16.41773
39,36,4.00939
38,35,10.5502
38,36,16.35198
37,35,16.759629999999998
37,36,16.36513
37,37,3.9226
36,35,22.56667
36,36,22.57982
36,37,16.18366
35,35,22.49303
35,36,22.50881
35,37,16.19681
34,35,22.4378
34,36,22.53774
34,37,16.346719999999998
34,38,16.21259
33,35,22.47199
33,36,22.52722
33,37,22.585079999999998
33,38,10.113620000000001
32,35,22.42465
32,36,22.46936
32,37,22.53774
32,38,16.323050000000002
31,35,22.38257
31,36,16.25204
31,37,16.29938
31,38,22.54563
30,35,22.39572
30,36,22.4378
30,37,20.904510000000002
30,38,22.556150000000002
29,35,22.3852
29,36,18.95831
29,37,16.25993
29,38,22.47725
28,35,22.32471
28,36,22.37205
28,37,22.369419999999998
28,38,17.41187
27,35,22.36153
27,36,22.24581
27,37,22.48777
27,38,22.57719
26,35,22.35627
26,36,22.369419999999998
26,37,22.46936
26,38,22.57193
25,35,22.3326
