X,Y,Value
-19,85,3.9041900000000003
-18,85,4.02517
-17,85,4.0278
-17,86,4.05936
-16,85,18.59537
-16,86,4.24609
-16,87,3.87
-15,85,10.06102
-15,86,10.02946
-15,87,9.92163
-14,85,10.063649999999999
-14,86,9.92952
-14,87,3.87
-14,88,3.87
-13,85,3.87
-13,86,3.87
-12,85,3.87
-12,86,3.87
-12,89,3.87
-11,85,22.374679999999998
-11,86,3.87
-11,89,3.87
-10,85,22.47725
-10,87,10.02683
-10,88,3.87
-10,89,3.91208
-9,85,22.42728
-9,86,22.42202
-9,87,10.0242
-9,88,10.008420000000001
-9,89,3.8910400000000003
-9,90,3.87
-8,85,22.35627
-8,86,22.34838
-8,87,16.16788
-8,88,10.00053
-8,89,3.94101
-8,90,9.890070000000001
-7,85,22.32471
-7,86,22.31156
-7,87,22.29578
-7,88,22.253700000000002
-7,89,16.06794
-7,90,9.905850000000001
-6,85,22.32208
-6,86,22.31682
-6,87,22.29052
-6,88,22.264219999999998
-6,89,22.16428
-6,90,3.87
-5,85,22.31419
-5,86,22.29841
-5,87,22.28
-5,88,10.09258
-5,89,16.06268
-5,90,9.876919999999998
-5,91,3.87
-4,85,22.28526
-4,86,22.27211
-4,87,22.25633
-4,88,16.07583
-4,89,22.13272
-4,90,9.87166
-4,91,3.87
-3,85,22.28526
-3,86,22.277369999999998
-3,87,16.1258
-3,88,16.19681
-3,89,16.04953
-3,90,9.855879999999999
-3,91,3.87
-2,85,22.28789
-2,86,22.28
-2,87,22.258960000000002
-2,88,16.21259
-2,89,16.38354
-2,90,9.85325
-2,91,3.87
-1,85,22.30104
-1,86,22.277369999999998
-1,87,15.4683
-1,88,15.812830000000002
-1,89,22.053819999999998
-1,90,9.83747
0,85,22.30104
0,86,22.26159
0,87,16.21259
0,88,9.919
0,89,22.01174
0,90,9.73227
1,85,22.31156
1,86,22.28526
1,87,22.23003
1,88,10.2346
1,89,9.95056
1,90,3.87
2,85,22.32471
2,86,22.29315
2,87,22.24581
2,88,22.1748
2,89,3.87
2,90,3.87
3,85,22.32471
3,86,22.28526
3,87,22.23529
3,88,16.01271
3,89,9.8401
4,85,22.3326
4,86,22.27211
4,87,22.21951
4,88,15.97326
4,89,3.87
5,85,22.29315
5,86,22.26685
5,87,22.172169999999998
5,88,3.89893
5,89,3.87
