X,Y,Value
-11,75,3.94627
-10,75,3.94627
-8,75,3.9699400000000002
-7,75,9.961079999999999
-7,76,9.33251
-7,77,3.9489
-6,75,10.011050000000001
-6,76,9.95582
-6,77,9.85325
-5,75,22.159019999999998
-5,76,16.1521
-5,77,4.4223
-4,75,22.03541
-4,76,21.91443
-4,77,9.861139999999999
-3,75,16.131059999999998
-3,76,16.80171
-3,77,12.286000000000001
-3,78,3.9489
-2,75,22.053819999999998
-2,76,21.87761
-2,77,21.43314
-2,78,3.9489
-1,75,22.043300000000002
-1,76,21.222739999999998
-1,77,9.66652
0,75,21.94336
0,76,21.735590000000002
0,77,4.0146500000000005
1,75,22.00122
1,76,21.66984
1,77,3.9489
2,75,16.00745
2,76,21.01234
2,77,3.94627
3,75,21.81186
3,76,9.379850000000001
4,75,21.3858
4,76,3.93838
5,75,8.87226
10,71,3.9436400000000003
9,71,15.789159999999999
9,72,3.94101
8,71,21.92495
8,72,15.789159999999999
8,73,3.95153
7,71,22.066969999999998
7,72,21.90391
7,73,21.54097
7,74,3.94627
6,71,22.11957
6,72,22.02752
6,73,21.84868
6,74,15.297349999999998
5,71,22.15113
5,72,22.08801
5,73,21.98544
5,74,21.73296
4,71,22.18269
4,72,22.135350000000003
4,73,22.08801
4,74,21.89339
3,71,22.20636
3,72,22.14061
3,73,22.11431
3,74,22.053819999999998
2,71,16.346719999999998
2,72,22.19584
2,73,22.16165
2,74,22.08275
1,71,16.12317
1,72,22.19321
1,73,22.18006
1,74,22.11694
0,71,22.22477
0,72,22.19321
0,73,22.16954
0,74,22.12483
-1,71,22.23003
-1,72,22.20373
-1,73,22.18006
-1,74,22.135350000000003
-2,71,22.240550000000002
-2,72,15.202670000000001
-2,73,9.858509999999999
-2,74,16.144209999999998
-3,71,22.248440000000002
-3,72,10.26616
-3,73,22.19058
-3,74,16.07583
-4,71,16.16788
-4,72,22.258960000000002
-4,73,16.15473
-4,74,16.08635
-5,71,16.17051
-5,72,16.18892
-5,73,16.24415
-5,74,22.18795
-6,71,16.15736
-6,72,16.13369
-6,73,22.22214
-6,74,22.16428
-7,71,22.19321
-7,72,22.16428
-7,73,22.14061
-7,74,16.039009999999998
-8,71,22.14587
-8,72,22.053819999999998
-8,73,15.94433
-9,71,22.13798
-9,72,21.35424
-9,73,3.9489
-10,71,22.12746
-10,72,22.01963
-10,73,3.9489
-10,74,3.9489
-11,71,16.08635
-11,72,10.09521
-11,73,9.95056
-11,74,9.8401
-12,71,22.09327
-12,72,21.98807
-12,73,9.92163
-12,74,9.7875
-13,71,22.06434
-13,72,21.851309999999998
-13,73,9.4719
-14,71,21.90128
-14,72,9.858509999999999
-15,71,10.100470000000001
-18,67,21.61987
-18,68,9.57447
-17,67,16.02323
-17,68,21.83027
-17,69,4.16982
-16,67,22.1748
-16,68,22.07223
-16,69,21.92232
-16,70,15.57087
-15,67,22.21951
-15,68,22.172169999999998
-15,69,22.10905
-15,70,21.92758
-14,67,22.24581
-14,68,16.36776
-14,69,16.09687
-14,70,22.09853
-13,67,22.26159
-13,68,22.23003
-13,69,22.21425
-13,70,16.08898
-12,67,22.26159
-12,68,16.16788
-12,69,22.2011
-12,70,22.172169999999998
-11,67,22.26685
-11,68,16.13895
-11,69,22.21425
-11,70,16.0995
-10,67,22.27474
-10,68,22.24581
-10,69,22.21951
-10,70,22.16954
-9,67,22.27211
-9,68,22.20373
-9,69,22.22214
-9,70,16.60972
-8,67,22.258960000000002
-8,68,22.23266
-8,69,16.120540000000002
-8,70,22.16691
-7,67,22.277369999999998
-7,68,22.25107
-7,69,16.14684
-7,70,22.21951
-6,67,22.3063
-6,68,16.18629
-6,69,16.18366
-6,70,22.27211
-5,67,22.32734
-5,68,22.31156
-5,69,22.31419
-5,70,22.30367
-4,67,16.26782
-4,68,22.30104
-4,69,22.29578
-4,70,16.45981
-3,67,16.18892
-3,68,22.29315
-3,69,22.28789
-3,70,22.27474
-2,67,22.28789
-2,68,22.27474
-2,69,22.28
-2,70,16.15999
-1,67,22.28526
-1,68,22.26685
-1,69,22.26948
-1,70,22.248440000000002
0,67,16.17051
0,68,16.149469999999997
0,69,22.26159
0,70,22.24581
1,67,22.264219999999998
1,68,16.15473
1,69,22.258960000000002
1,70,22.23529
2,67,22.264219999999998
2,68,16.149469999999997
2,69,22.248440000000002
2,70,15.791789999999999
3,67,22.26685
3,68,22.25107
3,69,22.23792
3,70,22.227400000000003
4,67,20.14707
4,68,22.23266
4,69,22.227400000000003
4,70,22.21425
5,67,16.53082
5,68,22.23266
5,69,16.11002
5,70,22.19058
6,67,22.23792
6,68,22.23003
6,69,22.21162
6,70,22.17743
7,67,22.227400000000003
7,68,22.12483
7,69,22.18006
7,70,22.148500000000002
8,67,22.22214
8,68,22.172169999999998
8,69,22.148500000000002
8,70,21.94336
9,67,16.67284
9,68,22.172169999999998
9,69,22.10642
9,70,15.98378
10,67,22.19321
10,68,22.12746
10,69,21.99596
10,70,21.6488
11,67,22.122200000000003
11,68,21.96966
11,69,9.91111
11,70,3.9489
12,67,21.92495
12,68,15.505120000000002
12,69,43.31999999999999
13,67,4.04358
16,63,43.31999999999999
15,63,21.835530000000002
15,64,9.84536
14,63,16.031119999999998
14,64,21.956509999999998
14,65,21.52256
14,66,21.333199999999998
13,63,22.20636
13,64,16.67284
13,65,16.08635
13,66,16.62024
12,63,22.23529
12,64,22.2011
12,65,22.18532
12,66,16.42562
11,63,22.25633
11,64,16.14684
11,65,16.36513
11,66,22.19058
10,63,22.26948
10,64,22.253700000000002
10,65,22.24318
10,66,22.23003
9,63,22.28526
9,64,22.264219999999998
9,65,16.1521
9,66,22.24581
8,63,22.28789
8,64,19.34755
8,65,16.15473
8,66,22.25107
7,63,22.28263
7,64,22.27211
7,65,22.26948
7,66,22.258960000000002
6,63,22.29841
6,64,22.27211
6,65,22.27211
6,66,22.25107
5,63,22.28789
5,64,22.29578
5,65,16.17314
5,66,22.27474
4,63,22.3063
4,64,22.28789
4,65,16.17051
4,66,22.27474
3,63,22.3063
3,64,22.29578
3,65,22.28526
3,66,22.28263
2,63,22.3063
2,64,16.18892
2,65,22.29578
2,66,22.28526
1,63,22.31156
1,64,16.17314
1,65,16.18103
1,66,22.29315
0,63,22.30893
0,64,22.30367
0,65,22.3063
0,66,22.156390000000002
-1,63,22.31682
-1,64,16.18103
-1,65,22.30104
-1,66,22.30367
-2,63,22.31945
-2,64,22.31419
-2,65,22.030150000000003
-2,66,22.30367
-3,63,22.32208
-3,64,22.31682
-3,65,16.19944
-3,66,16.40458
-4,63,22.32471
-4,64,22.32471
-4,65,16.20207
-4,66,22.32208
