X,Y,Value
1,85,3.87
0,85,3.87
-1,85,9.82169
-2,85,9.80591
-3,85,9.85062
-4,85,9.87955
-5,85,9.88744
-6,85,9.9453
-7,85,9.88744
-8,85,9.93478
-9,85,9.83747
-10,85,9.70334
-11,85,9.569209999999998
-12,85,9.39826
-13,85,3.87
-14,85,3.87
-15,85,3.87
-40,77,9.82695
-39,77,9.905850000000001
-38,77,34.58051
-38,78,3.87
-37,77,40.881989999999995
-37,78,9.94004
-36,77,41.06345999999999
-36,78,34.53317
-36,79,9.33251
-35,77,41.15025
-35,78,40.83727999999999
-35,79,9.94793
-34,77,41.20810999999999
-34,78,40.98719
-34,79,34.47268
-34,80,6.72092
-33,77,41.297529999999995
-33,78,41.11606
-33,79,40.79783
-33,80,9.86903
-32,77,41.33434999999999
-32,78,41.205479999999994
-32,79,40.93196
-32,80,9.93478
-31,77,41.38695
-31,78,41.255449999999996
-31,79,41.07398
-31,80,40.67422
-31,81,9.30358
-30,77,41.40799
-30,78,41.302789999999995
-30,79,34.93819
-30,80,40.850429999999996
-30,81,9.961079999999999
-29,77,41.43692
-29,78,41.329089999999994
-29,79,41.215999999999994
-29,80,40.98719
-29,81,16.09687
-28,77,41.43955
-28,78,41.36590999999999
-28,79,40.61373
-28,80,22.46936
-28,81,9.968969999999999
-28,82,3.87
-27,77,41.486889999999995
-27,78,41.43692
-27,79,41.33434999999999
-27,80,16.31253
-27,81,10.008420000000001
-27,82,9.95582
-26,77,41.49477999999999
-26,78,41.44217999999999
-26,79,41.373799999999996
-26,80,41.27385999999999
-26,81,10.04524
-26,82,9.93741
-25,77,41.52897
-25,78,41.481629999999996
-25,79,41.431659999999994
-25,80,41.35538999999999
-25,81,10.05313
-25,82,9.93741
-25,83,3.87
-24,77,41.58157
-24,78,41.5316
-24,79,41.492149999999995
-24,80,41.384319999999995
-24,81,10.03209
-24,82,9.81643
-23,77,41.599979999999995
-23,78,41.573679999999996
-23,79,41.5053
-23,80,41.32646
-23,81,10.06102
-22,77,41.62891
-22,78,41.58682999999999
-22,79,41.49477999999999
-22,80,41.18707
-21,77,41.665729999999996
-21,78,41.610499999999995
-21,79,41.502669999999995
-21,80,40.942479999999996
-21,81,9.650739999999999
-20,77,41.65521
-20,78,41.605239999999995
-20,79,41.492149999999995
-20,80,41.055569999999996
-20,81,9.7349
-19,77,41.62365
-19,78,41.58682999999999
-19,79,41.52108
-19,80,41.23441
-19,81,22.08275
-18,77,41.61839
-18,78,41.563159999999996
-18,79,41.51582
-18,80,41.39747
-18,81,40.89514
-18,82,3.87
-17,77,41.63417
-17,78,41.5579
-17,79,41.48425999999999
-17,80,41.431659999999994
-17,81,41.30015999999999
-17,82,34.848769999999995
-17,83,9.86903
-16,77,41.63943
-16,78,41.589459999999995
-16,79,41.52897
-16,80,41.460589999999996
-16,81,41.40273
-16,82,41.27912
-16,83,10.01894
-16,84,9.8138
-15,77,41.670989999999996
-15,78,41.626279999999994
-15,79,41.56579
-15,80,35.23275
-15,81,41.43955
-15,82,41.37117
-15,83,10.05313
-15,84,9.979489999999998
-14,77,41.67362
-14,78,41.626279999999994
-14,79,41.573679999999996
-14,80,41.513189999999994
-14,81,41.43429
-14,82,41.379059999999996
-14,83,41.21337
-14,84,9.99001
-13,77,41.692029999999995
-13,78,41.62891
-13,79,41.57630999999999
-13,80,41.518449999999994
-13,81,41.460589999999996
-13,82,41.36065
-13,83,41.23441
-13,84,40.855689999999996
-12,77,41.686769999999996
-12,78,41.63943
-12,79,41.573679999999996
-12,80,41.513189999999994
-12,81,41.42377
-12,82,41.33698
-12,83,41.163399999999996
-12,84,40.83727999999999
-11,77,41.707809999999995
-11,78,41.65521
-11,79,41.584199999999996
-11,80,41.52634
-11,81,41.44217999999999
-11,82,41.329089999999994
-11,83,41.168659999999996
-11,84,40.82939
-10,77,41.70517999999999
-10,78,41.62365
-10,79,41.58157
-10,80,41.518449999999994
-10,81,41.45533
-10,82,41.33960999999999
-10,83,41.18707
-10,84,40.86358
-9,77,41.7157
-9,78,41.665729999999996
-9,79,41.60260999999999
-9,80,41.53686
-9,81,41.479
-9,82,41.358019999999996
-9,83,41.20022
-9,84,40.90566
-8,77,41.72095999999999
-8,78,41.676249999999996
-8,79,41.62365
-8,80,41.523709999999994
-8,81,41.47374
-8,82,41.35538999999999
-8,83,41.205479999999994
-8,84,40.92407
-7,77,41.7157
-7,78,41.697289999999995
-7,79,41.621019999999994
-7,80,41.5579
-7,81,41.47374
-7,82,41.368539999999996
-7,83,41.205479999999994
-7,84,34.65152
-6,77,41.728849999999994
-6,78,41.681509999999996
-6,79,41.62365
-6,80,41.55527
-6,81,41.49477999999999
-6,82,41.379059999999996
-6,83,41.20022
-6,84,40.9004
-5,77,41.75514999999999
-5,78,41.69465999999999
-5,79,41.65521
-5,80,41.58157
-5,81,41.48952
-5,82,41.394839999999995
-5,83,41.22389
-5,84,40.86358
-4,77,41.742
-4,78,41.697289999999995
-4,79,41.62891
-4,80,41.56579
-4,81,41.481629999999996
-4,82,41.363279999999996
-4,83,34.9829
-4,84,34.801429999999996
-3,77,41.74989
-3,78,41.686769999999996
-3,79,41.64469
-3,80,41.584199999999996
-3,81,41.481629999999996
-3,82,41.36065
-3,83,34.977639999999994
-3,84,40.834649999999996
-2,77,41.78144999999999
-2,78,41.72622
-2,79,41.67362
-2,80,41.599979999999995
-2,81,41.5053
-2,82,41.40273
-2,83,41.205479999999994
-2,84,40.80309
-1,77,41.76040999999999
-1,78,41.713069999999995
-1,79,41.64995
-1,80,41.599979999999995
-1,81,41.486889999999995
-1,82,41.35012999999999
-1,83,41.18707
-1,84,40.78205
0,77,41.77092999999999
0,78,41.707809999999995
0,79,41.64469
0,80,41.56579
0,81,41.481629999999996
0,82,41.352759999999996
0,83,41.13184
0,84,40.742599999999996
1,77,41.77092999999999
1,78,41.697289999999995
1,79,41.642059999999994
1,80,41.563159999999996
1,81,41.48425999999999
1,82,41.34224
1,83,41.10554
1,84,40.65318
2,77,41.77092999999999
2,78,41.73148
2,79,41.66835999999999
2,80,41.59209
2,81,41.48952
2,82,41.34224
2,83,41.09502
2,84,40.595319999999994
3,77,41.773559999999996
3,78,41.713069999999995
3,79,41.665729999999996
3,80,41.54738
3,81,41.45007
3,82,41.292269999999995
3,83,41.045049999999996
3,84,34.47531
4,77,41.79197
4,78,41.742
4,79,41.65784
4,80,41.58157
4,81,41.46322
4,82,41.276489999999995
4,83,41.02401
4,84,16.15473
5,77,41.778819999999996
5,78,41.718329999999995
5,79,41.64995
5,80,41.539489999999994
5,81,41.431659999999994
5,82,41.2686
5,83,34.75935
5,84,10.00316
6,77,41.799859999999995
6,78,41.72622
6,79,41.65521
6,80,41.55527
6,81,41.415879999999994
6,82,41.20810999999999
6,83,40.88462
6,84,9.919
7,77,41.77619
7,78,41.713069999999995
7,79,41.62891
7,80,41.534229999999994
7,81,41.400099999999995
7,82,35.30638999999999
7,83,40.732079999999996
7,84,3.87
8,77,41.79197
8,78,41.718329999999995
8,79,41.64469
8,80,41.54474999999999
8,81,41.37642999999999
8,82,35.25116
8,83,29.16008
9,77,41.778819999999996
9,78,41.713069999999995
9,79,41.62891
9,80,41.492149999999995
9,81,41.33434999999999
9,82,34.87244
9,83,16.12317
10,77,41.768299999999996
10,78,41.686769999999996
10,79,41.621019999999994
10,80,41.481629999999996
10,81,41.313309999999994
10,82,40.98719
10,83,10.008420000000001
11,77,41.76567
11,78,41.723589999999994
11,79,41.58157
11,80,41.45007
11,81,41.14498999999999
11,82,40.8741
11,83,9.903220000000001
12,77,35.44578
12,78,41.702549999999995
12,79,41.563159999999996
12,80,41.42903
12,81,41.221259999999994
12,82,40.77153
12,83,3.87
13,77,41.76040999999999
13,78,41.6894
13,79,41.55000999999999
13,80,41.40273
13,81,41.14236
13,82,16.149469999999997
14,77,41.768299999999996
14,78,41.66047
14,79,41.53686
14,80,41.35538999999999
14,81,41.01612
14,82,9.94004
15,77,41.744629999999994
15,78,41.64469
15,79,41.51055999999999
15,80,41.2686
15,81,40.86358
15,82,3.87
16,77,41.73148
16,78,41.621019999999994
16,79,41.45795999999999
16,80,41.210739999999994
16,81,16.16788
17,77,41.681509999999996
17,78,41.589459999999995
17,79,41.37117
17,80,41.07924
17,81,10.01368
18,77,41.697289999999995
18,78,41.55000999999999
18,79,41.35538999999999
18,80,40.984559999999995
18,81,3.87
19,77,41.65521
19,78,41.50004
19,79,41.24755999999999
19,80,16.16788
20,77,41.621019999999994
20,78,41.45007
20,79,41.123949999999994
20,80,9.861139999999999
21,77,41.58682999999999
21,78,41.379059999999996
21,79,40.94510999999999
21,80,3.87
22,77,41.5316
22,78,41.2686
22,79,11.07357
23,77,41.45269999999999
23,78,41.02663999999999
23,79,9.855879999999999
24,77,41.394839999999995
24,78,32.75529
25,77,29.16534
25,78,16.01271
26,77,28.54203
26,78,3.87
27,77,16.039009999999998
28,77,3.87
41,69,3.87
40,69,16.38354
39,69,41.836679999999994
39,70,10.21356
38,69,42.23907
38,70,42.05234
38,71,3.87
37,69,42.26011
37,70,35.75612
37,71,16.57553
36,69,42.199619999999996
36,70,42.12072
36,71,41.8998
36,72,9.84799
35,69,42.139129999999994
35,70,42.07075
35,71,41.907689999999995
35,72,22.74814
35,73,3.87
34,69,42.07337999999999
34,70,42.010259999999995
34,71,41.886649999999996
34,72,41.507929999999995
34,73,16.29149
33,69,42.057599999999994
33,70,41.978699999999996
33,71,41.902429999999995
33,72,41.739369999999994
33,73,41.28438
33,74,3.87
32,69,42.026039999999995
32,70,41.97344
32,71,41.88927999999999
32,72,41.778819999999996
32,73,41.539489999999994
32,74,16.341459999999998
31,69,35.62199
31,70,41.95766
31,71,41.886649999999996
31,72,41.79197
31,73,41.64469
31,74,41.31068
31,75,9.766459999999999
30,69,41.999739999999996
30,70,41.949769999999994
30,71,41.891909999999996
30,72,41.815639999999995
30,73,41.68414
30,74,41.50004
30,75,22.869120000000002
30,76,3.87
29,69,42.010259999999995
29,70,36.90805999999999
29,71,41.886649999999996
29,72,41.80775
29,73,41.73148
29,74,41.584199999999996
29,75,41.31857
29,76,16.002190000000002
28,69,41.983959999999996
28,70,41.95766
28,71,41.902429999999995
28,72,41.84457
28,73,41.76567
28,74,41.62365
28,75,35.20119
28,76,40.09825
27,69,41.989219999999996
27,70,41.944509999999994
27,71,41.912949999999995
27,72,41.84457
27,73,41.78144999999999
27,74,41.681509999999996
27,75,41.55000999999999
27,76,41.265969999999996
26,69,41.989219999999996
26,70,41.939249999999994
26,71,35.49575
26,72,36.31105
26,73,41.79197
26,74,41.69992
26,75,41.584199999999996
26,76,41.39747
25,69,41.96818
25,70,41.93136
25,71,41.912949999999995
25,72,41.85509
25,73,41.80775
25,74,41.739369999999994
25,75,41.63943
25,76,35.24064
24,69,36.34524
24,70,35.60621
24,71,41.8998
24,72,41.88402
24,73,41.82879
24,74,41.75252
24,75,35.59832
24,76,41.58682999999999
23,69,41.978699999999996
23,70,41.949769999999994
23,71,41.918209999999995
23,72,41.86824
23,73,41.831419999999994
23,74,41.78144999999999
23,75,41.713069999999995
23,76,41.626279999999994
22,69,41.95766
22,70,41.939249999999994
22,71,41.90505999999999
22,72,41.87349999999999
22,73,41.826159999999994
22,74,41.794599999999996
22,75,41.72622
22,76,41.676249999999996
21,69,41.989219999999996
21,70,41.949769999999994
21,71,41.907689999999995
21,72,41.886649999999996
21,73,41.86297999999999
21,74,41.794599999999996
21,75,41.73148
21,76,41.713069999999995
20,69,41.97080999999999
20,70,41.94188
20,71,41.90505999999999
20,72,41.86035
20,73,41.83931
20,74,41.78670999999999
20,75,41.75778
20,76,41.723589999999994
19,69,41.98132999999999
19,70,41.944509999999994
