X,Y,Value
-10,103,3.887621
-9,103,17.020263
-8,103,17.02
-7,103,17.018159
-6,103,17.019474
-5,103,17.02
-4,103,17.021052
-3,103,17.020263
-2,103,17.019474
-1,103,17.021052
0,103,17.018947999999998
11,99,5.8062059999999995
10,99,17.017633
9,99,3.878416
9,100,17.019211
8,99,4.914899
8,100,3.894985
7,99,3.8815720000000002
7,100,3.879994
7,101,17.019211
6,99,3.877101
6,100,3.884202
6,101,3.957579
5,99,3.8839390000000003
5,100,3.878416
5,101,3.88578
4,99,3.919181
4,100,3.886569
4,101,5.259692
4,102,17.02
3,99,3.884728
3,100,17.019737
3,101,3.888936
3,102,17.020526
2,99,3.881835
2,100,3.879731
2,101,3.877101
2,102,17.020526
1,99,3.884202
1,100,3.8849910000000003
1,101,3.885517
1,102,17.020263
0,99,4.093287
0,100,3.886043
0,101,3.9483740000000003
0,102,3.872367
-1,99,3.88315
-1,100,3.930227
-1,101,3.886832
-1,102,3.877627
-2,99,3.884728
-2,100,3.883676
-2,101,3.885254
-2,102,3.881046
-3,99,3.885517
-3,100,3.882098
-3,101,3.896563
-3,102,3.9304900000000003
-4,99,3.8839390000000003
-4,100,3.884202
-4,101,3.887884
-4,102,17.01737
-5,99,3.8718410000000003
-5,100,3.884465
-5,101,17.020263
-5,102,3.89893
-6,99,3.883676
-6,100,3.884728
-6,101,3.88578
-6,102,3.882098
-7,99,3.882887
-7,100,3.885254
-7,101,3.881046
-7,102,3.881835
-8,99,3.8815720000000002
-8,100,3.885254
-8,101,3.881835
-8,102,3.881309
-9,99,3.8815720000000002
-9,100,3.8802570000000003
-9,101,3.888147
-9,102,3.8765750000000003
-10,99,3.884465
-10,100,3.886043
-10,101,3.886569
-10,102,17.021052
-11,99,3.8839390000000003
-11,100,3.879468
-11,101,17.010795
-11,102,17.02
-12,99,4.421248
-12,100,17.021314999999998
-20,99,16.895601
-27,95,17.018159
-26,95,17.017896
-26,96,17.019737
-25,95,3.9065570000000003
-25,96,3.8815720000000002
-24,95,3.8755230000000003
-24,96,3.882361
-24,97,17.006061
-23,95,3.883676
-23,96,3.881835
-23,97,3.946796
-23,98,17.020526
-22,95,3.885254
-22,96,3.882887
-22,97,3.902086
-22,98,17.020789
-21,95,3.87263
-21,96,3.877364
-21,97,3.9041900000000003
-21,98,17.018685
-20,95,3.8742080000000003
-20,96,4.037005
-20,97,17.022104
-20,98,17.017896
-19,95,4.474111
-19,96,17.020263
-19,97,17.019737
-18,95,17.021052
-17,95,17.020263
-16,95,17.02
-15,95,17.021314999999998
-14,95,5.211037
-14,96,17.020526
-13,95,3.879994
-13,96,3.935487
-13,97,17.007639
-12,95,3.881046
-12,96,3.886043
-12,97,3.886832
-12,98,3.878942
-11,95,3.885517
-11,96,3.885517
-11,97,3.8873580000000003
-11,98,3.882887
-10,95,3.88578
-10,96,3.8863060000000003
-10,97,3.887621
-10,98,3.8792050000000002
-9,95,17.02
-9,96,3.885254
-9,97,3.888147
-9,98,3.8849910000000003
-8,95,3.8839390000000003
-8,96,3.8755230000000003
-8,97,17.02
-8,98,3.886832
-7,95,4.083819
-7,96,3.886043
-7,97,3.890514
-7,98,4.23031
-6,95,3.884202
-6,96,3.889199
-6,97,3.8863060000000003
-6,98,3.885254
-5,95,3.88578
-5,96,3.8849910000000003
-5,97,3.8863060000000003
-5,98,3.8826240000000003
-4,95,3.884202
-4,96,3.8873580000000003
-4,97,3.888936
-4,98,3.88578
-3,95,3.884728
-3,96,3.886043
-3,97,3.888936
-3,98,3.886043
-2,95,3.884202
-2,96,3.886043
-2,97,3.88315
-2,98,3.8873580000000003
-1,95,3.884728
-1,96,3.886832
-1,97,3.8899880000000002
-1,98,3.874997
0,95,3.88315
0,96,3.886043
0,97,3.876312
0,98,3.886569
1,95,3.884202
1,96,3.888936
1,97,3.891303
1,98,3.885254
2,95,3.882098
2,96,3.886569
2,97,3.891566
2,98,17.021841
3,95,3.884728
3,96,3.8863060000000003
3,97,3.882098
3,98,3.882098
4,95,3.883676
4,96,3.886043
4,97,3.959946
4,98,3.884728
5,95,3.884202
5,96,3.886832
5,97,3.8886730000000003
5,98,3.8826240000000003
6,95,3.885254
6,96,3.8863060000000003
6,97,3.878153
6,98,3.879468
7,95,3.883676
7,96,3.88578
7,97,3.887884
7,98,3.882098
8,95,17.019737
8,96,3.885254
8,97,3.88841
8,98,3.882361
9,95,3.88578
9,96,3.888147
9,97,3.8849910000000003
9,98,3.8731560000000003
10,95,3.882887
10,96,3.886569
10,97,3.885517
10,98,3.871578
11,95,3.882887
11,96,4.00939
11,97,3.88315
11,98,3.88315
12,95,3.884202
12,96,4.067776
