X,Y,Value
-1,91,82.8489
-2,91,82.84364
-7,91,82.84364
-16,87,82.84627
-15,87,82.84101
-9,87,15.25001
-9,88,3.87
-8,87,21.87235
-8,88,40.72418999999999
-8,89,9.71123
-8,90,9.1826
-7,87,22.23792
-7,88,22.066969999999998
-7,89,21.90654
-7,90,9.653369999999999
-6,87,22.25107
-6,88,22.09064
-6,89,21.97755
-6,90,82.75685
-5,87,22.29841
-5,88,22.143240000000002
-5,89,22.038040000000002
-4,87,22.29052
-4,88,22.13009
-4,89,22.02489
-3,87,22.29841
-3,88,22.148500000000002
-3,89,22.08538
-3,90,21.66984
-2,87,22.28263
-2,88,22.12483
-2,89,22.038040000000002
-2,90,15.691849999999999
-1,87,22.240550000000002
-1,88,22.10116
-1,89,21.9907
-1,90,9.73753
0,87,22.22477
0,88,22.05645
0,89,15.597169999999998
0,90,9.71386
1,87,22.20373
1,88,22.02752
1,89,15.907509999999998
1,90,9.48505
2,87,22.21162
2,88,15.97063
2,89,15.910140000000002
2,90,3.87
3,87,9.92426
3,88,9.863769999999999
3,89,15.83913
3,90,3.87
4,87,22.135350000000003
4,88,21.84342
4,89,3.87263
5,87,22.043300000000002
5,88,9.798020000000001
5,89,3.87
6,87,15.939070000000001
6,88,9.674409999999998
7,87,21.81975
7,88,3.87
8,87,7.79922
9,87,3.87
14,83,3.87
13,83,10.03735
12,83,21.96966
12,84,3.87
11,83,22.122200000000003
11,84,21.84868
11,85,3.87526
10,83,22.24581
10,84,21.97755
10,85,21.85657
10,86,3.87
9,83,22.34312
9,84,22.14061
9,85,22.0696
9,86,15.73919
8,83,22.345750000000002
8,84,22.20899
8,85,22.14587
8,86,21.864459999999998
7,83,22.32997
7,84,22.23792
7,85,22.21951
7,86,21.86972
6,83,22.40361
6,84,22.277369999999998
6,85,22.26948
6,86,22.08538
5,83,22.37994
5,84,22.29841
5,85,22.26159
5,86,22.0696
4,83,22.41413
4,84,22.32208
4,85,22.28789
4,86,20.33906
3,83,22.37994
3,84,22.29315
3,85,22.32734
3,86,22.156390000000002
2,83,22.37205
2,84,22.29315
2,85,22.33523
2,86,22.18532
1,83,22.40361
1,84,22.29578
1,85,22.34049
1,86,16.05479
0,83,22.37994
0,84,22.29052
0,85,22.31419
0,86,22.19321
-1,83,22.36679
-1,84,22.28263
-1,85,22.36153
-1,86,22.19847
-2,83,22.39835
-2,84,22.31156
-2,85,22.351010000000002
-2,86,22.21425
-3,83,22.39572
-3,84,22.31945
-3,85,22.35627
-3,86,22.20636
-4,83,22.41413
-4,84,22.34838
-4,85,22.34312
-4,86,22.227400000000003
-5,83,22.41413
-5,84,22.32471
-5,85,22.35364
-5,86,22.227400000000003
-6,83,22.40624
-6,84,22.28526
-6,85,22.33786
-6,86,22.21951
-7,83,22.358900000000002
-7,84,22.28789
-7,85,22.32734
-7,86,22.172169999999998
-8,83,22.36153
-8,84,22.29315
-8,85,22.28
-8,86,22.06434
-9,83,16.27571
-9,84,22.051190000000002
-9,85,21.80397
-9,86,15.53142
-10,83,21.57779
-10,84,9.47979
-10,85,3.8910400000000003
-11,83,4.53276
-11,84,3.87
-12,83,3.90945
-12,84,3.87
-13,83,14.960709999999999
-13,84,3.87
-14,83,21.48574
-14,84,20.90977
-14,85,9.56658
-14,86,3.87
-15,83,22.20373
-15,84,15.87069
-15,85,21.46733
-15,86,3.87
-16,83,22.22477
-16,84,22.053819999999998
-16,85,21.932840000000002
-16,86,21.47259
-17,83,16.10213
-17,84,22.02752
-17,85,21.81186
-17,86,9.62707
-18,83,22.0696
-18,84,21.87235
-18,85,15.712890000000002
-19,83,21.76452
-19,84,21.66984
-19,85,9.59025
-20,83,21.79608
-20,84,9.674409999999998
-21,83,9.80065
-25,79,9.803279999999999
-24,79,21.84342
-24,80,9.753309999999999
-23,79,22.05908
-23,80,21.73822
-23,81,9.80065
-22,79,22.16165
-22,80,21.96966
-22,81,21.851309999999998
-22,82,9.687560000000001
-21,79,22.22477
-21,80,22.04593
-21,81,21.99859
-21,82,21.69614
-20,79,16.13369
-20,80,22.148500000000002
-20,81,16.06268
-20,82,21.8855
-19,79,22.28526
-19,80,22.19847
-19,81,22.14587
-19,82,19.781499999999998
-18,79,22.31945
-18,80,22.21425
-18,81,22.21951
-18,82,22.08538
-17,79,22.33786
-17,80,16.11265
-17,81,22.29315
-17,82,22.14587
-16,79,22.40098
-16,80,22.29841
-16,81,22.374679999999998
-16,82,22.16691
