X,Y,Value
-1,103,17.02
-2,103,17.02
-3,103,17.02
-4,103,17.02
-5,103,17.02
-6,103,17.02
-7,103,17.019737
-8,103,17.02
-9,103,17.02
-10,103,3.87
-21,99,17.019737
-20,99,17.02
-19,99,17.02
-13,99,3.934961
-13,100,17.02
-13,101,17.02
-13,102,17.02
-12,99,18.751065999999998
-12,100,17.02
-12,101,17.02
-12,102,17.02
-11,99,5.357528
-11,100,17.018421999999997
-11,101,17.02
-11,102,17.02
-10,99,4.442814
-10,100,17.02
-10,101,17.02
-10,102,17.02
-9,99,17.005798
-9,100,17.017633
-9,101,17.02
-9,102,17.02
-8,99,17.01211
-8,100,17.019737
-8,101,17.02
-8,102,17.02
-7,99,16.993963
-7,100,17.019211
-7,101,17.019737
-7,102,17.019737
-6,99,17.020263
-6,100,17.02
-6,101,17.02
-6,102,17.02
-5,99,16.962403000000002
-5,100,17.02
-5,101,17.02
-5,102,17.02
-4,99,17.019474
-4,100,17.020263
-4,101,17.02
-4,102,17.02
-3,99,17.037621
-3,100,17.02
-3,101,17.02
-3,102,17.02
-2,99,17.005271999999998
-2,100,17.02
-2,101,17.02
-2,102,17.02
-1,99,17.02
-1,100,17.02
-1,101,17.02
-1,102,17.02
0,99,17.019737
0,100,17.02
0,101,17.02
0,102,17.02
1,99,17.02
1,100,17.02
1,101,17.02
1,102,17.02
2,99,17.02
2,100,17.02
2,101,17.02
2,102,17.02
3,99,17.02
3,100,17.02
3,101,17.02
3,102,17.02
4,99,17.019211
4,100,17.02
4,101,17.02
4,102,17.02
5,99,17.02
5,100,17.02
5,101,17.02
6,99,17.02
6,100,17.02
6,101,17.02
7,99,17.02
7,100,17.02
8,99,17.02
8,100,17.02
9,99,17.02
10,99,17.02
11,99,17.02
17,95,17.02
16,95,17.02
15,95,17.02
15,96,17.02
14,95,17.02
14,96,17.02
14,97,17.02
13,95,17.02
13,96,17.02
13,97,17.02
12,95,17.02
12,96,17.02
12,97,17.02
12,98,17.02
11,95,17.019737
11,96,17.02
11,97,17.02
11,98,17.02
10,95,17.02
10,96,17.02
10,97,17.02
10,98,17.02
9,95,17.02
9,96,17.02
9,97,17.020263
9,98,17.02
8,95,17.02
8,96,17.02
8,97,17.02
8,98,17.02
7,95,17.02
7,96,17.02
7,97,17.02
7,98,17.02
6,95,17.02
6,96,17.02
6,97,17.02
6,98,17.02
5,95,17.019737
5,96,17.02
5,97,17.02
5,98,17.02
4,95,16.967136999999997
4,96,17.02
4,97,17.02
4,98,17.02
3,95,17.018685
3,96,17.02
3,97,17.02
3,98,17.02
2,95,17.021578
2,96,17.02
2,97,17.02
2,98,17.02
1,95,17.02
1,96,17.02
1,97,17.02
1,98,17.02
0,95,17.012899
0,96,17.019737
0,97,17.02
0,98,17.02
-1,95,17.012899
-1,96,17.019737
-1,97,17.020263
-1,98,17.02
-2,95,17.020263
-2,96,17.02
-2,97,17.02
-2,98,17.02
-3,95,17.022104
-3,96,17.02
-3,97,17.02
-3,98,17.02
-4,95,16.962139999999998
-4,96,17.02
-4,97,17.019737
-4,98,17.020263
-5,95,17.011321
-5,96,17.02
-5,97,17.020263
-5,98,17.02
-6,95,17.020263
-6,96,17.020263
-6,97,17.020263
-6,98,17.02
-7,95,17.02
-7,96,17.02
-7,97,17.02
-7,98,17.02
-8,95,4.493047
-8,96,17.019474
-8,97,17.02
-8,98,17.02
-9,95,3.8768380000000002
-9,96,17.02
-9,97,17.02
-9,98,17.02
-10,95,17.019737
-10,96,17.019737
-10,97,17.019737
-10,98,17.02
-11,95,3.872104
-11,96,17.02
-11,97,17.02
-11,98,3.91471
-12,95,17.020789
-12,96,3.886832
-12,97,17.02
-12,98,17.02
-13,95,3.8742080000000003
-13,96,17.020263
-13,97,17.019211
-13,98,17.02
-14,95,17.019737
-14,96,17.020526
-14,97,17.020526
-14,98,17.020263
-15,95,17.019474
-15,96,17.02
-15,97,17.020789
-16,95,17.020789
-16,96,3.874471
-16,97,3.8778900000000003
-17,95,3.875786
-17,96,17.018685
-17,97,17.020263
-18,95,3.8765750000000003
-18,96,3.8765750000000003
-18,97,17.019737
-18,98,17.02
-19,95,3.874471
-19,96,17.020789
-19,97,17.019737
-19,98,17.020263
-20,95,3.878942
-20,96,3.879994
-20,97,17.021314999999998
-20,98,17.02
-21,95,3.876312
-21,96,17.019737
-21,97,3.879994
-21,98,17.02
-22,95,3.8778900000000003
-22,96,3.879468
-22,97,3.8768380000000002
-22,98,3.878679
-23,95,3.876312
-23,96,3.877627
-23,97,17.020263
-23,98,17.02
-24,95,17.02
-24,96,3.878153
-24,97,3.878153
-25,95,3.878942
-25,96,17.019211
-25,97,17.02
-26,95,3.876049
-26,96,17.019737
-27,95,3.8718410000000003
-32,91,17.017896
-31,91,3.874734
-31,92,17.019737
-30,91,3.878679
-30,92,17.018685
-30,93,17.02
-29,91,3.880783
-29,92,3.88052
-29,93,4.420722
-29,94,17.02
-28,91,3.88052
-28,92,3.879994
-28,93,3.883413
-28,94,3.877364
-27,91,3.879994
-27,92,3.881835
-27,93,3.882361
-27,94,3.8778900000000003
-26,91,3.882098
-26,92,3.8826240000000003
-26,93,3.88578
-26,94,3.878679
-25,91,3.8802570000000003
-25,92,3.878942
-25,93,3.883413
-25,94,17.02
-24,91,3.8768380000000002
-24,92,17.019737
-24,93,3.881835
-24,94,3.875786
-23,91,3.876312
-23,92,3.878416
-23,93,3.882361
-23,94,3.87526
-22,91,3.875786
-22,92,3.876049
-22,93,3.881309
-22,94,3.873682
-21,91,3.88052
-21,92,3.890251
-21,93,3.891303
-21,94,3.870263
-20,91,3.874997
-20,92,3.877101
-20,93,3.878679
-20,94,3.873419
-19,91,3.8815720000000002
-19,92,3.892618
-19,93,3.891566
-19,94,3.871315
-18,91,3.909976
-18,92,3.878942
-18,93,3.882361
-18,94,3.874471
-17,91,3.876049
-17,92,3.873682
-17,93,3.881309
-17,94,17.02
-16,91,3.878153
-16,92,3.877364
-16,93,17.020263
-16,94,17.021314999999998
-15,91,3.873945
-15,92,4.31447
-15,93,17.020263
-15,94,17.019474
-14,91,3.8768380000000002
-14,92,3.877101
-14,93,3.874734
-14,94,17.023418999999997
-13,91,3.8815720000000002
-13,92,3.893144
-13,93,3.948111
-13,94,3.871052
-12,91,3.88315
-12,92,3.8923550000000002
-12,93,3.8934070000000003
-12,94,3.8731560000000003
-11,91,17.02
-11,92,3.8897250000000003
-11,93,3.891829
-11,94,17.017633
-10,91,3.876049
-10,92,17.021314999999998
-10,93,3.8826240000000003
-10,94,3.873682
-9,91,3.881046
-9,92,17.02
-9,93,17.02
-9,94,17.021841
-8,91,17.02
-8,92,17.022893
-8,93,17.019211
-8,94,17.02
-7,91,3.8718410000000003
-7,92,17.02
-7,93,17.02
-7,94,17.02
-6,91,3.87526
-6,92,17.02
-6,93,17.02
-6,94,17.02
-5,91,16.982654
-5,92,17.019737
-5,93,17.021052
-5,94,17.02
-4,91,17.008691
-4,92,17.021841
-4,93,17.02
-4,94,17.02
-3,91,16.984232
-3,92,17.020263
-3,93,17.020263
-3,94,17.02
-2,91,17.019474
-2,92,17.02
-2,93,17.020263
-2,94,17.02
-1,91,17.00422
-1,92,17.020526
-1,93,17.02
-1,94,17.00948
0,91,17.002378999999998
0,92,17.020263
0,93,17.019737
0,94,17.02
1,91,17.02
1,92,17.019737
1,93,17.02
1,94,17.020263
2,91,17.020263
2,92,17.02
2,93,17.02
2,94,17.02
3,91,17.020526
3,92,17.02
3,93,17.02
3,94,17.02
4,91,17.019211
4,92,17.02
4,93,17.02
4,94,17.02
5,91,17.032887
5,92,17.02
5,93,17.02
5,94,17.02
6,91,17.021052
6,92,17.02
6,93,17.02
6,94,17.02
7,91,17.019737
7,92,17.02
7,93,17.02
7,94,17.02
8,91,17.02263
8,92,17.02
8,93,17.02
8,94,17.02
9,91,17.02
9,92,17.02
9,93,17.02
9,94,17.02
10,91,17.018685
10,92,17.02
10,93,17.02
10,94,17.02
11,91,17.02
11,92,17.02
11,93,17.02
11,94,17.02
12,91,17.018685
12,92,17.02
12,93,17.02
12,94,17.02
13,91,17.021578
13,92,17.02
13,93,17.02
13,94,17.02
14,91,17.02
14,92,17.02
14,93,17.02
14,94,17.02
15,91,17.02
15,92,17.02
15,93,17.02
15,94,17.02
16,91,17.02
16,92,17.02
16,93,17.02
16,94,17.02
17,91,17.02
17,92,17.02
17,93,17.02
17,94,17.02
18,91,17.02
18,92,17.02
18,93,17.02
18,94,17.02
19,91,17.02
19,92,17.02
19,93,17.02
20,91,17.02
20,92,17.02
21,91,17.02
22,91,17.02
25,87,17.02
25,88,17.02
24,87,17.02
24,88,17.02
24,89,17.02
23,87,17.021841
23,88,17.02
23,89,17.02
23,90,17.02
22,87,17.021052
22,88,17.02
22,89,17.02
22,90,17.02
21,87,17.021314999999998
21,88,17.02
21,89,17.02
21,90,17.02
20,87,17.021841
20,88,17.02
20,89,17.02
20,90,17.02
19,87,17.020526
19,88,17.02
19,89,17.02
19,90,17.02
18,87,17.02
18,88,17.02
18,89,17.02
18,90,17.02
17,87,17.02
17,88,17.02
17,89,17.02
17,90,17.02
16,87,17.020263
16,88,17.02
16,89,17.02
16,90,17.02
15,87,17.017107
15,88,17.02
15,89,17.02
15,90,17.02
14,87,17.02
14,88,17.02
14,89,17.02
14,90,17.02
13,87,17.020263
13,88,17.02
13,89,17.02
13,90,17.02
12,87,17.021314999999998
12,88,17.02
12,89,17.02
12,90,17.02
11,87,17.020263
11,88,17.02
11,89,17.02
11,90,17.02
10,87,17.021841
10,88,17.02
10,89,17.02
10,90,17.02
9,87,17.025523
9,88,17.02
9,89,17.02
9,90,17.02
8,87,17.018947999999998
8,88,17.020263
8,89,17.02
8,90,17.02
7,87,17.021314999999998
7,88,17.019737
7,89,17.02
7,90,17.02
6,87,17.010532
6,88,17.02
6,89,17.02
6,90,17.02
5,87,17.020789
5,88,17.02
5,89,17.019737
5,90,17.020789
4,87,17.026049
4,88,17.020263
4,89,17.020526
4,90,17.019737
3,87,17.020526
3,88,17.02
3,89,17.02
3,90,17.02
2,87,17.02
2,88,17.02
2,89,17.02
2,90,17.02
1,87,10.808466
1,88,17.02
1,89,17.020526
1,90,17.02
0,87,17.022893
0,88,17.019474
0,89,17.019737
0,90,17.02
-1,87,16.987388
-1,88,3.890251
-1,89,17.020263
-1,90,17.02
-2,87,16.978972
-2,88,17.019737
-2,89,17.020526
-2,90,17.02
-3,87,3.877627
-3,88,17.019737
-3,89,3.917866
-3,90,17.019737
-4,87,3.877364
-4,88,3.891303
-4,89,17.022104
-4,90,17.02
-5,87,3.870263
-5,88,17.02
-5,89,17.020263
-5,90,3.8707890000000003
-6,87,3.876049
-6,88,17.014214
-6,89,17.02
-6,90,3.870526
-7,87,3.883413
-7,88,3.8957740000000003
-7,89,17.020789
-7,90,3.8768380000000002
-8,87,3.878679
-8,88,3.891303
-8,89,3.89367
-8,90,3.872893
-9,87,3.880783
-9,88,3.890514
-9,89,3.8923550000000002
-9,90,3.872893
-10,87,3.878153
-10,88,3.878416
-10,89,3.8802570000000003
-10,90,3.876049
-11,87,3.881046
-11,88,3.89367
-11,89,3.892092
-11,90,3.870263
-12,87,3.8815720000000002
-12,88,3.8947220000000002
-12,89,3.89367
-12,90,3.872104
