X,Y,Value
0,103,3.88052
-1,103,3.885517
-2,103,3.880783
-3,103,3.884465
-4,103,3.887884
-5,103,3.882361
-6,103,3.884202
-7,103,3.885254
-8,103,3.882361
-9,103,3.881046
-10,103,3.881046
-21,99,3.881835
-20,99,3.8802570000000003
-19,99,11.887818
-19,100,17.02
-14,99,6.615983
-13,99,17.02
-13,100,17.02
-13,101,17.02
-13,102,16.994489
-12,99,17.02
-12,100,17.02
-12,101,17.02
-12,102,17.02
-11,99,17.02
-11,100,17.02
-11,101,17.02
-11,102,17.02
-10,99,17.02
-10,100,17.02
-10,101,17.02
-10,102,17.02
-9,99,17.02
-9,100,17.02
-9,101,17.02
-9,102,17.02
-8,99,17.02
-8,100,17.02
-8,101,17.02
-8,102,17.02
-7,99,17.02
-7,100,17.02
-7,102,17.02
-6,99,17.02
-6,100,17.02
-6,101,17.02
-6,102,17.02
-5,99,17.02
-5,100,17.02
-5,101,17.02
-5,102,17.02
-4,99,17.02
-4,100,17.02
-4,101,17.02
-4,102,17.02
-3,99,17.02
-3,100,17.02
-3,101,17.02
-3,102,17.02
-2,99,17.02
-2,100,17.02
-2,101,17.02
-2,102,17.02
-1,99,17.02
-1,100,17.02
-1,101,17.02
-1,102,17.02
0,99,17.02
0,100,17.02
0,101,17.02
0,102,17.02
1,99,17.02
1,100,17.02
1,101,17.02
1,102,17.02
2,99,17.02
2,100,17.02
2,101,17.02
2,102,17.02
3,99,17.02
3,100,17.02
3,101,17.02
3,102,17.02
4,99,17.02
4,100,17.02
4,101,17.02
4,102,17.02
5,99,17.02
5,100,17.02
5,101,17.02
6,99,17.02
6,100,17.02
6,101,17.02
7,99,17.02
7,100,17.02
8,99,17.019737
8,100,17.02
9,99,17.02
10,99,17.02
17,95,17.02
16,95,17.02
15,95,17.02
15,96,17.019737
14,95,17.02
14,96,17.02
14,97,17.02
13,95,17.02
13,96,17.02
13,97,17.02
12,95,17.02
12,96,17.02
12,97,17.020263
12,98,17.02
11,95,17.02
11,96,17.02
11,97,17.02
11,98,17.02
10,95,17.02
10,96,17.02
10,97,17.02
10,98,17.02
9,95,17.02
9,96,17.02
9,97,17.02
9,98,17.02
8,95,17.02
8,96,17.02
8,97,17.02
8,98,17.02
7,95,17.02
7,96,17.02
7,97,17.02
7,98,17.02
6,95,17.02
6,96,17.02
6,97,17.02
6,98,17.02
5,95,17.02
5,96,17.02
5,97,17.02
5,98,17.02
4,95,17.02
4,96,17.02
4,97,17.02
4,98,17.02
3,95,17.02
3,96,17.02
3,97,17.02
3,98,17.02
2,95,17.02
2,96,17.02
2,97,17.02
2,98,17.02
1,95,17.02
1,96,17.02
1,97,17.02
1,98,17.02
0,95,17.02
0,96,17.02
0,97,17.02
0,98,17.02
-1,95,17.02
-1,96,17.02
-1,97,17.02
-1,98,17.02
-2,95,17.02
-2,96,17.02
-2,97,17.02
-2,98,17.02
-3,95,17.02
-3,96,17.02
-3,97,17.02
-3,98,17.02
-4,95,17.02
-4,96,17.02
-4,97,17.02
-4,98,17.02
-5,95,17.02
-5,96,17.02
-5,97,17.019737
-5,98,17.02
-6,95,17.02
-6,96,17.02
-6,97,17.02
-6,98,17.02
-7,95,17.02
-7,96,17.02
-7,97,17.02
-7,98,17.02
-8,95,17.02
-8,96,17.02
-8,97,17.02
-8,98,17.02
-9,95,17.02
-9,96,17.02
-9,97,17.02
-9,98,17.02
-10,95,17.02
-10,96,17.02
-10,97,17.02
-10,98,17.02
-11,95,17.02
-11,96,17.02
-11,97,17.02
-11,98,17.02
-12,95,17.02
-12,96,17.02
-12,97,17.02
-12,98,17.02
-13,95,17.02
-13,96,17.02
-13,97,17.02
-13,98,17.02
-14,95,17.02
-14,96,17.02
-14,97,17.02
-14,98,17.02
-15,95,17.02
-15,96,17.02
-15,97,17.02
-15,98,17.02
-16,95,17.02
-16,96,17.02
-16,97,17.02
