X,Y,Value
0,103,3.8815720000000002
-1,103,3.8839390000000003
-2,103,3.8849910000000003
-3,103,3.8815720000000002
-4,103,3.886832
-5,103,3.884465
-6,103,3.88052
-7,103,3.882887
-8,103,3.8802570000000003
-9,103,3.882361
-10,103,3.882887
-11,103,3.878416
-21,99,3.8802570000000003
-20,99,3.878153
-20,100,3.8839390000000003
-19,99,3.8768380000000002
-13,99,4.042528
-13,100,10.072592
-13,101,3.8742080000000003
-12,99,3.9489
-12,100,3.8815720000000002
-12,101,3.882098
-12,102,4.003078
-11,99,3.882098
-11,100,3.879731
-11,101,3.882361
-11,102,17.02
-10,99,3.881309
-10,100,3.879468
-10,101,3.883676
-10,102,3.875786
-9,99,3.878942
-9,100,3.876312
-9,101,3.8802570000000003
-9,102,3.87526
-8,99,3.88052
-8,100,3.878153
-8,101,17.020263
-8,102,13.963151
-7,99,3.879468
-7,100,3.877627
-7,101,3.881309
-7,102,3.877627
-6,99,3.880783
-6,100,3.879468
-6,101,3.882361
-6,102,17.025786
-5,99,3.885254
-5,100,3.8826240000000003
-5,101,3.886569
-5,102,3.879994
-4,99,3.879994
-4,100,3.876312
-4,101,3.8815720000000002
-4,102,3.902612
-3,99,3.8839390000000003
-3,100,3.8815720000000002
-3,101,3.885254
-3,102,3.88052
-2,99,3.884728
-2,100,3.882361
-2,101,3.887884
-2,102,3.88315
-1,99,3.881046
-1,100,3.878679
-1,101,3.8826240000000003
-1,102,3.877101
0,99,3.8815720000000002
0,100,3.878942
0,101,3.8826240000000003
0,102,3.877364
1,99,3.8839390000000003
1,100,3.881309
1,101,3.88578
1,102,3.8802570000000003
2,99,3.881309
2,100,3.879731
2,101,3.883676
2,102,3.888936
3,99,3.883413
3,100,3.88052
3,101,3.883413
3,102,17.02
4,99,3.879994
4,100,3.878153
4,101,3.8815720000000002
4,102,17.02
5,99,3.878942
5,100,3.8765750000000003
5,101,3.877364
6,99,3.881835
6,100,3.878416
6,101,3.903927
7,99,3.884202
7,100,17.019737
8,99,3.88052
8,100,3.874734
9,99,3.8826240000000003
9,100,17.02
10,99,3.876312
11,99,17.02
17,95,17.02
