X,Y,Value
10,55,17.030783
9,55,17.031572
8,55,17.031572
8,56,17.026575
7,55,17.031572
7,56,17.027364
6,55,17.031046
6,56,17.026311999999997
5,55,17.030783
5,56,17.026838
4,55,17.030783
4,56,17.026838
4,57,17.028942
3,55,17.031572
3,56,17.026838
3,57,17.029204999999997
2,55,17.031309
2,56,17.027364
2,57,17.027627
1,55,17.031309
1,56,17.026838
1,57,17.028416
0,55,17.030783
0,56,17.026575
0,57,17.029204999999997
-1,55,17.030783
-1,56,17.02789
-1,57,17.029204999999997
-2,55,17.03052
-2,56,17.027364
-2,57,17.02789
-3,55,17.030783
-3,56,17.027364
-3,57,17.028416
-4,55,17.030257
-4,56,17.027627
-4,57,17.02789
-5,55,17.030257
-5,56,17.026838
-5,57,3.871578
-6,55,17.031572
-11,55,3.940484
-12,55,17.031572
-19,51,17.03052
-18,51,17.031572
-17,51,3.871578
-17,52,3.8718410000000003
-16,51,3.871052
-16,52,17.027364
-16,53,17.028679
-15,51,3.871578
-15,52,17.02789
-15,53,3.87
-14,51,3.87263
-14,52,3.872893
-14,53,3.87
-14,54,17.028942
-13,51,3.87
-13,52,3.870263
-13,53,3.872104
-13,54,3.897878
-12,51,3.874997
-12,52,3.873682
-12,53,3.878416
-12,54,3.886043
-11,51,3.872367
-11,52,3.877101
-11,53,3.874997
-11,54,3.893933
-10,51,3.873419
-10,52,3.87526
-10,53,3.893933
-10,54,3.8910400000000003
-9,51,3.875786
-9,52,3.876049
-9,53,3.883413
-8,51,3.871315
-8,52,3.8873580000000003
-8,53,3.884202
-8,54,17.02789
-7,51,3.8765750000000003
-7,52,17.026838
-7,53,17.027627
-7,54,17.028942
-6,51,3.8815720000000002
-6,52,3.8839390000000003
-6,53,17.028153
-6,54,17.028416
-5,51,3.88315
-5,52,3.9207590000000003
-5,53,4.041739
-5,54,17.029731
-4,51,17.031835
-4,52,17.027101
-4,53,4.250298
-4,54,17.029467999999998
-3,51,3.8899880000000002
-3,52,17.026838
-3,53,17.028153
-3,54,17.028153
-2,51,17.031572
-2,52,17.027101
-2,53,17.02789
-2,54,17.029467999999998
-1,51,4.117746
-1,52,17.027364
-1,53,17.028942
-1,54,17.028153
0,51,17.031309
0,52,17.027101
0,53,17.028942
0,54,17.02789
