X,Y,Value
-2,91,82.79367
-15,87,82.80682
-14,87,82.80945
-14,88,82.78052000000001
-9,87,82.81208
-9,88,82.77263
-9,89,82.81734
-8,87,82.81208
-8,88,82.75422
-8,89,82.8226
-8,90,82.77526
-7,87,82.7963
-7,88,82.76211
-7,89,82.81734
-7,90,82.77789
-6,87,82.80419
-6,88,82.77789
-6,89,82.82523
-6,90,82.75948
-5,87,82.82523
-5,88,82.77
-5,89,82.7174
-5,90,72.52615
-4,87,82.81208
-4,88,82.76737
-4,89,82.79104
-4,90,6.29486
-3,87,48.35908
-3,88,6.949730000000001
-3,89,82.83049
-3,90,4.2224200000000005
-2,87,3.8910400000000003
-2,88,3.87
-2,89,82.83049
-2,90,3.88315
-1,87,3.87263
-1,88,3.87
-1,89,3.8778900000000003
-1,90,3.87
0,87,3.91997
0,88,3.87
0,89,3.8778900000000003
0,90,3.87
1,87,3.88841
1,88,3.87
1,89,3.87
1,90,3.87
2,87,3.87526
2,88,3.95153
2,89,3.8778900000000003
2,90,3.87
3,87,4.17508
3,88,3.87
3,89,3.8778900000000003
4,87,4.68793
4,88,3.87
4,89,3.88052
5,87,3.9752
5,88,3.87
5,89,3.88578
6,87,3.87526
6,88,3.87
7,87,3.87526
8,87,3.87263
13,83,3.88315
12,83,3.87263
12,84,3.87
11,83,3.88841
11,84,3.87
11,85,3.8778900000000003
10,83,3.88578
10,84,3.87
10,85,3.88841
10,86,3.87
9,83,22.18006
9,84,3.87
9,85,3.8778900000000003
9,86,3.87
8,83,22.22214
8,84,3.87
8,85,3.90945
8,86,3.87
7,83,3.91997
7,84,3.88052
7,85,3.87
7,86,3.87
6,83,3.88315
6,84,3.91208
6,85,3.87263
6,86,3.87
5,83,3.92523
5,84,3.87
5,85,3.88052
5,86,3.87
4,83,4.30395
4,84,3.87
4,85,3.87
4,86,3.87
3,83,3.87263
3,84,3.87
3,85,3.88052
3,86,3.87
2,83,4.54328
2,84,3.87
2,85,3.88052
2,86,3.87
1,83,4.02254
1,84,3.87
1,85,3.87263
1,86,3.87
0,83,4.07514
0,84,3.87
0,85,3.89367
0,86,3.87
-1,83,22.40624
-1,84,3.87
-1,85,3.87
-1,86,3.87
-2,86,3.87
-3,83,22.41676
-3,84,3.87
-3,85,3.8778900000000003
-3,86,3.87
-4,83,3.95416
-4,84,3.87
-4,85,3.87
-4,86,3.87
-5,83,4.2119
-5,84,3.87
-5,85,3.90945
-5,86,3.87
-6,83,3.96468
-6,84,3.87
-6,85,3.87
-6,86,4.133
-7,83,4.1593
-7,84,3.87
-7,85,3.87
-7,86,3.87
-8,83,22.31156
-8,84,3.87
-8,85,3.88578
-8,86,3.87
-9,83,3.98835
-9,84,3.87
-9,85,3.8778900000000003
-9,86,3.87
-10,83,3.90156
-10,84,3.87
-10,85,3.8778900000000003
-10,86,3.87
-11,83,4.41441
-11,84,3.87
-11,85,3.87
-12,83,4.08303
-12,84,3.87
-12,85,3.88315
-13,83,5.74256
-13,84,3.87
-13,85,3.8963
-13,86,3.87
-14,83,4.09618
-14,84,3.87
-14,85,3.87
-14,86,3.87
-15,83,3.91997
-15,84,3.88315
-15,85,3.87
-15,86,3.87
-16,83,22.00911
-16,84,3.87
-16,85,3.88578
-16,86,3.87
-17,83,21.98018
-17,84,3.87
-17,85,3.8963
-17,86,3.87
-18,83,21.6488
-18,84,3.87
-18,85,3.88052
-19,83,3.87
-19,84,3.87
-20,83,3.87
-20,84,3.87
-21,83,3.87
-25,79,3.87
-24,79,3.87
-24,80,3.87
-23,79,3.89367
-23,80,3.87
-23,81,3.88578
-22,79,4.6064
-22,80,3.87
-22,81,3.87
-22,82,3.87
-21,79,3.87526
-21,80,3.87263
-21,81,3.88578
-21,82,3.87
-20,79,3.87
-20,80,3.94627
-20,81,3.87
-20,82,3.92523
-19,79,4.70897
-19,80,3.87
-19,81,3.8910400000000003
-19,82,3.87
-18,79,3.9962400000000002
-18,80,3.87
-18,81,3.87263
-18,82,3.87
-17,79,4.05673
-17,80,3.87
-17,81,3.87
-17,82,3.87
-16,79,4.82469
-16,80,3.87
-16,81,3.87
-16,82,3.87
-15,79,3.87526
-15,80,3.87
-15,81,3.87
-15,82,3.87
-14,79,3.87
-14,80,3.87
-14,81,3.87263
-14,82,3.87
-13,79,4.17771
-13,80,3.87
-13,81,3.8963
-13,82,3.87
-12,79,4.26187
-12,80,3.87
-12,81,3.88315
-12,82,3.87
-11,79,22.351010000000002
-11,80,3.87
-11,81,3.87
-11,82,3.87
-10,79,22.39309
-10,80,3.87
-10,81,3.87263
-10,82,3.87
-9,79,4.4038900000000005
-9,80,3.87
-9,81,3.88315
-9,82,3.87
-8,79,3.96205
-8,80,3.87
-8,81,3.8778900000000003
-8,82,3.87
-7,79,22.46936
-7,80,3.87
-7,81,3.87
-7,82,3.87
-6,79,22.46147
-6,80,3.87
-6,81,3.8778900000000003
-6,82,3.87
-5,79,22.46673
-5,80,3.87
-5,81,3.90945
-5,82,3.87
-4,79,22.49566
-4,80,3.87
-4,81,3.87
-4,82,3.87
-3,79,3.88315
-3,80,3.87
-3,81,3.90945
-3,82,3.87
-2,79,22.450950000000002
-2,80,3.87
-2,81,3.87
-2,82,3.87
-1,79,22.48777
-1,80,3.9830900000000002
-1,81,3.87263
-1,82,3.87
0,79,22.4904
0,80,3.87
0,81,3.87
0,82,3.87
1,79,22.464100000000002
1,80,3.87
1,81,3.87526
1,82,3.87
2,79,22.47199
2,80,3.87
2,81,3.87263
2,82,3.87
3,79,22.450950000000002
3,80,3.87
3,81,3.90945
3,82,3.87
4,79,22.47199
4,80,3.87
4,81,3.87
4,82,3.87
5,79,22.44832
5,80,3.87
5,81,3.87
5,82,3.87
6,79,22.43517
6,80,3.87
6,81,3.87
6,82,3.87
7,79,22.42991
7,80,3.87
7,81,3.8778900000000003
7,82,3.87
8,79,22.41676
8,80,3.87
8,81,3.88578
8,82,3.87
9,79,22.39835
9,80,3.87
9,81,3.8778900000000003
9,82,3.87
10,79,4.37496
10,80,3.87
10,81,3.87263
10,82,3.87
11,79,4.95619
11,80,3.87
11,81,3.88052
11,82,3.87
12,79,4.58273
12,80,3.87
12,81,3.88841
12,82,3.87
13,79,4.66689
13,80,3.87
13,81,3.90945
13,82,3.87
14,79,22.20373
14,80,3.87
14,81,3.87
14,82,3.87
15,79,4.44071
15,80,3.87
15,81,3.8778900000000003
16,79,3.87
16,80,3.87
17,79,3.87
20,75,3.87
20,76,3.87
19,75,6.58153
19,76,3.87
19,77,3.87
18,75,4.12511
18,76,3.87
18,77,3.87526
18,78,3.87
17,75,4.22505
17,76,3.87
17,77,3.88315
17,78,3.87
16,75,4.04358
16,76,3.87
16,77,3.87
16,78,3.87
15,75,22.369419999999998
15,76,3.87
15,77,3.87263
15,78,3.87
14,75,4.4827900000000005
14,76,3.87
14,77,3.87526
14,78,3.87
13,75,22.40361
13,76,3.87
13,77,3.8910400000000003
13,78,3.87
12,75,22.45884
12,76,3.87
12,77,3.87
12,78,3.87
11,75,22.4378
11,76,3.87
11,77,3.87
11,78,3.87
10,75,22.47462
10,76,3.87
10,77,3.87
10,78,3.87
9,75,3.92786
9,76,3.87
9,77,3.90945
9,78,3.87
8,75,22.50092
8,76,3.87
8,77,3.88578
8,78,3.87
7,75,22.53248
7,76,3.87
7,77,3.8778900000000003
7,78,3.87
6,75,22.50092
6,76,3.87
6,77,3.8778900000000003
6,78,3.87
5,75,22.53774
5,76,3.87
5,77,3.90945
5,78,3.87
4,75,22.51407
4,76,3.87
4,77,3.88052
4,78,3.99098
3,75,22.54037
3,76,3.87
3,77,3.87
3,78,3.87
2,75,22.52985
2,76,3.87
2,77,3.88315
2,78,3.87
1,75,22.543
1,76,3.87
1,77,3.87
1,78,3.87
0,75,22.52985
0,76,3.87
0,77,3.8778900000000003
0,78,3.87
-1,75,22.5167
-1,76,3.87
-1,77,3.87263
-1,78,3.87
-2,75,22.52985
-2,76,3.87
-2,77,3.87
-2,78,3.87
-3,75,22.50355
-3,76,3.87
-3,77,3.87526
-3,78,3.87
-4,75,22.52985
-4,76,3.87
-4,77,3.88315
-4,78,3.87
-5,75,22.48777
-5,76,3.87
-5,77,3.87
-5,78,3.87
-6,75,22.48251
-6,76,3.87
-6,77,3.88315
-6,78,3.88315
-7,75,22.50881
-7,76,3.87
-7,77,3.87
-7,78,3.90945
-8,75,22.49303
-8,76,3.87
-8,77,3.87
-8,78,3.9567900000000003
-9,75,4.0804
-9,76,3.87
-9,77,3.90945
-9,78,3.9041900000000003
-10,75,22.48514
-10,76,3.87
-10,77,3.90945
-10,78,3.87
-11,75,22.45884
-11,76,3.87
-11,77,3.87
-11,78,3.87
-12,75,22.47199
-12,76,3.87
-12,77,3.90945
-12,78,3.87
-13,75,22.44569
-13,76,3.87
-13,77,3.8778900000000003
-13,78,3.87
-14,75,22.464100000000002
-14,76,4.48805
-14,77,3.8778900000000003
-14,78,3.87
