X,Y,Value
4,55,82.75159
3,55,82.7437
2,55,82.73581
1,55,82.73844
0,55,82.75159
-1,55,82.73318
-2,55,82.7437
-3,55,82.74633
-4,55,82.72003000000001
-5,55,82.75422
-6,55,82.73581
-7,55,82.74633
-8,55,82.7437
-22,51,82.72792000000001
-21,51,82.74633
-20,51,82.7437
-20,52,82.75159
-19,51,82.74633
-19,52,82.72792000000001
-18,51,82.73844
-18,52,82.74107000000001
-17,51,82.73581
-17,52,82.71477
-17,53,82.69636
-16,51,82.74633
-16,52,82.73581
-16,53,82.69373
-15,51,82.73581
-15,52,82.72792000000001
-15,53,82.68847000000001
-14,51,82.73844
-14,52,82.73318
-13,51,82.72792000000001
-13,54,82.70162
-12,51,82.7437
-12,54,82.69899
-11,51,82.74633
-11,54,82.70951000000001
-10,51,82.74633
-10,52,82.75159
-10,54,82.69109999999999
-9,51,82.76211
-9,52,82.7174
-9,53,82.68584
-9,54,82.7174
-8,51,82.7437
-8,52,82.73318
-8,53,82.69636
-8,54,82.69899
-7,51,82.7437
-7,52,82.72529
-7,53,82.70951000000001
-7,54,82.70425
-6,51,82.7437
-6,52,82.77
-6,53,82.70425
-6,54,82.70425
-5,51,82.7437
-5,52,82.75422
-5,53,82.68847000000001
-5,54,82.69899
-4,51,82.73581
-4,52,82.72792000000001
-4,53,82.69373
-4,54,82.70425
-3,51,82.7437
-3,52,82.75159
-3,53,82.69636
-3,54,82.68584
-2,51,82.73581
-2,52,82.73318
-2,53,82.70951000000001
-2,54,82.69109999999999
-1,51,82.72792000000001
-1,52,82.73581
-1,53,82.69636
-1,54,82.71214
0,51,41.563159999999996
0,52,41.55527
0,53,82.70162
0,54,82.72003000000001
1,51,41.615759999999995
1,52,41.626279999999994
1,53,82.72792000000001
1,54,82.66743
2,51,35.39318
2,52,41.76567
2,53,82.69373
2,54,82.70162
3,51,41.81827
3,52,35.52468
3,53,82.70951000000001
3,54,82.69109999999999
4,51,41.84983
4,52,41.98659
4,53,82.68584
4,54,82.70162
5,51,41.80775
5,52,41.8998
5,53,82.70162
5,54,82.70425
6,51,35.167
6,52,41.739369999999994
6,53,82.68847000000001
6,54,82.69899
7,51,41.62365
7,52,41.58682999999999
7,53,82.67795
7,54,82.69373
8,51,41.539489999999994
8,52,41.49477999999999
8,53,82.68584
8,54,82.69373
9,51,41.45269999999999
9,52,41.384319999999995
9,53,82.69636
9,54,82.68321
10,51,41.415879999999994
10,52,41.313309999999994
10,53,82.69636
11,51,41.34224
11,52,41.22389
11,53,82.70162
12,51,35.07232
12,52,41.11606
12,53,3.87
13,51,40.61373
13,52,22.40098
13,53,82.73055
14,51,41.16077
14,52,16.03638
15,51,41.071349999999995
15,52,3.87
16,51,15.94433
17,51,4.89044
18,51,82.73581
25,47,3.87
24,47,22.153760000000002
23,47,41.00823
23,48,3.87
22,47,41.10554
22,48,22.32208
22,49,82.70951000000001
21,47,41.22915
21,48,41.06345999999999
21,49,82.69636
20,47,41.255449999999996
20,48,41.17655
20,49,82.70951000000001
20,50,82.69373
19,47,41.329089999999994
19,48,41.2423
19,49,82.69636
19,50,82.67795
18,47,41.33960999999999
18,48,41.28964
18,49,82.69373
18,50,82.69373
17,47,40.91618
17,48,35.0881
17,49,82.72003000000001
17,50,82.69109999999999
16,47,40.18241
16,48,35.00131
16,49,45.216229999999996
16,50,82.68584
15,47,28.90497
15,48,37.48403
15,49,31.0379
15,50,82.70162
14,47,41.40273
14,48,41.410619999999994
14,49,82.68847000000001
14,50,82.70162
13,47,40.061429999999994
13,48,40.30865
13,49,47.31759999999999
13,50,82.69899
12,47,41.44481
12,48,41.45007
12,49,82.70425
12,50,82.70425
11,47,36.915949999999995
11,48,39.67744999999999
11,49,68.46543
11,50,82.68321
10,47,41.46322
10,48,41.460589999999996
10,49,82.70425
10,50,82.69373
9,47,41.486889999999995
9,48,41.492149999999995
9,49,82.70951000000001
9,50,82.70951000000001
8,47,41.48952
8,48,41.518449999999994
8,49,82.69636
8,50,82.69373
7,47,41.523709999999994
7,48,41.55264
7,49,82.69636
7,50,82.70951000000001
6,47,41.563159999999996
6,48,41.578939999999996
6,49,82.70162
6,50,82.70425
5,47,41.57105
5,48,41.615759999999995
5,49,82.68847000000001
5,50,82.69899
4,47,41.55000999999999
4,48,41.61313
4,49,82.68584
4,50,82.69899
3,47,41.5579
3,48,41.605239999999995
3,49,82.70162
3,50,82.66743
2,47,41.54738
2,48,41.573679999999996
2,49,82.70951000000001
2,50,82.70162
1,47,35.20645
1,48,35.238009999999996
1,49,82.70162
1,50,82.68584
0,47,41.48952
0,48,41.479
0,49,82.68847000000001
0,50,82.69109999999999
-1,47,41.44481
-1,48,35.19067
-1,49,82.68058
-1,50,82.70425
-2,47,35.222229999999996
-2,48,41.426399999999994
-2,49,82.68847000000001
-2,50,82.68584
-3,47,41.384319999999995
-3,48,41.39747
-3,49,82.68847000000001
-3,50,82.70162
-4,47,41.373799999999996
-4,48,41.373799999999996
-4,49,82.68584
-4,50,82.69899
-5,47,41.35012999999999
-5,48,41.384319999999995
-5,49,82.70162
-5,50,82.71214
-6,47,41.329089999999994
-6,48,41.358019999999996
-6,49,82.69636
-6,50,82.69373
-7,47,41.33698
-7,48,41.302789999999995
-7,49,82.71214
-7,50,82.68321
-8,47,41.3212
-8,48,41.323829999999994
-8,49,82.69373
-8,50,82.70425
-9,47,41.31068
-9,48,41.28438
-9,49,82.70425
-9,50,82.69109999999999
-10,47,41.2686
-10,48,41.2949
-10,49,82.69636
-10,50,82.70162
-11,47,41.287009999999995
-11,48,41.302789999999995
-11,49,82.69373
-11,50,82.70162
-12,47,41.260709999999996
-12,48,35.043389999999995
-12,49,82.71214
-12,50,82.72003000000001
-13,47,41.25282
-13,48,41.25282
-13,49,82.69636
-13,50,82.68584
-14,47,41.16602999999999
-14,48,49.25591
-14,49,82.71214
-14,50,82.68584
-15,47,41.20810999999999
-15,48,35.92706999999999
-15,49,82.69636
-15,50,82.73581
-16,47,37.455099999999995
-16,48,82.72003000000001
-16,49,82.68847000000001
-16,50,82.69373
-17,47,65.12796
-17,48,82.68321
-17,49,82.69373
-17,50,82.69899
-18,47,34.75409
-18,48,55.53371999999999
-18,49,82.68847000000001
-18,50,82.69109999999999
-19,47,82.73581
-19,48,82.72792000000001
-19,49,82.68058
-19,50,82.68584
-20,47,41.21863
-20,48,41.20810999999999
-20,49,82.70425
-20,50,82.69109999999999
-21,47,41.210739999999994
-21,48,41.18180999999999
-21,49,82.69636
-21,50,82.69899
-22,47,34.97238
-22,48,34.961859999999994
-22,49,82.69636
-22,50,82.69899
-23,47,41.215999999999994
-23,48,41.16602999999999
-23,49,82.70162
-23,50,82.70162
-24,47,34.903999999999996
-24,48,42.61779
-24,49,82.70425
-24,50,82.69899
-25,47,36.60035
-25,48,39.46968
-25,49,82.69373
-26,47,82.67532
-26,48,82.73581
-26,49,82.69636
-27,47,82.74633
-27,48,82.72792000000001
-28,47,82.7437
-28,48,82.7437
-29,47,82.73581
-35,43,82.75422
-34,43,82.72529
-34,44,82.72792000000001
-33,43,82.7437
-33,44,82.7174
-32,43,47.309709999999995
-32,44,82.69109999999999
-32,45,82.69636
-31,43,28.73402
-31,44,82.69109999999999
-31,45,82.70162
-31,46,82.72003000000001
-30,43,41.210739999999994
-30,44,28.76821
-30,45,82.69373
-30,46,82.68321
-29,43,40.81887
-29,44,34.89348
-29,45,82.69636
-29,46,82.69899
-28,43,41.22915
-28,44,40.92407
-28,45,82.71477
-28,46,82.69899
-27,43,41.23441
-27,44,41.22389
-27,45,82.70425
-27,46,82.67795
-26,43,41.22652
-26,44,41.215999999999994
-26,45,82.66217
-26,46,82.69899
-25,43,41.210739999999994
-25,44,41.189699999999995
-25,45,41.46847999999999
-25,46,82.70162
-24,43,41.21863
-24,44,41.210739999999994
-24,45,41.21863
-24,46,82.58064
-23,43,41.22915
-23,44,34.967119999999994
-23,45,41.173919999999995
-23,46,38.17046
-22,43,41.36590999999999
-22,44,41.24493
-22,45,40.482229999999994
-22,46,39.15933999999999
-21,43,41.215999999999994
-21,44,41.22652
-21,45,41.20810999999999
-21,46,41.265969999999996
-20,43,41.2423
-20,44,41.23441
-20,45,41.194959999999995
-20,46,41.28438
-19,43,41.250189999999996
-19,44,41.23441
-19,45,41.22652
-19,46,41.25807999999999
-18,43,41.24493
-18,44,41.25282
-18,45,41.22652
-18,46,41.25807999999999
-17,43,35.02498
-17,44,41.22652
-17,45,40.8215
-17,46,41.23703999999999
-16,43,41.2423
-16,44,41.2423
-16,45,41.2423
-16,46,41.23177999999999
-15,43,41.260709999999996
-15,44,41.22389
-15,45,41.221259999999994
-15,46,41.23967
-14,43,41.250189999999996
-14,44,41.260709999999996
-14,45,41.24755999999999
-14,46,41.23177999999999
-13,43,41.260709999999996
-13,44,41.26333999999999
-13,45,41.27385999999999
-13,46,41.26333999999999
-12,43,41.27912
-12,44,41.276489999999995
-12,45,35.032869999999996
-12,46,41.26333999999999
-11,43,41.287009999999995
-11,44,41.276489999999995
-11,45,41.2686
-11,46,41.28964
-10,43,41.281749999999995
-10,44,41.302789999999995
-10,45,41.313309999999994
-10,46,41.297529999999995
-9,43,41.27912
-9,44,41.28438
-9,45,35.08021
-9,46,41.297529999999995
-8,43,41.281749999999995
-8,44,41.313309999999994
-8,45,41.30015999999999
-8,46,41.308049999999994
-7,43,41.276489999999995
-7,44,41.31594
-7,45,41.2949
-7,46,41.33434999999999
-6,43,35.07232
-6,44,41.3475
-6,45,41.33172
-6,46,41.33960999999999
-5,43,41.3212
-5,44,35.069689999999994
-5,45,35.16437
-5,46,41.358019999999996
-4,43,41.373799999999996
-4,44,41.389579999999995
-4,45,35.0881
-4,46,41.368539999999996
-3,43,41.38169
-3,44,41.38169
-3,45,41.368539999999996
-3,46,35.124919999999996
-2,43,41.384319999999995
-2,44,41.38169
-2,45,41.40273
-2,46,41.41850999999999
-1,43,41.400099999999995
-1,44,35.643029999999996
-1,45,41.42903
-1,46,41.465849999999996
0,43,41.43429
0,44,41.415879999999994
0,45,35.27483
0,46,41.43955
1,43,41.40273
1,44,41.43429
1,45,41.45269999999999
1,46,41.48952
2,43,41.45795999999999
2,44,41.476369999999996
2,45,41.34224
2,46,41.479
3,43,41.51055999999999
3,44,41.465849999999996
3,45,41.5053
3,46,41.54212
4,43,41.45795999999999
4,44,41.492149999999995
4,45,35.22486
4,46,41.523709999999994
5,43,41.476369999999996
5,44,41.492149999999995
5,45,35.61147
5,46,41.54738
6,43,41.46322
6,44,41.49477999999999
6,45,41.48952
6,46,41.523709999999994
7,43,41.44481
7,44,41.492149999999995
7,45,41.523709999999994
7,46,41.52108
8,43,41.45795999999999
8,44,41.45007
8,45,41.476369999999996
8,46,41.497409999999995
9,43,41.45007
9,44,41.46847999999999
9,45,41.46322
9,46,41.481629999999996
10,43,41.460589999999996
10,44,41.460589999999996
10,45,41.45007
10,46,41.479
11,43,35.167
11,44,41.46847999999999
11,45,41.44481
11,46,35.18541
12,43,41.46322
12,44,35.18541
12,45,41.44481
12,46,41.44743999999999
13,43,41.43429
13,44,41.460589999999996
13,45,35.18015
13,46,41.42903
14,43,41.45007
14,44,41.43429
14,45,41.44217999999999
14,46,35.15911
15,43,41.45795999999999
15,44,41.42377
15,45,41.426399999999994
15,46,41.400099999999995
16,43,41.415879999999994
16,44,41.41850999999999
16,45,35.20908
16,46,41.01349
17,43,41.39747
17,44,41.426399999999994
17,45,41.39220999999999
17,46,41.42903
18,43,41.410619999999994
18,44,41.410619999999994
18,45,35.14859
18,46,35.130179999999996
19,43,41.42903
19,44,41.42377
19,45,41.38169
19,46,41.36065
20,43,41.39220999999999
20,44,41.400099999999995
20,45,41.358019999999996
20,46,41.33960999999999
21,43,41.40799
21,44,41.37642999999999
21,45,41.35538999999999
21,46,41.31857
22,43,41.368539999999996
22,44,41.373799999999996
22,45,35.08547
22,46,41.281749999999995
23,43,41.363279999999996
23,44,41.329089999999994
23,45,35.032869999999996
23,46,41.19759
24,43,41.33172
24,44,41.297529999999995
24,45,40.768899999999995
24,46,41.097649999999994
25,43,41.281749999999995
25,44,41.24493
25,45,34.92241
25,46,34.664669999999994
26,43,35.017089999999996
26,44,41.08975999999999
26,45,40.97140999999999
26,46,10.02157
27,43,41.17655
27,44,41.02663999999999
27,45,22.248440000000002
27,46,82.69373
28,43,41.12132
28,44,28.52625
29,43,40.95037
29,44,9.98738
30,43,15.64714
35,39,9.32988
34,39,40.952999999999996
34,40,9.979489999999998
33,39,35.135439999999996
33,40,40.92144
33,41,3.87
32,39,34.909259999999996
32,40,41.06345999999999
32,41,34.14656
32,42,3.87
31,39,40.83202
31,40,41.215999999999994
31,41,34.90663
31,42,22.30367
30,39,41.3212
30,40,41.260709999999996
30,41,41.168659999999996
30,42,41.01612
29,39,41.313309999999994
29,40,41.2949
29,41,41.23703999999999
29,42,41.152879999999996
28,39,40.71892999999999
28,40,41.313309999999994
28,41,41.255449999999996
28,42,41.21863
27,39,41.36590999999999
27,40,41.35012999999999
27,41,41.323829999999994
27,42,40.82675999999999
26,39,41.42903
26,40,41.39747
26,41,41.34224
26,42,41.30542
25,39,41.38169
25,40,41.37117
25,41,41.34224
25,42,41.34487
24,39,35.238009999999996
24,40,35.20382
24,41,41.368539999999996
24,42,41.37642999999999
23,39,41.415879999999994
23,40,41.415879999999994
23,41,41.38169
23,42,41.39220999999999
22,39,41.40799
22,40,41.40799
22,41,41.400099999999995
22,42,41.38695
21,39,41.426399999999994
21,40,41.405359999999995
21,41,41.40799
21,42,41.384319999999995
20,39,41.410619999999994
20,40,41.431659999999994
20,41,41.421139999999994
20,42,41.40273
19,39,41.43429
19,40,41.43429
19,41,41.426399999999994
19,42,41.41850999999999
18,39,35.19856
18,40,41.44481
18,41,41.42903
18,42,41.426399999999994
17,39,37.71284
17,40,35.34321
17,41,41.415879999999994
17,42,41.43429
16,39,35.30113
16,40,41.45007
16,41,35.28535
16,42,35.16437
15,39,41.45795999999999
15,40,41.42377
15,41,41.43429
15,42,41.42903
14,39,41.41850999999999
14,40,41.43692
14,41,41.43429
14,42,41.45269999999999
13,39,41.43692
13,40,41.42377
13,41,41.410619999999994
13,42,41.47374
12,39,37.31307999999999
12,40,41.476369999999996
12,41,41.45007
12,42,41.46322
11,39,41.41850999999999
11,40,41.44481
11,41,41.43429
11,42,41.479
10,39,41.410619999999994
10,40,41.43692
10,41,41.421139999999994
10,42,35.1933
9,39,37.265739999999994
9,40,41.44481
9,41,35.16437
9,42,41.471109999999996
8,39,41.410619999999994
8,40,35.82187
8,41,41.421139999999994
8,42,41.47374
7,39,33.61004
7,40,41.43429
7,41,41.41850999999999
7,42,41.45269999999999
6,39,38.83322
6,40,36.71343999999999
6,41,41.389579999999995
6,42,41.44743999999999
5,39,35.16963
5,40,35.15648
5,41,41.44481
5,42,41.43955
4,39,35.15911
4,40,41.415879999999994
4,41,41.426399999999994
4,42,41.471109999999996
3,39,39.98253
3,40,37.244699999999995
3,41,36.482
3,42,41.42903
2,39,35.335319999999996
2,40,35.62725
2,41,41.40273
2,42,41.426399999999994
1,39,36.66873
1,40,35.18278
1,41,41.400099999999995
1,42,41.410619999999994
0,39,35.30902
0,40,39.824729999999995
0,41,41.37642999999999
0,42,41.40273
-1,39,41.373799999999996
-1,40,41.38169
-1,41,41.368539999999996
-1,42,41.400099999999995
-2,39,41.358019999999996
-2,40,41.373799999999996
-2,41,41.368539999999996
-2,42,41.37642999999999
-3,39,41.33960999999999
-3,40,41.35538999999999
-3,41,41.3475
-3,42,41.37642999999999
-4,39,41.329089999999994
-4,40,41.35538999999999
-4,41,41.329089999999994
-4,42,41.34224
-5,39,35.09073
-5,40,36.78445
-5,41,41.313309999999994
-5,42,41.33172
-6,39,38.32826
-6,40,35.04602
-6,41,41.2949
-6,42,41.352759999999996
-7,39,35.04865
-7,40,35.464189999999995
-7,41,35.07758
-7,42,35.05128
-8,39,35.161739999999995
-8,40,36.86072
-8,41,35.04602
-8,42,41.30542
-9,39,41.297529999999995
-9,40,35.0355
-9,41,41.271229999999996
-9,42,41.292269999999995
-10,39,35.02498
-10,40,41.260709999999996
-10,41,41.27385999999999
-10,42,41.292269999999995
-11,39,41.2949
-11,40,41.23441
-11,41,41.2686
-11,42,41.292269999999995
-12,39,35.750859999999996
-12,40,35.13281
-12,41,41.271229999999996
-12,42,41.27385999999999
-13,39,41.2423
-13,40,35.216969999999996
-13,41,41.24755999999999
-13,42,41.24493
-14,39,35.07232
-14,40,41.250189999999996
-14,41,41.2686
-14,42,41.271229999999996
-15,39,39.55121
-15,40,28.794510000000002
-15,41,41.25282
-15,42,41.25282
-16,39,35.05654
-16,40,41.22389
-16,41,41.24493
-16,42,41.24755999999999
-17,39,41.25282
-17,40,41.250189999999996
-17,41,41.2423
-17,42,41.24755999999999
-18,39,41.20810999999999
-18,40,41.23703999999999
-18,41,41.221259999999994
-18,42,41.23967
-19,39,41.22915
-19,40,41.2423
-19,41,41.23441
-19,42,41.23703999999999
-20,39,41.26333999999999
-20,40,41.23441
-20,41,41.24755999999999
-20,42,41.23177999999999
-21,39,41.250189999999996
-21,40,35.00131
-21,41,41.221259999999994
-21,42,41.221259999999994
-22,39,38.059999999999995
-22,40,41.20022
-22,41,41.194959999999995
-22,42,41.21337
-23,39,35.05128
-23,40,35.01972
-23,41,41.19233
-23,42,41.21337
-24,39,41.210739999999994
-24,40,41.163399999999996
-24,41,41.194959999999995
-24,42,41.20285
-25,39,41.194959999999995
-25,40,41.194959999999995
-25,41,41.16602999999999
-25,42,41.194959999999995
-26,39,41.19233
-26,40,41.20285
-26,41,41.20810999999999
-26,42,35.20119
-27,39,35.17752
-27,40,29.82284
-27,41,41.20810999999999
-27,42,36.484629999999996
-28,39,41.184439999999995
-28,40,41.20285
-28,41,41.184439999999995
-28,42,41.210739999999994
-29,39,36.8765
-29,40,28.75243
