X,Y,Value
-1,91,3.88578
-2,91,3.92523
-3,91,3.8778900000000003
-4,91,3.88052
-5,91,3.87
-6,91,3.88578
-7,91,3.87
-16,87,4.41967
-15,87,9.91637
-14,87,9.86903
-13,87,3.8910400000000003
-12,87,22.25107
-11,87,22.47725
-11,88,16.039009999999998
-10,87,22.60612
-10,88,22.46673
-10,89,10.01631
-10,90,3.93312
-9,87,22.66398
-9,88,22.61401
-9,89,16.35724
-9,90,3.87
-8,87,22.71395
-8,88,22.62716
-8,89,22.64557
-8,90,22.44569
-7,87,22.73499
-7,88,22.666610000000002
-7,89,22.63242
-7,90,22.41413
-6,87,22.73236
-6,88,22.66924
-6,89,22.65872
-6,90,22.548260000000003
-5,87,22.72973
-5,88,22.69817
-5,89,22.68502
-5,90,22.57193
-4,87,22.71395
-4,88,16.41773
-4,89,22.62453
-4,90,22.548260000000003
-3,87,22.74288
-3,88,22.69817
-3,89,16.438769999999998
-3,90,16.3625
-2,87,16.47296
-2,88,10.13992
-2,89,22.71921
-2,90,22.60612
-1,87,22.806
-1,88,22.75077
-1,89,22.7534
-1,90,17.072599999999998
0,87,22.795479999999998
0,88,22.71658
0,89,22.72184
0,90,22.60612
1,87,22.795479999999998
1,88,22.74551
1,89,22.7008
1,90,10.10573
2,87,22.83493
2,88,22.777070000000002
2,89,22.7271
2,90,3.87
3,87,22.82441
3,88,22.73236
3,89,22.653460000000003
3,90,3.87
4,87,22.85334
4,88,22.777070000000002
4,89,10.15833
5,87,22.85071
5,88,22.69291
5,89,3.87
6,87,22.82704
6,88,16.39932
7,87,22.82704
7,88,3.87
8,87,10.19252
9,87,3.88315
14,83,3.87
13,83,16.60446
13,84,3.87
12,83,22.95854
12,84,16.48348
11,83,22.94013
11,84,22.85071
11,85,10.14518
10,83,22.90594
10,84,22.85071
10,85,22.81126
10,86,3.87
9,83,22.90068
9,84,22.82967
9,85,22.83493
9,86,22.73499
8,83,22.884900000000002
8,84,22.84019
8,85,22.86649
8,86,22.84019
7,83,22.86649
7,84,22.81389
7,85,22.83493
7,86,22.84019
6,83,22.82178
6,84,22.795479999999998
6,85,22.85334
6,86,22.8323
5,83,22.787589999999998
5,84,22.74814
5,85,22.779700000000002
5,86,22.81652
4,83,22.78496
4,84,22.73236
4,85,22.758660000000003
4,86,22.76129
3,83,22.7534
3,84,16.43088
3,85,22.75603
3,86,22.76129
2,83,22.76129
2,84,22.70869
2,85,22.771810000000002
2,86,22.79811
1,83,22.73236
1,84,22.69554
1,85,22.72973
1,86,22.7534
0,83,22.71395
0,84,22.68765
0,85,22.71921
0,86,22.74288
-1,83,21.735590000000002
-1,84,22.63768
-1,85,22.68765
-1,86,22.73236
-2,83,22.70343
-2,84,22.64031
-2,85,22.67976
-2,86,22.70343
-3,83,22.67976
-3,84,22.63768
-3,85,22.69291
-3,86,22.70343
-4,83,22.69554
-4,84,22.62716
-4,85,22.671870000000002
-4,86,22.690279999999998
-5,83,22.666610000000002
-5,84,22.60086
-5,85,22.653460000000003
-5,86,22.64294
-6,83,22.67713
-6,84,22.62453
-6,85,22.64557
-6,86,22.674500000000002
-7,83,22.66135
-7,84,22.63505
-7,85,22.653460000000003
-7,86,22.67976
-8,83,22.666610000000002
-8,84,22.59823
-8,85,22.62453
-8,86,22.61927
-9,83,22.63768
-9,84,22.561410000000002
-9,85,22.585079999999998
-9,86,22.61138
-10,83,22.62453
-10,84,22.52722
-10,85,22.55878
-10,86,22.58771
-11,83,22.60086
-11,84,22.548260000000003
-11,85,22.57719
-11,86,22.52985
-12,83,22.63768
-12,84,22.57456
-12,85,22.57193
-12,86,22.50092
-13,83,22.64031
-13,84,22.585079999999998
-13,85,22.55352
-13,86,22.364160000000002
-14,83,22.63505
-14,84,22.569300000000002
