X,Y,Value
0,91,3.90945
-1,91,3.9173400000000003
-2,91,3.90945
-3,91,3.91471
-4,91,3.91471
-5,91,3.91471
-6,91,3.91208
-16,87,3.91208
-15,87,3.91471
-14,87,3.90945
-14,88,43.31999999999999
-11,87,3.91997
-11,88,3.9173400000000003
-11,89,3.9173400000000003
-10,87,16.21259
-10,88,10.04787
-10,89,9.92689
-10,90,3.93575
-9,87,22.40887
-9,88,10.03735
-9,89,9.97423
-9,90,4.17245
-8,87,22.37994
-8,88,16.30727
-8,89,22.06171
-8,90,9.70597
-7,87,22.37731
-7,88,22.24581
-7,89,22.06434
-7,90,9.85062
-6,87,22.3326
-6,88,16.12317
-6,89,22.02489
-6,90,16.42036
-5,87,22.35627
-5,88,22.26159
-5,89,22.08538
-5,90,21.60146
-4,87,22.34049
-4,88,16.25204
-4,89,22.08275
-4,90,21.55149
-3,87,22.3326
-3,88,22.248440000000002
-3,89,22.06171
-3,90,21.58042
-2,87,22.30104
-2,88,22.20636
-2,89,21.98807
-2,90,21.33846
-1,87,22.28
-1,88,22.172169999999998
-1,89,21.94336
-1,90,21.57516
0,87,22.264219999999998
0,88,22.135350000000003
0,89,21.9118
0,90,15.502489999999998
1,87,22.23003
1,88,22.0959
1,89,21.76978
1,90,9.21942
2,87,22.19058
2,88,22.053819999999998
2,89,21.525190000000002
2,90,3.9226
3,87,22.143240000000002
3,88,21.91443
3,89,21.525190000000002
3,90,3.92523
4,87,22.07223
4,88,21.76715
4,89,9.29832
5,87,21.95914
5,88,21.57253
5,89,3.90945
6,87,21.76715
6,88,4.16719
7,87,21.55412
7,88,3.91208
8,87,3.90945
9,87,3.91208
14,83,3.91208
13,83,9.77172
12,83,21.746109999999998
12,84,3.91471
11,83,21.97755
11,84,21.65669
11,85,3.90945
10,83,22.08012
10,84,21.90391
10,85,21.543599999999998
10,86,3.9226
9,83,22.16428
9,84,22.04067
9,85,21.79608
9,86,15.5735
8,83,22.227400000000003
8,84,22.153760000000002
8,85,21.98544
8,86,21.69088
7,83,22.27474
7,84,22.20636
7,85,22.09327
7,86,21.89865
6,83,22.31682
6,84,22.277369999999998
6,85,22.19321
6,86,22.053819999999998
5,83,22.30893
5,84,22.31156
5,85,22.24581
5,86,22.13272
4,83,22.34049
4,84,22.31945
4,85,22.27211
4,86,22.21951
3,83,22.358900000000002
3,84,22.32471
3,85,22.29052
3,86,22.21688
2,83,22.37205
2,84,22.364160000000002
2,85,22.30893
2,86,22.26685
1,83,22.39046
1,84,22.364160000000002
1,85,22.351010000000002
