X,Y,Value
0,91,3.9041900000000003
-1,91,3.9041900000000003
-2,91,3.87
-3,91,3.87
-4,91,3.87
-5,91,3.9041900000000003
-6,91,3.87
-7,91,3.87
-16,87,3.87
-15,87,3.9041900000000003
-11,87,3.88841
-10,87,22.55878
-10,88,10.0242
-10,89,9.8927
-9,87,22.62716
-9,88,10.06102
-9,89,10.074169999999999
-9,90,3.87
-8,87,22.62453
-8,88,22.561410000000002
-8,89,10.07943
-8,90,3.87
-7,87,22.66924
-7,88,22.61927
-7,89,22.57982
-7,90,16.22048
-6,87,22.68502
-6,88,22.6482
-6,89,22.63768
-6,90,22.42728
-5,87,22.70343
-5,88,16.37565
-5,89,22.62716
-5,90,16.249409999999997
-4,87,16.50715
-4,88,22.66135
-4,89,16.37828
-4,90,16.236259999999998
-3,87,16.4414
-3,88,22.666610000000002
-3,89,22.653460000000003
-3,90,16.228369999999998
-2,87,22.7271
-2,88,16.39406
-2,89,22.6482
-2,90,16.346719999999998
-1,87,22.74025
-1,88,22.66398
-1,89,22.6482
-1,90,16.236259999999998
0,87,22.74551
0,88,22.67976
0,89,22.64557
0,90,16.236259999999998
1,87,22.7271
1,88,22.66135
1,89,22.58771
1,90,16.20207
2,87,22.74814
2,88,22.66924
2,89,16.36776
2,90,13.5484
3,87,22.73499
3,88,10.14255
3,89,22.48514
3,90,3.87
4,87,16.52293
4,88,16.48085
4,89,16.3099
5,87,16.44929
5,88,10.04261
5,89,3.87
6,87,22.690279999999998
6,88,16.241519999999998
7,87,22.66924
7,88,3.87
8,87,15.87595
9,87,3.87
14,83,3.87
13,83,23.12949
12,83,23.24258
12,84,16.71229
11,83,10.23723
11,84,23.03744
11,85,22.961170000000003
10,83,22.982210000000002
10,84,22.9375
10,85,22.869120000000002
10,86,3.87
9,83,22.89016
9,84,16.55449
9,85,16.543969999999998
9,86,22.682389999999998
8,83,16.64391
8,84,22.82967
8,85,22.86123
8,86,22.75077
7,83,22.81652
7,84,22.758660000000003
7,85,22.79811
7,86,22.74814
6,83,10.15307
6,84,22.79022
6,85,22.82967
6,86,22.76918
5,83,16.49663
5,84,22.777070000000002
5,85,22.82178
5,86,16.48085
4,83,16.45981
4,84,22.71921
4,85,22.787589999999998
4,86,22.73762
3,83,22.74288
3,84,22.70606
3,85,22.74814
3,86,16.41773
2,83,22.71921
2,84,22.68765
2,85,22.74551
2,86,22.7008
1,83,16.43088
1,84,22.674500000000002
1,85,22.72973
1,86,22.71658
0,83,22.70606
0,84,22.682389999999998
0,85,16.457179999999997
0,86,16.4151
-1,83,22.71395
-1,84,22.690279999999998
-1,85,16.444029999999998
-1,86,16.4151
-2,83,22.6482
-2,84,22.6482
-2,85,22.70343
-2,86,22.674500000000002
-3,83,16.40984
-3,84,22.62716
-3,85,22.69291
-3,86,22.65609
-4,83,16.40458
-4,84,22.66135
-4,85,16.444029999999998
-4,86,22.67976
-5,83,16.38354
-5,84,16.373019999999997
-5,85,16.41247
-5,86,22.64031
-6,83,22.653460000000003
-6,84,22.6219
-6,85,22.67976
-6,86,16.37828
-7,83,22.63242
-7,84,22.61138
-7,85,16.39669
-7,86,22.6219
-8,83,22.61138
-8,84,16.764889999999998
-8,85,22.62979
-8,86,16.3362
-9,83,22.6219
-9,84,22.56667
-9,85,22.60875
-9,86,22.569300000000002
-10,83,22.60086
-10,84,22.569300000000002
-10,85,22.59297
-10,86,22.55089
-11,83,22.60875
-11,84,16.330940000000002
-11,85,22.57193
-11,86,16.231
-12,83,22.6219
-12,84,22.55352
-12,85,22.46147
-12,86,15.939070000000001
-13,83,22.65609
-13,84,22.57982
-13,85,9.99001
-13,86,3.87
-14,83,22.63242
-14,84,10.04787
-14,85,22.44569
-14,86,3.87
-15,83,22.64031
-15,84,22.58771
-15,85,10.076799999999999
-15,86,9.961079999999999
-16,83,22.585079999999998
-16,84,22.53248
-16,85,16.341459999999998
-16,86,10.005790000000001
-17,83,22.56667
-17,84,22.50355
-17,85,22.45358
-17,86,16.17051
-18,83,16.37565
-18,84,22.43254
-18,85,22.29052
-18,86,9.74542
-19,83,16.32831
-19,84,16.13369
-19,85,9.81117
-20,83,16.228369999999998
-20,84,15.86017
-21,83,16.01797
-25,79,15.95748
-24,79,22.31945
-24,80,3.87
-23,79,16.28097
-23,80,16.19944
-23,81,10.04787
-22,79,22.56404
-22,80,16.26519
-22,81,22.34312
-22,82,15.99167
-21,79,16.35461
-21,80,22.5167
-21,81,22.50618
-21,82,16.17051
-20,79,16.35724
-20,80,22.543
-20,81,16.35724
-20,82,22.45358
-19,79,22.59034
-19,80,10.10573
-19,81,16.38091
-19,82,22.53248
-18,79,16.34935
-18,80,16.32568
-18,81,16.38354
-18,82,16.32831
-17,79,16.549229999999998
-17,80,22.55352
-17,81,22.60086
-17,82,16.323050000000002
-16,79,22.63505
-16,80,22.56667
-16,81,22.61664
-16,82,22.56667
-15,79,22.62453
-15,80,22.58771
-15,81,22.62979
-15,82,16.34935
-14,79,22.59823
-14,80,22.561410000000002
-14,81,22.61138
-14,82,22.58245
-13,79,22.61927
-13,80,22.59297
-13,81,22.64031
-13,82,16.35724
-12,79,22.60086
-12,80,16.30727
-12,81,16.36513
-12,82,22.57719
-11,79,22.62979
-11,80,22.58245
-11,81,22.62716
-11,82,22.59823
-10,79,16.38354
-10,80,16.341459999999998
-10,81,22.6219
-10,82,10.1557
-9,79,22.60349
-9,80,16.333569999999998
-9,81,22.60086
-9,82,22.59034
-8,79,22.64031
-8,80,16.346719999999998
-8,81,22.6482
-8,82,22.61664
-7,79,22.61401
-7,80,16.57553
-7,81,22.63505
-7,82,22.59034
-6,79,22.61138
-6,80,22.585079999999998
-6,81,16.40458
-6,82,22.61138
-5,79,16.38091
-5,80,22.57719
-5,81,22.63768
-5,82,22.61927
-4,79,16.373019999999997
-4,80,22.60086
-4,81,22.6482
-4,82,22.61664
-3,79,22.6219
-3,80,22.60875
-3,81,22.64557
-3,82,22.6219
-2,79,22.63505
-2,80,22.60086
-2,81,22.66924
-2,82,22.62979
-1,79,22.65609
-1,80,22.61927
-1,81,22.66924
-1,82,10.087319999999998
0,79,22.653460000000003
0,80,22.6219
0,81,16.42036
0,82,22.65609
1,79,22.671870000000002
1,80,22.62979
1,81,22.67976
1,82,16.38354
2,79,22.671870000000002
2,80,22.63505
2,81,22.68765
2,82,22.674500000000002
3,79,16.40721
3,80,22.65609
3,81,22.70606
3,82,22.66135
4,79,22.69291
4,80,22.666610000000002
4,81,22.71921
4,82,22.690279999999998
5,79,16.457179999999997
5,80,16.4151
5,81,22.74025
5,82,22.71395
6,79,22.71921
6,80,16.42299
6,81,22.763920000000002
6,82,16.45981
7,79,22.76655
7,80,16.428250000000002
7,81,16.48611
7,82,22.76918
8,79,22.78496
8,80,16.451919999999998
8,81,22.8323
8,82,22.80863
9,79,22.83756
9,80,22.82967
9,81,22.90068
9,82,22.87175
10,79,22.90068
10,80,16.59394
10,81,22.94802
10,82,22.95328
11,79,22.96906
11,80,22.97695
11,81,16.646539999999998
11,82,16.667579999999997
12,79,23.01377
12,80,23.04533
12,81,23.14001
12,82,16.751739999999998
13,79,22.97695
13,80,22.997989999999998
13,81,16.71492
13,82,4.29606
14,79,22.9112
14,80,22.882270000000002
14,81,22.95065
14,82,16.55186
15,79,22.89805
15,80,22.81915
15,81,16.5729
15,82,3.87
16,79,16.562379999999997
16,80,16.46244
16,81,3.87
17,79,16.44929
17,80,3.87
21,75,3.87
20,75,22.779700000000002
20,76,10.12414
19,75,22.869120000000002
19,76,22.81652
19,77,16.465069999999997
18,75,22.91383
18,76,16.543969999999998
18,77,22.83756
18,78,16.4151
17,75,22.90068
17,76,16.5466
17,77,22.91383
17,78,16.58605
16,75,22.87964
16,76,22.87175
16,77,22.92698
16,78,22.86649
15,75,16.543969999999998
15,76,22.84282
15,77,22.91383
15,78,16.57553
14,75,22.87438
14,76,22.863860000000003
14,77,16.58079
14,78,22.89805
13,75,22.87438
13,76,10.287199999999999
13,77,22.95854
13,78,22.94276
12,75,16.533450000000002
12,76,22.84282
12,77,22.93487
12,78,22.94802
11,75,16.50978
11,76,22.82704
11,77,22.9112
11,78,16.5203
10,75,16.47296
10,76,22.777070000000002
10,77,22.85071
10,78,22.83756
9,75,22.76129
9,76,22.72184
9,77,22.787589999999998
9,78,16.48085
8,75,22.71921
8,76,22.68502
8,77,22.758660000000003
8,78,22.73762
7,75,22.690279999999998
7,76,22.67713
7,77,16.438769999999998
7,78,22.71395
6,75,16.58605
6,76,22.62979
6,77,22.70343
6,78,22.682389999999998
5,75,10.121509999999999
5,76,16.38091
5,77,16.4151
5,78,22.66135
4,75,22.64557
4,76,16.35724
4,77,22.674500000000002
4,78,22.64294
3,75,22.64557
3,76,22.61401
3,77,16.40458
3,78,22.6219
2,75,10.45026
2,76,16.346719999999998
2,77,16.41247
2,78,22.6219
1,75,22.64031
1,76,22.60349
1,77,22.653460000000003
