X,Y,Value
-39,93,3.87
-38,93,3.87
-37,93,7.6072299999999995
-36,93,3.87
-36,94,3.87
-35,93,7.90968
-35,94,3.87
-34,93,3.87
-34,94,3.87
-33,93,3.87
-33,94,3.87
-33,95,3.87
-32,93,3.87
-32,94,3.87
-32,95,3.87
-31,93,3.87
-31,94,3.87
-31,95,3.87
-30,93,3.87
-30,94,3.87
-30,95,3.87
-29,93,3.87
-29,94,3.87
-29,95,3.87
-28,93,3.87
-28,94,3.87
-28,95,3.87
-27,93,3.87
-27,94,3.87
-26,93,3.87
-25,93,3.87
-24,93,3.87
-23,93,3.87
-22,93,3.87
-21,93,3.87
-20,93,3.87
-20,94,3.87
-19,93,3.87
-19,94,3.87
-19,95,3.87
-18,93,3.87
-18,94,3.87
-18,95,3.87
-18,96,3.87
-18,97,3.87
-17,93,16.47033
-17,94,3.87
-17,95,3.87
-17,96,3.87
-17,97,3.87
-16,93,22.89542
-16,94,3.87
-16,95,3.87
-16,96,3.87
-16,97,3.87
-16,98,3.87
-15,93,35.669329999999995
-15,95,3.87
-15,96,3.87
-15,97,3.87
-15,98,3.87
-14,93,35.78505
-14,95,10.14255
-14,96,3.87
-14,97,3.87
-14,98,3.87
-13,93,42.16542999999999
-13,94,29.42045
-13,95,3.87
-13,96,3.87
-13,97,3.87
-13,98,3.87
-12,93,42.20224999999999
-12,94,29.446749999999998
-12,95,26.83516
-12,96,3.87
-12,97,3.87
-12,98,3.87
-11,93,42.246959999999994
-11,94,29.46253
-11,95,11.14984
-11,96,3.87
-11,97,3.87
-11,98,3.87
-10,93,42.22855
-10,97,3.87
-10,98,3.87
-9,93,35.91918
-9,94,42.296929999999996
-9,96,16.40458
-9,97,3.9304900000000003
-9,98,3.87
-8,93,35.92706999999999
-8,94,42.19699
-8,95,10.18726
-8,96,3.87
-8,97,3.87
-8,98,3.87
-7,93,42.02867
-7,94,42.05234
-7,95,10.15307
-7,96,3.87
-7,97,3.87
-7,98,3.87
-6,93,22.94013
-6,94,3.87
-6,95,3.87
-6,96,3.87
-6,97,3.87
-6,98,3.87
-5,93,41.94188
-5,94,3.98572
-5,95,3.87
-5,96,4.21979
-5,97,3.87
-5,98,17.21199
-4,93,17.92735
-4,94,10.08206
-4,95,3.87
-4,96,3.87
-4,97,3.87
-4,98,3.87
-3,93,35.637769999999996
-3,94,41.81300999999999
-3,95,3.87
-3,96,4.85888
-3,97,3.87526
-3,98,3.87
-2,93,10.22934
-2,94,10.1557
-2,95,3.87
-2,96,3.87
-2,97,3.87
-2,98,3.87
-1,93,16.70703
-1,94,3.87
-1,95,3.87
-1,96,3.87
-1,97,3.87
-1,98,3.87
0,93,29.096960000000003
0,94,3.87
0,95,3.87
0,96,3.87
0,97,3.87
0,98,3.87
1,93,13.90345
1,94,3.87
1,95,3.87
1,96,3.87
1,97,3.87
1,98,3.87
2,93,3.87
2,94,3.87
2,95,3.87
2,96,3.87
2,97,3.87
2,98,3.87
3,93,19.6237
3,94,13.79036
3,95,3.87
3,96,3.87
3,97,4.4564900000000005
3,98,3.87
4,93,10.03472
4,94,3.91471
4,95,3.87
4,96,3.87
4,97,3.87
4,98,3.87
5,93,3.8963
5,94,3.87
5,95,3.93838
5,96,3.87
5,97,3.87
5,98,3.87
6,93,3.87
6,94,4.95882
6,95,3.87
6,96,3.87
6,97,3.87
6,98,3.87
7,93,4.41441
7,94,40.574279999999995
7,96,3.87
7,97,3.87
7,98,3.87
8,93,3.87
8,94,3.87
8,95,3.87
8,96,3.87
8,97,3.87
9,93,3.87
9,94,4.1856
9,95,3.87
9,96,4.61692
9,97,3.87
10,93,3.87
10,94,3.87
10,95,3.87
10,96,3.87
10,97,3.87
11,93,35.1407
11,94,3.87
