X,Y,Value
-39,93,3.96205
-38,93,3.87
-37,93,10.00053
-36,93,22.364160000000002
-36,94,68.70213
-35,93,3.87
-35,94,68.70739
-34,93,3.87
-34,94,68.70213
-33,93,3.87
-33,94,68.70476000000001
-33,95,3.87
-32,93,3.87
-32,94,68.70476000000001
-32,95,3.87
-31,93,3.87
-31,94,68.70476000000001
-31,95,3.87
-30,93,3.87
-30,94,68.70739
-30,95,3.87
-29,93,3.87
-29,94,68.70739
-29,95,3.87
-28,93,28.941789999999997
-28,94,68.6995
-27,93,22.55089
-27,94,68.70476000000001
-26,93,12.55689
-25,93,28.252730000000003
-24,93,16.09161
-23,93,28.38423
-22,93,35.19067
-22,94,3.87
-21,93,41.168659999999996
-21,94,3.87
-20,93,35.20645
-20,94,16.236259999999998
-20,95,3.87
-19,93,41.59735
-19,94,13.17494
-19,95,3.87
-19,96,3.89893
-18,93,35.38529
-18,94,10.33717
-18,95,3.87
-18,96,3.87
-18,97,3.87
-17,93,41.59735
-17,94,4.8220600000000005
-17,95,3.87
-17,96,3.87
-17,97,3.87
-17,98,3.87
-16,93,35.253789999999995
-16,94,10.913139999999999
-16,95,3.87
-16,96,3.87
-16,97,3.87
-16,98,3.87
-15,93,41.52634
-15,94,30.070059999999998
-15,95,3.87
-15,96,3.87
-15,97,3.87
-15,98,3.87
-14,93,28.95757
-14,94,22.72447
-14,95,3.87
-14,96,3.87
-14,97,3.87
-14,98,3.87
-13,93,35.253789999999995
-13,94,10.08995
-13,95,3.87
-13,96,3.87
-13,97,3.87
-13,98,3.87
-12,93,41.5053
-12,94,35.32217
-12,95,14.784500000000001
-12,96,3.87
-12,97,3.87
-12,98,3.87
-11,93,41.5579
-11,97,3.87
-11,98,3.87
-10,93,35.2985
-10,94,41.5316
-10,95,3.87
-10,96,3.87
-10,97,4.19086
-10,98,12.506920000000001
-9,93,35.36688
-9,94,16.40195
-9,95,16.41773
-9,96,3.87
-9,97,3.87
-9,98,3.87
-8,93,41.578939999999996
-8,94,22.66135
-8,95,3.87
-8,96,4.659
-8,97,3.87
-8,98,5.58213
-7,93,41.54212
-7,94,22.653460000000003
-7,95,3.87
-7,96,3.87
-7,97,3.87
-7,98,14.474160000000001
-6,93,41.53686
-6,94,10.087319999999998
-6,95,10.121509999999999
-6,96,3.87
-6,97,4.0015
-6,98,3.87
-5,93,41.5316
-5,94,28.87867
-5,95,3.90156
-5,96,3.87
-5,97,3.87
-5,98,15.5472
-4,93,41.523709999999994
