X,Y,Value
-10,75,3.9752
-6,75,15.936440000000001
-6,76,9.890070000000001
-6,77,9.48242
-5,75,21.96703
-5,76,21.80397
-5,77,15.46041
-4,75,22.00122
-4,76,21.84868
-4,77,21.45681
-3,75,21.99859
-3,76,21.8592
-3,77,21.46996
-2,75,22.04067
-2,76,21.89339
-2,77,15.66029
-1,75,22.030150000000003
-1,76,21.85394
-1,77,15.5472
0,75,22.00385
0,76,21.7803
0,77,15.294720000000002
1,75,21.956509999999998
1,76,21.66195
1,77,3.95416
2,75,21.89339
2,76,21.512040000000002
2,77,3.96205
3,75,21.75663
3,76,9.755939999999999
4,75,21.45681
4,76,3.95416
5,75,9.677040000000002
10,71,3.9752
9,71,21.63828
9,72,3.95416
8,71,21.94862
8,72,21.5962
7,71,22.066969999999998
7,72,21.93021
7,73,21.50152
7,74,3.9567900000000003
6,71,22.11957
6,72,22.03278
6,73,21.7277
6,74,15.5735
5,71,22.159019999999998
5,72,22.0959
5,73,21.98018
5,74,15.76286
4,71,22.17743
4,72,22.13009
4,73,22.02752
4,74,21.88287
3,71,22.1748
3,72,22.159019999999998
3,73,22.09853
3,74,21.98281
2,71,22.19058
2,72,22.16428
2,73,22.11168
2,74,22.04593
1,71,22.19584
1,72,22.172169999999998
1,73,22.135350000000003
1,74,22.07223
0,71,22.19584
0,72,22.18006
0,73,22.13272
0,74,22.0959
-1,71,22.20636
-1,72,22.17743
-1,73,22.135350000000003
-1,74,22.09853
-2,71,22.20899
-2,72,22.18795
-2,73,22.148500000000002
-2,74,22.10379
-3,71,22.20636
-3,72,22.19058
-3,73,22.153760000000002
-3,74,22.0959
-4,71,22.18795
-4,72,16.131059999999998
-4,73,22.11694
-4,74,22.0696
-5,71,22.14587
-5,72,22.11168
-5,73,22.07223
-5,74,22.02752
-6,71,22.10116
-6,72,22.08012
-6,73,16.01008
-6,74,21.99596
-7,71,22.08012
-7,72,22.051190000000002
-7,73,21.97755
-7,74,21.71192
-8,71,22.09064
-8,72,22.066969999999998
-8,73,9.81643
-9,71,22.0959
-9,72,22.030150000000003
-9,73,9.57184
-10,71,22.066969999999998
-10,72,22.01437
-10,73,15.75497
-10,74,3.9567900000000003
-11,71,22.017
-11,72,21.95914
-11,73,9.919
-11,74,9.80591
-12,71,22.00648
-12,72,21.9118
-12,73,21.7014
-12,74,9.70334
-13,71,22.02226
-13,72,21.840790000000002
-13,73,15.53142
-14,71,21.940730000000002
-14,72,15.681329999999999
-15,71,9.92952
-18,67,15.707630000000002
-17,67,22.01174
-17,68,21.71718
-17,69,15.178999999999998
-16,67,22.3852
-16,68,20.76249
-16,69,9.968969999999999
-16,70,8.73287
-15,67,22.29052
-15,68,22.38257
-15,69,21.35687
-15,70,21.427880000000002
-14,67,22.23529
-14,68,22.21951
-14,69,22.1748
-14,70,22.10379
-13,67,22.18269
-13,68,22.172169999999998
-13,69,22.148500000000002
