X,Y,Value
0,103,17.02
-1,103,17.02
-2,103,17.02
-3,103,17.02
-4,103,17.02
-5,103,17.02
-6,103,17.02
-7,103,17.02
-8,103,17.02
-9,103,17.018421999999997
-10,103,17.023418999999997
-11,103,17.02
-12,103,17.02
-22,99,17.02
-21,99,3.882361
-20,99,3.8742080000000003
-20,100,17.02
-19,99,3.8707890000000003
-19,100,17.016581000000002
-18,99,3.871578
-18,100,17.020789
-14,99,17.02
-14,100,17.02
-14,101,17.019474
-13,99,17.02
-13,100,17.02
-13,101,17.019737
-13,102,17.019211
-12,99,17.02
-12,100,17.020263
-12,101,17.02
-12,102,3.947322
-11,99,17.020526
-11,100,17.021314999999998
-11,101,17.019211
-11,102,17.021841
-10,99,17.018947999999998
-10,100,17.020263
-10,101,17.020526
-10,102,17.02
-9,99,17.019211
-9,100,17.019737
-9,101,17.019737
-9,102,17.018159
-8,99,17.020263
-8,100,17.019737
-8,101,17.02
-8,102,17.02
-7,99,17.020789
-7,100,17.026838
-7,101,17.020263
-7,102,17.020789
-6,99,17.019737
-6,100,17.019474
-6,101,17.02
-6,102,17.019737
-5,99,17.02
-5,100,17.02
-5,101,17.019737
-5,102,17.019211
-4,99,17.02
-4,100,17.02
-4,101,17.02
-4,102,17.02
-3,99,17.02
-3,100,17.02
-3,101,17.02
-3,102,17.02
-2,99,17.019737
-2,100,17.02
-2,101,17.02
-2,102,17.019737
-1,99,17.02
-1,100,17.02
-1,101,17.02
-1,102,17.02
0,99,17.02
0,100,17.02
0,101,17.02
0,102,17.02
1,99,17.02
1,100,17.02
1,101,17.02
1,102,17.02
2,99,17.02
2,100,17.02
2,101,17.02
2,102,17.02
3,99,17.02
3,100,17.02
3,101,17.02
3,102,17.02
4,99,17.02
4,100,17.02
4,101,17.02
4,102,17.019737
5,99,17.02
5,100,17.02
5,101,17.02
6,99,17.02
6,100,17.02
6,101,17.02
7,99,17.02
7,100,17.02
7,101,17.02
8,99,17.02
8,100,17.02
9,99,17.02
9,100,17.02
10,99,17.02
11,99,17.02
17,95,17.02
16,95,17.02
16,96,17.02
15,95,17.02
15,96,17.02
14,95,17.02
14,96,17.02
14,97,17.02
13,95,17.02
13,96,17.02
13,97,17.02
13,98,17.02
12,95,17.02
12,96,17.02
12,97,17.02
12,98,17.02
11,95,17.02
11,96,17.02
11,97,17.02
11,98,17.02
10,95,17.02
10,96,17.020263
10,97,17.02
10,98,17.02
9,95,17.02
9,96,17.02
9,97,17.02
9,98,17.02
8,95,17.02
8,96,17.02
8,97,17.02
8,98,17.02
7,95,17.02
7,96,17.02
7,97,17.02
7,98,17.02
6,95,17.02
6,96,17.02
6,97,17.02
6,98,17.02
5,95,17.02
5,96,17.02
5,97,17.02
5,98,17.02
4,95,17.020263
4,96,17.02
4,97,17.02
4,98,17.02
3,95,17.02
3,96,17.02
3,97,17.02
3,98,17.02
2,95,17.020263
2,96,17.019737
2,97,17.02
2,98,17.02
1,95,17.02
1,96,17.02
1,97,17.02
1,98,17.02
0,95,17.019737
0,96,17.020263
0,97,17.02
0,98,17.02
-1,95,17.020263
-1,96,17.02
-1,97,17.020263
-1,98,17.02
-2,95,17.02
-2,96,17.02
-2,97,17.02
-2,98,17.02
-3,95,17.02
-3,96,17.02
-3,97,17.02
-3,98,17.02
-4,95,17.021314999999998
-4,96,17.019211
-4,97,17.02
-4,98,17.02
-5,96,17.02
-5,97,17.02
-5,98,17.019474
-6,96,17.019211
-6,97,17.02
-6,98,17.02
-7,95,17.019211
-7,96,17.020263
-7,97,17.020526
-7,98,17.02
-8,95,17.019737
-8,96,17.018421999999997
-8,97,17.021578
-8,98,17.020526
-9,95,17.020263
-9,96,17.008691
-9,97,17.02
-9,98,17.020263
-10,95,17.019737
-10,96,17.020789
-10,97,17.02263
-10,98,17.020263
-11,95,4.103807
-11,96,17.018685
-11,97,17.02
-11,98,17.02
-12,95,17.019737
-12,96,17.02
-12,97,4.110645
-12,98,17.02
-13,95,3.96468
-13,96,3.9733590000000003
-13,97,17.02
-13,98,17.019211
-14,95,17.019737
-14,96,17.020526
-14,97,17.019737
-14,98,17.020789
-15,95,3.882361
-15,96,17.021314999999998
-15,97,17.019737
-15,98,17.020263
-16,95,17.02
-16,96,17.020789
-16,97,17.023682
-16,98,17.02
-17,95,17.02
-17,96,17.020789
-17,97,3.876049
-17,98,17.02
-18,95,17.021052
-18,96,3.871052
-18,97,17.020526
-18,98,17.020263
-19,95,17.018421999999997
-19,96,3.871052
-19,97,17.02
-19,98,3.877627
