X,Y,Value
-2,103,17.019474
-3,103,17.020263
-4,103,17.020263
-5,103,17.019737
-6,103,17.018947999999998
-7,103,17.02
-8,103,17.02
-9,103,17.021841
-21,99,17.019474
-20,99,17.020263
-19,99,17.019211
-12,100,4.176395
-12,101,5.012209
-12,102,17.020526
-11,99,3.895248
-11,100,3.8802570000000003
-11,101,3.8970890000000002
-11,102,5.316237
-10,99,3.896037
-10,100,3.892092
-10,101,3.894459
-10,102,3.888936
-9,99,3.8947220000000002
-9,100,3.924178
-9,101,3.896563
-9,102,3.890251
-8,99,3.8957740000000003
-8,100,3.890514
-8,101,3.898404
-8,102,3.886569
-7,99,3.8957740000000003
-7,100,3.8923550000000002
-7,101,3.897615
-7,102,3.891303
-6,99,3.896826
-6,100,3.8963
-6,101,3.900245
-6,102,17.022104
-5,99,17.019211
-5,100,3.8963
-5,101,3.892618
-5,102,3.892092
-4,99,3.896826
-4,100,3.894459
-4,101,3.8970890000000002
-4,102,3.892618
-3,99,3.896563
-3,100,3.894985
-3,101,3.897615
-3,102,3.937854
-2,99,4.183233
-2,100,3.897878
-2,101,3.8994560000000003
-2,102,17.018947999999998
-1,99,3.896037
-1,100,3.895511
-1,101,3.878942
-1,102,3.8910400000000003
0,99,3.896037
0,100,3.895248
0,101,3.900771
0,102,3.891303
1,99,3.897615
1,100,3.882098
1,101,3.8963
1,102,3.8899880000000002
2,99,3.886569
2,100,3.8957740000000003
2,101,3.8970890000000002
2,102,3.8923550000000002
3,99,3.897352
3,100,17.024471
3,101,3.878153
3,102,17.019474
4,99,3.894196
4,100,3.893933
4,101,3.897352
5,99,3.881309
5,100,3.894985
5,101,16.984495
6,99,3.8923550000000002
6,100,3.891303
6,101,17.019474
7,99,3.893933
7,100,3.979671
8,99,3.9041900000000003
8,100,17.019737
9,99,3.875786
10,99,4.598247
17,95,17.02
16,95,3.8910400000000003
15,95,17.021578
15,96,17.019211
14,95,3.88841
14,96,3.882887
14,97,17.020263
13,95,3.894459
13,96,3.8802570000000003
13,97,3.977567
12,95,4.083293
12,96,4.0004480000000004
12,97,6.648858000000001
12,98,4.767093
11,95,3.8923550000000002
11,96,3.9460070000000003
11,97,3.992295
11,98,13.804825000000001
10,95,4.689771
10,97,4.421511
10,98,17.006587
9,95,4.160878
9,97,3.8994560000000003
9,98,3.906294
8,95,3.887884
8,98,3.924967
7,95,3.894459
7,96,3.895511
7,97,3.898404
7,98,3.892092
6,95,3.892092
6,96,3.896826
6,97,3.898667
6,98,3.8934070000000003
5,95,3.897615
5,96,3.896826
5,97,3.899193
5,98,3.89367
4,95,3.894459
4,96,3.8970890000000002
4,97,3.8981410000000003
4,98,3.890777
3,95,3.896563
3,96,3.896826
3,97,3.900771
3,98,17.022367
2,95,3.896826
2,96,17.02
2,97,3.897878
2,98,3.892092
1,95,3.897615
1,96,3.897352
1,97,3.899719
1,98,3.892618
0,95,3.8970890000000002
0,96,3.896563
0,97,3.899193
0,98,3.894459
-1,95,3.896037
-1,96,3.895511
