X,Y,Value
-1,91,3.87
-2,91,3.87
-3,91,3.87
-4,91,3.87
-5,91,3.87
-6,91,3.87526
-16,87,3.87
-15,87,3.87
-9,87,22.20636
-9,88,9.903220000000001
-9,89,3.87
-8,87,22.277369999999998
-8,88,9.94267
-8,89,9.89533
-8,90,3.87
-7,87,22.41676
-7,88,22.33786
-7,89,22.264219999999998
-7,90,3.87
-6,87,22.42202
-6,88,22.35627
-6,89,22.29052
-6,90,9.99001
-5,87,22.345750000000002
-5,88,22.25107
-5,89,22.18269
-5,90,10.03735
-4,87,22.26948
-4,88,22.159019999999998
-4,89,22.04856
-4,90,15.87069
-3,87,22.26159
-3,88,22.13009
-3,89,22.01437
-3,90,10.500229999999998
-2,87,22.20899
-2,88,22.11694
-2,89,21.98807
-2,90,15.77338
-1,87,22.20636
-1,88,22.08538
-1,89,21.94336
-1,90,9.753309999999999
0,87,22.172169999999998
0,88,22.03541
0,89,21.87235
0,90,3.87
1,87,22.13798
1,88,22.00385
1,89,21.81712
1,90,3.87
2,87,16.04164
2,88,15.912769999999998
2,89,21.7014
2,90,3.87
3,87,16.044269999999997
3,88,21.938100000000002
3,89,15.691849999999999
3,90,3.87
4,87,22.09064
4,88,21.87498
4,89,3.87
5,87,22.02226
5,88,21.199070000000003
5,89,3.87
6,87,21.93021
6,88,3.87
7,87,3.87
7,88,3.87
8,87,3.87526
9,87,3.87
14,83,3.87
13,83,15.168479999999999
12,83,21.940730000000002
12,84,9.755939999999999
11,83,15.996929999999999
11,84,21.84342
11,85,3.87
10,83,22.156390000000002
10,84,22.00385
10,85,9.82169
10,86,3.87
9,83,22.18269
9,84,22.10642
9,85,21.96703
9,86,15.77075
8,83,22.27474
8,84,22.15113
8,85,22.08275
8,86,10.16359
7,83,22.264219999999998
7,84,22.16954
7,85,22.10642
7,86,22.00648
6,83,22.29315
6,84,22.20899
6,85,22.172169999999998
6,86,22.08538
5,83,22.28263
5,84,16.19681
5,85,22.153760000000002
5,86,22.14061
4,83,22.32471
4,84,22.23792
4,85,22.172169999999998
4,86,22.16165
3,83,22.30893
3,84,22.21688
3,85,22.20636
3,86,16.06005
2,83,22.29315
2,84,16.13369
2,85,22.18269
2,86,16.06531
1,83,22.25107
1,84,22.248440000000002
1,85,22.227400000000003
1,86,22.2011
0,83,22.3063
