X,Y,Value
7,67,17.02263
6,67,3.87
5,67,17.023418999999997
4,67,3.899719
4,68,17.023156
3,67,3.8731560000000003
3,68,17.023682
2,67,17.022893
2,68,3.8792050000000002
1,67,3.873945
1,68,3.918918
1,69,17.022104
0,67,3.870263
0,68,17.023156
0,69,17.022893
-1,67,3.87
-1,68,3.8792050000000002
-1,69,3.890777
-2,67,3.874471
-2,68,17.022367
-2,69,3.891829
-3,67,3.8707890000000003
-3,68,3.900771
-3,69,3.912343
-4,67,17.022104
-4,68,17.02263
-4,69,3.887621
-5,67,3.8731560000000003
-5,68,3.8742080000000003
-5,69,4.0314820000000005
-6,67,3.8755230000000003
-6,68,17.023682
-6,69,17.02263
-7,67,3.871052
-7,68,17.02263
-7,69,17.020789
-8,67,17.02263
-8,68,17.022367
-8,69,17.021841
-9,67,17.021052
-9,68,17.023418999999997
-9,69,17.021052
-10,67,17.021841
-10,68,3.890251
-10,69,17.023156
-11,67,17.022893
-11,68,17.023156
-12,67,17.021841
-16,67,17.021314999999998
-24,63,17.022367
-23,63,17.021841
-23,64,17.023418999999997
-22,63,17.021314999999998
-22,64,17.022893
-21,63,17.021841
-21,64,17.023682
-21,65,17.022104
-20,63,17.021578
-20,64,17.02263
-20,65,17.023156
-19,63,17.020789
-19,64,17.023682
-19,65,17.02263
-19,66,17.022367
-18,63,17.022104
-18,64,17.024207999999998
-18,65,17.02263
-18,66,17.02263
-17,63,17.021578
-17,64,3.870263
-17,65,17.022104
-17,66,3.929438
-16,63,17.021578
-16,64,17.02263
-16,65,17.022367
-16,66,17.02263
-15,63,17.021052
-15,64,17.022104
-15,65,17.02263
-14,63,17.022104
-14,64,17.02263
-14,65,17.023945
-13,63,17.021841
-13,64,17.022893
-13,65,17.023156
-13,66,17.023156
-12,63,17.027101
-12,64,17.023156
-12,65,17.02263
-12,66,17.022367
-11,63,3.8718410000000003
-11,64,17.023418999999997
-11,65,3.881309
-11,66,3.881309
-10,63,3.874734
-10,64,3.8731560000000003
-10,65,17.011847
-10,66,3.870263
-9,63,3.87263
-9,64,3.872367
-9,65,3.8768380000000002
-9,66,17.022893
-8,63,3.871052
-8,64,3.873419
-8,65,3.883413
-8,66,3.871315
-7,63,3.8755230000000003
-7,64,3.876049
-7,65,3.914184
-7,66,3.871052
-6,63,3.873419
-6,64,3.8707890000000003
-6,65,3.8826240000000003
-6,66,17.021578
-5,63,3.8707890000000003
-5,64,3.871315
-5,65,3.8778900000000003
-5,66,3.873419
-4,63,3.875786
-4,64,3.875786
-4,65,17.022367
-4,66,17.02263
-3,63,3.873682
-3,64,3.8849910000000003
-3,65,17.021841
-3,66,3.870263
-2,63,3.872367
-2,64,3.874471
-2,65,3.882887
-2,66,3.872104
-1,63,3.871052
-1,64,17.023682
-1,65,3.881835
-1,66,17.02263
0,63,3.8718410000000003
0,64,3.870263
0,65,17.022893
0,66,17.022367
1,63,3.87263
1,64,3.87263
1,65,3.881309
1,66,3.871052
2,63,3.87263
2,64,3.874471
2,65,17.022893
2,66,17.022893
3,63,3.9210220000000002
3,64,3.871052
3,65,3.88052
3,66,3.872893
4,63,17.022104
4,64,3.871315
4,65,17.022893
4,66,17.023945
5,63,17.02263
5,64,3.871052
5,65,3.882361
5,66,17.022893
6,63,17.021841
6,64,3.874734
6,65,17.022893
6,66,17.022367
7,63,3.876312
7,64,3.877101
7,65,3.887884
7,66,17.02263
8,63,3.874471
8,64,17.013688000000002
8,65,17.02263
8,66,3.871052
9,63,17.021578
9,64,17.023418999999997
9,65,17.022893
9,66,17.022893
10,63,3.944429
10,64,3.871315
10,65,17.02263
11,63,17.029731
11,64,3.874471
12,63,17.021841
12,64,17.023156
13,63,4.0517330000000005
18,59,17.021841
17,59,17.021578
17,60,17.022893
16,59,17.021314999999998
16,60,17.022893
16,61,17.02263
15,59,17.021578
15,60,17.023418999999997
15,61,17.022104
15,62,17.022367
14,59,3.873682
14,60,17.022367
14,61,17.02263
14,62,17.024734
13,59,17.021314999999998
13,60,3.871578
13,61,17.022104
13,62,17.022367
12,59,17.021314999999998
12,60,3.870263
12,61,3.881835
12,62,17.022893
11,59,17.022367
11,60,17.021314999999998
11,61,3.877101
11,62,17.02263
10,59,17.021052
10,60,17.022893
10,61,3.883676
10,62,3.8707890000000003
9,59,17.022367
9,60,17.024734
9,61,3.886043
9,62,3.8731560000000003
8,59,17.022893
8,60,17.023418999999997
8,61,17.015792
8,62,3.870263
7,59,17.021841
7,60,17.022367
7,61,3.882887
7,62,17.021841
6,59,3.873945
6,60,3.872893
6,61,17.021841
6,62,3.8707890000000003
5,59,3.871578
5,60,3.874471
5,61,17.013161999999998
5,62,3.871052
4,59,3.874471
4,60,3.8718410000000003
4,61,3.895511
4,62,3.8707890000000003
3,59,3.872893
3,60,3.8731560000000003
3,61,4.068565
3,62,3.870263
2,59,3.870526
2,60,17.023156
2,61,17.02263
2,62,3.873419
1,59,3.879468
1,60,3.876049
1,61,3.884202
1,62,3.874997
0,59,3.8765750000000003
0,60,3.8815720000000002
0,61,3.937854
0,62,3.87526
-1,59,3.873945
-1,60,17.02263
-1,61,3.9662580000000003
-1,62,3.870263
-2,59,17.020789
-2,60,3.871578
-2,61,3.8815720000000002
-2,62,3.871052
-3,59,17.021841
-3,60,3.872893
-3,61,3.8826240000000003
-3,62,3.8707890000000003
-4,59,3.871052
-4,60,3.871578
-4,61,3.881309
-4,62,3.871052
-5,59,3.875786
-5,60,3.8768380000000002
-5,61,3.883413
-5,62,3.8755230000000003
-6,59,3.87263
-6,60,3.870526
-6,61,3.883676
-6,62,3.8707890000000003
-7,59,3.89367
-7,60,3.87263
-7,61,3.8849910000000003
-7,62,3.8707890000000003
-8,59,3.871315
-8,60,3.87263
-8,61,3.882361
-8,62,3.8707890000000003
-9,59,3.874997
-9,60,3.8742080000000003
-9,61,3.884465
-9,62,3.873682
-10,59,3.873419
-10,60,3.876049
-10,61,3.887621
-10,62,3.8731560000000003
-11,59,3.872367
-11,60,3.8718410000000003
-11,61,3.880783
-11,62,17.021841
-12,59,3.8731560000000003
-12,60,3.877364
-12,61,17.022367
-12,62,17.022104
-13,59,17.019474
-13,60,17.023156
-13,61,17.023418999999997
-13,62,17.022367
-14,59,3.873945
-14,60,3.874997
-14,61,17.023682
-14,62,17.022367
-15,59,3.877364
-15,60,17.023945
-15,61,17.023156
-15,62,17.022104
-16,59,17.022893
-16,60,17.023418999999997
-16,61,17.022367
-16,62,17.022893
-17,59,3.873419
-17,60,3.884465
-17,61,17.022893
-17,62,17.022104
-18,59,17.021841
-18,60,3.872104
-18,61,17.023156
-18,62,17.023418999999997
-19,59,3.872367
-19,60,17.02263
-19,61,3.882361
-19,62,3.8707890000000003
-20,59,17.021841
-20,60,3.874734
-20,61,3.8863060000000003
-20,62,17.022104
-21,59,17.021578
-21,60,17.023682
-21,61,17.022104
-21,62,17.023418999999997
-22,59,3.8731560000000003
-22,60,3.917077
-22,61,17.022893
-22,62,3.8718410000000003
-23,59,17.019474
-23,60,17.022367
-23,61,17.021578
-23,62,17.021841
-24,59,17.017107
-24,60,4.074088
-24,61,17.022893
-24,62,17.022893
-25,59,17.024471
-25,60,3.875786
-25,61,17.02263
-25,62,17.023156
-26,59,3.8731560000000003
-26,60,17.022893
-26,61,17.022893
-27,59,3.874734
-27,60,17.02263
-27,61,3.87263
-28,59,17.021841
-28,60,17.022367
-29,59,17.02263
-33,55,3.871578
-32,55,17.020789
-32,56,17.023156
-31,55,17.021578
-31,56,17.02263
-31,57,17.023418999999997
-30,55,17.021578
-30,56,17.023156
-30,57,17.022367
-30,58,17.022893
-29,55,3.87263
-29,56,3.872367
-29,57,17.02263
-29,58,17.022104
-28,55,17.021578
-28,56,17.02263
-28,57,17.023156
-28,58,17.022367
-27,55,17.023156
-27,56,17.023156
-27,57,3.8778900000000003
-27,58,17.02263
-26,55,17.022104
-26,56,17.022104
-26,57,3.88315
-26,58,17.022367
-25,55,4.115116
-25,56,17.022367
-25,57,3.883676
-25,58,17.02263
-24,55,17.022104
-24,56,17.024471
-24,57,17.022367
-24,58,3.870263
-23,55,3.87263
-23,56,17.022104
-23,57,3.882361
-23,58,3.8731560000000003
-22,55,3.873419
-22,56,3.873945
-22,57,17.021841
-22,58,17.022367
-21,55,17.021578
-21,56,17.025786
-21,57,17.023682
-21,58,3.871052
-20,55,3.873945
-20,56,3.872893
-20,57,17.02263
