X,Y,Value
9,99,17.02
8,99,17.020263
7,99,17.020789
6,99,17.021314999999998
6,100,17.02
5,99,17.019737
5,100,17.020263
4,99,17.02
4,100,17.02
3,99,17.02
3,100,17.021052
3,101,17.020789
2,99,17.019737
2,100,17.02
2,101,17.018685
1,99,17.02
1,100,17.02
1,101,17.017107
0,99,17.02
0,100,17.020263
0,101,17.02
0,102,17.02
-1,99,17.02
-1,100,17.02
-1,101,17.019737
-1,102,17.020263
-2,99,17.02
-2,100,17.019474
-2,101,17.02
-2,102,17.02
-3,99,17.019737
-3,100,17.02
-3,101,17.02
-3,102,17.02
-4,99,17.02
-4,100,17.02
-4,101,17.02
-4,102,17.019737
-5,99,17.020263
-5,100,17.019211
-5,101,17.02
-5,102,17.02
-6,99,17.020263
-6,100,17.02
-6,101,17.02
-6,102,17.02
-7,99,17.019474
-7,100,17.02
-8,99,17.020263
-8,100,17.02
-8,101,17.02
-8,102,17.019737
-9,99,17.02
-9,100,17.02
-9,101,17.02
-9,102,17.019211
-10,99,17.02
-10,100,17.02
-10,101,17.02
-11,99,17.019474
-11,100,17.02
-11,101,17.019474
-12,99,17.020526
-12,100,17.020789
-12,101,17.020263
-13,99,17.020263
-18,99,17.02
-19,99,17.02
-26,95,17.02
-25,95,17.020526
-24,95,17.01737
-24,96,17.02
-23,95,17.02
-23,96,17.027627
-23,97,17.02
-22,95,17.020263
-22,96,17.01737
-22,97,17.02
-21,95,17.02
-21,96,17.02
-21,97,17.02
-21,98,17.018421999999997
-20,95,17.019474
-20,96,17.020526
-20,97,17.022893
-20,98,17.020263
-19,95,17.021578
-19,96,17.019737
-19,97,17.018947999999998
-19,98,17.02
-18,95,17.017896
-18,96,17.020263
-18,97,17.02
-18,98,17.02
-17,95,17.018685
-17,96,17.019211
-17,97,17.02789
-17,98,17.02
-16,95,17.02
-16,96,17.02
-16,97,17.020526
-16,98,17.02
-15,95,17.02
-15,96,17.020263
-15,97,17.02
-15,98,17.01737
-14,95,17.019737
-14,96,17.019737
-14,97,17.02
-14,98,17.02
-13,95,17.02
-13,96,17.019474
-13,97,17.020526
-13,98,17.020263
-12,95,17.029731
-12,96,17.02
-12,97,17.019737
-12,98,17.02
-11,95,17.02
-11,96,17.020263
-11,97,17.02
-11,98,17.02
-10,95,17.02
-10,96,17.021314999999998
-10,97,17.020263
-10,98,17.02
-9,95,17.02
-9,96,17.020263
-9,97,17.020263
-9,98,17.02
-8,95,17.020789
-8,96,17.02
-8,97,17.020263
-8,98,17.020526
-7,95,17.019737
-7,96,17.02
-7,97,17.022893
-7,98,17.02
-6,95,17.020526
-6,96,17.02
-6,97,17.020263
-6,98,17.02
-5,95,17.018947999999998
-5,96,17.02
-5,97,17.019211
-5,98,17.02
-4,95,17.020263
-4,96,17.02
-4,97,17.02
-4,98,17.02
-3,95,17.02
-3,96,17.019737
-3,97,17.02
-3,98,17.02
-2,95,17.02
-2,96,17.02
-2,97,17.02
-2,98,17.019737
-1,95,17.019474
-1,96,17.020789
-1,97,17.020526
-1,98,17.020263
0,95,17.020789
0,96,17.02
0,97,17.02
0,98,17.019474
1,95,17.02
1,96,17.02
1,97,17.020526
1,98,17.02
2,95,17.02
2,96,17.019737
2,97,17.021052
2,98,17.018421999999997
3,95,17.020789
3,96,17.020263
3,97,17.02
3,98,17.018685
4,95,17.017633
4,96,17.019211
4,97,17.02
4,98,17.016844
5,95,17.020263
5,96,17.022367
5,97,17.02
5,98,17.019474
6,95,17.02
6,96,17.020263
6,97,17.02
6,98,17.02
7,95,17.02
7,96,17.02
7,97,17.02
7,98,17.020263
8,95,17.019474
8,96,17.021314999999998
8,97,17.02
8,98,17.025786
9,95,17.019737
9,96,17.021314999999998
9,97,17.020263
9,98,17.02
10,95,17.02
10,96,17.021314999999998
10,97,17.02
10,98,17.02
11,95,17.018421999999997
11,96,17.019474
11,97,17.02
11,98,17.02
12,95,17.02
12,96,17.020263
12,97,17.020263
13,95,17.019474
13,96,17.019737
14,95,17.020789
14,96,17.02
15,95,17.020263
16,95,17.02
21,91,17.019737
20,91,17.02
20,92,17.02
19,91,17.019737
19,92,17.02
19,93,17.02
18,91,17.020263
18,92,17.020263
18,93,17.02
17,91,17.02
17,92,17.02
17,93,17.02
17,94,17.018947999999998
16,91,17.02
16,92,17.02
16,93,17.019474
16,94,17.02
15,91,17.02
15,92,17.02
15,93,17.020263
15,94,17.019211
14,91,17.02
14,92,17.02
14,93,17.020263
14,94,17.019211
13,91,17.02
13,92,17.02
13,93,17.02
13,94,17.02
12,91,17.02
12,92,17.02
12,93,17.019737
12,94,17.02
11,91,17.02
11,92,17.016581000000002
11,93,17.020263
11,94,17.018421999999997
10,91,17.019474
10,92,17.020526
10,93,17.02
10,94,17.019737
9,91,17.020263
9,92,17.020526
9,93,17.02
9,94,17.019737
