X,Y,Value
8,87,9.674409999999998
7,87,15.704999999999998
7,88,3.87
6,87,9.70334
6,88,9.7349
5,87,15.831240000000001
5,88,11.573269999999999
5,89,3.87
4,87,15.902249999999999
4,88,15.74971
4,89,9.51135
3,87,21.96966
3,88,21.7803
3,89,9.803279999999999
2,87,22.00911
2,88,15.87332
2,89,21.47259
1,87,22.017
1,88,21.88813
1,89,21.55938
1,90,3.87
0,87,16.01797
0,88,15.918030000000002
0,89,15.74971
0,90,3.87
-1,87,22.09064
-1,88,15.95222
-1,89,21.74874
-1,90,3.94101
-2,87,16.03638
-2,88,21.83816
-2,89,21.66195
-2,90,15.184259999999998
-3,87,16.02323
-3,88,15.931180000000001
-3,89,15.626099999999997
-3,90,14.663519999999998
-4,87,16.00745
-4,88,22.043300000000002
-4,89,15.77075
-4,90,21.09124
-5,87,22.13009
-5,88,22.07486
-5,89,21.81712
-5,90,9.70334
-6,87,22.13009
-6,88,22.0696
-6,89,21.84868
-6,90,9.653369999999999
-7,87,9.9453
-7,88,16.002190000000002
-7,89,15.83913
-7,90,20.83087
-8,87,3.87
-8,88,9.87955
-8,89,15.786529999999999
-8,90,3.87
-9,87,16.0995
-9,88,9.88481
-9,89,9.77172
-10,87,15.95748
-10,88,9.8401
-11,87,3.87
-15,87,3.87
-16,87,3.87
-20,83,21.84868
-20,84,3.87
-19,83,22.043300000000002
-19,84,15.85491
-19,85,3.87
-18,83,16.05742
-18,84,21.99596
-18,85,9.8138
-17,83,16.09161
-17,84,22.11168
-17,85,9.84799
-17,86,3.87
-16,83,22.17743
-16,84,9.97686
-16,85,9.84799
-16,86,9.758569999999999
-15,83,3.87
-15,84,3.88315
-15,85,9.866399999999999
-15,86,9.76383
-14,83,16.18892
-14,84,22.25633
-14,85,15.946959999999997
-14,86,9.29569
-13,83,22.28
-13,84,22.25107
-13,85,21.98807
-13,86,9.26939
-12,83,22.29578
-12,84,16.26782
-12,85,16.002190000000002
-12,86,9.62444
-11,83,22.29578
-11,84,16.15736
-11,85,9.919
-11,86,9.83747
-10,83,16.144209999999998
-10,84,16.144209999999998
-10,85,9.95056
-10,86,3.93575
-9,83,22.258960000000002
-9,84,22.26159
-9,85,22.19058
-9,86,16.00745
-8,83,22.31682
-8,84,22.30367
-8,85,16.120540000000002
-8,86,3.87
-7,83,22.28
-7,84,16.14158
-7,85,16.16262
-7,86,22.18269
-6,83,16.18366
-6,84,22.28526
-6,85,22.23529
-6,86,16.11528
-5,83,9.979489999999998
-5,84,22.264219999999998
-5,85,16.18103
-5,86,22.1748
-4,83,22.258960000000002
-4,84,16.29412
-4,85,16.08898
-4,86,16.08635
-3,83,22.25633
-3,84,22.24318
-3,85,16.11528
-3,86,22.11957
-2,83,22.24318
-2,84,16.131059999999998
-2,85,10.10836
-2,86,16.039009999999998
-1,83,22.253700000000002
-1,84,16.1258
-1,85,22.18795
-1,86,22.10379
0,83,10.02946
0,84,16.14684
0,85,10.22671
0,86,9.908479999999999
1,83,10.07943
1,84,22.21425
1,85,22.15113
1,86,16.039009999999998
2,83,22.21688
2,84,10.00316
2,85,9.93741
2,86,16.00482
3,83,16.10739
3,84,16.11265
3,85,22.13009
3,86,22.04856
4,83,22.21951
4,84,16.11791
4,85,22.11694
4,86,16.01797
5,83,16.136319999999998
5,84,9.98475
5,85,20.439
5,86,22.01174
6,83,16.08635
6,84,16.149469999999997
6,85,16.01271
6,86,15.896990000000002
7,83,16.09687
7,84,9.92689
7,85,9.876919999999998
7,86,15.915399999999998
8,83,22.156390000000002
8,84,22.15113
8,85,9.968969999999999
8,86,21.72507
9,83,9.92952
