X,Y,Value
8,87,3.87
7,87,15.726040000000001
6,87,21.75663
6,88,3.88052
5,87,20.2286
5,88,9.80854
4,87,22.02489
4,88,9.84536
4,89,3.87
3,87,16.01271
3,88,21.79608
3,89,9.698080000000001
2,87,16.07846
2,88,22.01437
2,89,15.66818
1,87,3.95942
1,88,15.994299999999999
1,89,21.71455
1,90,3.87
0,87,16.10476
0,88,22.143240000000002
0,89,21.84342
0,90,3.88578
-1,87,22.277369999999998
-1,88,22.240550000000002
-1,89,16.00745
-1,90,13.65623
-2,87,22.26159
-2,88,16.13369
-2,89,22.01437
-2,90,21.730330000000002
-3,87,22.227400000000003
-3,88,22.18532
-3,89,15.95748
-3,90,16.228369999999998
-4,87,22.19847
-4,88,16.12317
-4,89,21.932840000000002
-4,90,15.691849999999999
-5,87,22.18795
-5,88,16.10213
-5,89,21.90654
-5,90,21.57516
-6,87,16.0732
-6,88,16.05742
-6,89,15.907509999999998
-6,90,9.769089999999998
-7,87,4.12774
-7,88,22.143240000000002
-7,89,15.85491
-7,90,4.10933
-8,87,22.13009
-8,88,22.04593
-8,89,21.754
-8,90,3.87263
-9,87,22.10116
-9,88,15.996929999999999
-9,89,9.766459999999999
-10,87,16.28886
-10,88,9.87166
-11,87,9.82169
-12,87,3.87
-13,87,3.87
-14,87,3.87
-15,87,9.64022
-20,83,9.795390000000001
-20,84,3.8778900000000003
-19,83,16.03375
-19,84,9.76383
-18,83,15.97063
-18,84,21.93021
-18,85,3.87
-17,83,16.03375
-17,84,10.11625
-17,85,9.77698
-17,86,3.88578
-16,83,22.172169999999998
-16,84,22.156390000000002
-16,85,9.85325
-16,86,9.83484
-15,83,22.18532
-15,84,22.16428
-15,85,15.98641
-15,86,9.890070000000001
-14,83,16.120540000000002
-14,84,22.23266
-14,85,16.06531
-14,86,9.82432
-13,83,16.13369
-13,84,22.29841
-13,85,16.15736
-13,86,9.890070000000001
-12,83,22.27211
-12,84,22.31945
-12,85,22.19584
-12,86,22.04593
-11,83,22.27211
-11,84,10.13466
-11,85,10.171479999999999
-11,86,10.02157
-10,83,22.29052
-10,84,10.14255
-10,85,22.20899
-10,86,22.23266
-9,83,22.27211
-9,84,22.29841
-9,85,22.1748
-9,86,22.18006
-8,83,16.39406
-8,84,22.29315
-8,85,22.20899
-8,86,22.23792
-7,83,16.28886
-7,84,22.345750000000002
-7,85,22.28263
-7,86,16.15473
-6,83,16.29412
-6,84,16.30201
-6,85,16.149469999999997
-6,86,10.087319999999998
-5,83,16.22311
-5,84,10.195149999999998
-5,85,22.264219999999998
-5,86,22.29315
-4,83,22.32734
-4,84,16.28886
-4,85,22.264219999999998
-4,86,22.28526
-3,83,22.23266
-3,84,22.36679
-3,85,10.04524
-3,86,22.31419
-2,83,22.35364
-2,84,22.36153
-2,85,22.30893
-2,86,16.41773
-1,83,22.36153
-1,84,16.55186
-1,85,16.27571
-1,86,22.34838
0,83,22.35627
0,84,22.40361
0,85,16.18629
0,86,10.50812
1,83,16.50978
1,84,22.351010000000002
1,85,16.11528
1,86,22.29841
2,83,22.31945
2,84,22.35627
2,85,22.258960000000002
2,86,10.08469
3,83,22.29052
3,84,22.32471
3,85,22.25633
3,86,22.22214
4,83,16.18366
4,84,22.29315
4,85,22.19584
4,86,22.19584
5,83,16.51767
5,84,16.31516
5,85,22.16691
5,86,22.143240000000002
6,83,16.14684
6,84,16.21259
6,85,9.93741
6,86,16.05742
7,83,22.24318
7,84,16.11265
7,85,22.051190000000002
7,86,21.7803
8,83,22.25107
8,84,22.23529
8,85,22.030150000000003
8,86,21.69614
9,83,22.20373
9,84,22.11957
9,85,9.92952
9,86,9.95845
10,83,16.08635
10,84,15.94433
10,85,9.75068
10,86,3.87
11,83,22.01174
11,84,21.722440000000002
11,85,3.87
12,83,21.78293
12,84,3.87
13,83,9.7349
17,79,9.71649
16,79,21.93021
16,80,9.8401
15,79,16.2573
15,80,15.918030000000002
15,81,9.692820000000001
14,79,22.26685
14,80,16.11791
14,81,15.918030000000002
14,82,15.804940000000002
13,79,16.12317
13,80,22.253700000000002
13,81,22.08012
13,82,9.995270000000001
12,79,22.31419
12,80,22.32997
12,81,22.1748
12,82,16.09687
11,79,22.3326
11,80,22.34312
11,81,22.240550000000002
11,82,16.22048
10,79,22.345750000000002
10,80,16.24678
10,81,16.11002
10,82,16.217850000000002
9,79,16.51767
9,80,22.369419999999998
9,81,22.28263
9,82,22.31945
8,79,22.35627
8,80,10.03209
8,81,22.29578
8,82,16.20996
7,79,22.364160000000002
7,80,22.40361
7,81,22.30893
7,82,22.351010000000002
6,79,22.374679999999998
6,80,22.37994
6,81,16.35461
6,82,22.37731
5,79,16.20207
5,80,16.478219999999997
5,81,10.18989
5,82,22.38783
4,79,16.59657
4,80,22.39309
4,81,10.39766
4,82,22.36153
3,79,16.144209999999998
3,80,16.225740000000002
3,81,22.32208
3,82,16.48874
2,79,22.38783
2,80,16.83327
2,81,10.23986
2,82,22.39046
1,79,22.42465
1,80,10.36347
1,81,22.38257
1,82,22.42728
0,79,16.21259
0,80,22.42202
0,81,16.18103
0,82,22.42991
-1,79,22.37994
-1,80,22.40887
-1,81,16.3362
-1,82,22.41413
-2,79,22.32471
-2,80,16.30727
-2,81,16.74648
-2,82,22.41939
-3,79,22.374679999999998
-3,80,4.05147
-3,81,16.32831
-3,82,22.40098
-4,79,22.374679999999998
-4,80,16.27308
