X,Y,Value
0,91,3.87
-1,91,3.87
-2,91,3.87
-3,91,3.87
-4,91,3.87
-5,91,3.87
-6,91,3.87
-7,91,3.87
-16,87,3.87
-15,87,3.87
-11,87,4.04358
-10,87,9.903220000000001
-10,88,9.74542
-10,89,3.87
-9,87,22.30367
-9,88,9.858509999999999
-9,89,9.86903
-9,90,3.87
-8,87,22.33786
-8,88,22.23266
-8,89,15.97063
-8,90,3.87
-7,87,16.17314
-7,88,16.08635
-7,89,16.01271
-7,90,21.217480000000002
-6,87,22.33786
-6,88,22.19847
-6,89,22.11168
-6,90,21.37528
-5,87,16.28097
-5,88,22.23266
-5,89,16.025859999999998
-5,90,21.59094
-4,87,22.3326
-4,88,16.12317
-4,89,22.18269
-4,90,21.66458
-3,87,22.32734
-3,88,16.09687
-3,89,22.12483
-3,90,21.66721
-2,87,22.277369999999998
-2,88,16.052159999999997
-2,89,16.00745
-2,90,21.56464
-1,87,22.27474
-1,88,9.91637
-1,89,22.04856
-1,90,21.39632
0,87,22.25107
0,88,16.01797
0,89,9.961079999999999
0,90,21.28586
1,87,22.16954
1,88,15.925919999999998
1,89,15.736559999999997
1,90,3.87
2,87,16.044269999999997
2,88,21.98544
2,89,21.46996
2,90,3.87
3,87,16.0995
3,88,21.68562
3,89,21.112280000000002
3,90,3.87
4,87,15.88384
4,88,21.46996
4,89,9.14841
5,87,21.85657
5,88,21.191180000000003
5,89,3.87
6,87,21.68562
6,88,15.25264
7,87,21.30164
7,88,3.87
8,87,9.56132
9,87,3.87
14,83,3.87
13,83,15.284199999999998
13,84,3.87
12,83,21.333199999999998
12,84,15.171109999999999
11,83,21.83027
11,84,21.37265
11,85,9.56658
10,83,21.98807
10,84,21.69877
10,85,21.2806
10,86,3.87
9,83,22.14587
9,84,21.940730000000002
9,85,15.697109999999999
9,86,20.18126
8,83,22.19058
8,84,22.143240000000002
8,85,22.00911
8,86,21.53834
7,83,22.26948
7,84,22.13798
7,85,22.11168
7,86,20.5968
6,83,22.277369999999998
6,84,16.128429999999998
6,85,22.22214
6,86,22.04067
5,83,22.23792
5,84,22.17743
5,85,22.21688
5,86,16.09424
4,83,22.23792
4,84,22.12483
4,85,22.135350000000003
4,86,22.03541
3,83,22.29841
3,84,22.258960000000002
3,85,22.277369999999998
3,86,22.143240000000002
2,83,22.3063
2,84,22.24581
2,85,22.30104
2,86,22.15113
1,83,22.23792
1,84,22.253700000000002
1,85,22.23529
1,86,22.227400000000003
0,83,22.32734
0,84,22.29315
0,85,22.31945
0,86,22.26948
-1,84,16.128429999999998
-1,85,16.08635
-1,86,22.28
-2,85,22.39835
-2,86,22.27474
-3,83,22.37205
-3,84,22.258960000000002
-3,85,22.40624
-3,86,16.13895
-4,83,22.37205
-4,84,22.3326
-4,85,22.39046
-4,86,16.15473
-5,85,22.40361
-5,86,22.32734
-6,83,22.42465
-6,84,22.39835
-6,85,22.4378
-6,86,22.37731
-7,83,22.41413
-7,84,22.364160000000002
-7,85,22.43517
-7,86,16.17314
-8,83,22.41676
-8,84,22.351010000000002
-8,85,16.359869999999997
-8,86,22.33786
-9,83,22.3852
-9,84,22.34838
-9,85,22.41676
-9,86,16.15473
-10,83,22.39572
-10,84,22.345750000000002
-10,85,22.3852
-10,86,16.039009999999998
-11,83,22.3852
-11,84,22.258960000000002
-11,85,22.0959
-11,86,15.939070000000001
-12,83,22.33523
-12,84,22.08275
-12,85,21.66721
-12,86,3.87
-13,83,22.26159
-13,84,21.961769999999998
-13,85,15.507749999999998
-13,86,3.87
-14,83,16.17314
-14,84,22.09853
-14,85,4.0935500000000005
-15,83,22.37731
-15,84,22.25633
-15,85,9.79013
-15,86,3.87
-16,83,22.358900000000002
-16,84,22.32471
-16,85,9.93741
-16,86,9.798020000000001
-17,83,22.31682
-17,84,22.21162
-17,85,22.07486
-17,86,9.758569999999999
-18,83,22.26948
-18,84,22.08538
-18,85,15.67081
-18,86,3.87
-19,83,22.19321
-19,84,21.68562
-19,85,3.87
-20,83,16.96477
-20,84,3.87
-21,83,9.81643
