X,Y,Value
1,103,3.8934070000000003
0,103,3.93575
-1,103,3.892618
-2,103,3.937328
-3,103,3.881835
-4,103,3.930227
-5,103,3.911554
-6,103,3.872104
-7,103,3.913395
-8,103,3.893933
-9,103,3.9888760000000003
-10,103,8.365196000000001
-11,103,17.023945
-12,103,17.023418999999997
-21,99,17.023682
-20,99,8.091413
-19,99,17.023682
-15,99,17.022893
-14,99,3.878153
-14,100,3.8731560000000003
-14,101,17.021314999999998
-13,99,3.899719
-13,100,6.387962
-13,101,3.89367
-13,102,17.021314999999998
-12,99,3.903138
-12,100,3.8718410000000003
-12,101,3.8731560000000003
-12,102,17.021314999999998
-11,99,3.893144
-11,100,3.871315
-11,101,3.870263
-11,102,3.871052
-10,99,3.893144
-10,100,3.918918
-10,101,3.873419
-10,102,3.8742080000000003
-9,99,3.909713
-9,100,3.881835
-9,101,3.929964
-9,102,3.87
-8,99,3.893144
-8,100,3.870263
-8,101,3.872104
-8,102,3.872893
-7,99,3.933383
-7,100,17.020789
-7,101,3.8718410000000003
-7,102,3.87263
-6,99,17.025786
-6,100,3.870263
-6,101,3.872893
-6,102,3.886832
-5,99,3.928912
-5,100,3.870526
-5,101,3.8778900000000003
-5,102,3.8718410000000003
-4,99,17.023418999999997
-4,100,3.873419
-4,101,3.879468
-4,102,3.870526
-3,99,3.904453
-3,100,3.872367
-3,101,3.874471
-3,102,3.87263
-2,99,17.022367
-2,100,3.874734
-2,101,3.93838
-2,102,3.870263
-1,99,17.022893
-1,100,3.872893
-1,101,3.87
-1,102,3.89893
0,99,3.909976
0,100,3.870526
0,101,3.872893
0,102,3.873945
1,99,3.87526
1,100,3.8839390000000003
1,101,3.8886730000000003
1,102,3.8731560000000003
2,99,3.8718410000000003
2,100,3.88052
2,101,3.8707890000000003
2,102,17.023945
3,99,3.871578
3,100,3.872367
3,101,3.8707890000000003
3,102,17.021578
4,99,3.9197070000000003
4,100,3.871315
4,101,17.022104
4,102,17.020789
5,99,3.939169
5,100,3.874471
5,101,17.022104
6,99,17.023945
6,100,3.872367
6,101,17.021052
7,99,3.916551
7,100,17.021578
8,99,3.9226
8,100,17.02263
9,99,17.023418999999997
10,99,17.024207999999998
15,95,17.023945
14,95,3.885254
14,96,17.021841
13,95,3.9126060000000003
13,96,17.017107
12,95,3.915236
12,96,3.886043
12,97,17.023945
11,95,3.880783
11,96,3.870263
11,97,3.874471
11,98,17.022367
10,95,3.919181
10,96,3.871315
10,97,3.870263
10,98,3.872104
9,95,3.8994560000000003
9,96,3.871578
9,97,3.873945
9,98,3.875786
8,95,3.908398
8,96,3.916814
8,97,3.870263
8,98,3.8718410000000003
7,95,3.921548
7,96,3.874734
7,97,3.8731560000000003
7,98,3.8815720000000002
6,95,3.912869
6,96,3.873945
6,97,3.8731560000000003
6,98,3.871315
5,95,3.894196
5,96,3.871052
5,97,3.877101
5,98,3.8707890000000003
4,95,3.878942
4,96,3.871315
4,97,3.9149730000000003
4,98,3.8768380000000002
3,95,17.024471
3,96,17.021052
3,97,3.910765
3,98,3.872104
2,95,3.930753
2,96,3.8778900000000003
2,97,3.960209
2,98,3.882098
1,95,3.9055050000000002
1,96,3.8718410000000003
1,97,3.872104
1,98,3.870526
0,95,17.025786
0,96,3.871578
0,97,3.872104
0,98,3.870526
-1,95,3.871578
-1,96,3.870263
-1,97,3.8731560000000003
-1,98,3.872367
-2,95,3.9615240000000003
-2,96,3.871578
-2,97,3.87526
-2,98,3.8707890000000003
-3,95,5.034038
-3,96,3.870263
-3,97,3.873945
-3,98,3.870263
-4,95,3.956527
-4,96,3.870263
-4,97,3.8718410000000003
-4,98,3.870526
-5,95,3.870263
-5,96,3.871578
-5,97,3.87263
-5,98,17.02
-6,95,3.87526
-6,96,3.872104
-6,97,3.872104
-6,98,3.871052
-7,95,3.959683
-7,96,4.000185
-7,97,3.879994
-7,98,3.876049
-8,95,3.8768380000000002
-8,96,3.9352240000000003
-8,97,3.875786
-8,98,3.8718410000000003
-9,95,3.904453
-9,96,3.870526
-9,97,3.8707890000000003
-9,98,3.87263
-10,95,3.936802
-10,96,3.8707890000000003
-10,97,3.874471
-10,98,3.870263
-11,95,3.943114
-11,96,3.872367
-11,97,3.872104
-11,98,3.871052
-12,95,3.9078720000000002
-12,96,3.8731560000000003
-12,97,3.899982
-12,98,3.871578
-13,95,3.887095
-13,96,3.873682
-13,97,3.872104
-13,98,3.910765
-14,95,3.874471
-14,96,3.881309
-14,97,3.884465
-14,98,3.872104
-15,95,17.02263
-15,96,3.8755230000000003
-15,97,3.87263
-15,98,3.870263
-16,95,3.872367
-16,96,3.875786
-16,97,3.873682
-16,98,17.021841
-17,95,3.9136580000000003
-17,96,3.873682
-17,97,3.8768380000000002
-17,98,17.021578
-18,95,3.895511
-18,96,3.871578
-18,97,3.880783
-18,98,17.021052
-19,95,3.91471
-19,96,3.870263
-19,97,3.872104
-19,98,9.599981
-20,95,3.8718410000000003
-20,96,3.872893
-20,97,3.8718410000000003
-20,98,3.872893
-21,95,3.910765
-21,96,3.8778900000000003
-21,97,3.872367
-21,98,3.893933
-22,95,3.9315420000000003
-22,96,3.870526
-22,97,3.870526
-22,98,17.020789
-23,95,3.943377
-23,96,3.8910400000000003
-23,97,17.019737
-24,95,17.023156
-24,96,17.021052
-25,95,3.876049
-26,95,17.024207999999998
-30,91,17.024207999999998
-29,91,3.8765750000000003
-29,92,17.021841
-28,91,3.880783
-28,92,15.017781
-28,93,17.020789
-27,91,3.939695
-27,92,3.889462
-27,93,17.02263
-26,91,3.888147
-26,92,3.873419
-26,93,3.878153
-26,94,3.872893
-25,91,3.937065
-25,92,3.873419
-25,93,3.944429
-25,94,3.870526
-24,91,3.933909
-24,92,3.873419
-24,93,3.8731560000000003
-24,94,17.020263
-23,91,3.884202
-23,92,3.871578
-23,93,3.874471
-23,94,3.871578
-22,91,3.9460070000000003
-22,92,3.872367
-22,93,3.877101
-22,94,3.873682
-21,91,3.958368
-21,92,3.870263
-21,93,3.8742080000000003
-21,94,3.870526
-20,91,3.900771
-20,92,3.8718410000000003
-20,93,3.871052
-20,94,3.871052
-19,91,3.8923550000000002
-19,92,3.871315
-19,93,3.8742080000000003
-19,94,3.871578
-18,91,3.9126060000000003
-18,92,3.873419
-18,93,3.876049
-18,94,3.871578
-17,91,3.872104
-17,92,3.877627
-17,93,3.917077
-17,94,3.873682
-16,91,17.029204999999997
-16,92,3.875786
-16,93,3.9686250000000003
-16,94,3.871052
-15,91,3.942588
-15,92,3.873682
-15,93,3.878153
-15,94,3.870526
-14,91,3.9544230000000002
-14,92,3.870263
-14,93,3.8718410000000003
-14,94,3.870263
-13,91,3.88052
-13,92,3.871578
-13,93,3.876049
-13,94,3.8765750000000003
-12,91,3.872367
-12,92,3.872104
-12,93,3.874734
-12,94,3.871578
-11,91,3.872367
-11,92,3.870263
-11,93,3.873419
-11,94,3.872104
-10,91,3.8731560000000003
-10,92,3.871315
-10,93,3.8707890000000003
-10,94,3.871578
-9,91,3.923915
-9,92,3.8718410000000003
-9,93,3.8755230000000003
-9,94,3.873682
-8,91,3.968888
-8,92,3.914184
-8,93,3.878153
-8,94,3.8707890000000003
-7,91,3.87263
-7,92,3.870263
-7,93,3.871315
-7,94,3.870263
-6,91,3.8718410000000003
-6,92,3.875786
-6,93,3.872104
-6,94,3.870263
-5,91,17.020789
-5,92,3.873419
-5,93,3.871052
-5,94,4.055941
-4,91,3.9709920000000003
-4,92,3.8718410000000003
-4,93,3.8778900000000003
-4,94,3.871052
-3,91,3.87263
-3,92,3.870263
-3,93,3.871315
-3,94,3.8718410000000003
-2,91,3.9460070000000003
-2,92,3.871315
-2,93,3.872104
-2,94,3.872893
-1,91,3.9352240000000003
-1,92,3.872367
-1,93,3.873419
-1,94,3.872367
0,91,3.9496890000000002
0,92,3.8742080000000003
0,93,3.876312
0,94,3.87
1,91,3.963628
1,92,3.870526
1,93,17.020263
1,94,3.871052
2,91,3.8849910000000003
2,92,3.872104
2,93,3.882098
2,94,3.872104
3,91,17.023682
3,92,3.878679
3,93,3.88578
3,94,3.877364
4,91,3.881835
4,92,3.88052
4,93,3.884202
4,94,3.9220740000000003
5,91,3.903138
5,92,3.871315
5,93,3.874471
5,94,3.873682
6,91,3.9578420000000003
6,92,3.874471
6,93,3.877627
6,94,3.876049
7,91,3.874471
7,92,3.872893
7,93,3.874997
7,94,3.873682
8,91,4.212426
8,92,3.871052
8,93,3.872893
8,94,3.8718410000000003
9,91,3.872367
9,92,3.8707890000000003
9,93,3.8731560000000003
9,94,3.873419
10,91,3.939432
10,92,3.870526
10,93,3.877101
10,94,3.875786
11,91,4.122217
11,92,3.8963
11,93,3.988613
11,94,3.8707890000000003
12,91,3.931016
12,92,3.870263
12,93,3.8707890000000003
12,94,3.871578
13,91,3.881309
13,92,3.874734
13,93,3.871052
13,94,3.919444
14,91,3.875786
14,92,3.870526
14,93,3.872893
14,94,3.870263
15,91,3.91471
15,92,3.871052
15,93,3.892092
15,94,3.872367
16,91,3.8839390000000003
16,92,3.872104
16,93,3.8707890000000003
16,94,17.021314999999998
17,91,3.8886730000000003
17,92,3.970203
17,93,17.021314999999998
18,91,17.02263
18,92,17.018947999999998
19,91,17.024207999999998
22,87,17.023156
21,87,17.016318
21,88,3.870526
21,89,17.023418999999997
20,87,17.02263
20,88,3.8755230000000003
20,89,3.8755230000000003
20,90,17.020789
19,87,3.922863
19,88,3.923126
19,89,3.9352240000000003
19,90,3.8731560000000003
18,87,3.917077
18,88,3.8707890000000003
18,89,3.870526
18,90,3.872893
17,87,3.93838
17,88,3.871315
17,89,3.871052
17,90,3.8742080000000003
16,87,3.9102390000000002
16,88,3.8778900000000003
16,89,3.879731
16,90,3.870263
15,87,3.881309
15,88,3.870263
15,89,3.872104
15,90,3.870263
14,87,3.890251
14,88,3.8718410000000003
14,89,3.870263
14,90,3.872893
13,87,17.022893
13,88,3.8718410000000003
13,89,3.87263
13,90,3.872893
12,87,3.958368
12,88,3.877364
12,89,3.878679
12,90,3.877627
11,87,3.963102
11,88,3.871052
11,89,4.0099160000000005
11,90,3.870526
10,87,3.927334
10,88,3.8707890000000003
10,89,3.873419
