X,Y,Value
-20,143,3.92786
-19,143,3.92786
-18,143,3.9226
-17,143,3.92786
-17,144,3.91471
-16,143,3.92786
-16,144,3.91471
-15,143,3.92786
-15,144,3.91471
-14,143,3.92786
-14,144,3.91471
-13,143,3.92523
-12,143,3.92786
-11,143,3.92523
-10,143,3.9226
-9,143,3.9226
-2,139,3.91997
-3,139,3.91997
-3,140,3.91208
-4,139,10.31087
-4,140,3.91208
-5,139,23.01903
-5,140,10.302980000000002
-5,141,3.9173400000000003
-6,139,16.6255
-6,140,17.87738
-6,141,3.91471
-7,139,22.96643
-7,140,22.990099999999998
-7,141,10.28457
-7,142,3.91208
-8,139,22.94013
-8,140,22.961170000000003
-8,141,3.92786
-8,142,3.90945
-9,139,22.91383
-9,140,22.9375
-9,141,22.884900000000002
-9,142,3.91208
-10,139,22.87438
-10,140,16.5729
-10,141,22.90594
-10,142,3.91208
-11,139,22.86123
-11,140,16.541339999999998
-11,141,16.549229999999998
-11,142,3.91208
-12,139,22.81126
-12,140,22.782329999999998
-12,141,10.21356
-12,142,3.91208
-13,139,22.76655
-13,140,10.195149999999998
-13,141,4.33551
-13,142,10.113620000000001
-14,139,16.48348
-14,140,16.3888
-14,141,3.91471
-14,142,3.91208
-15,139,16.533450000000002
-15,140,3.91471
-15,141,3.91471
-15,142,3.91208
-16,139,22.78496
-16,140,3.91471
-16,141,3.91208
-16,142,3.90945
-17,139,22.79022
-17,140,16.50189
-17,141,16.48611
-17,142,3.90945
-18,139,22.82967
-18,140,22.84282
-18,141,16.52556
-18,142,3.91208
-19,139,16.97266
-19,140,22.84282
-19,141,22.83756
-19,142,10.21619
-20,139,16.538710000000002
-20,140,16.53082
-20,141,22.81126
-20,142,10.210930000000001
-21,139,22.69817
-21,140,10.16359
-22,139,22.53248
-26,139,4.08829
-26,140,3.91471
-27,139,10.30561
-27,140,3.91471
-28,139,3.9226
-29,139,3.92786
-33,135,10.21356
-32,135,14.94756
-32,136,3.91471
-31,135,16.543969999999998
-31,136,10.34506
-31,137,3.91471
-30,135,22.87438
-30,136,22.86123
-30,137,10.21356
-30,138,3.94101
-29,135,16.56764
-29,136,16.58079
-29,137,16.5729
-29,138,3.99887
-28,135,16.62813
-28,136,22.94013
-28,137,16.61761
-28,138,16.61498
-27,135,22.892789999999998
-27,136,22.95328
-27,137,23.011139999999997
-27,138,16.667579999999997
-26,135,22.94539
-26,136,22.990099999999998
-26,137,23.00851
-26,138,16.70966
-25,135,16.62287
-25,136,16.65706
-25,137,10.24512
-24,135,22.9375
-24,136,22.9638
-24,137,10.20567
-24,138,10.16359
-23,135,22.869120000000002
-23,136,22.887529999999998
-23,137,22.81126
-23,138,16.428250000000002
-22,135,22.777070000000002
-22,136,22.79022
-22,137,22.76918
-22,138,22.66135
-21,135,16.457179999999997
-21,136,22.763920000000002
-21,137,22.779700000000002
-21,138,22.78496
-20,135,22.73762
-20,136,16.47559
-20,137,22.787589999999998
-20,138,22.81126
-19,135,22.758660000000003
-19,136,22.76655
-19,137,22.787589999999998
-19,138,22.81389
-18,135,22.758660000000003
-18,136,22.77444
-18,137,22.787589999999998
-18,138,16.51504
-17,135,22.763920000000002
-17,136,22.76918
-17,137,22.782329999999998
-17,138,22.795479999999998
-16,135,22.73499
-16,136,22.75077
-16,137,22.758660000000003
-16,138,16.48085
-15,135,22.75077
-15,136,16.48874
-15,137,22.787589999999998
-15,138,22.80337
-14,135,22.76918
-14,136,22.787589999999998
-14,137,22.79811
-14,138,22.795479999999998
-13,135,22.763920000000002
-13,136,22.78496
-13,137,16.49137
-13,138,16.48874
-12,135,16.494
-12,136,22.782329999999998
-12,137,22.795479999999998
-12,138,22.80863
-11,135,22.777070000000002
-11,136,22.79285
-11,137,22.80863
-11,138,22.8323
-10,135,22.787589999999998
-10,136,22.80863
-10,137,22.82441
-10,138,22.86123
-9,135,22.80074
-9,136,22.82441
-9,137,22.85334
-9,138,22.87964
-8,135,22.80863
-8,136,22.83493
-8,137,22.869120000000002
-8,138,22.9112
-7,135,22.84019
-7,136,22.869120000000002
-7,137,22.90331
-7,138,22.94013
-6,135,22.8586
-6,136,22.892789999999998
-6,137,22.92961
-6,138,22.9638
-5,135,22.887529999999998
-5,136,22.92172
-5,137,22.95065
-5,138,22.987470000000002
-4,135,22.9112
-4,136,22.94013
-4,137,22.974320000000002
-4,138,23.00325
-3,135,11.326049999999999
-3,136,22.97169
-3,137,23.00588
-3,138,23.02955
-2,135,22.97958
-2,136,23.00851
-2,137,23.03744
-2,138,16.67547
-1,135,16.6518
-1,136,17.3356
-1,137,16.70966
-1,138,3.90945
0,135,23.04796
0,136,23.06111
0,137,3.91471
0,138,3.90945
1,135,23.07426
1,136,3.91471
1,137,3.91471
2,135,3.91997
2,136,3.91208
3,135,3.91997
6,131,3.91997
6,132,3.91208
5,131,23.12949
5,132,3.91471
5,133,3.91208
4,131,23.07426
4,132,23.10582
4,133,10.35032
4,134,3.90945
3,131,23.02692
3,132,23.06111
3,133,23.092670000000002
3,134,3.90945
2,131,22.98484
2,132,23.01903
2,133,23.04533
2,134,23.087410000000002
1,131,22.94539
1,132,22.97958
1,133,23.01377
1,134,23.05848
0,131,22.89805
0,132,22.94013
0,133,22.97169
0,134,23.0164
-1,131,16.5466
-1,132,22.89542
-1,133,18.29029
-1,134,17.06997
-2,131,22.83493
-2,132,22.87175
-2,133,22.90331
-2,134,22.94276
-3,131,22.81652
-3,132,22.84808
-3,133,22.87438
-3,134,22.9112
-4,131,22.78496
-4,132,22.81652
-4,133,22.84282
-4,134,22.87964
-5,131,22.76918
-5,132,22.787589999999998
-5,133,22.81126
-5,134,22.85334
-6,131,22.75077
-6,132,22.77444
-6,133,22.795479999999998
-6,134,22.82967
-7,131,22.73236
-7,132,22.76129
-7,133,22.779700000000002
-7,134,22.81126
-8,131,22.73236
-8,132,22.74814
-8,133,22.76918
-8,134,22.79811
-9,131,22.72184
-9,132,22.73762
-9,133,22.75603
-9,134,22.779700000000002
-10,131,22.71658
-10,132,22.72973
-10,133,22.75077
-10,134,22.77444
-11,131,22.71132
-11,132,22.72973
-11,133,22.74814
-11,134,22.76918
-12,131,22.7008
-12,132,22.71658
-12,133,22.73762
-12,134,22.76129
-13,131,22.7008
-13,132,22.72184
-13,133,22.73236
-13,134,22.76129
-14,131,22.69817
-14,132,22.70869
-14,133,22.7271
-14,134,22.74551
-15,131,22.69291
-15,132,22.70343
-15,133,22.71658
-15,134,22.73499
-16,131,22.71132
-16,132,22.72184
-16,133,22.72973
-16,134,22.73499
-17,131,22.71658
-17,132,22.72184
-17,133,16.46244
-17,134,22.74551
-18,131,22.71132
-18,132,22.72184
-18,133,22.73236
-18,134,22.75077
-19,131,22.69554
-19,132,22.70869
-19,133,22.72447
-19,134,22.74025
-20,131,22.66924
-20,132,22.67713
-20,133,22.7008
-20,134,22.72184
-21,131,22.66398
-21,132,22.66924
-21,133,22.68502
-21,134,22.70606
-22,131,22.70343
-22,132,22.71395
-22,133,22.72973
-22,134,22.75603
-23,131,16.47033
-23,132,22.758660000000003
-23,133,22.79022
-23,134,22.82704
-24,131,22.779700000000002
-24,132,22.80074
-24,133,22.82704
-24,134,22.87175
-25,131,22.795479999999998
-25,132,22.81915
-25,133,16.73859
-25,134,22.91383
-26,131,16.49137
-26,132,10.55809
-26,133,22.84019
-26,134,16.71492
-27,131,22.76129
-27,132,22.77444
-27,133,22.80337
-27,134,16.56501
-28,131,22.763920000000002
-28,132,16.49926
-28,133,16.52293
-28,134,16.55186
-29,131,22.79285
-29,132,16.51767
-29,133,16.772779999999997
-29,134,22.877010000000002
-30,131,22.806
-30,132,22.8323
-30,133,22.84545
-30,134,22.86649
-31,131,22.79811
-31,132,22.806
-31,133,22.82441
-31,134,22.84808
-32,131,22.80863
-32,132,22.8323
-32,133,22.85334
-32,134,22.85334
-33,131,22.82967
-33,132,16.59131
-33,133,22.83756
-33,134,16.51504
-34,131,22.82704
-34,132,22.81126
-34,133,16.48874
-34,134,10.19252
-35,131,22.79811
-35,132,16.465069999999997
-35,133,10.19252
-36,131,16.45455
-36,132,3.91471
-37,131,3.91997
-40,127,3.91997
-39,127,22.71658
-39,128,10.174109999999999
-38,127,22.782329999999998
-38,128,22.73499
-38,129,10.174109999999999
-38,130,3.91471
-37,127,22.78496
-37,128,22.779700000000002
-37,129,22.758660000000003
-37,130,16.428250000000002
-36,127,22.78496
-36,128,22.78496
-36,129,22.787589999999998
-36,130,22.76129
-35,127,22.782329999999998
-35,128,22.787589999999998
-35,129,22.795479999999998
-35,130,22.806
-34,127,22.763920000000002
-34,128,22.77444
-34,129,22.79022
-34,130,22.80863
-33,127,16.58605
-33,128,22.771810000000002
-33,129,22.79022
-33,130,22.81126
-32,127,22.72973
-32,128,22.74551
-32,129,22.76655
-32,130,22.79285
-31,127,22.73762
-31,128,22.75077
-31,129,22.763920000000002
-31,130,22.7271
-30,127,22.73236
-30,128,22.75077
-30,129,22.76918
-30,130,22.795479999999998
-29,127,22.71921
-29,128,22.73762
-29,129,16.79908
-29,130,22.779700000000002
-28,127,22.70606
-28,128,10.35295
-28,129,22.71921
-28,130,16.48085
-27,127,16.47296
-27,128,22.72447
-27,129,16.764889999999998
-27,130,22.75077
-26,127,22.72184
-26,128,22.73499
-26,129,21.44366
-26,130,22.771810000000002
-25,127,22.72447
-25,128,22.72973
-25,129,22.75077
-25,130,22.771810000000002
-24,127,22.7008
-24,128,22.71921
-24,129,22.73236
-24,130,22.7534
-23,127,22.68765
-23,128,22.69817
-23,129,16.478219999999997
-23,130,22.72973
-22,127,22.66135
-22,128,22.671870000000002
-22,129,22.666610000000002
-22,130,22.68765
-21,127,22.63768
-21,128,16.49663
-21,129,22.6482
-21,130,22.6482
-20,127,22.62979
-20,128,22.63242
-20,129,22.63505
-20,130,22.65609
-19,127,22.6482
-19,128,22.66135
-19,129,22.66924
-19,130,22.67976
-18,127,22.666610000000002
-18,128,22.67976
-18,129,22.69291
-18,130,22.70869
-17,127,22.66924
-17,128,22.67713
-17,129,22.690279999999998
-17,130,22.70869
-16,127,22.65872
-16,128,22.66924
-16,129,22.67976
-16,130,16.42299
-15,127,22.65872
-15,128,22.66924
-15,129,22.674500000000002
-15,130,22.690279999999998
-14,127,22.64557
-14,128,22.653460000000003
-14,129,22.66398
-14,130,22.67976
-13,127,22.60349
-13,128,22.65083
-13,129,22.66398
-13,130,22.68502
-12,127,22.64294
-12,128,22.65609
-12,129,22.66924
-12,130,22.690279999999998
-11,127,22.63768
-11,128,22.653460000000003
-11,129,22.66924
-11,130,22.68765
-10,127,22.64557
-10,128,22.65872
-10,129,22.67976
-10,130,22.69554
-9,127,22.6482
-9,128,22.666610000000002
-9,129,22.67713
-9,130,22.70343
-8,127,22.65083
-8,128,10.97363
-8,129,22.68502
-8,130,22.70869
-7,127,22.666610000000002
-7,128,22.67713
-7,129,22.690279999999998
-7,130,22.71921
-6,127,22.66924
-6,128,22.68765
-6,129,22.70606
-6,130,22.73499
-5,127,22.67976
-5,128,22.69291
-5,129,22.71921
-5,130,22.74288
-4,127,22.69291
-4,128,22.71395
-4,129,22.73499
-4,130,22.76655
-3,127,22.71132
-3,128,22.73236
-3,129,22.75603
-3,130,22.782329999999998
-2,127,22.73762
-2,128,16.49926
-2,129,22.782329999999998
-2,130,22.81126
-1,127,22.76129
-1,128,22.777070000000002
-1,129,22.80863
-1,130,22.84282
0,127,22.787589999999998
0,128,16.5992
0,129,22.84282
0,130,22.87175
1,127,22.80863
1,128,22.84019
1,129,22.869120000000002
1,130,22.90594
2,127,22.84545
2,128,22.877010000000002
2,129,16.654429999999998
2,130,22.94802
3,127,22.877010000000002
3,128,22.91383
3,129,22.94802
3,130,22.99273
4,127,22.93224
4,128,22.961170000000003
4,129,23.00325
4,130,23.0427
5,127,22.97169
5,128,23.011139999999997
5,129,23.05059
5,130,23.084780000000002
6,127,23.02166
6,128,23.05585
6,129,23.084780000000002
6,130,16.72018
7,127,23.07426
7,128,23.103189999999998
7,129,16.5466
7,130,3.90945
8,127,23.095299999999998
8,128,10.34506
8,129,3.91471
9,127,3.9226
9,128,3.91471
10,127,3.92523
12,123,3.91997
12,124,3.91471
11,123,16.76752
11,124,10.384509999999999
11,125,3.91471
10,123,23.10845
10,124,23.14001
10,125,23.06374
10,126,3.90945
9,123,23.0427
9,124,17.290889999999997
9,125,23.09793
9,126,16.735960000000002
8,123,22.982210000000002
8,124,23.00851
8,125,23.05322
8,126,23.092670000000002
7,123,22.93487
7,124,22.95854
7,125,22.997989999999998
7,126,23.03744
6,123,22.884900000000002
6,124,16.76226
6,125,22.94802
6,126,22.98484
5,123,22.84282
5,124,22.863860000000003
5,125,22.89542
5,126,22.93487
4,123,22.80074
4,124,22.82967
4,125,22.8586
4,126,22.89542
3,123,22.763920000000002
3,124,22.795479999999998
3,125,22.82178
3,126,22.855970000000003
2,123,22.7271
2,124,22.75603
2,125,22.787589999999998
2,126,22.81652
1,123,22.71658
1,124,22.74025
1,125,22.75603
1,126,22.787589999999998
0,123,22.68765
0,124,22.71132
0,125,22.7271
0,126,22.76129
-1,123,22.66924
-1,124,22.69291
-1,125,22.71132
-1,126,22.72973
-2,123,22.64557
-2,124,22.66135
-2,125,22.682389999999998
-2,126,22.71132
-3,123,22.62979
-3,124,22.653460000000003
-3,125,22.666610000000002
-3,126,22.69817
-4,123,22.62716
-4,124,22.63768
-4,125,22.65083
-4,126,22.67976
-5,123,22.60612
-5,124,22.1748
-5,125,22.64294
-5,126,22.666610000000002
-6,123,22.61401
-6,124,22.61401
-6,125,22.62979
-6,126,22.65083
-7,123,22.60612
-7,124,22.61401
-7,125,22.62453
-7,126,22.6482
-8,123,22.59823
-8,124,22.61138
-8,125,22.62453
-8,126,22.63768
-9,123,22.5956
-9,124,22.60612
-9,125,22.62453
-9,126,22.63768
-10,123,22.5956
-10,124,22.60612
-10,125,22.61664
-10,126,22.63505
-11,123,22.60086
-11,124,22.60875
-11,125,22.61927
-11,126,22.62979
-12,123,22.60086
-12,124,22.60612
-12,125,22.61664
-12,126,22.63242
-13,123,22.60612
-13,124,22.60612
-13,125,22.61664
-13,126,22.62716
-14,123,22.60875
-14,124,22.60875
-14,125,16.37828
-14,126,22.63505
-15,123,22.61664
-15,124,22.6219
-15,125,22.63505
-15,126,22.64557
-16,123,22.62453
-16,124,22.63505
-16,125,22.64557
-16,126,22.65609
-17,123,22.63242
-17,124,22.63505
-17,125,22.64031
-17,126,22.65609
-18,123,22.62716
-18,124,22.63242
-18,125,22.64294
-18,126,22.65609
-19,123,22.61401
-19,124,22.62453
-19,125,22.63242
-19,126,22.64557
-20,123,22.62979
-20,124,22.63242
-20,125,22.63242
-20,126,22.63242
-21,123,22.6219
-21,124,22.62453
-21,125,22.63242
-21,126,22.63768
-22,123,22.63505
-22,124,22.64031
-22,125,22.6482
-22,126,22.65872
-23,123,22.6482
-23,124,22.66135
-23,125,22.66924
-23,126,22.682389999999998
-24,123,22.674500000000002
-24,124,22.682389999999998
-24,125,22.68765
-24,126,22.70343
-25,123,22.67713
-25,124,22.690279999999998
-25,125,22.69554
-25,126,22.71132
-26,123,22.68765
-26,124,22.69291
-26,125,22.70343
-26,126,22.71921
-27,123,22.682389999999998
-27,124,22.682389999999998
-27,125,16.444029999999998
-27,126,22.71132
-28,123,22.671870000000002
-28,124,22.674500000000002
-28,125,22.68502
-28,126,16.42562
-29,123,22.674500000000002
-29,124,22.67713
-29,125,22.690279999999998
-29,126,22.70606
-30,123,16.4151
-30,124,22.68765
-30,125,22.69817
-30,126,22.72447
-31,123,22.66398
-31,124,16.70703
-31,125,22.69817
-31,126,22.72184
-32,123,22.66924
-32,124,22.682389999999998
-32,125,22.69817
-32,126,22.71658
-33,123,22.66398
-33,124,22.68502
-33,125,22.7008
-33,126,22.72447
-34,123,22.682389999999998
-34,124,22.70606
-34,125,22.71395
-34,126,22.74814
-35,123,22.69291
-35,124,22.71921
-35,125,22.73236
-35,126,16.4677
-36,123,22.71658
-36,124,22.73499
-36,125,22.74814
-36,126,22.771810000000002
-37,123,22.73762
-37,124,22.74814
-37,125,22.763920000000002
-37,126,22.771810000000002
-38,123,22.75077
-38,124,22.76129
-38,125,22.77444
-38,126,22.777070000000002
-39,123,22.763920000000002
-39,124,22.771810000000002
-39,125,16.48348
-39,126,22.758660000000003
-40,123,22.77444
-40,124,22.771810000000002
-40,125,22.75077
-40,126,16.43351
-41,123,22.75603
-41,124,22.70869
-41,125,10.16096
-41,126,3.91471
-42,123,16.43088
-42,124,10.16622
-45,119,10.174109999999999
-44,119,22.74025
-44,120,16.428250000000002
-44,121,10.16622
-43,119,22.76129
-43,120,22.7534
-43,121,16.438769999999998
-43,122,10.16359
-42,119,22.7534
-42,120,22.758660000000003
-42,121,16.478219999999997
-42,122,22.74288
-41,119,22.74551
-41,120,22.7534
-41,121,22.76129
-41,122,22.771810000000002
-40,119,22.71395
-40,120,22.73236
-40,121,22.74814
-40,122,22.76129
-39,119,22.68765
-39,120,22.71395
-39,121,22.7271
-39,122,22.7534
-38,119,22.671870000000002
-38,120,22.690279999999998
-38,121,22.70869
-38,122,22.73236
-37,119,16.40984
-37,120,22.671870000000002
-37,121,22.69554
-37,122,22.71658
-36,119,22.63505
-36,120,22.653460000000003
-36,121,22.666610000000002
-36,122,22.69291
-35,119,22.62716
-35,120,22.64031
-35,121,22.65872
-35,122,22.682389999999998
-34,119,16.38617
-34,120,22.62453
-34,121,22.64294
-34,122,22.66135
-33,119,22.61401
-33,120,22.6219
-33,121,22.63768
-33,122,22.653460000000003
-32,119,22.61138
-32,120,22.62453
-32,121,22.63505
-32,122,22.65083
-31,119,22.61664
-31,120,22.62716
-31,121,22.63768
-31,122,16.41773
-30,119,22.6219
-30,120,16.785929999999997
-30,121,22.64294
-30,122,22.66398
-29,119,22.63242
-29,120,16.39669
-29,121,22.64557
-29,122,22.66135
-28,119,22.62979
-28,120,22.64031
-28,121,22.653460000000003
-28,122,22.66135
-27,119,22.64031
-27,120,22.64557
-27,121,22.65872
-27,122,22.674500000000002
-26,119,22.63505
-26,120,22.64294
-26,121,22.653460000000003
-26,122,22.674500000000002
-25,119,22.63505
-25,120,22.6482
-25,121,22.66135
-25,122,22.674500000000002
-24,119,22.6219
-24,120,22.63242
-24,121,22.63768
-24,122,22.65609
-23,119,22.61927
-23,120,22.62453
-23,121,22.63505
-23,122,22.64557
-22,119,22.61138
-22,120,22.61927
-22,121,22.61664
-22,122,22.62979
-21,119,22.60612
-21,120,22.60612
-21,121,22.61138
-21,122,22.61927
-20,119,22.5956
-20,120,22.60086
-20,121,22.60612
-20,122,22.60875
-19,119,22.60875
-19,120,22.61138
-19,121,22.61664
-19,122,22.6219
-18,119,22.59297
-18,120,22.60086
-18,121,22.60875
-18,122,22.61401
-17,119,22.5956
-17,120,22.60086
-17,121,22.61138
-17,122,22.62453
