X,Y,Value
-9,143,3.87
-10,143,3.87
-11,143,3.87
-12,143,3.87
-13,143,3.87
-14,143,10.276679999999999
-15,143,10.276679999999999
-15,144,3.87
-16,143,10.2609
-16,144,3.87
-17,143,10.276679999999999
-18,143,10.26353
-19,143,3.87
-20,143,3.87
-29,139,3.87
-28,139,10.22408
-27,139,10.12414
-27,140,3.87
-26,139,22.62716
-26,140,3.87
-23,139,9.966339999999999
-22,139,22.51933
-21,139,22.80074
-21,140,16.359869999999997
-20,139,23.01377
-20,140,23.00851
-20,141,22.99536
-20,142,10.210930000000001
-19,139,23.02429
-19,140,23.05848
-19,141,23.18735
-19,142,10.276679999999999
-18,139,23.02692
-18,140,23.07689
-18,141,16.751739999999998
-18,142,23.15842
-17,139,23.06111
-17,140,23.087410000000002
-17,141,23.19787
-17,142,23.18209
-16,139,23.06111
-16,140,16.68336
-16,141,23.2268
-16,142,23.19787
-15,139,22.25107
-15,140,23.12686
-15,141,23.24258
-15,142,16.82801
-14,139,23.07689
-14,140,23.13738
-14,141,23.23995
-14,142,23.20576
-13,139,16.69125
-13,140,23.13475
-13,141,23.24521
-13,142,23.21365
-12,139,23.116339999999997
-12,140,23.01377
-12,141,23.26888
-12,142,10.395029999999998
-11,139,23.15053
-11,140,23.21102
-11,141,23.31622
-11,142,10.287199999999999
-10,139,23.16105
-10,140,23.22417
-10,141,23.34778
-10,142,10.289829999999998
-9,139,23.200499999999998
-9,140,23.24784
-9,141,23.36093
-9,142,10.313500000000001
-8,139,23.23995
-8,140,23.20576
-8,141,23.36356
-8,142,3.87
-7,139,23.26625
-7,140,23.318849999999998
-7,141,10.37136
-7,142,3.87
-6,139,16.92006
-6,140,16.851679999999998
-6,141,3.88315
-5,139,23.33726
-5,140,10.30561
-5,141,3.87263
-4,139,23.36619
-4,140,3.87
-3,139,10.31087
-3,140,3.87
-2,139,3.87
3,135,3.87
2,135,10.3661
2,136,3.87
1,135,23.45824
1,136,3.87
1,137,3.87
0,135,16.93058
0,136,23.43194
0,137,3.87
-1,135,23.33463
-1,136,23.36619
-1,137,23.492430000000002
-1,138,3.87
-2,135,16.94373
-2,136,23.29781
-2,137,23.40301
-2,138,16.870089999999998
-3,135,16.864829999999998
-3,136,23.23206
-3,137,23.35567
-3,138,23.32937
-4,135,23.15316
-4,136,23.22154
-4,137,23.35304
-4,138,23.33726
-5,135,16.6781
-5,136,23.13738
-5,137,23.28729
-5,138,23.28466
-6,135,16.58868
-6,136,10.2346
