X,Y,Value
-16,39,17.02
-15,39,17.02
-14,39,17.02
-14,40,17.02
-13,39,17.02
-13,40,17.02
-12,39,17.02
-12,40,17.02
-11,39,17.02
-11,40,17.02
-10,39,17.02
-10,40,17.02
-9,39,17.02
-9,40,17.02
-8,39,17.02
-8,40,17.02
-7,39,3.8910400000000003
-7,40,17.02
-7,41,17.02
-6,39,17.02
-6,40,17.02
-6,41,17.02
-5,39,3.87526
-5,40,3.87526
-5,41,3.88052
-5,42,17.02
-4,39,3.87526
-4,40,3.8778900000000003
-4,41,3.87263
-4,42,17.02
-3,39,3.8778900000000003
-3,40,17.02
-3,41,3.87526
-3,42,17.02
-2,39,17.02
-2,40,3.88315
-2,41,3.87263
-2,42,17.02
-1,39,3.88052
-1,40,3.8778900000000003
-1,41,3.8778900000000003
-1,42,17.02
0,39,3.87526
0,40,3.88052
0,41,3.88315
0,42,17.02
1,39,3.88052
1,40,3.87526
1,41,3.88052
1,42,17.02
2,39,3.88052
2,40,3.87526
2,41,17.02
2,42,17.02
3,39,4.401260000000001
3,40,3.8778900000000003
3,41,3.8778900000000003
4,39,3.87263
4,40,3.87526
4,41,3.87526
5,39,3.88052
5,40,3.87526
5,41,17.02
6,39,3.9304900000000003
6,40,3.88315
6,41,17.02
7,39,3.8778900000000003
7,40,3.87526
7,41,17.02
8,39,3.87526
8,40,3.88052
9,39,3.88315
9,40,17.02
10,39,3.88052
10,40,17.02
11,39,3.87526
12,39,17.02
19,35,3.87526
18,35,17.02
18,36,17.02
17,35,3.88315
17,36,3.87526
16,35,3.8778900000000003
16,36,3.88052
16,37,3.88052
15,35,3.87526
15,36,3.8778900000000003
15,37,17.02
14,35,3.87263
14,36,3.88052
14,37,17.02
14,38,17.02
13,35,3.8778900000000003
13,36,3.88315
13,37,3.87263
13,38,3.88052
12,35,3.87263
12,36,17.02
12,37,3.88052
12,38,17.02
11,35,3.88052
11,36,3.8778900000000003
11,37,3.88052
11,38,3.8778900000000003
10,35,3.8778900000000003
10,36,3.87263
10,37,17.02
10,38,3.8778900000000003
9,35,3.88315
9,36,3.88315
9,37,3.8778900000000003
9,38,3.8778900000000003
8,35,3.8778900000000003
8,36,3.95416
8,37,3.87526
8,38,3.8778900000000003
7,35,3.8778900000000003
7,36,3.88052
7,37,3.87526
7,38,3.8778900000000003
6,35,3.88052
6,36,3.88052
6,37,3.88315
6,38,3.8778900000000003
5,35,3.8778900000000003
5,36,3.8778900000000003
5,37,3.87526
5,38,3.8778900000000003
4,35,3.87526
4,36,3.87263
4,37,3.8778900000000003
4,38,3.8778900000000003
3,35,17.02
3,36,3.87526
3,37,3.87263
3,38,3.96731
2,35,3.88052
2,36,3.88315
2,37,3.87526
2,38,3.8778900000000003
1,35,17.02
1,36,17.02
1,37,3.8778900000000003
1,38,3.8778900000000003
0,35,17.02
0,36,3.88315
0,37,3.88052
0,38,3.8778900000000003
-1,35,3.8963
-1,36,17.02
-1,37,3.87526
-1,38,3.8778900000000003
-2,35,17.02
-2,36,17.02
-2,37,3.8778900000000003
-2,38,3.9226
-3,35,17.02
-3,36,17.02
-3,37,17.02
-3,38,17.02
-4,35,17.02
-4,36,17.02
-4,37,3.88841
-4,38,17.02
-5,35,17.02
-5,36,17.02
-5,37,4.04621
-5,38,17.02
-6,35,17.02
-6,36,17.02
-6,37,17.02
-6,38,4.12248
-7,35,17.02
-7,36,17.02
-7,37,17.02
-7,38,17.02
-8,35,17.02
-8,36,17.02
-8,37,17.02
-8,38,17.02
-9,35,17.02
-9,36,17.02
-9,37,17.02
-9,38,17.02
-10,35,17.02
-10,36,17.02
-10,37,17.02
-10,38,17.02
-11,35,17.02
-11,36,17.02
-11,37,17.02
-11,38,17.02
-12,35,17.02
-12,36,17.02
-12,37,17.02
-12,38,17.02
-13,35,17.02
-13,36,17.02
-13,37,17.02
-13,38,17.02
-14,35,17.02
-14,36,17.02
-14,37,17.02
-14,38,17.02
-15,35,17.02
-15,36,17.02
-15,37,17.02
-15,38,17.02
-16,35,17.02
-16,36,17.02
-16,37,17.02
-16,38,17.02
-17,35,17.02
-17,36,17.02
-17,37,17.02
-17,38,17.02
-18,35,17.02
-18,36,17.02
-18,37,17.02
-18,38,17.02
-19,35,17.02
-19,36,17.02
-19,37,17.02
