X,Y,Value
-1,103,17.02
-2,103,17.02
-3,103,17.02
-4,103,17.02
-5,103,17.020263
-6,103,17.02
-7,103,17.02
-8,103,17.02
-9,103,17.02
-21,99,17.02
-20,99,3.883676
-19,99,17.020526
-19,100,17.02
-18,99,17.02
-15,99,17.02
-14,99,17.02
-13,99,3.874997
-13,100,3.8778900000000003
-12,99,3.879468
-12,100,3.877627
-12,101,3.877627
-12,102,17.02
-11,99,3.87263
-11,100,3.876312
-11,101,17.02
-11,102,17.02
-10,99,3.878153
-10,100,3.872893
-10,101,4.114853
-10,102,3.884202
-9,99,3.879731
-9,100,3.8755230000000003
-9,101,17.020263
-9,102,17.020526
-8,99,3.906031
-8,100,3.877101
-8,101,3.87263
-8,102,3.870526
-7,99,3.898404
-7,100,3.911554
-7,101,17.020263
-7,102,3.871315
-6,99,3.918655
-6,100,3.8778900000000003
-6,101,3.890251
-6,102,3.9375910000000003
-5,99,3.879731
-5,100,3.877627
-5,101,17.021052
-5,102,8.271042
-4,99,3.8792050000000002
-4,100,3.991769
-4,101,3.8849910000000003
-4,102,3.9841420000000003
-3,99,3.992032
-3,100,3.87526
-3,101,3.876049
-3,102,3.889462
-2,99,3.879468
-2,100,3.896563
-2,101,3.997555
-2,102,17.020789
-1,99,3.878416
-1,100,3.871578
-1,101,3.915762
-1,102,3.872893
0,99,3.8765750000000003
0,100,3.878416
0,101,17.018685
0,102,3.8755230000000003
1,99,3.878153
1,100,4.042265
1,101,3.928912
1,102,3.944955
2,99,3.874734
2,100,3.87526
2,101,4.0206990000000005
2,102,17.02
3,99,3.873419
3,100,3.877627
3,101,3.8765750000000003
3,102,17.019737
4,99,3.878416
4,100,3.873419
4,101,3.8755230000000003
5,99,3.8731560000000003
5,100,3.871315
5,101,17.020526
6,99,17.02
6,100,17.019737
6,101,17.02
7,99,3.874997
7,100,17.018947999999998
8,99,3.874471
8,100,17.02
9,99,17.019737
10,99,17.02
17,95,17.02
16,95,17.02
15,95,3.873682
15,96,17.02
14,95,3.871578
14,96,3.8718410000000003
14,97,17.02
13,95,3.878153
13,96,3.870263
13,97,17.019737
12,95,17.02
12,96,3.876049
12,97,17.02
12,98,17.02
11,95,3.878416
11,96,17.018421999999997
11,97,17.016054999999998
11,98,17.019737
10,95,3.8802570000000003
10,96,4.39863
10,97,3.877364
10,98,17.019737
9,95,3.881309
9,96,4.093024
9,97,17.019737
9,98,3.877627
8,95,3.876312
8,96,3.8707890000000003
8,97,3.878153
8,98,3.872893
7,95,3.920496
7,96,3.886569
7,97,3.88052
7,98,17.018947999999998
6,95,3.879468
6,96,3.8707890000000003
6,97,3.9291750000000003
6,98,3.878153
5,95,3.879468
5,96,3.87526
5,97,3.878942
5,98,3.874471
4,95,3.8742080000000003
4,96,3.877101
4,97,3.8755230000000003
4,98,17.021314999999998
3,95,3.8792050000000002
3,96,3.8765750000000003
3,97,4.053574
3,98,17.02
2,95,3.879468
2,96,3.872893
2,97,3.878153
2,98,17.02
1,95,3.8849910000000003
1,96,3.8765750000000003
1,97,3.915236
1,98,3.8765750000000003
0,95,3.878679
0,96,3.874997
0,97,3.899193
0,98,3.947585
-1,95,3.8778900000000003
-1,96,3.877101
-1,97,3.8778900000000003
-1,98,4.172187
-2,95,3.878416
-2,96,3.87263
-2,97,3.879468
-2,98,3.878942
-3,95,3.872104
-3,96,4.731325
-3,97,3.90945
-3,98,3.879731
-4,95,3.878942
-4,96,3.87526
-4,97,3.881046
-4,98,4.185863
-5,95,3.8899880000000002
-5,96,3.8768380000000002
-5,97,3.8792050000000002
-5,98,3.873945
-6,95,3.8792050000000002
-6,96,3.876049
-6,97,3.88052
-6,98,3.899982
-7,95,3.878679
-7,96,3.871315
-7,97,3.918918
-7,98,17.020263
-8,95,3.878153
-8,96,3.8768380000000002
-8,97,3.880783
-8,98,3.878679
-9,95,3.879994
-9,96,3.874997
-9,97,3.8731560000000003
-9,98,3.876312
-10,95,17.020263
-10,96,3.877364
-10,97,5.03509
-10,98,3.872367
-11,95,3.879468
-11,96,3.877101
-11,97,3.879994
-11,98,3.878416
-12,95,3.878679
-12,96,3.877101
-12,97,3.8802570000000003
-12,98,3.940747
-13,95,3.878416
-13,96,4.016228
-13,97,3.873945
-13,98,3.873945
-14,95,3.8792050000000002
-14,96,3.877101
-14,97,3.8765750000000003
-14,98,17.02
-15,95,3.879468
-15,96,4.593513
-15,97,3.8778900000000003
-15,98,3.877627
-16,95,3.879468
-16,96,3.928386
-16,97,3.9226
-16,98,17.019737
-17,95,3.878153
-17,96,3.8731560000000003
-17,97,3.879731
-17,98,17.02
-18,95,3.8802570000000003
-18,96,3.8765750000000003
-18,97,3.881046
-18,98,3.874734
-19,95,3.874471
-19,96,3.8742080000000003
-19,97,4.584045
-19,98,3.879731
-20,95,17.02
-20,96,3.8768380000000002
-20,97,3.9399580000000003
-20,98,3.8718410000000003
-21,95,3.933646
-21,96,3.876049
-21,97,4.081715
-21,98,3.87263
-22,95,3.879468
-22,96,3.8768380000000002
-22,97,3.879994
-22,98,4.670835
-23,95,3.878153
-23,96,3.874734
-23,97,3.879468
-23,98,17.02
-24,95,3.879994
-24,96,3.875786
-24,97,3.871578
-25,95,4.412306
-25,96,3.872104
-26,95,3.870526
-26,96,17.02
-27,95,17.019737
-32,91,17.02
-31,91,3.884465
-31,92,17.02
-30,91,3.877364
-30,92,3.874471
-30,93,17.02
-29,91,3.8755230000000003
-29,92,3.927334
-29,93,3.876312
-29,94,17.02
-28,91,3.879468
-28,92,3.921811
-28,93,5.010631
-28,94,17.02
-27,91,17.020263
-27,92,3.875786
-27,93,3.8768380000000002
-27,94,3.873945
-26,91,3.8778900000000003
-26,92,3.886832
-26,93,4.126951
-26,94,3.8768380000000002
-25,91,3.8765750000000003
-25,92,3.877101
-25,93,17.020526
-25,94,3.877364
-24,91,3.878942
-24,92,4.039898
-24,93,3.879994
-24,94,3.878942
-23,91,3.8802570000000003
-23,92,3.875786
-23,93,3.881046
-23,94,3.879468
-22,91,3.8768380000000002
-22,92,3.87526
-22,93,3.909713
-22,94,3.8778900000000003
-21,91,17.02
-21,92,3.8778900000000003
-21,93,3.871578
-21,94,4.24609
-20,91,3.8792050000000002
-20,92,4.330513
-20,93,3.879731
-20,94,3.872893
-19,91,4.446759
-19,92,3.877364
-19,93,3.882098
-19,94,5.471933
-18,91,3.8792050000000002
-18,92,3.91997
-18,93,3.878679
-18,94,3.87263
-17,91,3.878679
-17,92,3.877627
-17,93,3.878153
-17,94,4.120376
-16,91,17.019474
-16,92,3.8768380000000002
-16,93,3.957053
-16,94,3.877101
-15,91,4.613238
-15,92,3.877101
-15,93,3.8802570000000003
-15,94,3.877364
-14,91,3.878679
-14,92,3.8778900000000003
-14,93,3.881835
-14,94,4.16982
-13,91,3.872893
-13,92,3.877101
-13,93,3.932068
-13,94,3.880783
-12,91,3.877627
-12,92,3.875786
-12,93,3.8792050000000002
-12,94,3.8778900000000003
-11,91,3.8792050000000002
-11,92,3.87526
-11,93,3.8802570000000003
-11,94,4.108541
-10,91,3.879731
-10,92,3.8778900000000003
-10,93,3.879468
-10,94,3.874997
-9,91,3.879731
-9,92,3.877364
-9,93,3.870263
-9,94,3.876049
-8,91,4.561953
-8,92,3.876312
-8,93,3.884728
-8,94,17.02
-7,91,3.873682
-7,92,3.875786
-7,93,3.879731
-7,94,3.877627
-6,91,3.878679
-6,92,3.8731560000000003
-6,93,3.879994
-6,94,3.8718410000000003
-5,91,4.393896
-5,92,3.878153
-5,93,3.879468
-5,94,3.879994
-4,91,3.879468
-4,92,3.881835
-4,93,3.878942
-4,94,3.877627
-3,91,3.8792050000000002
-3,92,3.8765750000000003
-3,93,3.877101
-3,94,3.8778900000000003
-2,91,3.9389060000000002
-2,92,3.877364
-2,93,5.031934
-2,94,3.8765750000000003
-1,91,3.870526
-1,92,3.877627
-1,93,17.02
-1,94,3.8778900000000003
0,91,3.871315
0,92,3.874997
0,93,3.877627
0,94,3.877627
1,91,3.898667
1,92,3.8765750000000003
1,93,3.879994
1,94,17.022104
2,91,4.455964
2,92,17.019211
2,93,3.880783
2,94,3.878416
3,91,3.879731
3,92,3.877101
3,93,3.8802570000000003
3,94,3.8792050000000002
4,91,3.879731
4,92,3.874997
4,93,17.021314999999998
4,94,3.878153
5,91,3.879731
5,92,3.877364
5,93,3.879731
5,94,17.019211
6,91,3.879731
6,92,3.926019
6,93,3.879731
6,94,3.879731
7,91,3.8792050000000002
7,92,3.876049
7,93,3.9065570000000003
7,94,17.019474
8,91,17.029731
8,92,3.8765750000000003
8,93,3.8792050000000002
8,94,3.877364
9,91,3.876312
9,92,3.8778900000000003
9,93,3.876312
9,94,3.974937
10,91,3.8802570000000003
10,92,8.271305
10,93,3.8802570000000003
10,94,3.8802570000000003
11,91,3.8768380000000002
11,92,17.02
11,93,3.877101
11,94,3.878942
12,91,3.908398
12,92,3.877101
12,93,4.407046
12,94,3.942851
13,91,17.02
13,92,3.876312
13,93,3.879468
13,94,3.8768380000000002
14,91,3.877627
14,92,3.877627
14,93,3.878942
14,94,3.8768380000000002
15,91,3.8792050000000002
15,92,3.8755230000000003
15,93,3.949163
15,94,3.8765750000000003
16,91,3.879731
16,92,3.877364
16,93,3.878942
16,94,3.87526
17,91,3.88052
17,92,3.8765750000000003
17,93,3.878942
17,94,3.8742080000000003
18,91,3.878679
18,92,3.8765750000000003
18,93,3.879731
18,94,17.02
19,91,3.878942
19,92,3.8910400000000003
19,93,4.573788
20,91,3.8765750000000003
20,92,17.02
21,91,17.02
25,87,17.019737
24,87,17.003694
24,88,17.019737
23,87,3.87263
23,88,3.8707890000000003
23,89,17.018685
22,87,3.878942
22,88,3.887095
22,89,3.879468
22,90,17.018947999999998
21,87,3.879994
21,88,3.872893
21,89,3.877364
21,90,3.875786
20,87,3.8802570000000003
20,88,3.876312
20,89,17.020263
20,90,17.020789
19,87,17.02
19,88,3.87526
19,89,3.879994
19,90,3.8768380000000002
18,87,3.879468
18,88,3.8765750000000003
18,89,3.876312
18,90,3.878416
17,87,3.8802570000000003
17,88,3.877364
17,89,3.878942
17,90,3.87263
16,87,3.8802570000000003
16,88,3.8768380000000002
16,89,3.938117
16,90,3.8778900000000003
15,87,3.945481
15,88,3.8765750000000003
15,89,3.879468
15,90,3.870526
14,87,3.8802570000000003
14,88,4.455964
14,89,3.877101
14,90,3.877364
13,87,3.8731560000000003
13,88,17.019737
13,89,5.04561
13,90,3.878942
12,87,3.878942
12,88,17.012636
12,89,3.878416
12,90,3.877364
11,87,3.879468
11,88,3.877101
11,89,3.904453
11,90,3.8792050000000002
10,87,3.878679
10,88,3.877101
10,89,3.881046
10,90,3.8792050000000002
9,87,3.87526
9,88,17.020263
9,89,3.879994
9,90,3.877627
8,87,3.88052
8,88,4.31184
8,89,3.879731
8,90,3.888936
7,87,3.8792050000000002
7,88,3.8778900000000003
7,89,3.9783560000000002
7,90,3.87526
6,87,3.879994
6,88,3.932331
6,89,3.8768380000000002
6,90,3.874734
5,87,3.878942
5,88,3.873682
5,89,17.02263
5,90,3.875786
4,87,17.019737
4,88,3.910502
4,89,3.8792050000000002
4,90,3.877364
3,87,3.878679
3,88,3.8765750000000003
3,89,3.87263
3,90,5.845393
2,87,3.878679
