X,Y,Value
54,327,17.022104
53,327,17.021841
52,327,3.877627
52,328,17.023682
51,327,3.882887
51,328,17.023945
50,327,3.880783
50,328,17.023682
49,327,3.88315
49,328,3.87263
48,327,3.876049
48,328,3.8755230000000003
48,329,17.024734
47,327,3.879994
47,328,3.9226
47,329,3.8923550000000002
46,327,3.885517
46,328,3.88841
46,329,17.022367
45,327,3.8947220000000002
45,328,3.87526
45,329,3.886569
44,327,3.88578
44,328,3.898667
44,329,3.896563
44,330,17.018421999999997
43,327,3.888147
43,328,3.894196
43,329,3.902086
43,330,17.016054999999998
42,327,3.8863060000000003
42,328,3.886569
42,329,3.899982
42,330,17.017896
41,327,3.893933
41,328,3.889199
41,329,17.023156
40,327,3.884202
40,328,3.889199
40,329,3.888147
39,327,3.891303
39,328,3.890251
39,329,17.023156
38,327,3.912343
38,328,3.891566
38,329,17.023418999999997
37,327,3.8873580000000003
37,328,3.9089240000000003
37,329,17.023418999999997
36,327,3.9752
36,328,17.024997
35,327,17.022367
24,323,17.02263
25,323,17.024207999999998
26,323,3.9041900000000003
26,324,17.021841
27,323,3.900771
27,324,3.89893
27,325,17.022367
28,323,3.882361
28,324,3.940221
28,325,17.023682
29,323,3.920233
29,324,4.139838
29,325,17.023156
30,323,4.033586
30,324,17.024734
31,323,17.022367
31,324,17.023945
32,323,4.121428
32,324,17.024734
33,323,4.084345
33,324,5.935865
34,323,3.915499
34,324,4.3478710000000005
34,325,17.023682
35,323,3.911817
35,324,3.923915
35,325,3.95153
35,326,7.427338000000001
36,323,3.884728
36,324,3.8886730000000003
36,325,3.924967
36,326,3.922337
37,323,3.882887
37,324,3.877101
37,325,3.886043
37,326,3.956527
38,323,3.883676
38,324,3.902349
38,325,3.920496
38,326,3.9365390000000002
39,323,3.881046
39,324,3.8897250000000003
39,325,3.965995
39,326,3.877627
40,323,3.879731
40,324,17.023945
40,325,3.88578
40,326,3.872367
41,323,3.8897250000000003
41,324,3.899193
41,325,3.8910400000000003
41,326,3.877364
42,323,3.879994
42,324,3.886043
42,325,3.933909
42,326,3.873682
43,323,3.880783
43,324,3.88315
43,325,3.96205
43,326,3.878679
44,323,3.8863060000000003
44,324,3.878679
44,325,3.87263
44,326,3.8792050000000002
45,323,3.872893
45,324,3.8755230000000003
45,325,3.872893
45,326,3.881046
46,323,3.90682
46,324,3.876049
46,325,3.871315
46,326,3.910502
47,323,3.8839390000000003
47,324,3.8765750000000003
47,325,3.8849910000000003
47,326,3.87526
48,323,3.9052420000000003
48,324,3.906294
48,325,3.915762
48,326,3.876049
49,323,3.8742080000000003
49,324,3.8731560000000003
49,325,3.871578
49,326,3.870526
50,323,3.8731560000000003
50,324,3.876049
50,325,3.939432
50,326,3.870526
51,323,3.879994
51,324,3.871578
51,325,3.913921
51,326,3.87263
52,323,3.87263
52,324,3.8731560000000003
52,325,3.872104
52,326,3.873419
53,323,3.8755230000000003
53,324,3.877364
53,325,3.8731560000000003
53,326,3.874471
54,323,3.874997
54,324,3.876049
54,325,17.026838
54,326,3.879468
55,323,3.876312
55,324,17.023682
55,325,3.940747
55,326,3.915236
56,323,3.878679
56,324,3.8765750000000003
56,325,17.023156
56,326,17.017107
57,323,3.883676
57,324,3.876312
57,325,17.023156
58,323,3.8731560000000003
58,324,3.873945
59,323,3.879994
59,324,17.024471
60,323,17.021841
65,319,17.022367
64,319,3.874734
64,320,17.024207999999998
63,319,3.874734
63,320,3.87263
63,321,17.023418999999997
62,319,3.872893
62,320,3.874471
62,321,4.712915
62,322,17.018159
61,319,3.87526
61,320,3.87526
61,321,4.63796
61,322,3.882098
60,319,3.87263
60,320,3.873419
60,321,3.872104
60,322,3.873419
59,319,3.8718410000000003
59,320,3.870263
59,321,3.871052
59,322,3.8742080000000003
58,319,3.877364
58,320,3.8707890000000003
58,321,3.8707890000000003
58,322,3.8707890000000003
57,319,3.870263
57,320,17.023945
57,321,3.952582
57,322,3.87263
56,319,3.874471
56,320,3.873419
56,321,3.922863
56,322,3.871052
55,319,3.87526
55,320,3.872367
55,321,3.8731560000000003
55,322,3.873682
54,319,3.8718410000000003
54,320,3.872104
54,321,3.873682
54,322,4.0362160000000005
53,319,3.8742080000000003
53,320,3.8742080000000003
53,321,3.871315
53,322,3.873945
52,319,3.873682
52,320,3.873419
52,321,3.875786
52,322,3.8707890000000003
51,319,3.951793
51,320,3.879994
51,321,3.876312
51,322,3.872893
50,319,3.879994
50,320,3.876312
50,321,3.876312
50,322,3.8718410000000003
49,319,3.8742080000000003
49,320,3.87263
49,321,3.875786
49,322,3.870526
48,319,3.883676
48,320,3.8718410000000003
48,321,3.87263
48,322,3.871578
47,319,3.8742080000000003
47,320,3.873419
47,321,3.87263
47,322,3.8718410000000003
46,319,3.876049
46,320,3.870526
46,321,3.878942
46,322,3.873945
45,319,3.878416
45,320,3.881046
45,321,3.8778900000000003
45,322,3.871052
44,319,3.877101
44,320,3.878416
44,321,3.8755230000000003
43,319,3.87526
43,320,3.900245
43,321,3.8742080000000003
43,322,3.871315
42,319,3.878153
42,320,3.877101
42,321,3.879468
42,322,3.89367
41,319,3.891829
41,320,3.873945
41,321,3.876049
41,322,3.877364
40,319,3.886832
40,320,3.8815720000000002
40,321,3.876312
40,322,3.884202
39,319,3.906294
