X,Y,Value
-15,87,13.527360000000002
-16,87,3.87
-17,87,3.87
-18,87,3.87
-19,87,3.87
-20,87,3.87
-21,87,3.87
-37,83,3.87
-36,83,9.85325
-35,83,34.81458
-35,84,3.87
-34,83,41.06872
-34,84,3.87
-33,83,41.20810999999999
-33,84,16.12317
-32,83,41.30015999999999
-32,84,41.123949999999994
-32,85,3.87
-31,83,35.02498
-31,84,34.67518999999999
-31,85,3.87
-30,83,41.22389
-30,84,33.98613
-29,83,40.97667
-28,83,41.12132
-28,84,21.864459999999998
-27,83,41.210739999999994
-27,84,28.22117
-26,83,41.271229999999996
-26,84,40.82413
-25,83,41.33960999999999
-25,84,41.323829999999994
-25,85,40.78731
-24,83,41.35012999999999
-24,84,35.10914
-24,85,41.287009999999995
-24,86,16.05479
-23,83,41.313309999999994
-23,84,41.37642999999999
-23,85,41.3475
-23,86,22.36679
-22,83,41.292269999999995
-22,84,41.308049999999994
-22,85,41.265969999999996
-22,86,9.87166
-21,83,41.31594
-21,84,41.33698
-21,85,41.26333999999999
-21,86,9.861139999999999
-20,83,41.31857
-20,84,35.07758
-20,85,41.292269999999995
-20,86,9.874289999999998
-19,83,38.449239999999996
-19,84,41.323829999999994
-19,85,41.297529999999995
-19,86,9.86903
-18,83,41.13972999999999
-18,84,35.167
-18,85,41.352759999999996
-18,86,16.1784
-17,83,41.36065
-17,84,41.41325
-17,85,41.36065
-17,86,16.1784
-16,83,41.352759999999996
-16,84,41.389579999999995
-16,85,35.0355
-16,86,9.85062
-15,83,41.368539999999996
-15,84,41.37642999999999
-15,85,41.287009999999995
-15,86,9.84799
-14,83,41.400099999999995
-14,84,41.44217999999999
-14,85,41.34487
-14,86,34.83562
-13,83,41.400099999999995
-13,84,28.86026
-13,85,41.276489999999995
-13,86,16.39406
-12,83,41.41325
-12,84,41.42377
-12,85,41.265969999999996
-12,86,16.14684
-11,83,41.497409999999995
-11,84,41.497409999999995
-11,85,41.32646
-11,86,16.18103
-10,83,41.492149999999995
-10,84,41.492149999999995
-10,85,41.250189999999996
-10,86,16.14158
-9,83,41.599979999999995
-9,84,35.34847
-9,85,41.329089999999994
-9,86,10.005790000000001
-8,83,41.66309999999999
-8,84,41.61313
-8,85,41.265969999999996
-8,86,3.87
-7,83,41.799859999999995
-7,84,41.82352999999999
-7,85,22.63242
-6,83,41.97080999999999
-6,84,41.534229999999994
-6,85,16.39932
-5,83,35.674589999999995
-5,84,35.70615
-5,85,10.14255
-4,83,35.46682
-4,84,41.7157
-3,83,41.56579
-3,84,16.29938
-2,83,41.394839999999995
-2,84,16.27834
-1,83,41.02663999999999
-1,84,3.87
0,83,16.128429999999998
1,83,3.87
9,79,3.87
8,79,16.0469
7,79,40.8215
7,80,9.8401
6,79,41.0319
