X,Y,Value
-13,87,4.46175
-14,87,4.45912
-15,87,4.46175
-16,87,4.46175
-17,87,4.46175
-18,87,4.45912
-19,87,4.46175
-20,87,4.46175
-21,87,4.46175
-22,87,4.46175
-23,87,4.46175
-37,83,10.6817
-36,83,10.621210000000001
-35,83,41.67887999999999
-35,84,4.43545
-34,83,41.820899999999995
-34,84,10.61069
-33,83,29.49409
-33,84,10.64751
-32,83,35.787679999999995
-32,84,41.75514999999999
-32,85,4.45386
-31,83,42.03919
-31,84,41.84457
-31,85,4.45123
-30,83,42.081269999999996
-30,84,35.53257
-29,83,42.06811999999999
-28,83,42.07601
-27,83,42.06811999999999
-26,83,42.05234
-26,84,35.65618
-25,83,35.83502
-25,84,41.999739999999996
-25,85,41.87875999999999
-24,83,41.744629999999994
-24,84,35.77979
-24,85,41.97607
-24,86,16.79119
-23,83,42.04445
-23,84,42.004999999999995
-23,85,41.978699999999996
-23,86,23.07163
-22,83,42.00762999999999
-22,84,41.939249999999994
-22,85,35.63514
-22,86,10.68433
-21,83,42.041819999999994
-21,84,41.96029
-21,85,41.897169999999996
-21,86,16.8359
-20,83,42.081269999999996
-20,84,42.020779999999995
-20,85,41.88927999999999
-20,86,16.851679999999998
-19,83,42.09442
-19,84,41.173919999999995
-19,85,35.8508
-19,86,10.67644
-18,83,42.06811999999999
-18,84,42.010259999999995
-18,85,41.93136
-18,86,16.856939999999998
-17,83,42.11546
-17,84,42.07337999999999
-17,85,42.015519999999995
-17,86,16.891129999999997
-16,83,42.112829999999995
-16,84,41.297529999999995
-16,85,35.69563
-16,86,10.700109999999999
-15,83,40.903029999999994
-15,84,35.77979
-15,85,41.939249999999994
-15,86,4.4223
-14,83,42.107569999999996
-14,84,40.51116
-14,85,41.989219999999996
-14,86,16.851679999999998
-13,83,42.128609999999995
-13,84,35.83502
-13,85,35.73245
-13,86,10.61595
-12,83,42.17858
-12,84,42.12072
-12,85,42.04445
-12,86,16.82275
-11,83,42.1628
-11,84,42.081269999999996
-11,85,41.97080999999999
-11,86,16.72544
-10,83,42.160169999999994
-10,84,42.07075
-10,85,35.69037
-10,86,10.58176
-9,83,42.1628
-9,84,42.07337999999999
-9,85,41.82352999999999
-9,86,10.08206
-8,83,42.16542999999999
-8,84,35.80083
-8,85,41.84457
-8,86,3.87
-7,83,35.874469999999995
-7,84,41.16077
-7,85,16.92006
-6,83,42.194359999999996
-6,84,38.68331
-6,85,16.841160000000002
-5,83,42.19172999999999
-5,84,35.73771
-5,85,10.64488
-4,83,35.83765
-4,84,41.86824
-4,85,4.45386
-3,83,42.13124
-3,84,10.61595
-2,83,42.06285999999999
-2,84,10.11625
-1,83,35.6404
-1,84,4.43545
0,83,16.86746
1,83,10.72378
9,79,4.46175
8,79,16.8096
7,79,42.39161
7,80,4.43808
6,79,29.76235
6,80,17.73799
5,79,42.36267999999999
5,80,35.85606
5,81,10.75008
4,79,42.302189999999996
4,80,42.17594999999999
4,81,23.11897
3,79,42.29956
3,80,42.194359999999996
3,81,42.015519999999995
3,82,10.67644
2,79,42.32059999999999
2,80,42.25485
2,81,42.15227999999999
2,82,23.04796
1,79,42.31534
1,80,35.95863
1,81,42.204879999999996
1,82,37.142129999999995
0,79,42.27589
0,80,42.204879999999996
0,81,35.18278
0,82,35.60095
-1,79,42.27063
-1,80,42.20751
-1,81,35.884989999999995
-1,82,29.55984
-2,79,36.013859999999994
-2,80,42.257479999999994
-2,81,42.246959999999994
-2,82,42.14702
-3,79,42.307449999999996
-3,80,42.26011
-3,81,35.94285
-3,82,42.194359999999996
-4,79,42.257479999999994
-4,80,42.21802999999999
-4,81,42.189099999999996
-4,82,35.87183999999999
-5,79,42.291669999999996
-5,80,42.25485
-5,81,42.257479999999994
-5,82,42.17594999999999
-6,79,42.26537
-6,80,42.20751
-6,81,42.189099999999996
-6,82,42.160169999999994
-7,79,35.95863
-7,80,42.20751
-7,81,35.89814
-7,82,42.17332
-8,79,42.24432999999999
-8,80,42.19699
-8,81,42.17332
-8,82,42.160169999999994
-9,79,42.225919999999995
-9,80,35.879729999999995
-9,81,42.1628
-9,82,42.14176
-10,79,42.241699999999994
-10,80,42.18647
-10,81,42.16806
-10,82,42.15227999999999
-11,79,41.8998
-11,80,42.160169999999994
-11,81,42.160169999999994
-11,82,42.118089999999995
-12,79,42.20751
-12,80,41.91032
-12,81,42.14439
-12,82,42.13124
-13,79,42.20751
-13,80,42.160169999999994
