X,Y,Value
1,103,3.870526
0,103,3.8731560000000003
-1,103,3.871578
-2,103,3.873945
-3,103,3.87526
-4,103,3.873945
-5,103,3.87
-6,103,3.877627
-7,103,17.018947999999998
-8,103,17.018947999999998
-9,103,17.018947999999998
-11,103,17.019211
-20,99,17.018947999999998
-19,99,17.019211
-18,99,17.018947999999998
-17,99,17.018947999999998
-12,99,17.019211
-12,100,17.021052
-11,99,4.256084
-11,100,17.020789
-11,101,17.021841
-11,102,17.021052
-10,99,4.039109
-10,100,3.970203
-10,101,17.021841
-10,102,17.020789
-9,99,3.885517
-9,100,3.934435
-9,101,3.8994560000000003
-9,102,17.020526
-8,99,3.8731560000000003
-8,100,3.8755230000000003
-8,101,3.873945
-8,102,3.904716
-7,99,3.879468
-7,100,3.881835
-7,101,3.877101
-7,102,3.88052
-6,99,3.8731560000000003
-6,100,3.8755230000000003
-6,101,3.872104
-6,102,3.871052
-5,99,3.874997
-5,100,3.874734
-5,101,3.877101
-5,102,17.020526
-4,99,3.9052420000000003
-4,100,3.874471
-4,101,3.885517
-4,102,3.873419
-3,99,3.87526
-3,100,3.8849910000000003
-3,101,3.871578
-3,102,3.872367
-2,99,3.873419
-2,100,3.870263
-2,101,3.871052
-2,102,3.870263
-1,99,3.872893
-1,100,3.8755230000000003
-1,101,17.021841
-1,102,3.872367
0,99,3.8707890000000003
0,100,3.87263
0,101,3.870263
0,102,3.873682
1,99,3.8742080000000003
1,100,3.879468
1,101,3.870263
1,102,3.871578
2,99,3.873682
2,100,3.885254
2,101,6.490269
2,102,3.870526
3,99,3.872893
3,100,3.8765750000000003
3,101,3.8768380000000002
3,102,17.020789
4,99,3.9028750000000003
4,100,3.874734
4,101,3.8815720000000002
4,102,17.020789
5,99,3.8755230000000003
5,100,17.020526
5,101,17.021841
6,99,3.8718410000000003
6,100,3.879468
6,101,17.021841
7,99,3.878153
7,100,17.020789
8,99,17.02
8,100,17.020789
9,99,17.019474
10,99,17.019211
15,95,17.018947999999998
14,95,17.019211
14,96,17.020789
13,95,3.8765750000000003
