X,Y,Value
2,103,17.023418999999997
1,103,17.023418999999997
0,103,17.022893
-1,103,17.022893
-2,103,17.023156
-3,103,17.022893
-4,103,17.023156
-4,104,17.026575
-5,103,17.022893
-5,104,17.026311999999997
-6,103,17.022893
-6,104,17.025786
-7,103,17.023156
-7,104,17.024997
-8,103,17.023682
-9,103,17.024207999999998
-10,103,17.022893
-11,103,17.022893
-21,99,17.022893
-20,99,17.022104
-19,99,17.022367
-19,100,17.026311999999997
-18,99,17.023945
-18,100,17.025523
-17,99,17.023156
-13,99,17.02263
-12,99,3.958368
-12,100,17.026311999999997
-11,99,3.886043
-11,100,17.026049
-11,101,17.024207999999998
-11,102,17.02263
-10,99,3.8778900000000003
-10,100,17.027101
-10,101,17.024207999999998
-10,102,17.02263
-9,99,17.023418999999997
-9,100,3.899719
-9,101,17.022893
-9,102,17.02263
-8,99,3.893933
-8,100,17.025523
-8,101,17.023945
-8,102,17.021841
-7,99,3.881046
-7,100,17.026838
-7,101,17.024207999999998
-7,102,17.022104
-6,99,3.882887
-6,100,3.886832
-6,101,17.023945
-6,102,17.021314999999998
-5,99,3.8849910000000003
-5,100,3.910765
-5,101,3.900771
-5,102,17.021578
-4,99,3.882361
-4,100,3.891829
-4,101,3.8981410000000003
-4,102,17.022893
-3,99,17.023418999999997
-3,100,17.026838
-3,101,17.023682
-3,102,17.022104
-2,99,3.874471
-2,100,3.898667
-2,101,17.024997
-2,102,17.021578
-1,99,3.871578
-1,100,17.024997
-1,101,17.021314999999998
-1,102,17.021841
0,99,17.023418999999997
0,100,17.025786
0,101,17.02526
0,102,17.022367
1,99,17.025523
1,100,17.026575
1,101,17.024207999999998
1,102,17.02263
2,99,17.023418999999997
2,100,17.026049
2,101,17.02526
2,102,17.02263
3,99,17.023156
3,100,17.026311999999997
3,101,17.023682
3,102,17.02263
4,99,17.021578
4,100,17.02526
4,101,17.023682
4,102,17.022367
5,99,17.023418999999997
5,100,17.02526
5,101,17.025786
6,99,17.022367
6,100,17.026575
6,101,17.024997
7,99,17.022893
7,100,17.025786
8,99,17.021841
8,100,17.02789
9,99,17.022104
10,99,17.022104
