X,Y,Value
4,59,17.02
3,59,17.02
2,59,17.02
1,59,17.02
0,59,17.02
-1,59,17.02
-2,59,17.02
-3,59,17.02
-4,59,17.02
-5,59,17.02
-6,59,17.02
-17,55,17.02
-16,55,17.02
-15,55,4.49594
-15,56,17.02
-14,55,3.88315
-14,56,3.8963
-13,55,3.9041900000000003
-13,56,17.02
-13,57,17.02
-12,55,17.02
-12,56,17.02
-12,57,17.02
-11,55,17.02
-11,56,17.02
-10,55,17.02
-10,56,17.02
-9,55,3.88315
-9,56,17.02
-8,55,17.02
-8,56,17.02
-7,55,17.02
-7,56,17.02
-7,57,17.02
-7,58,17.02
-6,55,17.02
-6,56,17.02
-6,57,17.02
-6,58,17.02
-5,55,3.88578
-5,56,3.89893
-5,57,17.02
-5,58,17.02
-4,55,3.88578
-4,56,3.8778900000000003
-4,57,17.02
-4,58,3.88841
-3,55,3.88315
-3,56,6.23963
-3,57,17.02
-3,58,3.90156
-2,55,17.02
-2,56,4.1593
-2,57,3.88315
-2,58,8.2884
-1,56,9.97686
-1,57,3.88315
-1,58,17.02
0,55,3.88578
0,56,3.88052
0,57,17.02
0,58,17.02
1,55,3.88315
1,56,3.95153
1,57,17.02
1,58,3.88052
2,55,3.88315
2,56,3.9436400000000003
2,57,17.02
2,58,17.02
3,55,3.88578
3,56,3.93312
3,57,17.02
3,58,3.9489
4,55,3.8963
4,56,3.88315
4,57,17.02
4,58,17.02
5,55,3.88841
5,56,3.88841
5,57,3.8910400000000003
5,58,17.02
6,55,3.88578
6,56,3.88315
6,57,3.88578
6,58,17.02
7,55,3.88841
7,56,3.8910400000000003
7,57,3.8963
7,58,17.02
8,55,17.02
8,56,3.88578
8,57,17.02
9,55,3.89367
9,56,3.90682
9,57,17.02
10,55,3.89367
10,56,3.9304900000000003
10,57,17.02
11,55,17.02
11,56,4.59062
12,55,3.93575
12,56,17.02
13,55,17.02
14,55,17.02
20,51,17.02
19,51,3.88578
18,51,3.88315
18,52,17.02
17,51,3.88315
17,52,3.88315
17,53,17.02
16,51,3.88841
16,52,3.8910400000000003
16,53,3.89893
16,54,17.02
15,51,3.88841
15,52,3.88578
15,53,3.88841
15,54,17.02
14,51,4.01991
14,52,3.88315
14,53,3.8910400000000003
14,54,3.89893
13,51,3.88578
13,52,3.88315
13,53,3.88841
13,54,3.89367
12,51,3.88841
12,52,3.88578
12,53,3.8910400000000003
12,54,3.8963
11,51,3.88578
11,52,3.88315
11,53,4.77998
11,54,3.8910400000000003
10,51,3.88052
10,52,3.88315
10,53,3.8963
10,54,3.88315
9,51,3.88578
9,52,3.88315
9,53,3.88578
9,54,3.88315
8,51,3.88315
8,52,3.88052
8,53,3.88315
8,54,3.95153
7,51,3.88315
7,52,3.88315
7,53,3.89367
7,54,3.88578
6,51,3.88315
6,52,3.89367
6,53,3.88578
6,54,3.88315
5,51,3.88315
5,52,3.88052
5,53,3.88315
5,54,3.88315
4,51,3.88315
4,52,3.88052
4,53,3.88315
4,54,3.88052
3,51,3.88315
3,52,3.8778900000000003
3,53,3.88052
3,54,3.8778900000000003
2,51,3.88315
2,52,3.8910400000000003
2,53,3.88315
2,54,3.88315
1,51,4.7116
1,52,3.92786
1,53,3.92523
1,54,3.8778900000000003
0,51,3.88578
