X,Y,Value
-19,85,3.87
-18,85,9.81643
-17,85,21.88287
-17,86,3.87
-16,85,22.05908
-16,86,9.87955
-16,87,3.87
-15,85,16.06005
-15,86,21.95388
-15,87,3.87
-14,85,22.2011
-14,86,15.97326
-14,87,3.87
-14,88,3.87
-13,85,9.95845
-13,86,3.87
-13,88,3.87
-12,85,3.87
-12,86,3.87
-12,87,3.87
-11,85,9.94793
-11,86,3.87
-11,87,3.87
-11,88,3.87
-10,85,22.23792
-10,86,9.966339999999999
-10,87,9.903220000000001
-10,88,3.87
-10,89,3.87
-9,85,22.26685
-9,86,22.22477
-9,87,16.13895
-9,88,21.89076
-9,89,9.77172
-9,90,3.87
-8,85,22.28
-8,86,22.24318
-8,87,22.16165
-8,88,15.999559999999999
-8,89,9.82695
-8,90,3.87
-7,85,21.81186
-7,86,21.81712
-7,87,21.6225
-7,88,21.41736
-7,89,15.63136
-7,90,3.87
-6,85,22.017
-6,86,21.97229
-6,87,21.90391
-6,88,21.77241
-6,89,21.56201
-6,90,9.674409999999998
-5,85,22.30104
-5,86,22.24318
-5,87,22.19058
-5,88,22.0959
-5,89,21.89339
-5,90,9.7086
-4,85,22.31945
-4,86,22.28526
-4,87,22.20373
-4,88,22.11694
-4,89,21.92758
-4,90,9.72438
-4,91,3.87
-3,85,22.31156
-3,86,22.28789
-3,87,22.23003
-3,88,22.11168
-3,89,21.94862
-3,90,9.72438
-2,85,22.32734
-2,86,22.30104
-2,87,22.23529
-2,88,22.14587
-2,89,15.915399999999998
-2,90,9.74805
-2,91,3.87
-1,85,22.345750000000002
-1,86,22.29315
-1,87,22.23529
-1,88,22.135350000000003
-1,89,21.95388
-1,90,3.87
0,85,22.34312
0,86,16.56764
0,87,22.23529
0,88,22.156390000000002
0,89,21.89865
0,90,3.87
1,85,22.34312
1,86,22.3063
1,87,22.05908
1,88,22.11168
1,89,15.831240000000001
1,90,3.87
2,85,22.33786
2,86,22.29578
2,87,22.23792
2,88,21.938100000000002
2,89,15.797049999999999
2,90,3.87
3,85,22.33523
3,86,16.21522
3,87,22.20636
3,88,22.043300000000002
3,89,3.87
4,85,22.30367
4,86,22.26685
4,87,22.18006
4,88,21.89339
4,89,3.87
5,85,22.29052
5,86,22.23266
5,87,22.10905
5,88,4.00676
5,89,3.87
6,85,22.26948
6,86,22.16165
6,87,21.95125
6,88,4.19349
7,85,22.24318
7,86,22.09327
7,87,9.758569999999999
7,88,3.87
8,85,22.11694
8,86,21.90128
8,87,3.87
9,85,15.99167
9,86,4.17508
10,85,9.83484
10,86,3.87
11,85,3.87
19,77,3.87
18,77,21.97755
18,78,3.87
17,77,22.20373
17,78,22.02226
17,79,3.87
16,77,22.28263
16,78,22.21162
16,79,22.053819999999998
16,80,3.8910400000000003
15,77,22.351010000000002
15,78,22.27211
15,79,16.10476
15,80,22.06434
15,81,3.87
14,77,22.369419999999998
14,78,22.30893
14,79,22.30104
14,80,22.19321
14,81,22.02489
14,82,3.9830900000000002
13,77,22.37205
13,78,22.358900000000002
13,79,22.29841
13,80,22.28
13,81,16.04953
13,82,15.98641
13,83,4.16456
12,77,22.38783
12,78,22.37994
12,79,16.231
12,80,22.31156
12,81,22.26948
12,82,22.159019999999998
12,83,15.98115
12,84,3.9304900000000003
11,77,16.22311
11,78,22.39309
11,79,22.369419999999998
11,80,22.35627
11,81,22.30893
11,82,22.264219999999998
11,83,22.16165
11,84,21.9118
10,77,22.4115
10,78,22.37994
10,79,22.34838
10,80,22.3852
10,81,22.345750000000002
10,82,22.30893
10,83,22.21951
10,84,16.03638
9,77,22.40098
9,78,22.41413
9,79,22.39046
9,80,22.38783
9,81,22.34312
9,82,22.3326
9,83,17.0463
9,84,22.21162
8,77,22.40624
8,78,22.39572
8,79,22.40624
8,80,22.36679
8,81,22.37205
8,82,22.33786
8,83,22.30104
8,84,22.25107
7,77,22.39572
7,78,22.39572
7,79,22.38783
7,80,16.870089999999998
7,81,22.374679999999998
7,82,22.34049
7,83,22.3326
7,84,22.31682
6,77,22.41413
6,78,22.39309
6,79,22.39046
6,80,22.39572
6,81,16.26782
6,82,22.351010000000002
6,83,20.55472
6,84,22.32208
5,77,22.42202
5,78,22.41413
5,79,22.4115
5,80,22.39572
5,81,22.37731
5,82,22.38257
5,83,16.228369999999998
5,84,22.351010000000002
4,77,22.41676
4,78,22.40098
4,79,22.40361
4,80,22.39572
4,81,22.38783
4,82,22.37731
4,83,22.35364
4,84,22.358900000000002
3,77,22.40887
3,78,22.4115
3,79,22.40361
3,80,22.39309
3,81,22.38783
3,82,22.38783
3,83,22.39309
3,84,22.364160000000002
2,77,22.40361
2,78,22.41676
2,79,22.40624
2,80,16.751739999999998
2,81,22.37994
2,82,21.54623
2,83,22.369419999999998
2,84,22.37205
1,77,22.40361
1,78,22.42991
1,79,22.40887
1,80,22.39572
1,81,22.39835
1,82,22.37205
1,83,22.37205
1,84,22.364160000000002
0,77,22.41413
0,78,22.41413
0,79,22.39309
0,80,22.40361
0,81,16.17314
0,82,22.3852
0,83,22.374679999999998
0,84,22.36679
-1,77,22.41939
