X,Y,Value
-2,91,3.87
-3,91,3.87
-4,91,3.87
-5,91,3.87
-16,87,3.87
-15,87,15.85754
-10,87,16.217850000000002
-9,87,22.46673
-9,88,22.35364
-9,89,22.14587
-9,90,3.87
-8,87,22.44043
-8,88,22.40361
-8,89,22.28526
-8,90,16.09161
-7,87,22.41413
-7,88,16.1784
-7,89,16.15999
-7,90,3.88052
-6,87,22.43517
-6,88,22.37994
-6,89,9.95582
-6,90,9.91374
-5,87,22.45358
-5,88,22.40624
-5,89,9.979489999999998
-5,90,3.87
-4,87,22.43254
-4,88,3.87
-4,89,3.87
-4,90,9.92426
-3,87,16.27571
-3,88,9.97686
-3,89,9.971599999999999
-3,90,9.92426
-2,87,22.45358
-2,88,10.0505
-2,89,9.98475
-2,90,9.93478
-1,87,22.456210000000002
-1,88,16.22311
-1,89,31.637539999999998
-1,90,9.92952
0,87,22.45358
0,88,16.20207
0,89,9.966339999999999
0,90,9.96371
1,87,22.47725
1,88,22.42728
1,89,16.32042
1,90,16.07057
2,88,9.89533
2,89,22.31419
2,90,3.87
3,87,22.4378
3,88,22.36679
3,89,22.25633
3,90,3.87
4,87,22.48777
4,88,22.38783
4,89,22.29315
5,87,16.330940000000002
5,88,22.30104
5,89,3.87
6,87,22.42202
6,88,16.015340000000002
7,87,22.37731
7,88,3.87
8,87,10.13992
9,87,3.90682
14,83,3.87
13,83,22.47462
13,84,3.87
12,83,22.56404
12,84,16.233629999999998
11,83,22.52196
11,84,22.44569
11,85,16.21522
10,83,22.55878
10,84,22.49303
10,85,22.46147
10,86,3.87
9,83,22.543
9,84,22.48777
9,85,22.49566
9,86,16.63076
8,83,22.50355
8,84,22.48514
8,85,22.5167
8,86,22.464100000000002
7,83,22.50355
7,84,22.46673
7,85,22.48251
7,86,22.46673
6,83,22.464100000000002
6,84,22.40624
6,85,22.44569
6,86,22.456210000000002
5,83,22.479879999999998
5,84,22.450950000000002
5,85,22.47462
5,86,22.48777
4,83,22.44569
4,84,22.42728
4,85,22.45358
4,86,22.44569
3,83,22.42465
3,84,22.40098
3,85,22.45358
3,86,22.44043
2,83,22.39309
2,84,22.3852
2,85,22.40624
2,86,22.38257
1,83,22.39835
1,84,22.38783
1,85,22.43517
1,86,22.41413
0,83,22.41413
0,84,22.35364
0,85,22.41676
0,86,22.41939
-1,83,22.42991
-1,84,22.36679
-1,85,22.41939
-1,86,22.42728
-2,83,22.40887
-2,84,22.36153
-2,85,22.4115
-2,86,22.40887
-3,83,22.4115
-3,84,22.364160000000002
-3,85,22.40887
-3,86,22.40887
-4,83,22.42202
-4,84,22.35364
-4,85,22.40361
-4,86,22.40887
-5,83,22.39046
-5,84,22.35364
-5,85,22.40361
-5,86,22.3852
-6,83,22.3852
-6,84,22.369419999999998
-6,85,22.38783
-6,86,22.39835
-7,83,22.39572
-7,84,22.32734
-7,85,22.38783
-7,86,22.3852
-8,83,22.374679999999998
-8,84,22.34049
-8,85,22.369419999999998
-8,86,22.3852
-9,83,22.40098
-9,84,22.37994
-9,85,22.40624
-9,86,22.40098
-10,83,22.4378
-10,84,22.39572
-10,86,22.40624
-11,83,22.47462
-11,84,22.4115
-11,85,16.18366
-12,83,22.46936
-12,84,22.253700000000002
-12,85,9.81117
-13,83,22.49566
-13,84,22.28526
-13,85,3.87
-14,83,22.45358
-14,84,22.41939
-14,85,22.345750000000002
-14,86,16.06794
-15,83,22.41676
-15,84,22.364160000000002
-15,85,16.93847
-15,86,22.21688
-16,83,22.39046
-16,84,22.35364
-16,85,22.32997
-16,86,22.11431
-17,83,22.38783
-17,84,22.32997
-17,85,22.27474
-17,86,21.94862
-18,83,22.42465
-18,84,22.28789
-18,85,22.20899
-19,83,22.47199
-19,84,22.29052
-19,85,9.77435
-20,83,22.42465
-20,84,9.95319
-21,83,16.3625
-25,79,10.02946
-24,79,16.254669999999997
-24,80,9.979489999999998
-23,79,22.66924
-23,80,22.51407
-23,81,16.341459999999998
-22,79,22.76655
-22,80,22.77444
-22,81,22.78496
-22,82,16.41773
-21,79,22.71658
-21,80,22.73499
-21,81,22.76918
-21,82,22.71132
-20,79,16.373019999999997
-20,80,22.59297
-20,81,22.62716
-20,82,22.59823
-19,79,22.54037
-19,80,22.47462
-19,81,22.51407
-19,82,22.50618
-18,79,22.45884
-18,80,22.42728
-18,81,22.464100000000002
-18,82,22.4378
-17,79,22.443060000000003
-17,80,22.40887
-17,81,22.40887
-17,82,22.40887
-16,79,22.40887
-16,80,22.33523
-16,81,22.364160000000002
-16,82,22.38783
-15,79,22.358900000000002
-15,80,22.32734
-15,81,22.36153
-15,82,22.3852
-14,79,22.32734
-14,80,22.3063
-14,81,22.39572
-14,82,22.42465
-13,79,22.33523
-13,80,22.3326
-13,81,22.39572
-13,82,22.44569
-12,79,22.358900000000002
-12,80,22.31945
-12,81,22.39572
-12,82,22.44832
-11,79,22.34838
-11,80,22.31419
-11,81,22.38783
-11,82,22.42728
-10,79,22.36679
-10,80,22.32471
-10,81,22.35627
-10,82,22.39835
-9,79,22.35364
-9,80,22.31419
-9,81,22.34838
-9,82,22.32734
-8,79,22.39309
-8,80,22.345750000000002
-8,81,22.38257
-8,82,22.3852
-7,79,22.3326
-7,80,22.33786
-7,81,22.37731
-7,82,22.36153
-6,79,22.36679
-6,80,22.31156
-6,81,22.358900000000002
-6,82,22.364160000000002
-5,79,22.34049
-5,80,22.31945
-5,81,22.364160000000002
-5,82,22.374679999999998
-4,79,22.34838
-4,80,22.3326
-4,81,22.358900000000002
-4,82,22.38257
-3,79,22.36679
-3,80,22.34838
-3,81,22.35627
-3,82,22.39309
-2,79,22.358900000000002
-2,80,16.15999
-2,81,22.35627
-2,82,22.37205
-1,79,16.217850000000002
-1,80,22.34312
-1,81,22.364160000000002
-1,82,22.37994
0,79,22.358900000000002
0,80,22.3326
0,81,22.38257
0,82,22.3852
1,79,22.38257
1,80,22.345750000000002
1,81,22.374679999999998
1,82,22.40361
2,79,22.36153
2,80,22.34049
2,81,22.39046
2,82,22.40361
3,79,22.37731
3,80,22.351010000000002
3,81,22.39835
3,82,22.39835
4,79,22.38783
4,80,22.35627
4,81,22.38783
4,82,22.40624
5,79,22.4115
5,80,22.37731
5,81,22.39572
5,82,22.4115
6,79,22.40624
6,80,22.37994
6,81,22.43517
6,82,22.43254
7,79,22.39572
7,80,20.87558
7,81,22.43254
7,82,22.4378
