X,Y,Value
-2,91,3.87
-3,91,3.87
-4,91,3.87
-5,91,3.87
-6,91,3.87
-7,91,3.87
-16,87,3.87
-15,87,3.87
-14,87,3.87
-9,87,9.61392
-9,88,3.93575
-8,87,22.09064
-8,88,9.900590000000001
-8,89,9.876919999999998
-8,90,3.87
-7,87,22.253700000000002
-7,88,22.153760000000002
-7,89,21.945990000000002
-7,90,9.7349
-6,87,22.29578
-6,88,22.23003
-6,89,22.10905
-6,90,15.815459999999998
-5,87,10.011050000000001
-5,88,10.54231
-5,89,16.06268
-5,90,21.709290000000003
-4,87,9.97686
-4,88,10.011050000000001
-4,89,10.19778
-4,90,15.828609999999998
-3,87,22.277369999999998
-3,88,16.12317
-3,89,16.956879999999998
-3,90,10.01631
-2,87,22.25107
-2,88,10.09258
-2,89,10.01894
-2,90,15.841759999999997
-1,87,22.22477
-1,88,22.153760000000002
-1,89,15.994299999999999
-1,90,15.87332
0,87,16.09161
0,88,22.13009
0,89,3.91208
0,90,9.84799
1,87,22.153760000000002
1,88,22.03541
1,89,15.87069
1,90,3.87263
2,87,22.156390000000002
2,88,22.053819999999998
2,89,15.8891
2,90,3.8910400000000003
3,87,22.10642
3,88,22.030150000000003
3,89,4.1198500000000005
3,90,3.87
4,87,10.02946
4,88,3.87
4,89,3.8778900000000003
5,87,15.99167
5,88,3.87
5,89,3.87
6,87,4.16982
6,88,3.87
7,87,15.87069
7,88,3.87
8,87,9.648109999999999
14,83,3.87
13,83,15.64714
12,83,21.94862
12,84,3.96731
11,83,22.02752
11,84,21.85394
11,85,9.54028
10,83,22.143240000000002
10,84,21.8855
10,85,21.81186
10,86,3.88315
9,83,22.18532
9,84,22.12483
9,85,21.956509999999998
9,86,15.818090000000002
8,83,22.25633
8,84,22.21162
8,85,16.0995
8,86,21.91706
7,83,16.2047
7,84,22.227400000000003
7,85,22.20899
7,86,22.038040000000002
6,83,22.28789
6,84,22.258960000000002
6,85,22.22477
6,86,22.18006
5,83,22.30104
5,84,22.10116
5,85,22.253700000000002
5,86,22.159019999999998
4,83,22.10379
4,84,16.1258
4,85,22.24581
4,86,22.18532
3,83,22.28
3,84,22.28
3,85,22.23792
3,86,22.19847
2,83,22.28
2,84,22.264219999999998
2,85,22.277369999999998
2,86,22.19847
1,83,22.26159
1,84,22.27211
1,85,22.28263
1,86,22.23792
0,83,22.29578
0,84,22.28526
0,85,22.25107
0,86,22.22214
-1,83,18.79262
-1,84,22.277369999999998
-1,85,22.28263
-1,86,16.3099
-2,83,22.3063
-2,84,22.28526
-2,85,22.27211
-2,86,10.087319999999998
-3,83,16.42562
-3,84,10.65014
-3,86,9.97423
-4,83,17.272479999999998
-4,84,10.011050000000001
-4,85,4.0278
-4,86,22.32734
-5,83,22.32734
-5,84,22.32208
-5,85,16.18366
-5,86,10.22671
-6,83,22.32471
-6,84,22.28526
-6,85,16.19681
-6,86,22.3063
-7,83,22.3063
-7,84,22.277369999999998
-7,85,22.29052
-7,86,22.27211
-8,83,22.29315
-8,84,22.29578
-8,85,22.26948
-8,86,22.19847
-9,83,22.29578
-9,84,22.27211
-9,85,22.02489
-9,86,15.76549
-10,83,22.18532
-10,84,15.925919999999998
-10,85,3.93838
-11,83,3.94627
-11,84,3.87
-11,85,3.87
-12,83,3.87
-12,84,4.03306
-13,83,9.88218
-13,84,3.87
-14,83,22.30367
-14,84,16.09424
-14,85,15.78127
-14,86,9.71912
-15,83,22.49303
-15,84,22.44569
-15,85,10.07943
-15,86,15.736559999999997
-16,83,22.61401
-16,84,22.60875
-16,85,22.56667
-16,86,9.94793
-17,83,22.74551
-17,84,22.74814
-17,85,22.7008
-17,86,10.03998
-18,83,22.70606
-18,84,22.69554
-18,85,16.35461
-19,83,20.34695
-19,84,16.25993
-19,85,9.855879999999999
-20,83,22.258960000000002
-20,84,9.966339999999999
-21,83,9.966339999999999
-25,79,9.93741
-24,79,22.18006
-24,80,9.97686
-23,79,22.30104
-23,80,22.18532
-23,81,9.96371
-22,79,22.36153
-22,80,22.29841
-22,81,22.19584
-22,82,9.95056
-21,79,22.39572
-21,80,16.21522
-21,81,22.351010000000002
-21,82,22.23003
-20,79,22.42728
-20,80,22.41939
-20,81,22.42728
-20,82,22.40098
-19,79,22.51144
-19,80,22.5167
-19,81,22.54037
-19,82,22.55878
-18,79,22.52196
-18,80,22.57982
-18,81,22.61927
-18,82,22.67976
-17,79,22.53774
-17,80,22.59297
-17,81,16.42299
-17,82,22.70343
-16,79,16.333569999999998
-16,80,22.54563
-16,81,22.60349
-16,82,22.61664
-15,79,22.46673
-15,80,22.46673
-15,81,22.48514
-15,82,16.34409
-14,79,22.43254
-14,80,22.450950000000002
-14,81,22.47199
-14,82,16.26519
-13,79,22.40361
-13,80,22.43517
-13,81,22.40887
-13,82,22.227400000000003
-12,79,22.40098
-12,80,22.4115
-12,81,22.30893
-12,82,22.01174
-11,79,22.36679
-11,80,22.39309
-11,81,22.345750000000002
-11,82,22.143240000000002
-10,79,16.864829999999998
-10,80,16.27045
-10,81,22.369419999999998
-10,82,22.3326
-9,79,22.35627
-9,80,22.31156
-9,81,22.32734
-9,82,22.35364
-8,79,16.14684
-8,80,22.30893
-8,81,22.31682
-8,82,22.31945
-7,79,22.248440000000002
-7,80,22.27211
-7,81,22.33786
-7,82,22.32734
-6,79,22.29315
-6,80,16.81749
-6,81,18.29292
-6,82,22.32734
-5,79,16.17314
-5,80,16.17577
-5,81,16.29149
-5,82,16.16788
-4,79,16.16262
-4,80,3.87526
-4,81,4.4564900000000005
-4,82,3.91208
-3,79,17.07786
-3,80,22.31156
-3,81,16.17314
-3,82,16.20733
-2,79,17.02526
-2,80,22.27211
-2,81,16.31253
-2,82,22.29315
-1,79,22.30893
-1,80,22.3063
-1,81,22.30367
-1,82,22.30367
0,79,17.42765
0,80,22.29841
0,81,22.29052
0,82,22.30367
1,79,22.28789
1,80,22.29841
1,81,22.30104
1,82,22.28
2,79,22.3063
2,80,22.30367
2,81,22.277369999999998
2,82,22.30367
3,79,22.30104
3,80,22.3063
3,81,22.29841
3,82,22.28
4,79,22.31419
4,80,22.277369999999998
4,81,22.31156
4,82,22.26685
5,79,22.30104
5,80,22.29315
5,81,22.277369999999998
5,82,22.258960000000002
6,79,22.31156
6,80,22.24581
6,81,22.29052
6,82,22.26685
7,79,22.28
7,80,22.29052
7,81,22.28
7,82,22.28526
