X,Y,Value
-11,55,17.02
-6,55,17.02
-5,55,17.02
-5,56,17.02
-4,55,17.02
-4,56,17.02
-3,55,17.02
-3,56,17.02
-2,55,17.02
-2,56,17.02
-1,55,17.02
-1,56,17.02
-1,57,17.02
0,55,17.02
0,56,17.02
0,57,17.02
1,55,17.02
1,56,17.02
1,57,17.02
2,55,17.02
2,56,17.02
3,55,17.02
3,56,17.02
4,55,17.02
4,56,17.02
5,55,17.02
5,56,17.02
6,55,17.02
6,56,17.02
7,55,17.02
7,56,17.02
8,55,17.02
9,55,17.02
10,55,17.02
17,51,17.02
16,51,3.89367
15,51,3.91471
15,52,17.02
14,51,3.8778900000000003
14,52,3.88315
14,53,17.02
13,51,3.87263
13,52,3.87526
13,53,17.02
12,51,3.87526
12,52,3.8778900000000003
12,53,3.87263
12,54,17.02
11,51,4.01728
11,52,3.8778900000000003
11,53,3.87263
11,54,17.02
10,51,3.87
10,52,3.87526
10,53,3.87526
10,54,3.88052
9,51,3.87263
9,52,3.87263
9,53,3.87526
9,54,17.02
8,51,3.87263
8,52,3.87526
8,53,17.02
8,54,17.02
7,51,17.02
7,52,17.02
7,53,17.02
7,54,17.02
6,51,10.915769999999998
6,52,17.02
6,53,17.02
6,54,17.02
5,51,17.02
5,52,17.02
5,53,17.02
5,54,17.02
4,51,17.02
4,52,17.02
4,53,17.02
4,54,17.02
3,51,17.02
3,52,17.02
3,53,17.02
3,54,17.02
2,51,17.02
2,52,17.02
2,53,17.02
2,54,17.02
1,51,17.02
1,52,17.02
1,53,17.02
1,54,17.02
0,51,17.02
0,52,17.02
0,53,17.02
0,54,17.02
-1,51,17.02
-1,52,17.02
-1,53,17.02
-1,54,17.02
-2,51,17.02
-2,52,17.02
-2,53,17.02
-2,54,17.02
-3,51,4.25398
-3,52,17.02
-3,53,17.02
-3,54,17.02
-4,51,3.98835
-4,52,17.02
-4,53,17.02
-4,54,17.02
-5,51,3.93312
-5,52,6.43688
-5,53,17.02
-5,54,17.02
-6,51,3.91208
-6,52,4.33288
-6,53,17.02
-6,54,17.02
-7,51,3.8910400000000003
-7,52,4.0146500000000005
-7,53,17.02
-7,54,17.02
-8,51,3.90156
-8,52,3.92523
-8,53,17.02
-8,54,17.02
-9,51,3.89367
-9,52,17.02
-9,53,3.9699400000000002
-9,54,17.02
-10,51,3.88841
-10,52,3.9173400000000003
-10,53,17.02
-10,54,17.02
-11,51,3.8963
-11,52,3.88841
-11,53,3.90945
-11,54,17.02
-12,51,3.8910400000000003
-12,52,3.88578
-12,53,3.8963
-12,54,3.94627
-13,51,3.88052
-13,52,3.88578
-13,53,3.91997
-13,54,17.02
-14,51,3.88052
-14,52,3.88052
-14,53,3.8963
-14,54,17.02
-15,51,3.87526
-15,52,5.96874
-15,53,17.02
-16,51,3.87263
-16,52,3.9436400000000003
-17,51,3.87526
