X,Y,Value
-23,59,3.87
-22,59,10.05576
-21,59,10.07943
-20,59,33.79414
-20,60,3.87
-19,59,10.13466
-19,60,10.05576
-18,59,10.16359
-18,60,10.09258
-17,59,10.184629999999999
-17,60,3.87
-16,59,16.48348
-15,59,35.25905
-14,59,22.60875
-13,59,41.59209
-12,59,41.794599999999996
-12,60,3.87
-11,59,34.5884
-11,60,16.53608
-11,61,10.13729
-10,59,41.84983
-10,60,16.562379999999997
-10,61,10.19778
-10,62,3.87
-9,59,35.540459999999996
-9,60,35.5878
-9,61,10.210930000000001
-9,62,3.97257
-8,59,35.61673
-8,60,35.61147
-8,61,42.01289
-8,62,10.076799999999999
-7,59,41.891909999999996
-7,60,41.64995
-7,61,29.32051
-7,62,10.11888
-6,59,29.270539999999997
-6,60,35.582539999999995
-6,61,29.315250000000002
-6,62,10.13992
-5,59,40.81361
-5,60,41.86824
-5,61,35.68248
-5,62,10.13466
-4,59,35.637769999999996
-4,60,35.582539999999995
-4,61,18.44283
-4,62,10.13203
-3,59,35.648289999999996
-3,60,41.42903
-3,61,34.91715
-3,62,10.13729
-2,59,35.63514
-2,60,35.685109999999995
-2,61,42.05497
-2,62,10.11888
-1,59,41.23177999999999
-1,60,61.198739999999994
-1,61,42.05234
-1,62,10.13466
0,59,39.78265
0,60,35.65355
0,61,35.490489999999994
0,62,10.14255
1,59,41.158139999999996
1,60,41.44217999999999
1,61,41.98132999999999
1,62,10.11625
2,59,40.95037
2,60,35.70878
2,61,41.358019999999996
2,62,3.87
3,59,35.74823
3,60,35.75349
3,61,35.56939
3,62,10.06891
4,59,35.78505
4,60,42.03919
4,61,17.4671
4,62,9.29306
5,59,35.82975999999999
5,60,29.207420000000003
5,61,27.25859
5,62,3.87
6,59,35.37477
6,60,42.020779999999995
6,61,16.62813
7,59,35.91655
7,60,42.03919
7,61,16.65706
8,59,35.98493
8,60,29.536170000000002
8,61,10.25038
9,59,32.16354
9,60,42.07075
9,61,10.22671
10,59,41.22389
10,60,33.60741
11,59,42.512589999999996
11,60,10.32139
12,59,33.25236
12,60,16.856939999999998
13,59,26.0672
13,60,9.971599999999999
14,59,23.31096
15,59,16.754369999999998
16,59,3.87
25,55,3.87
24,55,16.72281
23,55,28.849739999999997
23,56,10.05576
22,55,35.94022
22,56,23.07163
21,55,29.39415
21,56,32.97621
21,57,3.87
20,55,35.053909999999995
20,56,42.031299999999995
20,57,16.70966
19,55,41.949769999999994
19,56,36.889649999999996
19,57,16.69388
19,58,3.87
18,55,29.50461
18,56,33.69683
18,57,40.75575
18,58,10.195149999999998
17,55,35.91918
17,56,40.97667
17,57,36.01123
17,58,23.20313
16,55,35.91918
16,56,35.987559999999995
16,57,35.86658
16,58,23.14264
15,55,40.92407
15,56,40.158739999999995
15,57,36.10328
15,58,29.628220000000002
14,55,35.906029999999994
14,56,35.99545
14,57,29.60455
14,58,29.67819
13,55,35.91392
13,56,40.20608
13,57,28.42368
13,58,29.767609999999998
12,55,35.895509999999994
12,56,41.57105
12,57,29.575619999999997
12,58,23.31096
11,55,35.87183999999999
11,56,35.94022
11,57,36.10853999999999
11,58,29.7492
10,55,41.60260999999999
10,56,41.676249999999996
10,57,36.05068
10,58,36.105909999999994
9,55,35.787679999999995
9,56,35.82187
9,57,35.955999999999996
9,58,29.549319999999998
8,55,40.23238
8,56,41.79197
8,57,41.82879
8,58,41.13447
7,55,35.66407
7,56,35.700889999999994
7,57,41.118689999999994
7,58,35.83765
6,55,41.84457
6,56,35.669329999999995
6,57,41.847199999999994
6,58,35.81661
5,55,35.63514
5,56,35.65618
5,57,35.74297
5,58,41.368539999999996
4,55,35.65092
4,56,41.2686
4,57,41.113429999999994
4,58,35.72193
3,55,35.56939
3,56,35.5878
3,57,41.999739999999996
3,58,42.081269999999996
2,55,35.57465
2,56,41.86035
2,57,41.852459999999994
2,58,41.69992
1,55,35.55361
1,56,35.55361
1,57,42.036559999999994
1,58,35.6667
0,55,41.34487
0,56,40.92144
0,57,35.648289999999996
0,58,41.923469999999995
-1,55,41.77092999999999
-1,56,39.98779
-1,57,41.7157
-1,58,41.36590999999999
-2,55,35.52468
-2,56,41.86297999999999
-2,57,41.15550999999999
-2,58,35.700889999999994
-3,55,40.666329999999995
-3,56,41.642059999999994
-3,57,41.923469999999995
-3,58,41.928729999999995
-4,55,35.46945
-4,56,35.51942
-4,57,29.27843
-4,58,35.52468
-5,55,35.50364
-5,56,35.53783
-5,57,35.62199
