X,Y,Value
-19,85,3.88578
-18,85,3.88578
-17,85,16.01271
-17,86,3.8910400000000003
-16,85,22.23266
-16,86,16.11265
-16,87,3.88841
-15,85,10.22934
-15,86,22.21425
-15,87,3.8963
-14,85,16.27571
-14,86,22.345750000000002
-14,87,22.24318
-14,88,3.88578
-13,85,22.464100000000002
-13,86,22.39046
-13,87,22.23266
-13,88,3.88841
-12,85,22.48251
-12,86,22.46936
-12,87,10.02157
-11,85,16.28886
-11,86,22.47725
-11,87,3.88841
-11,88,3.88578
-11,89,3.9173400000000003
-10,85,16.373019999999997
-10,86,22.4115
-10,87,22.32208
-10,88,22.18532
-10,89,3.89367
-9,85,22.45358
-9,86,16.23889
-9,87,22.345750000000002
-9,88,22.23003
-9,89,22.043300000000002
-9,90,3.90682
-8,85,22.42465
-8,86,22.41676
-8,87,10.24512
-8,88,22.264219999999998
-8,89,22.06171
-8,90,9.59814
-7,85,22.4115
-7,86,16.27045
-7,87,22.32997
-7,88,22.24581
-7,89,9.97423
-7,90,9.77698
-6,85,10.279309999999999
-6,86,16.16262
-6,87,22.32734
-6,88,22.20373
-6,89,9.96371
-6,90,3.91471
-5,85,22.42991
-5,86,16.323050000000002
-5,87,10.16622
-5,88,22.22477
-5,89,9.95319
-5,90,9.91374
-4,85,22.42202
-4,86,22.364160000000002
-4,87,22.30104
-4,88,22.19847
-4,89,9.9453
-4,90,9.903220000000001
-3,85,22.41939
-3,86,22.369419999999998
-3,87,22.30367
-3,88,16.254669999999997
-3,89,9.95056
-3,90,9.900590000000001
-2,85,22.41676
-2,86,22.358900000000002
-2,87,22.26948
-2,88,22.20636
-2,89,9.93741
-2,90,3.90945
-1,85,16.231
-1,86,22.36679
-1,87,22.23792
-1,88,22.1748
-1,89,9.93741
-1,90,9.77172
0,85,22.40361
0,86,16.17577
0,87,22.27211
0,88,9.995270000000001
0,89,3.9226
0,90,3.8910400000000003
1,85,16.228369999999998
1,86,22.35364
1,87,22.26685
1,88,16.05742
1,89,21.9644
1,90,3.90682
2,85,22.37994
2,86,10.16622
2,87,22.25107
2,88,22.156390000000002
2,89,15.96274
2,90,3.8910400000000003
3,85,16.22311
3,86,22.30893
3,87,22.18269
3,88,22.06171
3,89,9.72964
4,85,16.31516
4,86,16.36776
4,87,16.07846
4,88,16.00482
4,89,3.89367
5,85,22.33523
5,86,16.11791
5,87,16.07583
5,88,10.32139
5,89,3.89367
6,85,16.17314
6,86,9.99264
6,87,22.030150000000003
6,88,3.89367
7,85,22.26685
7,86,22.122200000000003
7,87,15.904879999999999
7,88,3.88578
8,85,16.1258
8,86,3.88841
8,87,3.88841
9,85,9.97686
10,85,9.855879999999999
10,86,3.88578
11,85,3.88841
19,77,3.88578
18,77,4.01728
18,78,3.88578
17,77,16.16262
17,78,4.08303
17,79,3.9041900000000003
16,77,16.330940000000002
16,78,16.144209999999998
16,79,4.03306
16,80,3.92523
15,77,16.26256
15,78,22.374679999999998
15,79,16.30727
15,80,22.11431
15,81,3.90156
14,77,22.47462
14,78,16.2573
14,79,10.066279999999999
14,80,3.8910400000000003
14,81,3.9304900000000003
14,82,3.8910400000000003
13,77,22.51407
13,78,22.47199
13,79,22.37994
13,80,22.33786
13,81,16.57553
13,82,18.80314
13,83,3.91997
12,77,16.37828
12,78,16.34935
12,79,22.450950000000002
12,80,16.241519999999998
12,81,22.29578
12,82,10.09258
12,83,3.98046
12,84,3.9041900000000003
11,77,22.53248
11,78,10.12414
11,79,16.37828
11,80,16.26519
11,81,22.37731
11,82,10.274049999999999
11,83,4.10407
11,84,9.81906
10,77,22.543
10,78,22.52196
10,79,16.32042
10,80,22.464100000000002
10,81,16.23889
10,82,22.36153
10,83,4.01202
10,84,9.92689
9,77,16.341459999999998
9,78,22.53248
9,79,22.49566
9,80,16.28623
9,81,22.43517
9,82,22.37205
9,83,16.24415
9,84,16.039009999999998
8,77,22.56404
8,78,16.32042
8,79,22.52985
8,80,22.50355
8,81,10.25038
8,82,22.41413
8,83,22.3852
8,84,22.3063
7,77,22.59034
7,78,22.56404
7,79,22.52985
7,80,22.50881
7,81,22.479879999999998
7,82,22.464100000000002
7,83,10.179369999999999
7,84,16.19681
6,77,22.58245
6,78,22.55089
6,79,22.548260000000003
6,80,22.51407
6,81,22.49303
6,82,16.24678
6,83,22.42202
6,84,22.39046
5,77,22.57982
5,78,16.34409
5,79,22.548260000000003
5,80,22.51933
5,81,22.479879999999998
5,82,3.92786
5,83,22.4378
5,84,22.41676
4,77,22.57456
4,78,22.55878
4,79,22.535110000000003
4,80,22.50881
4,81,22.50618
4,82,3.93312
4,83,16.27045
4,84,22.41413
3,77,22.58771
3,78,22.55878
3,79,22.53774
3,80,22.54037
3,81,22.4904
3,82,22.48514
3,83,16.28097
3,84,10.08995
2,77,22.57456
2,78,16.34935
2,79,22.55352
2,80,16.34409
2,81,22.42202
2,82,16.31779
2,83,22.47199
2,84,22.42991
1,77,22.57719
1,78,16.3362
1,79,22.55089
1,80,22.52459
1,81,22.5167
1,82,22.51933
1,83,22.479879999999998
1,84,16.30727
0,77,22.57719
0,78,22.57456
0,79,22.52459
0,80,16.36513
0,81,22.51144
0,82,22.49566
0,83,16.338829999999998
0,84,16.29412
-1,77,22.57982
-1,78,16.40721
-1,79,22.56667
-1,80,22.53248
-1,81,22.50618
-1,82,22.49566
-1,83,22.48251
-1,84,16.2573
-2,77,22.569300000000002
-2,78,22.34312
-2,79,16.47296
-2,80,22.53248
-2,81,22.51144
-2,82,10.13203
-2,83,22.47199
-2,84,22.464100000000002
-3,77,22.56667
-3,78,22.55089
-3,79,22.535110000000003
-3,80,22.51407
-3,81,22.50092
-3,82,22.47462
-3,83,16.29412
-3,84,22.46936
-4,77,22.55352
-4,78,22.535110000000003
-4,79,22.548260000000003
-4,80,22.52459
-4,81,16.34935
-4,82,16.333569999999998
-4,83,16.323050000000002
-4,84,22.47725
-5,77,22.55352
-5,78,22.54037
-5,79,22.53248
-5,80,22.51407
-5,81,22.5167
-5,82,22.50092
-5,83,22.46147
-5,84,22.4378
-6,77,22.55352
-6,78,22.54563
-6,79,22.49303
-6,80,22.52196
-6,81,22.51144
-6,82,22.51144
-6,83,22.450950000000002
-6,84,22.44043
-7,77,16.32568
-7,78,22.548260000000003
-7,79,22.535110000000003
-7,80,22.50355
-7,81,22.50355
-7,82,22.50092
-7,83,22.46936
-7,84,22.48251
-8,77,16.39143
-8,78,22.561410000000002
-8,79,22.548260000000003
-8,80,22.52985
-8,81,22.50092
-8,82,22.50355
-8,83,22.464100000000002
-8,84,22.46936
-9,77,22.58771
-9,78,22.52985
-9,79,22.556150000000002
-9,80,16.3625
-9,81,22.543
-9,82,22.51407
-9,83,10.168849999999999
-9,84,22.50092
-10,77,22.57982
-10,78,22.57982
-10,79,22.561410000000002
-10,80,22.561410000000002
-10,81,22.561410000000002
-10,82,22.53248
-10,83,16.36513
-10,84,22.50355
-11,77,22.59034
-11,78,22.57193
-11,79,22.56667
-11,80,16.35461
-11,81,22.55089
-11,82,16.346719999999998
-11,83,16.346719999999998
-11,84,16.36513
-12,77,22.59034
-12,78,22.57719
-12,79,22.57982
-12,80,22.55089
-12,81,22.55352
-12,82,22.52459
-12,83,22.49566
-12,84,22.48251
-13,77,22.58245
-13,78,16.373019999999997
-13,79,22.56667
-13,80,22.543
-13,81,22.52985
-13,82,22.535110000000003
-13,83,16.3099
-13,84,22.49829
-14,77,22.55352
-14,78,22.56404
-14,79,22.54037
-14,80,22.50618
-14,81,22.52722
-14,82,22.50881
-14,83,22.464100000000002
-14,84,22.45884
-15,77,22.49829
-15,78,22.535110000000003
-15,79,22.51407
-15,80,22.49566
-15,81,22.46936
-15,82,16.494
-15,83,22.42991
-15,84,10.44763
-16,77,22.52196
-16,78,22.50881
-16,79,22.49566
-16,80,22.46936
-16,81,22.42465
-16,82,22.39572
-16,83,16.21522
-16,84,16.1784
-17,77,22.48514
-17,78,22.47725
-17,79,22.43254
-17,80,22.40887
-17,81,22.358900000000002
-17,82,22.32471
-17,83,22.26948
-17,84,16.0995
-18,77,22.456210000000002
-18,78,22.44832
-18,79,22.39835
-18,80,16.20996
-18,81,22.31156
-18,82,16.50189
-18,83,22.172169999999998
-18,84,22.04856
-19,77,22.4378
-19,78,16.233629999999998
-19,79,22.36153
-19,80,22.31419
-19,81,22.22477
-19,82,22.153760000000002
-19,83,16.00482
-19,84,3.9041900000000003
-20,77,22.40624
-20,78,16.4414
-20,79,22.29052
-20,80,10.01368
-20,81,16.09424
-20,82,15.98641
-20,83,15.85491
-20,84,3.9041900000000003
-21,77,22.36679
-21,78,22.29315
-21,79,22.20899
-21,80,22.172169999999998
-21,81,10.14255
-21,82,15.836500000000001
-21,83,3.8963
-22,77,22.32208
-22,78,16.25204
-22,79,16.06531
-22,80,22.04593
-22,81,15.8628
-22,82,3.8910400000000003
-23,77,22.23792
-23,78,16.08898
-23,79,15.98641
-23,80,15.83913
-23,81,3.89367
-24,77,22.14587
-24,78,15.98378
-24,79,15.85228
-24,80,3.88841
-25,77,10.066279999999999
-25,78,9.87955
-25,79,3.88841
-26,77,9.8401
-32,69,3.8963
-31,69,22.02226
-31,70,9.88218
-31,71,3.8910400000000003
-30,69,22.14061
-30,70,9.997900000000001
-30,71,9.88744
-30,72,3.88841
-29,69,22.277369999999998
-29,70,21.84605
-29,71,22.12483
-29,72,21.9644
-29,73,9.89796
-29,74,3.91208
-28,69,22.3326
-28,70,22.28263
-28,71,22.19321
-28,72,22.12746
-28,73,15.98904
-28,74,9.88218
-28,75,3.8963
-27,69,22.3852
-27,70,16.22048
-27,71,22.3063
-27,72,22.25107
-27,73,10.02683
-27,74,16.0469
-27,75,21.92495
-27,76,3.90945
-26,69,22.40098
-26,70,22.39835
-26,71,22.3063
-26,72,22.32734
-26,73,15.797049999999999
-26,74,22.19058
-26,75,21.98018
-26,76,15.96011
-25,69,22.44569
-25,70,22.40624
-25,71,22.37205
-25,72,10.03735
-25,73,22.31682
-25,74,16.18103
-25,75,22.16954
-25,76,3.93312
-24,69,22.46147
-24,70,22.45358
-24,71,22.42728
-24,72,22.41413
-24,73,10.05576
-24,74,16.18366
-24,75,22.28
-24,76,22.227400000000003
-23,69,16.333569999999998
-23,70,16.27045
-23,71,22.45884
-23,72,22.44569
-23,73,22.42728
-23,74,22.39046
-23,75,22.36153
-23,76,22.30893
-22,69,22.51144
-22,70,22.49566
-22,71,22.49566
-22,72,16.27308
-22,73,22.44832
-22,74,22.42202
-22,75,22.38783
-22,76,22.38783
-21,69,16.338829999999998
-21,70,22.5167
-21,71,22.49303
-21,72,22.47725
-21,73,22.45884
-21,74,22.44569
-21,75,22.42202
-21,76,22.4115
-20,69,22.51407
-20,70,22.52722
-20,71,22.50355
-20,72,22.49303
-20,73,22.46147
-20,74,22.46936
-20,75,22.443060000000003
-20,76,16.254669999999997
-19,69,22.535110000000003
-19,70,22.535110000000003
-19,71,16.31253
-19,72,22.4904
-19,73,16.28097
-19,74,22.46936
-19,75,16.333569999999998
-19,76,22.46147
-18,69,22.54563
-18,70,22.54037
-18,71,22.52985
-18,72,22.5167
-18,73,16.29412
-18,74,16.30727
-18,75,22.479879999999998
-18,76,22.48777
-17,69,22.57982
-17,70,16.3362
-17,71,22.54037
-17,72,16.3362
-17,73,22.51407
-17,74,22.535110000000003
-17,75,22.50355
-17,76,10.113620000000001
-16,69,22.57193
-16,70,22.56404
-16,71,22.561410000000002
