X,Y,Value
0,91,3.9173400000000003
-1,91,3.91471
-2,91,3.9173400000000003
-3,91,3.9173400000000003
-4,91,3.91997
-5,91,4.02254
-6,91,3.9173400000000003
-7,91,3.9173400000000003
-16,87,3.91471
-15,87,9.900590000000001
-15,88,3.9226
-14,87,3.91997
-10,87,16.015340000000002
-9,87,22.28263
-9,88,9.97686
-9,89,9.798020000000001
-9,90,4.09618
-8,87,10.0505
-8,88,22.23529
-8,89,21.9644
-8,90,9.81117
-7,87,22.36153
-7,88,22.28789
-7,89,16.14158
-7,90,9.8927
-6,87,16.19944
-6,88,22.29315
-6,89,22.16165
-6,90,9.89533
-5,87,22.37205
-5,88,22.277369999999998
-5,89,22.16428
-5,90,15.88647
-4,87,22.39046
-4,88,22.28789
-4,89,22.053819999999998
-4,90,21.835530000000002
-3,87,22.35627
-3,88,22.27211
-3,89,16.09424
-3,90,21.832900000000002
-2,87,22.33786
-2,88,22.26948
-2,89,16.05742
-2,90,10.06891
-1,87,22.34312
-1,88,16.23889
-1,89,16.41773
-1,90,15.88121
0,87,16.19681
0,88,22.26159
0,89,22.13272
0,90,9.8927
1,87,22.32997
1,88,22.24318
1,89,22.0696
1,90,3.91997
2,87,22.3063
2,88,16.10476
2,89,21.98807
2,90,3.9173400000000003
3,87,22.29841
3,88,22.159019999999998
3,89,15.87332
3,90,3.91997
4,87,16.13369
4,88,22.08801
4,89,9.88218
4,90,3.9226
5,87,22.20899
5,88,15.98378
5,89,3.9173400000000003
6,87,22.13009
6,88,9.91111
6,89,3.91997
7,87,15.96011
7,88,3.9226
8,87,3.9173400000000003
9,87,3.91208
14,83,3.9173400000000003
13,83,15.95748
13,84,3.9304900000000003
12,83,22.143240000000002
12,84,6.0792
12,85,3.9173400000000003
11,83,22.25633
11,84,22.06171
11,85,3.91471
10,83,22.3326
10,84,16.330940000000002
10,85,21.96966
10,86,3.91997
9,83,22.37731
9,84,22.30104
9,85,22.172169999999998
9,86,10.01368
8,83,16.338829999999998
8,84,22.32471
8,85,16.128429999999998
8,86,22.08801
7,83,22.42202
7,84,22.38257
7,85,22.3063
7,86,22.22214
6,83,22.44043
6,84,22.41413
6,85,22.36679
6,86,22.28526
5,83,22.44043
5,84,22.42465
5,85,10.05313
5,86,22.32471
4,83,22.44043
4,84,16.254669999999997
4,85,22.39572
4,86,16.19681
3,83,22.44832
3,84,22.43254
3,85,22.40887
3,86,22.37205
2,83,22.44569
2,84,22.42991
2,85,22.4115
2,86,16.217850000000002
1,83,22.44043
1,84,16.249409999999997
1,85,22.40624
1,86,16.30201
0,83,22.44832
0,84,22.42991
0,86,22.38783
-1,83,22.44832
-1,84,22.43254
-1,85,22.40361
-1,86,22.40887
-2,83,22.47725
-2,84,22.45358
-2,85,22.42991
-2,86,22.39835
-3,83,22.49303
-3,84,16.28886
-3,85,22.4378
-3,86,22.42728
-4,83,22.50092
-4,84,22.48251
-4,85,16.26782
-4,86,22.42991
-5,83,22.49303
-5,84,22.45358
-5,85,22.44832
-5,86,22.41676
-6,83,22.4378
-6,84,22.42465
-6,85,22.4115
-6,86,22.3852
-7,83,22.42202
-7,84,16.23889
-7,85,22.39309
-7,86,22.39572
-8,83,22.42728
-8,84,22.42465
-8,85,22.42202
-8,86,22.42202
-9,83,22.46673
-9,84,22.44043
-9,85,22.42728
-9,86,22.38783
-10,83,22.51407
-10,84,22.479879999999998
-10,85,22.4115
-10,86,22.26685
-11,83,22.543
-11,84,22.4115
-11,85,22.00648
-11,86,3.91997
-12,83,22.57982
-12,84,22.44043
-12,85,15.902249999999999
-13,83,22.59297
-13,84,22.464100000000002
-13,85,10.03472
-14,83,22.556150000000002
-14,84,22.50355
-14,85,22.35627
-14,86,9.98475
-15,83,22.443060000000003
-15,84,22.42202
-15,85,16.228369999999998
-15,86,10.01631
-16,83,22.36679
-16,84,22.31945
-16,85,16.13895
-16,86,9.96371
-17,83,22.28263
-17,84,22.27474
-17,85,22.10642
-17,86,9.900590000000001
-18,83,22.29578
-18,84,22.143240000000002
-18,85,15.86543
-18,86,9.51135
-19,83,22.156390000000002
-19,84,16.015340000000002
-19,85,9.83221
-20,83,21.864459999999998
-20,84,9.8401
-21,83,9.83221
-25,79,9.88481
-24,79,22.00122
-24,80,9.876919999999998
-23,79,22.172169999999998
-23,80,22.01963
-23,81,9.863769999999999
-22,79,22.264219999999998
-22,80,22.16954
-22,81,22.02752
-22,82,9.861139999999999
-21,79,22.3326
-21,80,22.28
-21,81,22.16954
-21,82,21.98018
-20,79,22.38783
-20,80,22.351010000000002
-20,81,22.26948
-20,82,22.156390000000002
-19,79,22.43254
-19,80,22.39835
-19,81,22.35364
-19,82,22.28789
-18,79,22.44832
-18,80,22.4378
-18,81,22.39835
-18,82,22.36679
-17,79,22.43517
-17,80,22.41676
-17,81,22.40624
-17,82,22.39309
-16,79,22.44569
-16,80,22.4378
-16,81,22.4115
-16,82,22.39309
-15,79,22.50618
-15,80,22.50092
-15,81,22.479879999999998
-15,82,22.464100000000002
-14,79,22.556150000000002
-14,80,22.55089
-14,81,22.548260000000003
-14,82,22.556150000000002
-13,79,16.58342
-13,80,16.38091
-13,81,16.35198
-13,82,22.58245
-12,79,22.57719
-12,80,22.57193
-12,81,22.57193
-12,82,16.35198
-11,79,22.56404
-11,80,22.55352
-11,81,22.556150000000002
-11,82,22.556150000000002
-10,79,22.55352
-10,80,22.54037
-10,81,22.52459
-10,82,22.51933
-9,79,22.52459
-9,80,22.50355
-9,81,22.48251
-9,82,22.46936
-8,79,22.48251
-8,80,22.47199
-8,81,22.45358
-8,82,22.44043
-7,79,22.48251
-7,80,22.47462
-7,81,22.45884
-7,82,22.4378
-6,79,22.50881
-6,80,22.49829
-6,81,22.48514
-6,82,22.47462
-5,79,22.53248
-5,80,22.51933
-5,81,22.51144
-5,82,22.49829
-4,79,22.52985
-4,80,16.31779
-4,81,16.3099
-4,82,16.30201
-3,79,22.52722
-3,80,16.3099
-3,81,22.50881
-3,82,22.50355
-2,79,22.51933
-2,80,22.50618
-2,81,22.4904
-2,82,22.4904
-1,79,22.50881
-1,80,22.49829
-1,81,16.757
-1,82,22.48251
0,79,22.50355
0,80,22.48514
0,81,22.47725
0,82,22.47462
1,79,22.49829
1,80,16.27834
1,81,22.46936
1,82,16.27308
2,79,22.4904
2,80,22.47725
2,81,22.464100000000002
2,82,22.45884
3,79,22.4904
3,80,22.47462
3,81,22.456210000000002
3,82,22.45358
4,79,22.47725
4,80,22.47462
4,81,22.46147
4,82,22.456210000000002
5,79,22.4904
5,80,16.29938
5,81,10.56598
5,82,22.464100000000002
6,79,16.30727
6,80,16.28623
6,81,22.46936
6,82,16.28623
7,79,22.479879999999998
7,80,22.479879999999998
7,81,16.27834
7,82,16.26519
8,79,22.47725
8,80,16.2836
8,81,22.46673
8,82,22.45884
9,79,22.47462
9,80,22.46147
9,81,22.45358
9,82,22.42465
10,79,22.479879999999998
10,80,22.46936
10,81,22.43517
10,82,22.39572
11,79,22.46673
11,80,16.26256
11,81,22.41676
11,82,22.364160000000002
12,79,22.464100000000002
12,80,22.42465
12,81,22.37731
12,82,22.28263
13,79,22.43517
13,80,22.38257
13,81,22.31156
13,82,22.159019999999998
14,79,20.02872
14,80,19.34755
14,81,19.48168
14,82,13.942900000000002
15,79,15.831240000000001
15,80,13.961310000000001
15,81,13.76143
15,82,3.91997
16,79,14.781870000000001
16,80,15.9417
16,81,3.91208
17,79,15.915399999999998
17,80,3.93312
18,79,3.91997
21,75,3.91997
20,75,13.524729999999998
20,76,3.92523
19,75,22.264219999999998
19,76,16.02849
19,77,3.91208
18,75,22.38257
18,76,22.26948
18,77,21.86709
18,78,8.611889999999999
17,75,22.43517
17,76,22.37994
17,77,16.4677
17,78,12.83567
16,75,22.464100000000002
16,76,22.40361
16,77,17.78007
16,78,8.87752
15,75,22.4904
15,76,22.464100000000002
15,77,16.120540000000002
15,78,16.88061
14,75,22.50355
14,76,22.48251
14,77,22.464100000000002
14,78,20.28909
13,75,22.49829
13,76,22.49303
13,77,22.479879999999998
13,78,22.46147
12,75,22.49303
12,76,22.49303
12,77,22.23003
12,78,22.46936
11,75,22.49829
11,76,22.4904
11,77,22.48251
11,78,22.48251
10,75,22.51407
10,76,22.49566
10,77,22.4904
10,78,22.48777
9,75,22.51144
9,76,22.50355
9,77,22.49566
9,78,22.48777
8,75,10.10836
8,76,22.49303
8,77,22.48777
8,78,22.48251
7,75,16.3099
7,76,22.50618
7,77,22.49566
7,78,22.48251
6,75,22.5167
6,76,16.359869999999997
6,77,16.29675
6,78,16.341459999999998
5,75,22.52459
5,76,16.31253
5,77,16.30727
5,78,22.49829
4,75,22.52196
4,76,22.51933
4,77,22.50355
4,78,22.49829
3,75,22.52985
3,76,22.52459
3,77,22.51144
3,78,22.50355
2,75,16.31516
2,76,22.51933
2,77,22.50355
2,78,22.51144
1,75,16.323050000000002
1,76,16.3099
1,77,22.5167
1,78,22.50881
0,75,22.53774
0,76,22.52196
0,77,22.51407
0,78,22.52196
-1,75,22.54037
-1,76,22.53248
-1,77,22.52722
-1,78,22.5167
-2,75,22.55089
-2,76,22.53774
-2,77,16.323050000000002
-2,78,16.31516
-3,75,22.55089
-3,76,22.543
-3,77,22.53774
-3,78,22.54037
-4,75,22.55878
-4,76,22.55089
-4,77,22.548260000000003
-4,78,22.53774
-5,75,22.556150000000002
-5,76,22.54563
-5,77,22.53774
-5,78,22.543
-6,75,22.543
-6,76,22.52985
-6,77,16.31253
-6,78,22.51933
-7,75,22.535110000000003
-7,76,22.52985
-7,77,22.51144
-7,78,22.4904
-8,75,22.543
-8,76,22.53774
-8,77,22.52196
-8,78,22.51144
-9,75,22.57193
-9,76,22.561410000000002
-9,77,22.55089
-9,78,22.54563
-10,75,22.58771
-10,76,22.57456
-10,77,22.57193
-10,78,22.56404
-11,75,22.59823
-11,76,22.59034
-11,77,22.57982
-11,78,22.569300000000002
-12,75,22.60086
-12,76,22.59034
-12,77,22.58771
-12,78,22.58771
-13,75,22.59034
-13,76,22.5956
-13,77,22.59297
-13,78,22.58771
-14,75,22.57456
-14,76,22.57193
-14,77,22.56404
-14,78,22.569300000000002
-15,75,22.54563
-15,76,20.94133
-15,77,22.52459
-15,78,22.52722
-16,75,22.5167
-16,76,22.50355
-16,77,22.49303
-16,78,22.47462
-17,75,22.49303
-17,76,22.479879999999998
-17,77,22.456210000000002
-17,78,22.450950000000002
-18,75,22.479879999999998
-18,76,22.46936
-18,77,22.46147
-18,78,22.46673
-19,75,22.48514
-19,76,22.479879999999998
-19,77,22.46936
-19,78,22.456210000000002
-20,75,22.47199
-20,76,22.456210000000002
-20,77,22.450950000000002
-20,78,22.42202
-21,75,22.443060000000003
-21,76,22.43254
-21,77,22.42202
-21,78,22.39046
-22,75,22.4115
-22,76,22.374679999999998
-22,77,22.364160000000002
-22,78,22.3326
-23,75,10.05576
-23,76,22.34312
-23,77,16.52293
-23,78,22.26948
-24,75,22.33523
-24,76,22.3063
-24,77,22.258960000000002
-24,78,22.15113
-25,75,22.30104
-25,76,22.253700000000002
-25,77,22.143240000000002
-25,78,22.00648
-26,75,22.25107
-26,76,22.13798
-26,77,15.96011
-26,78,3.9173400000000003
-27,75,22.11431
-27,76,15.933809999999998
-28,75,3.9173400000000003
-31,71,9.88481
-30,71,22.11957
-30,72,15.96537
-29,71,22.26948
-29,72,22.1748
-29,73,15.97063
-29,74,9.89796
-28,71,22.33523
-28,72,16.16788
-28,73,22.21162
-28,74,15.97589
-27,71,22.351010000000002
-27,72,22.32471
-27,73,22.29052
-27,74,22.23529
-26,71,22.36679
-26,72,22.351010000000002
-26,73,22.32997
-26,74,22.29841
-25,71,22.38783
-25,72,22.37205
-25,73,22.35364
-25,74,22.33523
-24,71,22.4115
-24,72,22.40098
-24,73,22.37994
-24,74,22.364160000000002
-23,71,22.43517
-23,72,22.41413
-23,73,22.40361
-23,74,22.39835
-22,71,22.47199
-22,72,22.44569
-22,73,22.42728
-22,74,22.43254
-21,71,22.48251
-21,72,22.45884
-21,73,22.44832
-21,74,22.443060000000003
-20,71,22.50355
-20,72,16.29412
-20,73,22.48777
-20,74,22.48251
-19,71,22.51144
-19,72,22.50618
-19,73,22.4904
-19,74,22.48777
-18,71,22.52196
-18,72,22.51144
-18,73,22.49829
-18,74,22.49566
-17,71,22.53774
-17,72,22.52459
-17,73,22.5167
-17,74,22.50618
-16,71,22.548260000000003
-16,72,22.54037
-16,73,22.52985
-16,74,22.535110000000003
-15,71,22.56404
-15,72,22.561410000000002
-15,73,22.56404
-15,74,22.55878
-14,71,16.34935
-14,72,22.59034
-14,73,22.57982
-14,74,22.59034
-13,71,22.60612
-13,72,22.59823
-13,73,22.5956
-13,74,22.60086
-12,71,22.60875
-12,72,22.59297
-12,73,22.60612
-12,74,22.60349
-11,71,22.61401
-11,72,22.60875
-11,73,22.60612
-11,74,22.60875
-10,71,22.60612
-10,72,22.59823
-10,73,22.59297
-10,74,22.59823
-9,71,22.5956
-9,72,22.58771
-9,73,22.57456
-9,74,22.57456
-8,71,22.569300000000002
-8,72,22.561410000000002
-8,73,22.561410000000002
-8,74,22.561410000000002
-7,71,22.57193
-7,72,22.56404
-7,73,22.55089
-7,74,22.556150000000002
-6,71,16.35198
-6,72,22.561410000000002
-6,73,22.56404
-6,74,22.556150000000002
-5,71,22.57193
-5,72,22.56404
-5,73,22.561410000000002
-5,74,22.56404
-4,71,22.56667
-4,72,22.556150000000002
