X,Y,Value
5,75,9.656
4,75,21.68299
3,75,21.832900000000002
3,76,3.88052
2,75,21.92758
2,76,15.75497
1,75,16.06005
1,76,21.754
1,77,3.87526
0,75,16.21259
0,76,9.88744
0,77,15.513009999999998
-1,75,16.0469
-1,76,21.94862
-1,77,21.709290000000003
-2,75,22.227400000000003
-2,76,22.10379
-2,77,15.86806
-3,75,22.34312
-3,76,22.28
-3,77,22.10379
-4,75,22.29578
-4,76,22.19058
-4,77,22.038040000000002
-5,75,16.19681
-5,76,21.99596
-5,77,15.384139999999999
-6,75,22.02752
-6,76,15.86017
-6,77,9.26939
-7,75,9.995270000000001
-15,71,15.689219999999999
-14,71,21.851309999999998
-14,72,15.65766
-13,71,21.97492
-13,72,21.79871
-13,73,15.397289999999998
-12,71,22.03278
-12,72,21.89865
-12,73,10.20567
-12,74,3.88315
-11,71,21.34898
-11,72,15.904879999999999
-11,73,21.3858
-11,74,3.8778900000000003
-10,71,21.709290000000003
-10,72,3.87526
-9,71,15.699739999999998
-9,72,3.88315
-8,71,22.030150000000003
-8,72,15.831240000000001
-8,73,9.93741
-7,71,22.19584
-7,72,22.159019999999998
-7,73,22.09064
-7,74,21.92232
-6,71,22.24318
-6,72,16.08109
-6,73,22.17743
-6,74,22.10905
-5,71,16.38354
-5,72,22.28263
-5,73,22.264219999999998
-5,74,22.21951
-4,71,22.34838
-4,72,22.31419
-4,73,16.20996
-4,74,22.32471
-3,71,22.37205
-3,72,22.36153
-3,73,16.233629999999998
-3,74,22.36679
-2,71,22.33786
-2,72,22.31156
-2,73,22.31156
-2,74,16.20733
-1,71,16.16788
-1,72,22.253700000000002
-1,73,22.24581
-1,74,22.18795
0,71,22.28263
0,72,16.18892
0,73,22.21425
0,74,16.254669999999997
1,71,22.253700000000002
1,72,22.20636
1,73,16.09687
1,74,22.08801
2,71,22.24581
2,72,16.144209999999998
2,73,16.09424
2,74,22.05908
3,71,22.22214
3,72,22.17743
3,73,16.09161
3,74,22.01437
4,71,22.18532
4,72,22.122200000000003
4,73,22.05908
4,74,21.92232
5,71,22.18269
5,72,9.96371
5,73,22.01174
5,74,15.74182
6,71,22.13798
6,72,15.996929999999999
6,73,21.87761
6,74,9.79013
7,71,9.979489999999998
7,72,15.920659999999998
7,73,9.866399999999999
8,71,21.956509999999998
8,72,15.802309999999999
9,71,21.73822
13,67,9.84536
12,67,21.940730000000002
12,68,9.85062
11,67,16.04953
11,68,9.89533
11,69,21.66458
10,67,22.18795
10,68,16.05742
10,69,21.945990000000002
10,70,21.74874
9,67,22.240550000000002
9,68,22.16428
9,69,16.13895
9,70,15.95748
8,67,16.13369
8,68,16.09687
8,69,22.1748
8,70,22.0959
7,67,22.27474
7,68,22.240550000000002
7,69,22.20636
7,70,22.16954
6,67,16.15736
6,68,22.26159
6,69,22.23792
6,70,22.20899
5,67,22.30893
5,68,22.27474
5,69,22.24581
5,70,16.21259
4,67,16.44666
4,68,22.27474
4,69,22.264219999999998
4,70,16.7833
3,67,16.30201
3,68,22.28526
3,69,22.28
3,70,22.25633
2,67,16.34409
2,68,16.16788
2,69,22.30893
2,70,22.29841
1,67,22.34049
1,68,22.32208
1,69,16.21522
1,70,22.29052
0,67,16.23889
0,68,22.31945
0,69,22.32471
0,70,4.13563
-1,67,22.34312
-1,68,22.31682
-1,69,22.31419
-1,70,22.31156
-2,67,16.18629
-2,68,22.3326
-2,69,22.34312
-2,70,22.33786
-3,67,16.20733
-3,68,22.369419999999998
-3,69,22.37731
-3,70,10.10573
-4,67,22.345750000000002
-4,68,22.32997
-4,69,22.34312
-4,70,22.34838
-5,67,22.32997
-5,68,22.31682
-5,69,22.32471
-5,70,16.44666
-6,67,22.32208
-6,68,16.36513
-6,69,22.28
-6,70,22.26685
-7,67,22.29578
-7,68,22.258960000000002
-7,69,22.24318
-7,70,16.144209999999998
-8,67,22.258960000000002
-8,68,22.23529
-8,69,22.22214
-8,70,22.19321
-9,67,22.25633
-9,68,22.24581
-9,69,16.37039
-9,70,9.997900000000001
-10,67,22.20373
-10,68,22.2011
-10,69,22.19847
-10,70,16.47559
-11,67,22.18269
-11,68,22.16691
-11,69,22.156390000000002
-11,70,16.04164
-12,67,16.10213
-12,68,16.06794
-12,69,22.13272
-12,70,16.08898
-13,67,16.19418
-13,68,22.11694
-13,69,22.05908
-13,70,16.01797
-14,67,22.159019999999998
-14,68,10.04524
-14,69,22.05908
-14,70,22.00911
-15,67,16.05742
-15,68,22.11168
-15,69,22.038040000000002
-15,70,15.86543
-16,67,22.11957
-16,68,15.96274
-16,69,9.971599999999999
-16,70,9.84536
-17,67,22.01174
-17,68,21.835530000000002
-17,69,9.79276
-18,67,15.74182
-21,63,9.81117
-20,63,21.73822
-20,64,15.121139999999997
-19,63,22.04856
-19,64,15.804940000000002
-19,65,14.82921
-19,66,8.66449
-18,63,22.19058
-18,64,22.14061
-18,65,16.1258
-18,66,15.723409999999998
-17,63,16.21522
-17,64,16.09687
-17,65,22.153760000000002
-17,66,16.03638
-16,63,22.24318
-16,64,20.62047
-16,65,16.07057
-16,66,16.31779
-15,63,22.23529
-15,64,22.21425
-15,65,9.99001
-15,66,10.22671
-14,63,22.25107
-14,64,22.227400000000003
-14,65,22.22214
-14,66,16.39932
-13,63,22.26685
-13,64,16.14158
-13,65,16.120540000000002
-13,66,22.21688
-12,63,22.29052
-12,64,22.240550000000002
-12,65,22.23792
-12,66,22.22477
-11,63,16.359869999999997
-11,64,22.258960000000002
-11,65,22.23529
-11,66,22.21425
-10,63,22.28263
-10,64,22.26685
-10,65,16.120540000000002
-10,66,9.99001
-9,63,16.17051
-9,64,22.27211
-9,65,16.128429999999998
-9,66,22.25107
-8,63,22.32997
-8,64,16.17051
-8,65,22.29315
-8,66,16.27045
-7,63,16.44666
-7,64,22.31682
-7,65,22.32208
-7,66,22.31682
-6,63,22.34049
-6,64,16.18103
-6,65,16.32042
-6,66,22.32471
-5,63,22.35364
-5,64,22.33523
-5,65,22.345750000000002
-5,66,22.34049
-4,63,22.36153
-4,64,16.30464
-4,65,22.35364
-4,66,16.30201
-3,63,22.374679999999998
-3,64,16.19418
-3,65,22.35627
-3,66,22.36153
-2,63,22.38257
-2,64,16.39669
-2,65,22.364160000000002
-2,66,16.20733
-1,63,22.37994
-1,64,22.358900000000002
-1,65,22.36153
-1,66,22.35627
0,63,16.21522
0,64,22.35364
0,65,22.35364
0,66,22.35364
1,63,22.39046
1,64,10.34243
1,65,22.37205
1,66,22.36153
2,63,22.37731
2,64,22.34049
2,65,22.35627
2,66,16.18629
3,63,22.37205
3,64,22.34838
3,65,22.345750000000002
3,66,22.34049
4,63,10.03998
4,64,16.34409
4,65,22.35627
4,66,16.19944
5,63,22.369419999999998
5,64,16.330940000000002
5,65,16.31253
5,66,16.35198
6,63,16.22311
6,64,16.34935
6,65,22.3326
6,66,22.3326
7,63,22.358900000000002
7,64,16.38354
7,65,22.33523
7,66,22.31945
8,63,22.34838
8,64,22.32471
8,65,22.31156
8,66,16.15473
9,63,16.20733
9,64,10.03209
9,65,10.181999999999999
9,66,22.29052
10,63,22.33786
10,64,22.28526
10,65,16.13895
10,66,22.24581
11,63,22.31156
11,64,16.13369
11,65,16.120540000000002
11,66,16.11265
12,63,22.26948
12,64,22.21425
12,65,16.07583
12,66,22.08012
13,63,16.120540000000002
13,64,22.14061
13,65,22.051190000000002
13,66,15.920659999999998
14,63,22.11957
14,64,21.98018
14,65,21.71981
15,63,21.89865
15,64,9.83747
17,59,22.017
17,60,21.78819
16,59,22.2011
16,60,16.05742
16,61,21.96703
16,62,15.84965
15,59,16.19418
15,60,22.24318
15,61,16.08635
15,62,22.08801
14,59,16.21522
14,60,22.29052
14,61,22.253700000000002
14,62,16.15736
13,59,22.35627
13,60,16.1784
13,61,16.16788
13,62,16.18629
12,59,22.37205
12,60,22.34312
12,61,22.32208
12,62,22.3063
11,59,22.37731
11,60,22.34838
11,61,16.19418
11,62,22.33786
10,59,22.3852
10,60,22.35364
10,61,22.36153
10,62,16.30201
9,59,22.38783
9,60,16.2047
9,61,22.36153
9,62,22.358900000000002
8,59,22.39572
8,60,16.3362
8,61,16.2047
8,62,22.369419999999998
7,59,22.40361
7,60,22.37994
7,61,22.3852
7,62,22.37205
6,59,16.40195
6,60,22.374679999999998
6,61,22.37731
6,62,16.20996
5,59,22.40624
5,60,22.3852
5,61,22.3852
5,62,22.37731
4,59,22.40098
4,60,22.38257
4,61,22.37994
4,62,22.38257
3,59,22.39835
3,60,22.38257
3,61,22.38257
3,62,10.0505
2,59,22.4115
2,60,16.231
2,61,22.39572
2,62,22.39835
1,59,22.39835
1,60,16.217850000000002
1,61,22.38783
1,62,22.38257
0,59,22.40361
0,60,22.37731
0,61,16.48085
0,62,22.38257
-1,59,22.40098
-1,60,16.30727
-1,61,22.37731
-1,62,22.364160000000002
-2,59,22.39309
-2,60,16.43088
-2,61,22.37731
-2,62,22.37731
-3,59,22.38783
-3,60,22.364160000000002
-3,61,22.37205
-3,62,16.46244
-4,59,22.374679999999998
-4,60,16.341459999999998
-4,61,22.369419999999998
-4,62,22.36153
-5,59,22.369419999999998
-5,60,22.351010000000002
-5,61,16.20207
-5,62,22.35364
-6,59,16.2047
-6,60,16.444029999999998
-6,61,22.35627
-6,62,22.35627
-7,59,22.358900000000002
-7,60,22.34312
-7,61,22.345750000000002
-7,62,16.44929
-8,59,22.345750000000002
-8,60,16.338829999999998
-8,61,22.33786
-8,62,22.3326
-9,59,22.34838
-9,60,22.32471
-9,61,16.4414
-9,62,22.32471
-10,59,22.33523
-10,60,22.32208
-10,61,22.31419
-10,62,22.32208
-11,59,22.31945
-11,60,22.29841
-11,61,16.15473
-11,62,10.19778
-12,59,16.38354
-12,60,16.17051
-12,61,22.28526
-12,62,22.28789
-13,59,22.29841
-13,60,22.28263
-13,61,22.264219999999998
-13,62,16.144209999999998
-14,59,22.29315
-14,60,22.24318
