X,Y,Value
0,103,17.02263
-1,103,17.022104
-2,103,17.021841
-3,103,17.022893
-4,103,3.870263
-5,103,3.881835
-6,103,3.872893
-7,103,6.138901000000001
-8,103,17.022893
-9,103,17.021841
-10,103,17.022893
-20,99,17.022893
-19,99,3.947585
-18,99,3.8994560000000003
-18,100,17.022893
-17,99,17.023418999999997
-11,99,3.88052
-11,100,4.0314820000000005
-11,101,17.022104
-11,102,17.023156
-10,99,3.873945
-10,100,3.871315
-10,101,3.8792050000000002
-10,102,17.021578
-9,99,3.8731560000000003
-9,100,3.871052
-9,101,3.899982
-9,102,3.873945
-8,99,3.872104
-8,100,3.8718410000000003
-8,101,3.870263
-8,102,3.877101
-7,99,3.878416
-7,100,3.896037
-7,101,3.874997
-7,102,3.8802570000000003
-6,99,3.871315
-6,100,3.871052
-6,101,3.9233890000000002
-6,102,3.942851
-5,99,3.9136580000000003
-5,100,3.878679
-5,101,3.940484
-5,102,17.023682
-4,99,3.8826240000000003
-4,100,3.8718410000000003
-4,101,3.900771
-4,102,3.882098
-3,99,3.8742080000000003
-3,100,3.870263
-3,101,3.874734
-3,102,3.9220740000000003
-2,99,3.87263
-2,100,3.870526
-2,101,3.8718410000000003
-2,102,3.874734
-1,99,4.004656
-1,100,3.872893
-1,101,3.8768380000000002
-1,102,4.014124
0,99,3.8707890000000003
0,100,3.898667
0,101,3.874734
0,102,3.8731560000000003
1,99,3.8731560000000003
1,100,3.87263
1,101,3.870526
1,102,3.881046
2,99,3.8718410000000003
2,100,3.872367
2,101,3.87263
2,102,3.873945
3,99,3.871315
3,100,3.872367
3,101,3.87526
3,102,17.022367
4,99,3.8765750000000003
4,100,3.873945
4,101,3.8815720000000002
5,99,3.916814
5,100,3.870263
5,101,17.021052
6,99,3.871052
6,100,3.870263
6,101,17.022893
7,99,17.022893
7,100,17.021841
8,99,17.020263
9,99,17.022893
15,95,17.02263
14,95,3.871315
13,95,3.882887
13,96,3.871052
12,95,17.022367
12,96,3.871052
12,97,17.021052
11,95,3.8742080000000003
11,96,3.877627
11,97,17.021052
11,98,17.021841
10,95,3.872104
10,96,3.874734
10,97,3.872893
10,98,17.023682
9,95,3.8718410000000003
9,96,3.870526
9,97,17.021841
9,98,17.022893
8,95,3.8707890000000003
8,96,3.87
8,97,3.992295
8,98,3.878942
7,95,3.9149730000000003
7,96,3.8707890000000003
7,97,3.873682
7,98,3.874997
6,95,3.8718410000000003
6,96,3.871052
6,97,3.87263
6,98,3.9483740000000003
5,95,3.879731
5,96,3.8707890000000003
5,97,3.881835
5,98,3.8765750000000003
4,95,3.873419
4,96,3.8742080000000003
4,97,3.870263
4,98,3.8778900000000003
3,95,3.955738
3,96,3.881309
3,97,3.9341720000000002
3,98,3.88052
2,95,3.872893
2,96,3.871315
2,97,3.87526
2,98,3.871578
1,95,3.917077
1,96,3.907346
1,97,4.105911
1,98,3.873419
0,95,3.8755230000000003
0,96,3.871052
0,97,3.908135
0,98,3.877627
