X,Y,Value
-11,75,3.88315
-10,75,3.88578
-9,75,3.88315
-9,76,3.8910400000000003
-8,75,8.95379
-8,76,3.8910400000000003
-7,75,3.88315
-7,76,3.8910400000000003
-7,77,3.89367
-6,75,4.69056
-6,76,3.88841
-6,77,3.88841
-5,75,21.97492
-5,76,21.78819
-5,77,3.8910400000000003
-4,75,9.97686
-4,76,15.94959
-4,77,9.861139999999999
-4,78,3.9041900000000003
-3,75,16.08635
-3,76,22.017
-3,77,3.89367
-3,78,3.9041900000000003
-2,75,22.13009
-2,76,15.98641
-2,77,9.84799
-2,78,3.90682
-1,75,22.08538
-1,76,16.11265
-1,77,9.82958
-1,78,3.8963
0,75,21.93547
0,76,15.904879999999999
0,77,43.31999999999999
1,75,22.07223
1,76,15.88647
2,75,22.06434
2,76,9.87955
3,75,22.02752
3,76,3.88841
4,75,9.874289999999998
4,76,3.88841
5,75,3.88315
6,75,3.88315
10,71,3.88315
9,71,9.94004
9,72,3.88841
8,71,22.08538
8,72,10.25038
8,73,3.8910400000000003
7,71,22.25107
7,72,20.89925
7,73,9.85325
7,74,3.9041900000000003
6,71,22.358900000000002
6,72,16.16525
6,73,22.12746
6,74,9.77172
5,71,22.39572
5,72,22.34838
5,73,22.27474
5,74,16.01797
4,71,22.369419999999998
4,72,22.31945
4,73,22.30104
4,74,22.18269
3,71,22.35627
3,72,4.00413
3,73,22.29052
3,74,20.52316
2,71,22.29315
2,72,22.28789
2,73,22.248440000000002
2,74,22.19847
1,71,22.253700000000002
1,72,22.23266
1,73,16.10213
1,74,22.18006
0,71,22.2011
0,72,22.21162
0,73,22.19058
0,74,22.148500000000002
-1,71,22.16954
-1,72,22.19058
-1,73,16.89639
-1,74,22.159019999999998
-2,71,22.18532
-2,72,22.20373
-2,73,10.00053
-2,74,16.09424
-3,71,21.14384
-3,72,22.19584
-3,73,22.18006
-3,74,10.45815
-4,71,16.039009999999998
-4,72,9.979489999999998
-4,73,9.99001
-4,74,10.36873
-5,71,22.11957
-5,72,22.11957
-5,73,22.10642
-5,74,22.08012
-6,71,22.0696
-6,72,21.74348
-6,73,22.02752
-6,74,21.90654
-7,71,21.99333
-7,72,15.904879999999999
-7,73,15.64714
-7,74,9.72964
-8,71,16.21259
-8,72,3.88841
-9,71,9.8401
-9,72,3.88841
-9,74,3.99098
-10,71,21.87498
-10,72,16.08635
-10,73,4.19349
-10,74,3.8910400000000003
-11,71,21.76978
-11,72,21.43314
-11,73,9.80591
-11,74,3.88578
-12,71,21.75137
-12,72,21.60672
-12,73,9.127369999999999
-12,74,3.9041900000000003
-13,71,21.59094
-13,72,21.35161
-13,73,9.56132
-14,71,21.40947
-14,72,9.64285
-15,71,9.656
-18,67,9.782240000000002
-18,68,3.90945
-17,67,21.49889
-17,68,21.27008
-17,69,3.8910400000000003
-16,67,9.80854
-16,68,21.51467
-16,69,21.32794
-16,70,9.60603
-15,67,21.730330000000002
-15,68,21.67247
-15,69,15.9417
-15,70,15.589280000000002
-14,67,21.8066
-14,68,21.76715
-14,69,21.69088
-14,70,21.6225
-13,67,21.840790000000002
-13,68,21.81186
-13,69,21.79082
-13,70,21.730330000000002
-12,67,21.89076
-12,68,21.864459999999998
-12,69,21.835530000000002
-12,70,21.82501
-11,67,14.850249999999999
-11,68,21.91443
-11,69,21.89865
-11,70,21.89076
-10,67,21.98281
-10,68,21.97492
-10,69,21.98281
-10,70,21.938100000000002
-9,67,22.00648
-9,68,22.02226
-9,69,22.04856
-9,70,21.961769999999998
-8,67,22.038040000000002
-8,68,22.038040000000002
-8,69,20.54157
-8,70,21.98018
-7,67,22.0959
-7,68,22.0959
-7,69,22.09327
-7,70,22.07749
-6,67,22.08801
-6,68,22.10116
-6,69,22.13272
-6,70,22.13009
-5,67,22.10116
-5,68,22.13009
-5,69,22.122200000000003
-5,70,22.15113
-4,67,22.10116
-4,68,22.11694
-4,69,22.13009
-4,70,22.156390000000002
-3,67,22.13009
-3,68,22.13009
-3,69,22.13272
-3,70,22.16954
-2,67,22.15113
-2,68,22.148500000000002
-2,69,22.172169999999998
-2,70,22.16954
-1,67,22.15113
-1,68,22.18269
-1,69,22.18006
-1,70,22.153760000000002
0,67,22.1748
0,68,22.17743
0,69,22.19584
0,70,22.23266
1,67,22.240550000000002
1,68,22.248440000000002
1,69,22.22477
1,70,21.70403
2,67,16.149469999999997
2,68,22.28789
2,69,22.30104
2,70,22.31419
3,67,20.56787
3,68,22.358900000000002
3,69,16.40195
3,70,22.36679
4,67,22.39835
4,68,22.39835
4,69,22.39572
4,70,22.39309
5,67,22.42202
5,68,22.450950000000002
5,69,22.41939
5,70,16.25204
6,67,22.41413
6,68,22.42202
6,69,16.25204
6,70,22.4115
7,67,22.38783
7,68,16.21259
7,69,22.36679
7,70,22.3326
8,67,22.351010000000002
8,68,16.17314
8,69,22.29052
8,70,16.11265
9,67,22.27474
9,68,22.227400000000003
9,69,22.1748
9,70,22.01963
10,67,22.22214
10,68,22.135350000000003
10,69,21.98544
10,70,15.74445
11,67,22.11694
11,68,21.932840000000002
11,69,9.76383
11,70,3.88315
12,67,21.87761
12,68,9.558689999999999
12,69,43.31999999999999
13,67,3.88315
16,63,28.294810000000002
15,63,15.86543
15,64,3.8910400000000003
14,63,22.02226
14,64,15.931180000000001
14,65,9.83221
14,66,3.89367
13,63,22.14587
13,64,22.066969999999998
13,65,21.98807
13,66,15.799679999999999
12,63,22.156390000000002
12,64,22.18006
12,65,22.12746
12,66,22.08801
11,63,16.13369
11,64,10.21619
11,65,22.21951
11,66,22.19058
10,63,22.25633
10,64,16.131059999999998
10,65,16.131059999999998
10,66,22.258960000000002
9,63,22.28
9,64,9.21679
9,65,22.28789
9,66,22.29578
8,63,21.86972
8,64,22.3326
8,65,22.34049
8,66,22.351010000000002
7,63,16.19418
7,64,22.358900000000002
7,65,22.374679999999998
7,66,22.38783
6,63,22.38783
6,64,22.38257
6,65,22.40624
6,66,22.42728
5,63,22.37205
5,64,16.68073
5,65,22.40361
5,66,22.42991
4,63,22.37994
4,64,22.39309
4,65,22.40098
4,66,22.4115
3,63,22.31156
3,64,22.31156
3,65,16.18366
3,66,22.36679
2,63,22.24581
2,64,22.258960000000002
2,65,16.225740000000002
2,66,22.30367
1,63,16.149469999999997
1,64,22.20899
1,65,22.21425
1,66,22.248440000000002
0,63,16.67284
0,64,16.07846
0,65,22.20636
0,66,16.131059999999998
-1,63,22.13272
-1,64,22.14061
-1,65,22.15113
-1,66,22.17743
-2,63,22.13272
-2,64,22.11168
-2,65,17.05419
-2,66,22.148500000000002
-3,63,22.07749
-3,64,16.03375
-3,65,22.10379
-3,66,22.10379
-4,63,16.015340000000002
-4,64,22.066969999999998
-4,65,22.10116
-4,66,22.10642
-5,63,22.07749
-5,64,22.053819999999998
-5,65,22.06434
-5,66,22.10116
-6,63,16.59394
-6,64,22.05908
-6,65,16.020599999999998
-6,66,22.10379
-7,63,22.051190000000002
-7,64,22.043300000000002
-7,65,22.08801
-7,66,22.08801
-8,63,22.03541
-8,64,22.038040000000002
-8,65,22.06434
-8,66,22.04593
-9,63,21.99596
-9,64,22.00911
-9,65,22.02226
-9,66,22.030150000000003
-10,63,21.96703
-10,64,21.97229
-10,65,21.96703
-10,66,21.99596
-11,63,21.92495
-11,64,16.60183
-11,65,21.92232
-11,66,21.91706
-12,63,21.90128
-12,64,15.902249999999999
-12,65,21.88024
-12,66,21.9118
-13,63,21.851309999999998
-13,64,21.8592
-13,65,21.62776
-13,66,21.85657
-14,63,21.83816
-14,64,21.82501
-14,65,21.8066
-14,66,21.82238
-15,63,20.12603
-15,64,21.81186
-15,65,21.814490000000003
-15,66,15.899619999999999
-16,63,21.77241
-16,64,21.78293
-16,65,10.42922
-16,66,20.88084
-17,63,21.722440000000002
-17,64,21.71455
-17,65,21.6751
-17,66,21.59094
-18,63,21.69351
-18,64,21.65669
-18,65,21.55412
-18,66,21.44892
-19,63,21.59094
-19,64,21.4647
-19,65,15.520899999999997
-19,66,9.7349
-20,63,21.39106
-20,64,16.17577
-20,65,9.556059999999999
-21,63,15.315760000000001
-23,59,21.093870000000003
-23,60,3.88841
-22,59,21.47522
-22,60,21.34898
-22,61,10.09784
-22,62,9.592880000000001
-21,59,21.60146
-21,60,15.73393
-21,61,15.591909999999999
-21,62,21.2806
-20,59,21.66721
-20,60,21.617240000000002
-20,61,9.77961
-20,62,15.66292
-19,59,21.69088
-19,60,21.67773
-19,61,15.74708
-19,62,21.6488
-18,59,21.73296
-18,60,21.71192
-18,61,21.722440000000002
-18,62,21.735590000000002
-17,59,21.76189
-17,60,21.75663
-17,61,21.730330000000002
-17,62,21.735590000000002
-16,59,21.80134
-16,60,21.78556
-16,61,21.78293
-16,62,21.77767
-15,59,21.85394
-15,60,15.902249999999999
-15,61,17.01211
-15,62,15.86017
-14,59,21.87761
-14,60,21.851309999999998
-14,61,21.86972
-14,62,21.87235
-13,59,21.87761
-13,60,21.88813
-13,61,15.896990000000002
-13,62,21.8855
-12,59,15.923290000000001
-12,60,21.90391
-12,61,21.90654
-12,62,21.92495
-11,59,21.92758
-11,60,21.92758
-11,61,21.945990000000002
-11,62,21.95388
-10,59,21.96703
-10,60,21.961769999999998
-10,61,21.9644
