X,Y,Value
16,59,10.03998
15,59,28.631449999999997
14,59,22.57456
13,59,35.34321
13,60,3.87
12,59,41.71044
12,60,35.18541
11,59,41.63417
11,60,35.07758
10,59,28.97598
10,60,35.09073
10,61,10.074169999999999
9,59,41.54474999999999
9,60,40.881989999999995
9,61,9.45349
8,59,41.58157
8,60,35.19067
8,61,41.19759
7,59,41.56579
7,60,41.460589999999996
7,61,41.255449999999996
6,59,41.5579
6,60,28.93653
6,61,41.23967
5,59,41.51582
5,60,41.44481
5,61,41.255449999999996
5,62,10.01368
4,59,41.518449999999994
4,60,41.44217999999999
4,61,35.05128
4,62,10.00053
3,59,41.507929999999995
3,60,35.16963
3,61,41.33434999999999
3,62,3.87
2,59,41.534229999999994
2,60,35.23012
2,61,41.379059999999996
2,62,33.549549999999996
1,59,41.507929999999995
1,60,41.45795999999999
1,61,35.15648
1,62,34.65152
0,59,35.26957
0,60,41.497409999999995
0,61,41.43429
0,62,34.817209999999996
-1,59,41.52897
-1,60,41.476369999999996
-1,61,41.45007
-1,62,34.90137
-2,59,41.51582
-2,60,35.2196
-2,61,35.17489
-2,62,34.98816
-3,59,41.476369999999996
-3,60,41.43955
-3,61,40.78731
-3,62,28.69457
-4,59,41.45533
-4,60,41.39747
-4,61,41.3475
-4,62,34.89611
-5,59,41.43429
-5,60,41.352759999999996
-5,61,41.292269999999995
-5,62,40.89514
-6,59,22.64294
-6,60,41.308049999999994
-6,61,34.55158
-6,62,34.693599999999996
-7,59,41.410619999999994
-7,60,41.358019999999996
-7,61,35.03024
-7,62,34.514759999999995
-8,59,38.64649
-8,60,28.84448
-8,61,28.802400000000002
-8,62,33.7731
-9,59,35.20908
-9,60,41.163399999999996
-9,61,41.31857
-9,62,9.690190000000001
-10,59,41.465849999999996
-10,60,41.352759999999996
-10,61,22.61664
-10,62,3.87
-11,59,40.79257
-11,60,10.06891
-11,61,10.09521
-12,59,41.41850999999999
-12,60,16.35724
-12,61,10.02683
-13,59,41.255449999999996
-16,59,28.876039999999996
-17,59,16.6518
-17,60,3.87
-18,59,10.22671
-18,60,10.210930000000001
-19,59,10.110990000000001
-19,60,10.05576
-20,59,10.04787
-20,60,3.87
-21,59,82.70951000000001
-22,59,28.378970000000002
-23,59,3.87
-32,55,3.87526
-31,55,39.50913
-30,55,35.02498
-30,56,3.87
-29,55,41.33172
-29,56,40.93196
-28,55,41.352759999999996
-28,56,41.22389
-28,57,3.87
-27,55,41.379059999999996
-27,56,41.308049999999994
-27,57,40.75575
-26,55,41.426399999999994
-26,56,41.379059999999996
-26,57,41.27912
-25,55,41.426399999999994
-25,56,41.389579999999995
-25,57,28.87078
-25,58,16.10739
-24,55,41.41325
-24,56,41.379059999999996
-24,57,35.11177
-24,58,41.005599999999994
-23,55,41.431659999999994
-23,56,41.41325
-23,57,35.222229999999996
-23,58,34.99079
-22,55,41.415879999999994
-22,56,41.400099999999995
-22,57,41.40799
-22,58,41.23177999999999
-21,55,41.41325
-21,56,41.394839999999995
-21,57,41.41850999999999
-21,58,41.30542
-20,55,41.45533
-20,56,41.43429
-20,57,41.465849999999996
-20,58,21.89865
-19,55,41.471109999999996
-19,56,28.949679999999997
-19,57,35.243269999999995
-19,58,35.20119
-18,55,41.486889999999995
-18,56,41.48425999999999
-18,57,41.52634
-18,58,41.513189999999994
-17,55,41.507929999999995
-17,56,35.2196
-17,57,41.5316
-17,58,41.52108
-16,55,35.26168
-16,56,41.523709999999994
-16,57,41.38695
-16,58,41.48425999999999
-15,55,41.497409999999995
-15,56,41.52634
-15,57,41.52108
-15,58,34.99342
-14,55,41.55264
-14,56,41.52897
-14,57,41.56052999999999
-14,58,41.20810999999999
-13,55,41.52897
-13,56,40.83202
-13,57,41.54738
-13,58,41.415879999999994
-12,55,41.497409999999995
-12,56,41.49477999999999
-12,57,35.24064
-12,58,41.415879999999994
-11,55,41.48952
-11,56,41.47374
-11,57,41.51582
-11,58,35.15385
-10,55,41.49477999999999
-10,56,41.479
-10,57,41.513189999999994
-10,58,41.43692
-9,55,35.222229999999996
-9,56,41.476369999999996
-9,57,41.518449999999994
-9,58,41.44743999999999
-8,55,41.51055999999999
-8,56,41.44217999999999
-8,57,41.51582
-8,58,41.43955
-7,55,41.53686
-7,56,41.497409999999995
-7,57,41.30015999999999
-7,58,41.43955
-6,55,35.2459
-6,56,35.33268999999999
-6,57,41.54212
-6,58,41.44217999999999
-5,55,41.54474999999999
-5,56,41.52108
-5,57,41.54738
-5,58,35.16963
-4,55,41.568419999999996
-4,56,41.54474999999999
-4,57,41.57105
-4,58,41.465849999999996
-3,55,41.60260999999999
-3,56,35.29587
-3,57,41.615759999999995
-3,58,41.53686
-2,55,35.319539999999996
-2,56,41.57630999999999
-2,57,35.33795
-2,58,41.518449999999994
-1,55,41.610499999999995
-1,56,41.57630999999999
-1,57,41.605239999999995
-1,58,35.27746
0,55,41.60260999999999
0,56,41.59735
0,57,41.605239999999995
0,58,41.507929999999995
1,55,41.610499999999995
1,56,41.59209
1,57,41.61313
1,58,35.24064
2,55,41.61839
2,56,41.60260999999999
2,57,41.61313
2,58,41.523709999999994
3,55,41.626279999999994
3,56,41.60787
3,57,35.33268999999999
3,58,41.534229999999994
4,55,41.62365
4,56,35.31428
4,57,41.631539999999994
4,58,35.26168
5,55,41.63943
5,56,41.621019999999994
5,57,41.642059999999994
5,58,41.55000999999999
6,55,41.64995
6,56,41.63417
6,57,41.66047
6,58,41.568419999999996
7,55,41.66309999999999
7,56,41.64732
7,57,41.66309999999999
7,58,41.589459999999995
8,55,41.686769999999996
8,56,41.66047
8,57,41.681509999999996
8,58,41.594719999999995
9,55,35.382659999999994
9,56,41.676249999999996
9,57,35.41685
9,58,41.631539999999994
10,55,41.723589999999994
10,56,41.69992
10,57,41.75252
10,58,41.68414
11,55,41.73148
11,56,41.72622
11,57,41.79197
11,58,41.73674
12,55,41.739369999999994
12,56,41.73674
12,57,41.831419999999994
12,58,41.784079999999996
13,55,41.734109999999994
13,56,41.76040999999999
13,57,41.83405
13,58,35.4563
14,55,41.70517999999999
14,56,41.7157
14,57,35.47997
14,58,41.72095999999999
15,55,41.67362
15,56,40.91355
15,57,41.697289999999995
15,58,41.54474999999999
16,55,35.33795
16,56,41.615759999999995
16,57,29.01017
16,58,40.72418999999999
17,55,35.30902
17,56,40.600579999999994
17,57,35.25905
17,58,22.49566
18,55,35.2722
18,56,41.287009999999995
18,57,35.151219999999995
18,58,28.381600000000002
19,55,28.95231
19,56,35.167
19,57,41.2423
19,58,3.87
20,55,41.46847999999999
20,56,41.32646
20,57,41.10028
21,55,41.42377
21,56,34.961859999999994
21,57,10.05576
22,55,35.08547
22,56,41.01349
23,55,41.0319
23,56,16.16262
24,55,41.010859999999994
25,55,16.14158
31,51,34.71201
30,51,41.168659999999996
30,52,10.008420000000001
29,51,41.31068
29,52,34.79617
28,51,35.12228999999999
28,52,41.23703999999999
28,53,40.040389999999995
27,51,41.45269999999999
27,52,41.276489999999995
27,53,41.1371
27,54,10.00053
26,51,41.48952
26,52,34.58051
26,53,41.323829999999994
26,54,34.75146
25,51,41.513189999999994
25,52,41.45795999999999
25,53,41.379059999999996
25,54,34.92241
24,51,41.476369999999996
24,52,28.96546
24,53,35.22486
24,54,40.13506999999999
23,51,41.55527
23,52,41.51055999999999
23,53,41.52634
23,54,41.389579999999995
22,51,41.58682999999999
22,52,41.55264
22,53,41.5579
22,54,41.44743999999999
21,51,41.605239999999995
21,52,41.56052999999999
21,53,41.573679999999996
21,54,41.48425999999999
20,51,41.626279999999994
20,52,41.584199999999996
20,53,35.31165
20,54,28.99965
19,51,41.642059999999994
19,52,41.610499999999995
19,53,41.626279999999994
19,54,41.54212
18,51,41.65784
18,52,41.64469
18,53,41.64995
18,54,40.80309
17,51,35.3774
17,52,41.670989999999996
17,53,35.38003
17,54,41.59735
16,51,35.36688
16,52,41.670989999999996
16,53,41.713069999999995
16,54,41.63417
15,51,41.70517999999999
15,52,41.676249999999996
15,53,41.744629999999994
15,54,41.67362
14,51,41.707809999999995
14,52,41.707809999999995
14,53,41.75514999999999
14,54,35.382659999999994
13,51,41.72622
13,52,41.7157
13,53,41.76567
13,54,41.37642999999999
12,51,41.728849999999994
12,52,41.718329999999995
12,53,41.77619
12,54,41.72622
11,51,41.72622
11,52,41.72095999999999
11,53,41.768299999999996
11,54,41.702549999999995
10,51,41.713069999999995
10,52,41.713069999999995
10,53,41.69992
10,54,41.707809999999995
9,51,41.70517999999999
9,52,41.697289999999995
9,53,41.75514999999999
9,54,41.6894
8,51,41.70517999999999
8,52,41.702549999999995
8,53,41.74726
8,54,41.676249999999996
7,51,41.702549999999995
7,52,41.665729999999996
7,53,41.739369999999994
7,54,41.65784
6,51,41.6894
6,52,41.692029999999995
6,53,41.728849999999994
6,54,41.65257999999999
5,51,41.67887999999999
5,52,35.35373
5,53,41.713069999999995
5,54,41.63417
4,51,41.67887999999999
4,52,41.66835999999999
4,53,41.59209
4,54,41.63417
3,51,41.676249999999996
3,52,41.66047
3,53,41.6894
3,54,41.62891
2,51,41.66309999999999
2,52,41.64469
2,53,41.692029999999995
2,54,41.62365
1,51,41.66047
1,52,41.64995
1,53,41.68414
1,54,41.60787
0,51,41.66047
0,52,41.63943
0,53,41.67887999999999
0,54,41.599979999999995
-1,51,41.66309999999999
-1,52,41.636799999999994
-1,53,41.665729999999996
-1,54,35.30638999999999
-2,51,41.65521
-2,52,41.636799999999994
-2,53,35.3774
-2,54,41.599979999999995
-3,51,41.631539999999994
-3,52,41.626279999999994
-3,53,41.64995
-3,54,35.27483
-4,51,35.330059999999996
-4,52,41.621019999999994
-4,53,41.64995
-4,54,41.58157
-5,51,41.626279999999994
-5,52,41.61839
-5,53,41.64995
-5,54,41.563159999999996
-6,51,41.61313
-6,52,41.610499999999995
-6,53,41.631539999999994
-6,54,41.55264
-7,51,35.34847
-7,52,41.59209
-7,53,41.626279999999994
-7,54,35.2459
-8,51,41.599979999999995
-8,52,41.573679999999996
-8,53,41.60787
-8,54,41.52108
-9,51,41.58682999999999
-9,52,41.56579
-9,53,41.594719999999995
-9,54,41.02401
-10,51,41.56579
-10,52,41.539489999999994
-10,53,41.58157
-10,54,41.497409999999995
-11,51,41.53686
-11,52,35.23012
-11,53,35.28798
-11,54,41.48952
-12,51,41.52634
-12,52,41.51055999999999
-12,53,41.55000999999999
-12,54,35.20645
-13,51,41.52897
-13,52,41.50004
-13,53,41.563159999999996
-13,54,41.32646
-14,51,41.523709999999994
-14,52,41.51055999999999
-14,53,41.568419999999996
