X,Y,Value
-19,85,8.746020000000001
-18,85,15.726040000000001
-18,86,3.87
-17,85,21.6751
-17,86,9.769089999999998
-16,85,9.866399999999999
-16,86,9.79013
-16,87,3.93312
-15,85,21.90128
-15,86,9.83747
-15,87,9.71123
-14,85,21.99333
-14,86,9.88218
-14,87,3.87
-14,88,3.87
-13,85,16.06531
-13,86,15.925919999999998
-12,85,22.20899
-12,86,15.615580000000001
-11,85,9.961079999999999
-11,86,22.04856
-11,87,3.87
-10,85,15.994299999999999
-10,86,22.07749
-10,87,22.02226
-10,88,3.87
-9,85,22.043300000000002
-9,86,22.03541
-9,87,21.90391
-9,88,15.85491
-9,89,9.74279
-9,90,3.87
-8,85,21.94862
-8,86,15.894359999999999
-8,87,21.617240000000002
-8,88,21.81186
-8,89,15.67607
-8,90,9.698080000000001
-7,85,21.80134
-7,86,15.902249999999999
-7,87,21.79871
-7,88,21.76189
-7,89,21.51467
-7,90,10.72115
-6,85,21.84342
-6,86,21.82501
-6,87,21.6751
-6,88,9.83747
-6,89,21.38843
-6,90,15.36573
-6,91,43.31999999999999
-5,85,21.83027
-5,86,21.75663
-5,87,21.68825
-5,88,15.24738
-5,89,21.38054
-5,90,20.97552
-5,91,3.87
-4,85,21.70403
-4,86,21.80134
-4,87,21.70666
-4,88,15.694480000000002
-4,89,21.37002
-4,90,9.582360000000001
-4,91,3.87
-3,85,21.81186
-3,86,21.76978
-3,87,15.720780000000001
-3,88,20.86769
-3,89,21.33583
-3,90,14.992270000000001
-3,91,3.87
-2,85,21.81186
-2,86,21.75663
-2,87,21.64617
-2,88,9.7349
-2,89,15.45515
-2,90,15.265789999999999
-2,91,3.87
-1,85,9.82958
-1,86,21.77241
-1,87,21.59883
-1,88,21.50941
-1,89,13.948159999999998
-1,90,15.22897
-1,91,3.87
0,85,21.827640000000002
0,86,10.19252
0,87,15.74445
0,88,21.49889
0,89,15.189520000000002
0,90,8.63556
1,85,21.759259999999998
1,86,21.730330000000002
1,87,9.77435
1,88,21.333199999999998
1,89,21.13332
1,90,8.93801
2,85,21.81712
2,86,21.75137
2,87,21.58831
2,88,15.53142
2,89,15.281570000000002
2,90,3.9041900000000003
3,85,21.7803
3,86,15.77075
3,87,21.57516
3,88,21.29901
3,89,20.53631
3,90,3.87
4,85,21.73296
4,86,21.62776
4,87,15.612949999999998
4,88,15.413070000000001
4,89,9.385110000000001
5,85,15.894359999999999
5,86,21.59883
5,87,9.84536
5,88,20.97026
5,89,3.87
6,85,15.736559999999997
6,86,21.47785
6,87,15.44726
6,88,3.88578
7,85,15.691849999999999
7,86,21.27534
7,87,20.85191
7,88,3.87
8,85,21.49889
8,86,15.42622
8,87,7.57041
9,85,21.007080000000002
9,86,9.5508
9,87,3.87
10,85,21.0702
10,86,3.87
11,85,3.87
19,77,3.87
18,77,21.2017
18,78,3.87
17,77,21.57779
17,78,21.24378
17,79,7.09438
16,77,16.0732
16,78,15.786529999999999
16,79,9.7349
16,80,15.184259999999998
16,81,3.87
15,77,21.79608
15,78,21.730330000000002
15,79,15.73919
15,80,21.283230000000003
15,81,3.90682
15,82,3.87
14,77,21.79871
14,78,16.2573
14,79,9.8138
14,80,15.64451
14,81,21.24904
14,82,9.5508
14,83,3.87
13,77,21.77241
13,78,21.76189
13,79,20.06291
13,80,21.71718
13,81,21.53308
13,82,15.46041
13,83,9.450859999999999
12,77,15.8891
12,78,21.7803
12,79,21.79082
12,80,21.77241
12,81,21.68299
12,82,9.85062
12,83,9.60866
12,84,9.169450000000001
11,77,21.84868
11,78,21.82501
11,79,21.7277
11,80,15.84702
11,81,21.71981
11,82,20.01557
11,83,15.56298
11,84,21.03075
10,77,21.82501
10,78,15.815459999999998
10,79,9.7875
10,80,21.78293
10,81,15.810199999999998
10,82,15.77601
10,83,15.683959999999999
10,84,21.39106
9,77,15.88384
9,78,21.814490000000003
9,79,21.80923
9,80,21.82238
9,81,15.799679999999999
9,82,15.804940000000002
9,83,21.6751
9,84,21.519930000000002
8,77,15.85228
8,78,21.83027
8,79,21.81712
8,80,15.820719999999998
8,81,21.7803
8,82,21.77504
8,83,21.75663
8,84,21.62776
7,77,21.89339
7,78,21.81975
7,79,21.81712
7,80,21.840790000000002
7,81,21.82238
7,82,16.044269999999997
7,83,15.807569999999998
7,84,21.72507
6,77,21.75137
6,78,21.82501
6,79,21.82238
6,80,15.841759999999997
6,81,21.827640000000002
6,82,21.754
6,83,15.823349999999998
6,84,15.75497
5,77,21.74874
5,78,21.832900000000002
5,79,21.832900000000002
5,80,21.8066
5,81,21.840790000000002
5,82,15.823349999999998
5,83,21.80923
5,84,21.77241
4,77,21.864459999999998
4,78,21.83816
4,79,21.7803
4,80,21.864459999999998
4,81,21.81186
4,82,21.8066
4,83,21.832900000000002
4,84,15.820719999999998
3,77,15.85491
3,78,21.79345
3,79,21.851309999999998
3,80,21.8592
3,81,15.85754
3,82,15.786529999999999
3,83,21.77767
3,84,21.79871
2,77,16.09424
2,78,15.78127
2,79,21.840790000000002
2,80,21.8066
2,81,21.8066
2,82,21.68299
2,83,21.83027
2,84,21.827640000000002
1,77,15.799679999999999
1,78,21.81975
1,79,15.828609999999998
1,80,21.80397
1,81,15.815459999999998
1,82,21.82501
1,83,15.3631
1,84,21.835530000000002
0,77,21.83816
