X,Y,Value
17,59,82.77263
16,59,3.87
15,59,9.96371
14,59,16.07846
14,60,3.87
13,59,32.744769999999995
13,60,3.87
12,59,40.834649999999996
12,60,9.91374
11,59,40.963519999999995
11,60,9.966339999999999
10,59,41.10817
10,60,15.497230000000002
10,61,3.87
9,59,41.113429999999994
9,60,40.697889999999994
9,61,9.690190000000001
8,59,41.20285
8,60,40.82939
8,61,9.91637
7,59,41.27912
7,60,40.95563
7,61,9.99264
6,59,41.329089999999994
6,60,41.055569999999996
6,61,16.1258
5,59,41.45533
5,60,41.23441
5,61,16.37565
5,62,3.88315
4,59,41.363279999999996
4,60,41.373799999999996
4,61,28.628819999999997
4,62,3.88315
3,59,41.594719999999995
3,60,41.479
3,61,41.23967
3,62,9.903220000000001
2,59,41.64995
2,60,41.56579
2,61,41.184439999999995
2,62,9.99001
1,59,41.63417
1,60,41.57105
1,61,41.42377
1,62,10.09521
0,59,35.27746
0,60,41.476369999999996
0,61,41.28964
0,62,10.08995
-1,59,41.5053
-1,60,41.389579999999995
-1,61,41.163399999999996
-1,62,10.05839
-2,59,41.400099999999995
-2,60,41.3212
-2,61,34.09133
-2,62,10.03209
-3,59,41.41850999999999
-3,60,41.271229999999996
-3,61,41.04767999999999
-3,62,10.02157
-4,59,41.36590999999999
-4,60,41.24755999999999
-4,61,41.01612
-4,62,9.997900000000001
-5,59,41.34224
-5,60,41.20285
-5,61,40.96615
-5,62,9.99264
-6,59,35.04076
-6,60,41.17128999999999
-6,61,40.95037
-6,62,3.96205
-7,59,41.28964
-7,60,34.91189
-7,61,40.88988
-7,62,9.97686
-8,59,41.23703999999999
-8,60,41.03453
-8,61,28.51836
-8,62,9.584990000000001
-9,59,41.19759
-9,60,34.82773
-9,61,10.005790000000001
-9,62,3.88315
-10,59,41.23703999999999
-10,60,16.249409999999997
-10,61,10.01368
-10,62,3.88315
-11,59,41.205479999999994
-11,60,16.24678
-12,59,35.05654
-13,59,28.57622
-14,59,22.39835
-15,59,27.63994
-16,59,16.249409999999997
-17,59,10.09521
-17,60,9.92426
-18,59,10.07943
-18,60,9.9453
-19,59,10.05576
-19,60,9.51135
-20,59,34.191269999999996
-20,60,3.87
-21,59,16.1521
-21,60,3.87
-22,59,9.99264
-23,59,9.490310000000001
-32,55,3.87
-31,55,10.03209
-30,55,27.39272
-30,56,9.49294
-29,55,41.02927
-29,56,9.997900000000001
-28,55,41.14236
-28,56,16.90954
-28,57,3.87
-27,55,41.189699999999995
-27,56,40.942479999999996
-27,57,10.03472
-26,55,41.281749999999995
-26,56,41.055569999999996
-26,57,28.473650000000003
-26,58,3.88315
-25,55,41.23967
-25,56,41.13447
-25,57,40.92407
-25,58,9.79276
-24,55,41.33172
-24,56,41.168659999999996
-24,57,41.00823
-24,58,10.02946
-23,55,41.379059999999996
-23,56,35.01972
-23,57,41.158139999999996
-23,58,40.85832
-22,55,41.38169
-22,56,41.22915
-22,57,41.14498999999999
-22,58,40.984559999999995
-21,55,41.415879999999994
-21,56,35.07495
-21,57,41.23177999999999
-21,58,41.09502
-20,55,41.394839999999995
-20,56,41.27912
-20,57,41.22389
-20,58,41.11606
-19,55,41.39220999999999
-19,56,29.09433
-19,57,41.22389
-19,58,41.14236
-18,55,41.426399999999994
-18,56,40.10350999999999
-18,57,41.25282
-18,58,41.27385999999999
-17,55,41.41325
-17,56,41.31068
-17,57,41.30542
-17,58,41.31068
-16,55,41.415879999999994
-16,56,40.979299999999995
-16,57,41.35012999999999
-16,58,41.368539999999996
-15,55,41.42903
-15,56,41.03453
-15,57,41.400099999999995
-15,58,41.421139999999994
-14,55,41.44481
-14,56,41.35012999999999
-14,57,41.40273
-14,58,41.421139999999994
-13,55,41.45269999999999
-13,56,41.36590999999999
-13,57,41.37642999999999
-13,58,41.40273
-12,55,41.460589999999996
-12,56,41.37642999999999
-12,57,41.35012999999999
-12,58,41.33698
-11,55,41.46322
-11,56,41.363279999999996
-11,57,41.31857
-11,58,41.323829999999994
-10,55,41.46847999999999
-10,56,41.36590999999999
-10,57,41.308049999999994
-10,58,41.31068
-9,55,41.47374
-9,56,41.37117
-9,57,41.281749999999995
-9,58,41.2949
