X,Y,Value
-41,197,17.02
-40,197,3.98572
-39,197,3.8778900000000003
-38,198,17.02
-37,197,3.8778900000000003
-37,198,17.02
-36,197,3.87526
-36,198,17.02
-35,197,3.8778900000000003
-35,198,3.99098
-34,197,4.14878
-34,198,3.88841
-34,199,17.02
-33,197,4.29343
-33,198,17.02
-32,197,17.02
-31,197,17.02
-27,197,17.02
-26,197,17.02
-25,197,17.02
-24,197,3.90945
-23,197,3.9041900000000003
-23,198,17.02
-22,197,3.8963
-22,198,3.90156
-22,199,17.02
-21,197,3.87526
-21,198,3.89367
-21,199,3.98835
-21,200,17.02
-21,201,17.02
-20,197,3.87263
-20,198,3.88315
-20,199,3.88841
-20,200,4.18823
-20,201,17.02
-19,197,3.87263
-19,198,3.87526
-19,199,3.8778900000000003
-19,200,3.88052
-19,201,17.02
-19,202,17.02
-18,197,3.87263
-18,198,3.87526
-18,199,3.87526
-18,200,3.89893
-18,201,3.98835
-18,202,17.02
-18,203,17.02
-17,197,3.88052
-17,198,3.87526
-17,199,3.87526
-17,200,17.02
-17,201,3.92786
-17,202,3.96205
-17,203,17.02
-16,197,3.8778900000000003
-16,198,3.88052
-16,199,3.87526
-16,200,3.88315
-16,201,3.88052
-16,202,17.02
-16,203,17.02
-15,197,3.87263
-15,198,3.87526
-15,199,3.8778900000000003
-15,200,3.8778900000000003
-15,201,3.87263
-15,202,3.88052
-15,203,17.02
-14,197,3.87526
-14,198,3.87526
-14,199,3.8778900000000003
-14,200,3.8778900000000003
-14,201,3.88052
-14,202,3.88052
-14,203,17.02
-13,197,3.8778900000000003
-13,198,3.87526
-13,199,3.87263
-13,200,3.88315
-13,201,3.88315
-13,202,3.87526
-13,203,3.89367
-12,197,3.8778900000000003
-12,198,3.87263
-12,199,3.88052
-12,200,3.88052
-12,201,3.88315
-12,202,3.8778900000000003
-12,203,3.87526
-11,197,3.87263
-11,198,3.87526
-11,199,3.87526
-11,200,3.8778900000000003
-11,201,3.87526
-11,202,3.8778900000000003
-11,203,3.8778900000000003
-11,204,17.02
-10,197,3.88315
-10,198,3.87526
-10,199,3.8778900000000003
-10,201,3.88315
-10,202,3.87263
-10,203,3.8778900000000003
-10,204,17.02
-9,197,3.8778900000000003
-9,198,3.8778900000000003
-9,199,3.8778900000000003
-9,200,3.87526
-9,202,3.87263
-9,204,17.02
-8,197,3.87263
-8,198,3.87263
-8,199,3.8778900000000003
-8,200,3.87526
-8,203,3.87526
-8,204,17.02
-7,197,3.87526
-7,198,3.87526
-7,199,3.87526
-7,200,3.8778900000000003
-7,202,3.88052
-7,203,3.87263
-7,204,17.02
-6,197,3.87263
-6,198,3.87263
-6,199,3.87526
-6,200,3.88315
-6,201,3.8778900000000003
-6,202,3.88052
-6,203,3.87526
-6,204,17.02
-5,197,3.88315
-5,198,3.87263
-5,199,3.87526
-5,200,3.87526
-5,201,3.88315
-5,202,3.8778900000000003
-5,203,3.8778900000000003
-5,204,17.02
-4,197,17.02
-4,198,17.02
-4,199,3.8778900000000003
-4,200,3.88315
-4,201,3.87263
-4,202,3.88052
-4,203,3.8778900000000003
-4,204,17.02
-3,197,17.02
-3,198,17.02
-3,199,17.02
-3,200,3.87526
-3,201,3.87263
-3,202,3.88052
-3,203,3.8778900000000003
-3,204,17.02
-2,197,17.02
-2,198,17.02
-2,199,3.8778900000000003
-2,200,3.87526
-2,201,3.88052
-2,202,3.8778900000000003
-2,203,3.87263
-2,204,17.02
-1,197,17.02
-1,198,3.87526
-1,199,3.87263
-1,200,3.8778900000000003
-1,201,3.87526
-1,202,3.87526
-1,203,3.87526
-1,204,17.02
0,197,3.87526
0,198,3.87263
0,199,3.87263
0,200,3.88315
0,201,3.88315
0,202,3.88052
0,203,3.87526
0,204,17.02
1,197,3.87526
1,198,3.87263
1,199,3.87526
1,200,3.87263
1,201,3.88052
1,202,3.87263
1,203,3.8778900000000003
1,204,17.02
2,197,3.8778900000000003
2,198,3.87526
2,199,3.87526
2,200,3.8778900000000003
2,201,3.8778900000000003
2,202,3.87526
2,204,17.02
3,197,3.87263
3,198,3.87526
3,199,3.87526
3,200,3.8778900000000003
3,201,3.87526
3,202,3.8778900000000003
3,204,17.02
4,197,3.8778900000000003
4,198,3.87526
4,199,3.87526
4,200,3.8778900000000003
4,201,3.88052
4,202,3.88052
4,203,3.87526
4,204,17.02
5,197,3.87263
5,198,3.87526
5,199,3.87526
5,200,3.88315
5,201,17.02
5,202,3.8778900000000003
5,203,3.88315
5,204,17.02
6,197,3.87263
6,198,3.87526
6,199,3.8778900000000003
6,200,17.02
6,201,17.02
6,202,3.88315
6,203,3.8778900000000003
6,204,17.02
7,197,3.88052
7,198,3.87526
7,199,3.8778900000000003
7,200,3.87263
7,201,3.87263
7,202,3.87526
7,203,3.87526
8,197,3.88052
8,198,3.87263
8,199,3.88052
8,200,3.88052
8,201,3.8778900000000003
8,202,3.87526
8,203,3.87263
9,197,3.88052
9,198,3.87263
9,199,3.87526
9,200,3.88052
9,201,3.87526
9,202,3.88052
9,203,3.87526
10,197,3.88052
10,198,3.8778900000000003
10,199,3.8778900000000003
10,200,3.8778900000000003
10,201,3.87526
10,202,3.88052
10,203,17.02
11,197,3.87263
11,198,3.87526
11,199,3.8778900000000003
11,200,3.8778900000000003
11,201,3.87263
11,202,3.87263
11,203,17.02
12,197,3.87263
12,198,3.8778900000000003
12,199,3.8910400000000003
12,200,3.87526
12,201,3.88052
