X,Y,Value
10,99,17.020263
9,99,3.9746740000000003
8,99,17.023682
8,100,17.02
7,99,17.021052
7,100,3.906294
6,99,17.015529
6,100,3.891566
5,99,3.879468
5,100,17.022893
5,101,17.020526
4,99,17.020263
4,100,17.016581000000002
4,101,4.1543030000000005
3,99,3.8755230000000003
3,100,3.8899880000000002
3,101,3.904979
2,99,3.928912
2,100,3.8755230000000003
2,101,3.871052
2,102,17.019737
1,99,3.880783
1,100,17.019474
1,101,17.020263
1,102,3.96205
0,99,3.8839390000000003
0,100,3.877364
0,101,3.880783
0,102,4.001237
-1,99,3.883676
-1,100,3.874471
-1,101,3.8768380000000002
-1,102,3.877101
-2,99,3.887095
-2,100,3.881835
-2,101,3.877364
-2,102,3.883413
-3,99,3.886043
-3,100,17.016054999999998
-3,101,17.018685
-3,102,3.878416
-4,99,3.878942
-4,102,17.019474
-5,99,3.883676
-5,100,4.470955
-5,101,3.871315
-5,102,3.8839390000000003
-6,99,3.887095
-6,100,3.879468
-6,101,17.026049
-6,102,3.8934070000000003
-7,99,3.882887
-7,100,3.8731560000000003
-7,101,17.016318
-7,102,3.877101
-8,99,3.887095
-8,100,3.884465
-8,101,17.019737
-8,102,3.8731560000000003
-9,99,3.882887
-9,100,3.878416
-9,101,17.02
-9,102,7.569621
-10,99,3.884202
-10,100,3.882361
-10,101,3.872104
-10,102,3.948637
-11,99,3.8873580000000003
-11,100,3.881309
-11,101,17.017633
-11,102,17.024997
-12,99,3.8839390000000003
-12,100,3.8718410000000003
-12,101,3.906294
-12,102,17.019737
-13,99,3.871315
-13,100,3.9052420000000003
-13,101,3.951793
-14,99,3.877101
-14,100,4.649532
-14,101,6.083408
-15,99,17.020526
-19,99,5.75045
-20,99,17.021841
-21,99,17.02
-27,95,17.020526
-26,95,3.87263
-25,95,3.882361
-25,96,3.871052
-24,95,3.884202
-24,96,3.871052
-24,97,17.015003
-23,95,3.8849910000000003
-23,96,3.8755230000000003
-23,97,3.914184
-22,95,3.882098
-22,96,3.874734
-22,97,3.8731560000000003
-22,98,3.9460070000000003
-21,95,3.879731
-21,96,3.8718410000000003
-21,97,3.910765
-21,98,3.915762
-20,95,3.883413
-20,96,3.87263
-20,97,3.88578
-20,98,3.916551
-19,95,3.882887
-19,96,3.88052
-19,97,3.872893
-19,98,4.059623
-18,95,3.8826240000000003
-18,96,4.041476
-18,97,17.020263
-17,95,3.893933
-17,96,17.020263
-16,95,3.8910400000000003
-16,96,5.218401
-15,95,3.876049
-15,96,3.8718410000000003
-15,97,3.965995
-15,98,5.245227
-14,95,3.8886730000000003
-14,96,3.8815720000000002
-14,97,3.888147
-14,98,3.88052
-13,95,3.885254
-13,96,17.020263
-13,97,3.888147
-13,98,3.877364
-12,95,3.888147
-12,96,3.879994
-12,97,3.893144
-12,98,3.8707890000000003
-11,95,3.886569
-11,96,3.872367
-11,97,3.878416
-11,98,17.019737
-10,95,3.8899880000000002
-10,96,3.882887
-10,97,3.891829
-10,98,3.918918
-9,95,3.88841
-9,96,3.884202
-9,97,3.8849910000000003
-9,98,3.889462
-8,95,3.8886730000000003
-8,96,3.876312
-8,97,3.8910400000000003
-8,98,3.889462
-7,95,3.886569
-7,96,3.8839390000000003
-7,97,3.884202
-7,98,3.877364
-6,95,3.887095
-6,96,3.8849910000000003
-6,97,3.88841
-6,98,3.8886730000000003
-5,95,3.888147
-5,96,3.884202
-5,97,3.8897250000000003
-5,98,3.88841
-4,95,3.8778900000000003
-4,96,3.884728
-4,97,3.8910400000000003
-4,98,3.881046
-3,95,3.885517
-3,96,3.8839390000000003
-3,97,3.890777
-3,98,3.8849910000000003
-2,95,3.8873580000000003
-2,96,3.884202
-2,97,3.889462
-2,98,3.888147
-1,95,3.8873580000000003
-1,96,3.881309
-1,97,3.891566
-1,98,3.87526
0,95,3.8839390000000003
0,96,3.883413
0,97,3.891303
0,98,3.889199
1,95,3.8826240000000003
1,96,3.881835
1,97,3.878942
1,98,3.885517
2,95,3.886569
2,96,3.879731
2,97,3.886043
2,98,3.887621
3,95,3.8707890000000003
3,96,3.871315
3,97,3.889462
3,98,3.885254
4,95,3.8826240000000003
4,96,3.879994
4,97,3.8815720000000002
4,98,3.8778900000000003
5,95,3.885517
5,96,3.882098
5,97,3.890251
5,98,17.023156
6,95,3.8707890000000003
6,96,3.8815720000000002
6,97,17.019211
6,98,3.88578
7,95,3.877364
7,96,3.8826240000000003
7,97,3.880783
7,98,3.879994
8,95,3.884465
8,96,3.881046
8,97,3.884728
8,98,3.873682
9,95,3.8815720000000002
9,96,3.876049
9,97,3.882887
9,98,17.017107
10,95,17.026575
10,96,3.879468
10,97,3.8731560000000003
10,98,3.929964
11,95,17.025523
11,96,3.872893
11,97,3.992821
11,98,17.021052
12,95,3.871578
12,96,3.8849910000000003
12,97,17.018947999999998
12,98,17.020263
13,95,17.05419
13,96,17.021578
13,97,17.02
14,95,3.8802570000000003
14,96,17.021052
15,95,17.00948
15,96,17.019737
16,95,16.992911
21,91,4.0672500000000005
20,91,17.019211
20,92,17.019737
19,91,3.877364
19,92,17.019737
19,93,17.020263
18,91,3.874997
18,92,3.8718410000000003
18,93,3.946533
18,94,17.020526
17,91,17.016844
17,92,3.881309
17,93,17.018159
17,94,3.889462
16,91,3.886043
16,92,3.878679
16,93,3.8826240000000003
16,94,3.87263
15,91,3.8863060000000003
15,92,3.88052
15,93,3.87
15,94,3.879994
14,91,3.883413
14,92,3.877101
14,93,3.8802570000000003
14,94,3.883676
13,91,3.8707890000000003
13,92,3.881046
13,93,3.882098
13,94,3.887884
12,91,3.885517
12,92,3.88052
12,93,3.881046
12,94,3.877101
11,91,3.88315
11,92,3.88052
11,93,3.887884
11,94,17.018947999999998
10,91,3.881309
10,92,3.882098
10,93,3.892092
10,94,17.013688000000002
9,91,3.884465
9,92,3.8839390000000003
9,93,3.8778900000000003
9,94,3.890251
8,91,3.8826240000000003
8,92,3.883413
8,93,3.887884
8,94,3.888936
7,91,3.88315
7,92,3.881309
7,93,3.884728
7,94,3.884202
6,91,3.887884
6,92,3.884465
6,93,3.893144
6,94,3.8886730000000003
5,91,3.884202
5,92,3.883413
5,93,3.890514
5,94,3.8899880000000002
4,91,3.885517
4,92,3.885517
4,93,3.88841
4,94,3.887095
3,91,3.882098
3,92,3.8839390000000003
3,93,3.890777
3,94,3.884202
2,91,3.885517
2,92,3.8849910000000003
2,93,3.8923550000000002
2,94,3.890514
1,91,3.884202
1,92,3.8765750000000003
1,93,3.890777
1,94,3.8899880000000002
0,91,3.884728
0,92,3.8755230000000003
0,93,3.88841
0,94,3.884465
-1,91,3.886569
-1,92,3.877101
-1,93,3.8923550000000002
-1,94,3.890251
-2,91,3.8886730000000003
-2,92,3.880783
-2,93,3.890777
-2,94,3.882361
-3,91,3.88578
-3,92,3.8849910000000003
-3,93,3.8849910000000003
-3,94,3.884202
-4,91,3.886043
-4,92,3.88052
-4,93,3.8934070000000003
-4,94,3.8863060000000003
-5,91,3.886569
-5,92,3.884202
-5,93,3.892881
-5,94,3.8910400000000003
-6,91,3.8863060000000003
-6,92,3.884202
-6,93,3.891566
-6,94,3.886569
-7,91,3.8839390000000003
-7,92,3.878153
-7,93,3.889462
-7,94,3.8886730000000003
-8,91,3.888147
-8,92,3.88578
-8,93,3.890251
-8,94,3.892092
-9,91,3.888147
-9,92,3.870526
-9,93,3.8886730000000003
-9,94,3.8826240000000003
-10,91,3.886832
-10,92,3.8849910000000003
-10,93,3.890251
-10,94,3.8899880000000002
-11,91,3.887884
-11,92,3.884202
-11,93,3.89367
-11,94,3.890514
-12,91,3.884202
-12,92,3.886569
-12,93,3.894985
-12,94,3.894459
-13,91,3.8873580000000003
-13,92,3.8863060000000003
-13,93,3.8910400000000003
-13,94,3.88578
-14,91,3.884202
-14,92,3.8826240000000003
-14,93,3.8899880000000002
-14,94,3.890251
-15,91,3.886043
-15,92,3.884728
-15,93,3.897615
-15,94,8.244216
-16,91,3.885517
-16,92,3.884202
-16,93,3.886569
-16,94,3.888147
-17,91,3.884728
-17,92,3.882361
-17,93,3.890777
-17,94,3.882098
-18,91,3.879468
-18,92,3.878153
-18,93,3.888936
-18,94,3.892092
-19,91,3.872104
-19,92,3.870263
-19,93,3.870526
-19,94,3.875786
-20,91,3.886043
-20,92,3.874997
-20,93,3.880783
-20,94,3.8826240000000003
