X,Y,Value
0,103,17.023418999999997
-1,103,3.8778900000000003
-2,103,3.873945
-3,103,4.0288520000000005
-4,103,3.870526
-5,103,3.918918
-6,103,3.874997
-6,104,17.022104
-7,103,17.022367
-8,103,3.876049
-9,103,17.023682
-10,103,17.024471
-11,103,17.023156
-12,103,17.021578
-21,99,17.022367
-20,99,17.023418999999997
-19,99,17.02263
-16,99,17.02263
-15,99,17.021841
-14,99,17.024207999999998
-14,100,17.021314999999998
-13,99,3.875786
-13,100,3.879994
-13,101,4.025959
-13,102,17.021841
-12,99,3.8718410000000003
-12,100,3.8849910000000003
-12,101,3.872367
-12,102,17.02263
-11,99,3.877101
-11,100,3.8768380000000002
-11,101,3.876049
-11,102,3.8707890000000003
-10,99,3.872367
-10,100,3.871315
-10,101,3.939432
-10,102,3.871578
-9,99,3.872367
-9,100,3.873419
-9,101,3.871315
-9,102,3.87
-8,99,3.872367
-8,100,3.871052
-8,101,3.870526
-8,102,3.87
-7,99,3.873419
-7,100,3.871578
-7,101,3.872367
-7,102,3.870263
-6,99,3.8742080000000003
-6,100,3.871315
-6,101,3.872104
-6,102,17.022104
-5,99,3.872104
-5,100,3.870526
-5,101,3.8707890000000003
-5,102,17.022893
-4,99,3.8718410000000003
-4,100,3.872104
-4,101,3.873419
-4,102,17.021841
-3,99,3.870526
-3,100,3.872367
-3,101,17.02263
-3,102,3.873682
-2,99,3.874471
-2,100,3.890777
-2,101,17.022367
-2,102,17.022893
-1,99,3.874734
-1,100,3.871052
-1,101,3.87263
-1,102,17.021841
0,99,3.879468
0,100,3.8755230000000003
0,101,3.8768380000000002
0,102,3.872367
1,99,3.873419
1,100,3.870263
1,101,3.8718410000000003
1,102,3.870263
2,99,3.874471
2,100,3.870526
2,101,3.870526
2,102,3.870526
3,99,3.874471
3,100,17.022104
3,101,3.936802
3,102,3.879994
4,99,17.023945
4,100,3.871052
4,101,3.871315
5,99,17.022893
5,100,3.870263
5,101,3.874471
6,99,3.87263
6,100,3.872367
6,101,17.02263
7,99,3.873682
7,100,3.8707890000000003
8,99,3.872367
8,100,17.021841
9,99,3.870263
15,95,17.022367
14,95,3.874734
14,96,17.022367
13,95,3.8802570000000003
13,96,3.8707890000000003
12,95,3.872367
12,96,3.8957740000000003
12,97,17.022104
11,95,17.021841
11,96,17.022104
11,97,17.023156
11,98,17.022104
10,95,3.871315
10,96,3.872893
10,97,3.871578
10,98,17.022367
9,95,3.8707890000000003
9,96,3.871315
9,97,4.001237
9,98,3.894985
8,95,3.870526
8,98,17.021052
7,95,3.879731
7,96,3.876312
7,97,3.876049
7,98,17.022367
6,95,3.8731560000000003
6,96,3.871315
6,97,3.87263
6,98,3.87
5,95,3.872104
5,96,3.8731560000000003
5,97,3.87
5,98,3.877101
4,95,3.893144
4,96,3.871315
4,97,3.872893
4,98,3.8731560000000003
3,95,3.871052
3,96,3.876049
3,97,3.971518
3,98,3.871315
2,95,3.891566
2,96,3.884202
2,97,3.99887
2,98,3.872104
1,95,3.874997
1,96,3.872367
1,97,4.053048
1,98,3.871315
0,95,3.872893
0,96,3.871315
0,97,3.87263
0,98,3.8718410000000003
-1,95,3.872367
-1,96,3.872104
-1,97,3.8707890000000003
-1,98,3.8707890000000003
-2,95,3.8718410000000003
-2,96,3.872893
-2,97,3.872893
-2,98,3.8718410000000003
-3,95,3.871578
-3,96,3.873419
-3,97,3.870526
-3,98,3.870526
-4,95,3.8742080000000003
-4,96,3.87526
-4,97,3.873419
-4,98,3.8742080000000003
-5,95,3.871052
-5,96,3.871052
-5,97,3.870263
-5,98,3.870526
-6,95,3.870263
-6,96,3.872893
-6,97,3.870526
-6,98,3.870526
-7,95,3.878153
-7,96,3.874734
-7,97,3.873682
-7,98,3.876049
-8,95,3.87263
-8,96,4.732114
-8,97,3.87263
-8,98,17.022104
-9,95,3.873419
-9,96,3.8707890000000003
-9,97,4.646113
-9,98,3.87263
-10,95,3.877101
-10,96,3.8742080000000003
-10,97,4.0015
-10,98,3.871578
-11,95,3.8707890000000003
-11,96,3.870263
-11,97,3.870526
-11,98,3.871578
-12,95,3.8718410000000003
-12,96,3.873682
-12,97,4.036479
-12,98,3.871315
-13,95,3.872104
-13,96,3.873419
-13,97,3.8707890000000003
-13,98,3.8707890000000003
-14,95,3.919181
-14,96,3.8731560000000003
-14,97,3.873419
-14,98,3.8910400000000003
-15,95,3.870526
-15,96,3.873945
-15,97,3.8802570000000003
-15,98,4.053048
-16,95,3.8742080000000003
-16,96,3.871315
-16,97,3.977567
-16,98,17.022367
-17,95,3.876312
-17,96,3.8707890000000003
-17,97,17.023418999999997
-17,98,17.022893
-18,95,3.877627
-18,96,3.8707890000000003
-18,97,3.928386
-18,98,17.021052
-19,95,3.870263
-19,96,3.8731560000000003
-19,97,3.8718410000000003
-19,98,4.55117
-20,95,3.8731560000000003
-20,96,3.87263
-20,97,4.033849
-20,98,3.872104
-21,95,3.871315
-21,96,3.870526
-21,97,3.871578
-21,98,3.8768380000000002
-22,95,3.87263
-22,96,3.871052
-22,97,7.963858
-22,98,17.022104
-23,95,4.194805000000001
-23,96,3.8742080000000003
-23,97,17.02263
-24,95,3.87263
-24,96,3.8718410000000003
-24,97,17.022367
-25,95,3.8718410000000003
-25,96,17.021841
-26,95,17.02263
-30,91,3.8742080000000003
-29,91,3.873682
-29,92,17.022367
-28,91,3.87263
-28,92,3.8731560000000003
-28,93,17.021578
-27,91,3.872367
-27,92,3.870263
-27,93,3.87263
-27,94,17.021314999999998
-26,91,3.871578
-26,92,3.8707890000000003
-26,93,3.870263
-26,94,3.870263
-25,91,3.9315420000000003
-25,92,3.872104
-25,93,3.873682
-25,94,3.885254
-24,91,3.887884
-24,92,3.870526
-24,93,3.8718410000000003
-24,94,3.870526
-23,91,3.876049
-23,92,3.8899880000000002
-23,93,3.87263
-23,94,3.876049
-22,91,3.870526
-22,92,3.872367
-22,93,4.210322
-22,94,3.871315
-21,91,3.875786
-21,92,3.87263
-21,93,3.872367
-21,94,3.873682
-20,91,3.872367
-20,92,3.87263
-20,93,3.8731560000000003
-20,94,3.870526
-19,91,3.872367
-19,92,3.871052
-19,93,3.870263
-19,94,3.872104
-18,91,3.874734
-18,92,3.8707890000000003
-18,93,3.872893
-18,94,3.873419
-17,91,3.872104
-17,92,3.870263
-17,93,3.986246
-17,94,3.871578
-16,91,3.870263
-16,92,3.870526
-16,93,3.8718410000000003
-16,94,3.871052
-15,91,3.8742080000000003
-15,92,3.872104
-15,93,3.8742080000000003
-15,94,3.870263
-14,91,3.870263
-14,92,3.871315
-14,93,3.870263
-14,94,3.871578
-13,91,3.8707890000000003
-13,92,3.8707890000000003
-13,93,3.871315
-13,94,3.870263
-12,91,3.8707890000000003
-12,92,3.8707890000000003
-12,93,3.870263
-12,94,3.870263
-11,91,3.871052
-11,92,3.8707890000000003
-11,93,3.894196
-11,94,3.870526
-10,91,3.8755230000000003
-10,92,3.872104
-10,93,3.874471
-10,94,3.871052
-9,91,3.871578
-9,92,3.871052
-9,93,3.871315
-9,94,3.881835
-8,91,3.8707890000000003
-8,92,3.873419
-8,93,3.874734
-8,94,3.872893
-7,91,3.8742080000000003
-7,92,3.871052
-7,93,3.874997
-7,94,3.876312
-6,91,3.870263
-6,92,3.872104
-6,93,3.872104
-6,94,3.8718410000000003
-5,91,3.871578
-5,92,3.873419
-5,93,3.873682
-5,94,3.874997
-4,91,3.874734
-4,92,3.8707890000000003
-4,93,3.874734
-4,94,3.87526
-3,91,3.871315
-3,92,3.871052
-3,93,3.871052
-3,94,3.872367
-2,91,3.871578
-2,92,3.871315
-2,93,3.871052
-2,94,3.870263
-1,91,3.870263
-1,92,3.871315
-1,93,3.871578
-1,94,3.8718410000000003
0,91,3.872893
0,92,3.870263
0,93,3.8707890000000003
0,94,3.871052
1,91,3.871578
1,92,3.871315
1,93,3.870526
1,94,3.871052
2,91,3.8707890000000003
2,92,3.871052
2,93,3.871315
2,94,3.871315
3,91,3.871315
3,92,3.871315
3,93,3.870526
3,94,3.8718410000000003
4,91,3.873419
4,92,3.870263
4,93,3.871315
4,94,3.873682
5,91,3.872893
5,92,3.871578
5,93,3.872104
5,94,3.87
6,91,3.870263
6,92,3.871578
6,93,3.871315
6,94,3.870263
7,91,3.871315
7,92,3.871578
7,93,3.870526
7,94,3.8707890000000003
8,91,3.871315
8,92,3.871578
8,93,3.870526
8,94,3.872893
9,91,3.871315
9,92,3.871578
9,93,3.870526
9,94,3.872893
10,91,3.8718410000000003
10,92,3.8731560000000003
10,93,3.87
10,94,3.874734
11,91,3.871578
11,92,3.8731560000000003
11,93,3.93312
11,94,3.870526
12,91,3.872104
12,92,3.874997
12,93,3.870263
12,94,3.872104
13,91,3.871578
13,92,3.87263
13,93,17.022104
13,94,3.871052
14,91,3.877627
14,92,3.874471
14,93,3.87263
14,94,3.8718410000000003
15,91,3.872367
15,92,3.871578
15,93,3.872104
15,94,3.871052
16,91,3.875786
16,92,3.873945
16,93,3.877101
16,94,17.022104
17,91,3.873419
17,92,3.875786
17,93,17.023156
18,91,3.871578
18,92,17.021841
19,91,17.023156
22,87,3.87526
21,87,3.871578
21,88,6.293808
21,89,17.024207999999998
20,87,3.871578
20,88,3.8707890000000003
20,89,3.87526
20,90,17.022893
19,87,3.874734
19,88,3.873945
19,89,3.873419
19,90,3.870526
18,87,3.87
18,88,3.871315
18,89,3.871315
18,90,3.87
17,87,3.8707890000000003
17,88,3.873682
17,89,3.874997
17,90,3.8731560000000003
16,87,3.87263
16,88,3.8731560000000003
16,89,4.043054
16,90,3.870526
15,87,3.8765750000000003
15,88,3.871578
15,89,3.871578
15,90,3.87263
14,87,3.870526
14,88,3.8718410000000003
14,89,17.022893
14,90,3.872104
13,87,3.870526
13,88,3.872104
13,89,4.752891
13,90,3.871052
12,87,3.870526
12,88,3.871578
12,89,3.872367
12,90,3.870526
11,87,3.871315
11,88,3.871052
11,89,3.8718410000000003
11,90,3.871315
10,87,3.87526
10,88,3.872104
10,89,3.871315
10,90,3.8768380000000002
9,87,3.8731560000000003
9,88,3.871052
9,89,3.872367
9,90,3.871052
8,87,3.871315
8,88,3.8731560000000003
8,89,3.8731560000000003
8,90,3.8707890000000003
7,87,3.8718410000000003
7,88,3.87263
7,89,3.871052
7,90,3.8718410000000003
6,87,3.8707890000000003
6,88,3.871052
6,89,3.87263
6,90,3.871578
5,87,3.8731560000000003
5,88,3.8707890000000003
5,89,3.871315
5,90,3.8707890000000003
4,87,3.870526
4,88,3.871315
4,89,3.870263
4,90,3.871052
3,87,3.8755230000000003
3,88,3.871052
3,89,3.871315
3,90,3.8742080000000003
2,87,3.873419
2,88,3.8707890000000003
2,89,3.872367
2,90,3.873419
1,87,3.872367
1,88,3.874471
1,89,3.873682
1,90,3.871578
0,87,3.874734
0,88,3.870263
0,89,3.871315
0,90,3.873419
-1,87,3.8707890000000003
-1,88,3.8707890000000003
-1,89,3.870263
-1,90,3.87263
-2,87,3.8718410000000003
-2,88,3.8718410000000003
-2,89,3.871052
-2,90,3.8718410000000003
-3,87,3.871578
-3,88,3.872367
-3,89,3.871578
-3,90,3.876049
-4,87,17.022104
-4,88,3.8718410000000003
-4,89,3.8718410000000003
-4,90,3.873682
-5,87,3.876312
-5,88,3.871052
-5,89,3.874734
-5,90,3.8718410000000003
-6,87,3.874734
-6,88,3.870263
-6,89,3.871315
-6,90,3.872104
-7,87,3.870263
-7,88,3.871315
-7,89,3.871315
-7,90,3.872367
-8,87,3.871315
-8,88,3.871315
-8,89,3.872367
-8,90,3.870263
-9,87,3.8707890000000003
-9,88,3.871052
-9,89,3.871052
-9,90,3.871315
-10,87,3.873682
-10,88,3.871578
-10,89,3.870526
-10,90,3.871315
-11,87,3.870263
-11,88,3.870263
-11,89,3.871052
-11,90,3.871578
-12,87,3.8718410000000003
-12,88,3.871315
-12,89,3.870526
-12,90,3.870526
-13,87,3.871578
-13,88,3.870526
-13,89,3.870263
-13,90,3.872104
-14,87,3.8755230000000003
-14,88,3.873419
-14,89,3.871052
-14,90,3.870263
-15,87,3.873419
-15,88,3.8718410000000003
-15,89,3.870263
-15,90,3.8731560000000003
-16,87,3.8707890000000003
-16,88,3.870263
-16,89,3.872367
-16,90,3.871315
-17,87,3.873419
