X,Y,Value
12,55,3.8707890000000003
11,55,3.878942
10,55,3.871315
10,56,17.021841
9,55,3.873682
9,56,3.87263
8,55,3.8742080000000003
8,56,3.874471
8,57,17.023156
7,55,3.8731560000000003
7,56,3.872104
7,57,17.022367
6,55,3.8707890000000003
6,56,3.8742080000000003
6,57,4.631385
5,55,3.871315
5,56,3.871052
5,57,17.02263
4,55,3.872367
4,56,3.8707890000000003
4,57,3.873682
3,55,3.8707890000000003
3,56,3.871315
3,57,3.899193
2,55,3.872893
2,56,3.886832
2,57,3.908398
2,58,3.870526
1,55,3.873682
1,56,17.02263
1,57,3.932594
1,58,3.8707890000000003
0,55,17.023156
0,56,3.871578
0,57,3.871052
0,58,3.877364
-1,55,3.872893
-1,56,3.873682
-1,57,3.8963
-1,58,4.9677620000000005
-2,55,17.023156
-2,56,3.870263
-2,57,3.870526
-2,58,3.870526
-3,55,3.87
-3,56,3.870263
-3,57,3.871052
-3,58,3.871315
-4,55,3.870263
-4,56,3.87
-4,57,3.8707890000000003
-4,58,3.873682
-5,55,3.8765750000000003
-5,56,3.871052
-5,57,3.8707890000000003
-5,58,3.871315
-6,55,3.877364
-6,56,3.872893
-6,57,3.8815720000000002
-6,58,17.026311999999997
-7,55,3.87263
-7,56,3.87263
-7,57,3.870263
-7,58,17.023156
-8,55,3.8718410000000003
-8,56,3.870526
-8,57,13.563917
-9,55,3.8718410000000003
-9,56,3.871052
-10,55,17.02263
-10,56,17.021314999999998
-11,55,3.873945
-11,56,17.020526
-12,55,17.023156
-12,56,3.874734
-13,55,3.8718410000000003
-13,56,17.022367
-14,55,3.871578
-15,55,4.110908
-16,55,17.023945
-22,51,17.023945
-21,51,17.021578
-20,51,3.871052
-20,52,8.088519999999999
-19,51,3.871578
-19,52,3.971781
-19,53,17.02263
-18,51,3.871315
-18,52,3.87263
-18,53,3.9065570000000003
-18,54,17.022367
-17,51,3.870263
-17,52,3.8707890000000003
-17,53,3.870526
-17,54,17.023418999999997
-16,51,3.8707890000000003
-16,52,3.871052
-16,53,3.870263
-16,54,3.89893
-15,51,3.873682
-15,52,3.871052
-15,53,3.8707890000000003
-15,54,3.870263
-14,51,3.8742080000000003
-14,52,17.022367
-14,53,3.8742080000000003
-14,54,3.870263
-13,51,17.022893
-13,52,3.871315
-13,53,3.8707890000000003
-13,54,3.872893
-12,51,3.871315
-12,52,17.022104
-12,53,3.870526
-12,54,17.023156
-11,51,3.871578
-11,52,3.87263
-11,53,3.8707890000000003
-11,54,3.878416
-10,51,3.871052
-10,52,3.871578
-10,53,3.8707890000000003
-10,54,3.8718410000000003
-9,51,3.872367
-9,52,3.876049
-9,53,17.023156
-9,54,3.871315
-8,51,3.8815720000000002
-8,52,3.873419
-8,53,3.871315
-8,54,3.871052
-7,51,3.87
-7,52,3.872367
-7,53,3.870263
-7,54,3.8718410000000003
-6,51,3.8707890000000003
-6,52,3.872104
-6,53,3.874734
-6,54,3.874997
-5,51,3.883676
-5,52,17.022367
-5,53,3.876312
-5,54,3.872893
-4,51,3.873419
-4,52,3.872367
-4,53,3.990717
-4,54,3.873682
-3,51,3.873945
-3,52,3.872104
-3,53,3.872104
-3,54,3.870263
-2,51,3.87
-2,52,3.872104
-2,53,3.8707890000000003
-2,54,3.8718410000000003
-1,51,3.871315
-1,52,3.870263
-1,53,3.871052
-1,54,3.8718410000000003
0,51,3.885517
0,52,17.022104
0,53,3.876049
0,54,3.870526
1,51,3.870526
1,52,3.87263
1,53,3.872893
1,54,3.873945
2,51,3.873419
2,52,3.898404
2,53,3.900771
2,54,3.870263
3,51,3.872367
3,52,3.872367
3,53,3.870263
3,54,3.878416
4,51,3.873419
4,52,3.875786
4,53,3.8718410000000003
4,54,3.8707890000000003
5,51,3.871052
5,52,3.883413
5,53,3.870526
5,54,3.8755230000000003
6,51,3.871578
6,52,3.870263
6,53,3.8707890000000003
6,54,3.875786
7,51,3.8815720000000002
7,52,3.87263
7,53,3.873945
7,54,3.88052
8,51,3.8731560000000003
8,52,3.872367
8,53,3.87
8,54,3.871052
9,51,3.872104
9,52,3.873419
9,53,3.8768380000000002
9,54,3.876049
10,51,3.877364
10,52,3.874471
10,53,3.874471
10,54,3.870526
11,51,3.872893
11,52,3.871052
11,53,3.871315
11,54,3.87263
12,51,3.874734
12,52,3.884728
12,53,17.02263
