X,Y,Value
-1,59,17.02
-2,59,17.02
-16,55,17.02
-15,55,3.8778900000000003
-14,55,3.88052
-14,56,17.02
-13,55,3.88052
-13,56,3.87526
-12,55,3.88052
-12,56,3.89893
-12,57,17.02
-11,55,3.89893
-11,56,17.02
-10,55,3.8963
-9,55,4.26976
-9,56,17.02
-8,55,4.05936
-8,56,17.02
-7,55,5.3954
-7,56,3.87526
-7,57,3.91997
-7,58,17.02
-6,55,5.91614
-6,56,6.84716
-6,57,3.89893
-6,58,17.02
-5,55,4.01991
-5,56,3.87526
-5,57,3.96468
-5,58,4.2908
-4,55,5.52427
-4,56,4.82469
-4,57,3.93838
-4,58,3.90682
-3,55,4.30921
-3,56,4.60114
-3,57,4.92726
-3,58,4.27239
-2,55,3.90682
-2,56,3.88315
-2,57,3.88052
-2,58,3.88052
-1,55,4.3171
-1,56,3.87526
-1,57,4.26187
-1,58,17.02
0,55,8.60137
0,56,5.650510000000001
0,57,17.02
0,58,17.02
1,55,4.98512
1,56,17.02
1,57,17.02
1,58,3.88578
2,55,17.02
2,56,5.974
2,57,10.40555
2,58,3.8778900000000003
3,55,3.8910400000000003
3,56,3.87526
3,57,4.30658
3,58,3.8778900000000003
4,55,4.31973
4,56,17.02
4,57,17.02
4,58,17.02
5,55,3.88052
5,56,5.35069
5,57,17.02
5,58,17.02
6,55,10.2346
6,56,3.8910400000000003
6,57,17.02
6,58,17.02
7,55,5.1324000000000005
7,56,17.02
7,57,17.02
8,55,3.9226
8,56,17.02
8,57,17.02
9,55,9.61655
9,56,17.02
9,57,17.02
10,55,3.9226
10,56,17.02
11,55,3.88052
11,56,17.02
12,55,3.88052
13,55,17.02
19,51,17.02
18,51,17.02
18,52,17.02
17,51,3.88052
17,52,3.87263
16,51,3.88052
16,52,3.88315
16,53,3.88052
15,51,3.88052
15,52,3.87263
15,53,3.88315
15,54,17.02
14,51,9.22205
14,52,17.02
14,53,6.02134
14,54,17.02
13,51,4.97197
13,52,3.99887
13,53,3.88052
13,54,17.02
12,51,3.8778900000000003
12,52,3.87526
12,53,3.88578
12,54,3.8778900000000003
11,51,3.88315
11,52,4.98775
11,53,3.88052
11,54,4.133
10,51,3.88052
10,52,7.41261
10,53,3.88052
10,54,3.8778900000000003
9,51,3.88052
9,52,3.90682
9,53,3.88052
9,54,3.97783
8,51,11.61009
8,52,6.37639
8,53,4.10933
8,54,3.8778900000000003
7,51,17.02
7,52,8.59085
7,53,4.43808
7,54,3.8778900000000003
6,51,4.3539200000000005
6,52,3.90945
6,53,3.88052
6,54,3.88052
5,51,4.70108
5,52,4.4564900000000005
5,53,4.24083
5,54,3.88052
4,51,17.02
4,52,3.87526
4,53,3.88052
4,54,4.03832
3,51,4.63533
3,52,17.02
3,53,6.052899999999999
3,54,8.26999
2,51,5.85039
2,52,3.87263
2,53,5.3690999999999995
2,54,3.8778900000000003
1,51,17.02
1,52,17.02
1,53,5.06665
1,54,4.3171
0,51,3.88841
0,52,4.13826
0,53,3.88052
0,54,11.983550000000001
-1,51,3.8910400000000003
-1,52,4.8431
-1,53,17.02
-1,54,3.88052
-2,51,4.63007
-2,52,3.88315
-2,53,7.38105
-2,54,4.2119
-3,51,17.02
-3,52,5.15607
-3,53,5.68996
-3,54,3.89893
-4,51,3.88052
-4,52,4.090920000000001
-4,53,3.88052
-4,54,4.67215
-5,51,3.89367
-5,52,5.0535
-5,53,4.87729
-5,54,3.88052
-6,51,3.9173400000000003
-6,52,3.88578
-6,53,3.8963
-6,54,3.8778900000000003
-7,51,4.54854
-7,52,3.90682
-7,53,3.88052
-7,54,5.02457
-8,51,3.9304900000000003
-8,52,3.87526
-8,53,17.02
-8,54,3.9041900000000003
-9,51,10.34769
-9,52,3.93838
-9,53,10.16359
-9,54,3.8778900000000003
-10,51,3.8910400000000003
-10,52,4.29343
-10,53,3.9041900000000003
-10,54,3.8778900000000003
-11,51,3.90156
-11,52,4.80365
-11,53,3.88052
-11,54,3.8778900000000003
-12,51,3.89367
-12,52,4.22505
-12,53,3.88052
-12,54,3.8778900000000003
-13,51,3.8778900000000003
-13,52,3.87263
-13,53,3.88052
-13,54,3.8778900000000003
-14,51,3.90156
-14,52,3.87526
-14,53,3.88052
-14,54,3.8778900000000003
-15,51,3.88052
-15,52,3.87526
-15,53,3.88052
-15,54,3.88052
-16,51,3.88052
-16,52,3.87526
-16,53,3.88052
-16,54,3.8778900000000003
-17,51,3.88052
-17,52,3.87526
-17,53,3.88052
-17,54,3.8778900000000003
-18,51,3.8778900000000003
-18,52,3.87263
-18,53,3.88052
-18,54,17.02
-19,51,3.88052
-19,52,17.02
-19,53,3.88315
-20,51,17.02
-20,52,17.02
-21,51,3.88315
-21,52,17.02
-22,51,17.02
-27,47,17.02
-26,47,3.89893
-25,47,3.88315
-25,48,3.87526
-24,47,3.88052
-24,48,3.8778900000000003
-24,49,3.88315
-23,47,4.08829
-23,48,3.8910400000000003
-23,49,3.88052
-23,50,17.02
-22,47,3.8778900000000003
-22,48,3.87526
-22,49,3.88052
-22,50,3.8778900000000003
-21,47,3.88052
-21,48,3.87526
-21,49,3.9041900000000003
-21,50,3.8778900000000003
-20,47,3.88052
-20,48,3.87526
-20,49,3.88052
-20,50,3.8778900000000003
-19,47,3.88052
-19,48,3.87526
-19,49,3.88052
-19,50,3.8778900000000003
-18,47,3.8778900000000003
-18,48,3.87526
-18,49,3.88052
-18,50,3.8778900000000003
-17,47,3.88315
-17,48,3.87526
-17,49,3.88315
-17,50,3.8778900000000003
-16,47,3.88052
-16,48,3.87526
-16,49,3.88052
-16,50,3.90945
-15,47,3.88052
-15,48,3.8778900000000003
-15,49,3.88052
-15,50,3.8778900000000003
-14,47,4.3539200000000005
-14,48,3.88315
-14,49,4.25661
-14,50,3.8778900000000003
-13,47,3.90945
-13,48,3.8778900000000003
-13,49,3.88052
-13,50,3.8778900000000003
-12,47,3.96205
-12,48,3.87526
-12,49,3.88052
-12,50,3.88315
-11,47,4.43808
-11,48,4.24346
-11,49,4.21716
-11,50,4.133
-10,47,4.80891
-10,48,9.09844
-10,49,3.88052
-10,50,4.66689
-9,47,3.8778900000000003
-9,48,3.88315
-9,49,4.0278
-9,50,4.69319
-8,47,3.88841
-8,48,3.87526
-8,49,3.88052
-8,50,3.8778900000000003
-7,47,3.8910400000000003
-7,48,6.01082
-7,49,5.9424399999999995
-7,50,3.8778900000000003
-6,47,10.53968
-6,48,3.87526
-6,49,4.57221
-6,50,3.90156
-5,47,4.22768
-5,48,3.87526
-5,49,10.708
-5,50,4.70371
-4,47,3.88052
-4,48,3.87526
-4,49,3.88578
-4,50,4.2224200000000005
-3,47,3.88315
-3,48,3.89893
-3,49,3.92523
-3,50,17.02
-2,47,4.54065
-2,48,6.56049
-2,49,3.88052
-2,50,3.8778900000000003
-1,47,3.88578
-1,48,5.04035
-1,49,3.88052
-1,50,17.02
0,47,3.91997
0,48,4.41967
0,49,3.8963
0,50,3.94101
1,47,3.88841
1,48,3.87526
1,49,3.88052
1,50,6.91817
2,47,4.0935500000000005
2,48,4.04621
2,49,9.62181
2,50,9.39563
3,47,4.16456
3,48,6.08709
3,49,17.02
3,50,3.9041900000000003
4,47,3.88052
4,48,3.88315
4,49,3.94101
4,50,7.72558
5,47,17.02
5,48,7.18906
5,49,4.01202
5,50,9.592880000000001
6,47,3.88315
6,48,3.91997
6,49,3.88052
6,50,4.6327
7,47,4.03832
7,48,9.5771
7,49,7.5783
7,50,3.8778900000000003
8,47,5.02457
8,48,3.8778900000000003
8,49,3.88052
8,50,3.8778900000000003
9,47,4.03832
9,48,4.23031
9,49,17.02
9,50,17.02
10,47,17.02
10,48,3.87263
10,49,3.88052
10,50,3.8778900000000003
11,47,3.8910400000000003
11,48,17.02
11,49,15.05539
11,50,3.8778900000000003
12,47,3.88315
12,48,3.87526
12,49,4.26187
12,50,4.04884
13,47,3.8910400000000003
13,48,3.87263
13,49,3.93838
13,50,3.8910400000000003
