X,Y,Value
0,59,17.023682
-1,59,17.023418999999997
-2,59,17.023418999999997
-16,55,17.023156
-15,55,17.024997
-14,55,3.8731560000000003
-14,56,17.021841
-13,55,3.870526
-13,56,3.87
-12,55,17.023418999999997
-12,56,17.021841
-12,57,17.02263
-11,55,17.023418999999997
-11,56,17.021841
-10,55,3.8718410000000003
-10,56,17.021052
-9,55,17.023156
-9,56,3.879994
-8,55,17.021841
-8,56,17.018947999999998
-7,55,17.022893
-7,56,3.874734
-7,57,17.023156
-7,58,17.023418999999997
-6,55,17.026049
-6,56,17.02263
-6,57,17.022893
-6,58,17.023945
-5,55,3.872367
-5,56,17.02263
-5,57,3.872367
-5,58,17.022893
-4,55,17.023682
-4,56,3.873682
-4,57,17.02263
-4,58,17.022367
-3,55,3.8707890000000003
-3,56,17.021052
-3,57,17.022104
-3,58,17.021841
-2,55,3.872367
-2,56,17.023156
-2,57,17.022367
-2,58,17.027627
-1,55,3.872104
-1,56,17.020789
-1,57,17.022893
-1,58,17.022104
0,55,3.872104
0,56,17.022893
0,57,17.018947999999998
0,58,17.023418999999997
1,55,3.870263
1,56,3.871052
1,57,17.023945
1,58,17.022893
2,55,3.874734
2,56,17.02263
2,57,17.023418999999997
2,58,17.02263
3,55,3.872104
3,56,3.871052
3,57,17.022367
3,58,17.021841
4,55,3.870263
4,56,3.871578
4,57,3.870263
4,58,3.871578
5,55,3.872893
5,56,3.873682
5,57,3.8707890000000003
5,58,17.023156
6,55,3.873945
6,56,3.871052
6,57,3.873682
7,55,3.872893
7,56,3.871052
7,57,17.023418999999997
8,55,3.872104
8,56,17.021841
8,57,17.022893
9,55,17.024471
9,56,17.022104
9,57,17.023418999999997
10,55,17.023682
10,56,17.022367
11,55,17.023418999999997
11,56,17.021314999999998
12,55,17.023418999999997
13,55,17.023682
19,51,17.023156
18,51,17.023945
17,51,17.023156
17,52,17.021841
16,51,17.023418999999997
16,52,17.021841
16,53,17.023156
15,51,17.023156
15,52,17.021578
15,53,17.02263
14,51,17.023156
14,52,17.022367
14,53,17.023156
14,54,17.022893
13,51,17.023945
13,52,17.02263
13,53,17.022893
13,54,17.02263
12,51,3.873419
12,52,17.021052
12,53,17.024471
12,54,17.024471
11,51,3.871315
11,52,3.8718410000000003
11,53,3.870263
11,54,17.023418999999997
10,51,3.8731560000000003
10,52,3.872367
10,53,3.8707890000000003
10,54,17.022104
9,51,3.871052
9,52,3.872104
9,53,3.871315
9,54,3.870526
8,51,3.87263
8,52,3.8718410000000003
8,53,3.870263
8,54,3.871315
7,51,3.87526
7,52,3.874734
7,53,3.874471
7,54,3.874997
6,51,3.871578
6,52,3.8707890000000003
6,53,17.022104
6,54,3.871578
5,51,17.024207999999998
5,52,3.8707890000000003
5,53,3.871578
5,54,3.8768380000000002
4,51,3.873419
4,52,3.872893
4,53,3.871578
4,54,3.871578
3,51,3.873945
3,52,3.8742080000000003
3,53,3.8707890000000003
3,54,3.905768
2,51,3.87263
2,52,3.8707890000000003
2,53,3.87
2,54,3.8707890000000003
1,51,3.872104
1,52,3.871315
1,53,3.870526
1,54,3.870526
0,51,3.872104
0,52,3.871315
0,53,3.870526
0,54,17.022893
-1,51,3.871315
-1,52,3.871315
-1,53,3.871052
-1,54,17.024734
-2,51,3.8731560000000003
-2,52,17.021841
-2,53,3.873945
-2,54,3.8742080000000003
-3,51,3.872104
-3,52,17.021052
-3,53,17.02263
-3,54,3.870526
-4,51,3.872104
-4,52,3.872367
-4,53,3.870526
-4,54,3.8718410000000003
-5,51,3.8718410000000003
-5,52,3.871578
-5,53,17.02263
-5,54,17.022893
-6,51,3.870263
-6,52,3.871052
-6,53,3.870263
-6,54,17.022104
-7,51,17.023682
-7,52,3.871578
-7,53,3.872104
-7,54,3.874471
-8,51,17.023418999999997
-8,52,3.873682
-8,53,17.022104
-8,54,17.022104
-9,51,3.872893
-9,52,3.871315
-9,53,17.023156
-9,54,3.874471
-10,51,3.892092
-10,52,3.871052
-10,53,17.022367
-10,54,3.876049
-11,51,3.873945
-11,52,3.9055050000000002
-11,53,3.9662580000000003
-11,54,3.873419
-12,51,3.873945
-12,52,3.872104
-12,53,17.022893
-12,54,3.872367
-13,51,17.023418999999997
-13,52,3.874734
-13,53,3.874734
-13,54,3.8765750000000003
-14,51,3.881309
-14,52,3.872104
-14,53,3.870526
-14,54,4.261607
-15,51,3.875786
-15,52,3.870526
-15,53,3.8707890000000003
-15,54,8.034341999999999
-16,51,3.8802570000000003
-16,52,3.8755230000000003
-16,53,3.8755230000000003
-16,54,3.87263
-17,51,3.8742080000000003
-17,52,17.021314999999998
-17,53,3.8731560000000003
-17,54,17.023418999999997
-18,51,3.9996590000000003
-18,52,3.873419
-18,53,3.870526
-18,54,17.021841
-19,51,3.872367
-19,52,7.853923999999999
-19,53,3.87263
-20,51,3.8742080000000003
-20,52,3.87263
-21,51,3.8755230000000003
-21,52,17.020789
-22,51,17.023682
-27,47,17.023156
-26,47,3.871052
-26,48,17.022104
-25,47,3.8707890000000003
-25,48,3.8707890000000003
-25,49,17.023418999999997
-24,47,3.872104
-24,48,3.870263
-24,49,3.879994
-23,47,3.87263
-23,48,3.8731560000000003
-23,49,3.872104
-23,50,3.872104
-22,47,3.87526
-22,48,3.873945
-22,49,3.8755230000000003
-22,50,3.87526
-21,47,3.871578
-21,48,3.870526
-21,49,17.02263
-21,50,3.928386
-20,47,3.87
-20,48,3.870526
-20,49,3.870263
-20,50,3.8742080000000003
-19,47,3.87263
-19,48,3.871052
-19,49,3.874471
-19,50,17.022893
-18,47,3.87
-18,48,3.870526
-18,49,6.043958
-18,50,3.87526
-17,47,3.872893
-17,48,3.871052
-17,49,3.972044
-17,50,3.871578
-16,47,3.874471
-16,48,3.873682
-16,49,3.873419
-16,50,3.87263
-15,47,3.872893
-15,48,3.873945
-15,49,17.02263
-15,50,3.8707890000000003
-14,47,3.8765750000000003
-14,48,3.874734
-14,49,3.8768380000000002
-14,50,3.871315
-13,47,3.870526
-13,48,3.870526
-13,49,3.8731560000000003
-13,50,3.871315
-12,47,3.870526
-12,48,3.871315
-12,49,3.8731560000000003
-12,50,3.878679
-11,47,3.871315
-11,48,3.871052
-11,49,3.8718410000000003
-11,50,3.8731560000000003
-10,47,3.872104
-10,48,17.021052
-10,49,3.870263
-10,50,3.871578
-9,47,3.871052
-9,48,3.871315
-9,49,3.9615240000000003
-9,50,3.8742080000000003
-8,47,3.871052
-8,48,3.870526
-8,49,3.871315
-8,50,3.8755230000000003
-7,47,3.872104
-7,48,3.872367
-7,49,3.9436400000000003
-7,50,3.872893
-6,47,3.871315
-6,48,3.87263
-6,49,3.9817750000000003
-6,50,3.8718410000000003
-5,47,3.8731560000000003
-5,48,3.872893
-5,49,3.921548
-5,50,17.022367
-4,47,3.870263
-4,48,3.872367
-4,49,3.926019
-4,50,3.871052
-3,47,3.872104
-3,48,3.872893
-3,49,3.939432
-3,50,3.874734
-2,47,3.877627
-2,48,3.879731
-2,49,3.874997
-2,50,3.871315
-1,47,3.8778900000000003
-1,48,3.87263
-1,49,3.881309
-1,50,3.872893
0,47,17.02263
0,48,3.871315
0,49,3.87263
0,50,3.871578
1,47,3.876049
1,48,3.875786
1,49,3.874997
1,50,3.8742080000000003
2,47,3.871578
2,48,3.87263
2,49,3.8707890000000003
2,50,3.872104
3,47,3.872104
3,48,3.871052
3,49,3.87
3,50,3.871315
4,47,3.870263
4,48,3.870526
4,49,3.870263
4,50,3.870526
5,47,3.871578
5,48,3.8718410000000003
5,49,3.8718410000000003
5,50,3.871315
