X,Y,Value
-5,119,4.23294
-6,119,10.03209
-7,119,10.05839
-7,120,3.87
-8,119,10.066279999999999
-8,120,3.87263
-9,119,10.071539999999999
-9,120,3.8963
-10,119,10.08206
-10,120,3.87
-11,119,10.06891
-11,120,3.87
-12,119,22.49829
-12,120,5.55846
-13,119,10.074169999999999
-20,115,22.55352
-19,115,22.82441
-19,116,16.438769999999998
-18,115,22.69817
-18,116,21.53045
-15,115,14.676669999999998
-14,115,22.60086
-14,116,22.585079999999998
-14,117,22.47725
-14,118,16.233629999999998
-13,115,22.56667
-13,116,22.55878
-13,117,22.60875
-13,118,22.61927
-12,115,22.53774
-12,116,22.51933
-12,117,22.54037
-12,118,22.57193
-11,115,16.32042
-11,116,22.543
-11,117,22.569300000000002
-11,118,16.35724
-10,115,22.51933
-10,116,22.52196
-10,117,22.548260000000003
-10,118,16.3362
-9,115,22.50092
-9,116,22.51933
-9,117,22.54563
-9,118,22.57193
-8,115,22.53774
-8,116,22.46147
-8,117,22.56667
-8,118,16.359869999999997
-7,115,22.54037
-7,116,22.54037
-7,117,22.58245
-7,118,22.58771
-6,115,22.548260000000003
-6,116,22.569300000000002
-6,117,22.60086
-6,118,22.58771
-5,115,22.55352
-5,116,22.56667
-5,117,22.59297
-5,118,22.57982
-4,115,22.60086
-4,116,22.61401
-4,117,22.62979
-4,118,10.05576
-3,115,22.60875
-3,116,22.62716
-3,117,22.6219
-3,118,3.87
-2,115,22.68765
-2,116,22.67976
-2,117,10.076799999999999
-1,115,22.65872
-1,116,22.61138
0,115,22.33523
0,116,3.87
1,115,3.87
4,111,20.83613
3,111,22.73236
3,112,22.148500000000002
3,113,3.8778900000000003
2,111,22.7008
2,112,22.73236
2,113,22.72184
2,114,3.87
1,111,22.63505
1,112,22.674500000000002
1,113,22.69554
1,114,22.690279999999998
0,111,22.60612
0,112,22.61664
0,113,22.65083
0,114,22.69817
-1,111,21.71981
-1,112,22.65872
-1,113,22.64294
-1,114,22.682389999999998
-2,111,21.57779
-2,112,22.6219
-2,113,22.5956
-2,114,22.63242
-3,111,22.55352
-3,112,22.561410000000002
-3,113,22.5956
-3,114,22.61401
-4,111,22.52722
-4,112,22.54037
-4,113,22.55089
-4,114,22.57456
-5,111,22.50092
-5,112,22.52459
-5,113,22.548260000000003
-5,114,22.569300000000002
-6,111,22.50092
-6,112,22.49303
-6,113,22.479879999999998
-6,114,22.53774
-7,111,22.31419
-7,112,22.48251
-7,113,22.52722
-7,114,22.535110000000003
-8,111,22.43517
-8,112,22.46673
-8,113,22.479879999999998
-8,114,16.29675
-9,111,22.351010000000002
-9,112,22.45884
-9,113,22.48251
-9,114,22.48777
