X,Y,Value
0,103,3.930753
-1,103,3.885517
-2,103,3.908135
-3,103,4.277913
-4,103,3.8873580000000003
-5,103,13.018718
-5,104,17.022367
-6,103,3.926282
-6,104,17.022104
-7,103,3.919444
-8,103,3.91997
-9,103,17.024207999999998
-10,103,4.144046
-11,103,17.031309
-12,103,17.024207999999998
-21,99,17.024471
-20,99,3.907346
-19,99,3.898667
-19,100,17.021314999999998
-18,99,3.8768380000000002
-18,100,3.9102390000000002
-17,99,3.891829
-17,100,17.021052
-17,101,17.022367
-13,99,17.024207999999998
-13,100,3.872367
-13,101,3.8802570000000003
-13,102,17.021052
-12,99,3.887095
-12,100,3.871578
-12,101,3.8718410000000003
-12,102,3.870526
-11,99,17.023945
-11,100,3.87263
-11,101,17.021841
-11,102,17.021314999999998
-10,99,3.88841
-10,100,3.87263
-10,101,3.870263
-10,102,3.871315
-9,99,3.901297
-9,100,3.87526
-9,101,3.8731560000000003
-9,102,3.875786
-8,99,3.8934070000000003
-8,100,3.871052
-8,101,3.871052
-8,102,3.901297
-7,99,3.927334
-7,100,3.872893
-7,101,3.87
-7,102,3.871315
-6,99,3.9055050000000002
-6,100,3.873419
-6,101,3.873682
-6,102,3.8707890000000003
-5,99,17.024734
-5,100,3.870263
-5,101,3.8742080000000003
-5,102,17.020789
-4,99,17.02263
-4,100,17.021052
-4,101,3.870526
-4,102,4.41441
-3,99,17.024207999999998
-3,100,3.8768380000000002
-3,101,3.925493
-3,102,3.873682
-2,99,17.023945
-2,100,3.8731560000000003
-2,101,3.910765
-2,102,3.8707890000000003
-1,99,3.903927
-1,100,3.870526
-1,101,3.871052
-1,102,3.945744
0,99,17.024997
0,100,3.872104
0,101,3.872367
0,102,4.131948
1,99,3.8899880000000002
1,100,17.021578
1,101,3.878153
1,102,3.880783
2,99,3.9207590000000003
2,100,3.873682
2,101,3.8765750000000003
2,102,3.906294
3,99,3.899193
3,100,3.872367
3,101,3.874471
3,102,17.021314999999998
4,99,3.881309
4,100,3.8765750000000003
4,101,4.001763
4,102,17.021314999999998
5,99,3.915762
5,100,3.880783
5,101,3.916814
6,99,17.02526
6,100,17.021578
6,101,17.022893
7,99,17.023945
7,100,4.0206990000000005
8,99,3.893144
8,100,17.021314999999998
9,99,3.88052
15,95,17.024997
14,95,3.8873580000000003
14,96,17.02263
13,95,3.9578420000000003
13,96,17.023156
12,95,3.8957740000000003
12,96,3.871052
12,97,3.8755230000000003
11,95,3.882887
11,96,3.8707890000000003
11,97,3.874734
11,98,17.021841
10,95,3.872104
10,96,3.881309
10,97,3.871578
10,98,3.874997
9,95,17.02526
9,96,3.8731560000000003
9,97,3.872367
9,98,3.875786
8,95,3.8886730000000003
8,96,3.877364
8,97,3.879731
8,98,3.871578
7,95,17.023682
7,96,3.870526
7,97,3.874471
7,98,17.021052
6,95,3.929964
6,96,3.870263
6,97,3.8707890000000003
6,98,3.8707890000000003
5,95,3.8923550000000002
5,96,3.8718410000000003
5,97,3.871578
5,98,3.871052
4,95,3.887884
4,96,3.878679
4,97,3.992821
4,98,3.871315
3,95,3.9567900000000003
3,96,3.876312
3,97,3.99098
3,98,3.8707890000000003
2,95,3.8897250000000003
2,96,3.872893
2,97,3.948111
2,98,3.872104
1,95,3.873945
1,96,17.021314999999998
1,97,3.916288
1,98,3.871578
0,95,17.025523
0,96,3.871315
0,97,3.871052
0,98,3.872104
-1,95,17.023682
-1,96,3.871578
-1,97,3.870263
-1,98,3.872893
-2,95,3.877101
-2,96,3.8765750000000003
-2,97,3.877364
-2,98,3.874734
-3,95,3.878153
-3,96,3.870263
-3,97,3.8731560000000003
-3,98,3.8718410000000003
-4,95,3.8994560000000003
-4,96,3.87263
-4,97,3.888936
-4,98,3.8707890000000003
-5,95,3.899719
-5,96,3.871052
-5,97,3.8731560000000003
-5,98,17.022104
-6,95,17.02263
-6,96,3.871052
-6,97,3.8731560000000003
-6,98,3.871315
-7,95,3.8707890000000003
-7,96,3.8731560000000003
-7,97,3.8731560000000003
-7,98,3.872367
-8,95,17.024734
-8,96,3.872893
-8,97,3.8731560000000003
-8,98,3.872104
-9,95,17.020789
-9,96,3.872893
-9,97,3.87263
-9,98,3.872104
-10,95,3.910502
-10,96,3.871315
-10,97,3.87526
-10,98,3.873682
-11,95,3.8886730000000003
-11,96,3.8934070000000003
-11,97,3.902612
-11,98,3.87
-12,95,3.920496
-12,96,3.871052
-12,97,3.933646
-12,98,3.87263
-13,95,3.871052
-13,96,3.871052
-13,97,3.872104
-13,98,3.870263
-14,95,3.873682
-14,96,3.871315
-14,97,3.87263
-14,98,3.871052
-15,95,3.89893
-15,96,3.87526
-15,97,3.874471
-15,98,17.02
-16,95,3.920496
-16,96,3.8707890000000003
-16,97,3.872104
-16,98,17.021314999999998
-17,95,17.024207999999998
-17,96,3.8731560000000003
-17,97,3.870263
-17,98,3.8718410000000003
-18,95,17.02526
-18,96,3.870263
-18,97,3.871052
-18,98,3.87263
-19,95,3.904979
-19,96,3.874997
-19,97,3.877101
-19,98,17.021314999999998
-20,95,17.023682
-20,96,3.871052
-20,97,3.872367
-20,98,3.871578
-21,95,3.9328570000000003
-21,96,3.871052
-21,97,3.871315
-21,98,3.870263
-22,95,3.921548
-22,96,3.872104
-22,97,3.8910400000000003
-22,98,17.02263
-23,95,3.8755230000000003
-23,96,17.023682
-23,97,4.914899
-24,95,3.88315
-24,96,3.871052
-25,95,3.9496890000000002
-25,96,17.021841
-26,95,17.023945
-30,91,17.024734
-29,91,4.530919
-29,92,17.021314999999998
-28,91,3.923652
-28,92,3.887095
-28,93,17.023682
-27,91,3.913921
-27,92,3.8957740000000003
-27,93,3.8792050000000002
-27,94,17.021578
-26,91,3.894985
-26,92,3.871052
-26,93,3.876049
-26,94,3.871315
-25,91,3.897878
-25,92,3.871315
-25,93,3.8707890000000003
-25,94,3.872104
-24,91,17.023418999999997
-24,92,3.891829
-24,93,3.8718410000000003
-24,94,17.022367
-23,91,17.024207999999998
-23,92,3.873419
-23,93,3.8718410000000003
-23,94,3.873419
-22,91,17.028416
