X,Y,Value
-11,103,17.02
-10,103,17.02
-9,103,17.016318
-8,103,17.01737
-7,103,17.020526
-5,103,17.018159
-4,103,17.020789
-3,103,17.02
-2,103,17.019737
-1,103,17.02
0,103,17.018685
11,99,17.02
10,99,17.032360999999998
9,99,3.947848
9,100,17.02
8,99,3.9173400000000003
8,100,17.021052
7,99,17.02
7,100,3.987035
7,101,17.02
6,99,3.893933
6,100,17.023418999999997
6,101,17.016844
5,99,3.872104
5,100,3.9173400000000003
5,101,17.02
4,99,3.881835
4,100,3.932068
4,101,3.946533
4,102,17.02
3,99,3.871315
3,100,3.897615
3,101,3.9638910000000003
3,102,17.024207999999998
2,99,3.873682
2,100,3.878679
2,101,17.02
2,102,17.021314999999998
1,99,3.8742080000000003
1,100,3.895511
1,101,3.926545
1,102,17.018685
0,99,3.877364
0,100,3.8765750000000003
0,101,3.902349
0,102,3.9089240000000003
-1,99,3.874997
-1,100,17.019211
-1,101,17.019211
-1,102,17.019737
-2,99,3.8768380000000002
-2,100,3.872367
-2,101,4.051207
-2,102,3.924178
-3,99,3.876312
-3,100,3.888147
-3,101,3.911028
-3,102,17.02
-4,99,17.022367
-4,100,3.8768380000000002
-4,101,3.912343
-4,102,17.020263
-5,100,3.872104
-5,101,3.928912
-5,102,4.495677
-6,99,3.872104
-6,100,3.892618
-6,101,3.934698
-6,102,4.002815
-7,99,17.021052
-7,100,3.882887
-7,101,17.017107
-7,102,17.019474
-8,99,3.8802570000000003
-8,100,3.90156
-8,101,3.952582
-8,102,17.019737
-9,99,3.9136580000000003
-9,100,17.019211
-9,101,4.134578
-9,102,17.020526
-10,99,3.8849910000000003
-10,100,3.899193
-10,101,3.983879
-10,102,17.020789
-11,99,3.885254
-11,100,3.932068
-11,101,17.02
-11,102,17.020789
-12,99,3.897878
-12,100,3.970203
-12,101,3.905768
-12,102,17.02
-13,99,17.02
-13,100,17.017107
-13,101,17.018421999999997
-13,102,17.02
-14,99,17.018947999999998
-14,100,17.02
-14,101,17.019737
-15,99,17.02
-15,100,17.02
-19,99,17.019737
-19,100,17.019737
-20,99,17.019737
-21,99,17.02
-28,95,17.02
-27,95,17.02
-26,95,17.02
-26,96,17.019211
-25,95,17.015529
-25,96,17.019474
-25,97,17.018159
-24,95,3.954686
-24,96,3.953897
-24,97,17.019474
-23,95,3.873945
-23,96,3.888936
-23,97,3.911554
-23,98,17.022367
-22,95,3.874471
-22,96,3.8839390000000003
-22,97,3.8765750000000003
-22,98,17.019474
-21,95,3.871315
-21,96,3.884465
-21,97,17.023945
-21,98,3.878416
-20,95,3.8755230000000003
-20,96,3.879468
-20,97,3.881835
-20,98,17.023682
-19,95,3.877364
-19,96,3.87526
-19,97,3.920496
-19,98,17.02
-18,95,3.8742080000000003
-18,96,17.020789
-18,97,17.02
-17,95,3.873682
-17,96,17.02
-17,97,17.02
-16,95,3.8718410000000003
-16,96,3.890514
-16,97,17.018685
-15,95,17.020263
-15,96,3.873682
-15,97,3.870526
-15,98,17.020263
-14,95,3.877627
-14,96,3.87526
-14,97,3.872893
-14,98,3.877627
-13,95,3.878416
-13,96,3.874471
-13,97,3.874471
-13,98,3.871315
-12,95,3.8778900000000003
-12,96,3.876049
-12,97,3.878153
-12,98,3.893144
-11,95,17.018421999999997
-11,96,3.879468
-11,97,3.882887
-11,98,17.02
-10,95,3.877101
-10,96,3.878942
-10,97,3.881309
-10,98,3.876312
-9,95,3.8718410000000003
-9,97,3.880783
-9,98,3.87263
-8,95,3.877364
-8,97,3.88052
-8,98,3.879994
-7,95,3.8765750000000003
-7,96,3.875786
-6,95,3.87526
-6,96,3.877101
-6,97,3.8792050000000002
-6,98,3.878942
-5,95,4.116168
-5,96,3.8765750000000003
-5,97,3.870263
-5,98,3.878679
-4,95,3.877627
-4,96,3.878153
-4,97,3.8802570000000003
-4,98,3.878416
-3,95,3.8765750000000003
-3,96,3.878679
-3,97,3.8792050000000002
-3,98,3.876049
-2,95,3.874471
-2,96,3.8778900000000003
-2,97,3.88052
-2,98,3.8792050000000002
-1,95,3.877101
-1,96,3.878153
-1,97,3.877364
-1,98,3.878942
0,95,3.876049
0,96,3.878153
0,97,3.881309
0,98,3.8792050000000002
1,95,3.876049
1,96,3.877101
1,97,3.878679
1,98,3.878153
2,95,3.8768380000000002
2,96,3.872367
2,97,3.8792050000000002
2,98,3.8768380000000002
3,95,3.87263
3,96,3.8778900000000003
3,97,3.878153
3,98,3.8778900000000003
4,95,3.87526
4,96,3.872367
4,97,3.877364
4,98,3.872367
5,95,3.873945
5,96,3.877364
5,97,3.8731560000000003
5,98,3.877364
6,95,3.8765750000000003
6,96,3.874734
6,97,3.8768380000000002
6,98,5.187893
7,95,3.872367
7,96,3.874471
7,97,3.875786
7,98,3.871052
8,95,3.8742080000000003
8,96,3.8768380000000002
8,97,3.87526
8,98,3.871052
9,95,3.873682
9,96,3.8755230000000003
9,97,3.880783
9,98,3.885254
10,95,3.873945
10,96,3.8742080000000003
10,97,3.876049
10,98,17.018421999999997
11,95,3.876312
11,96,3.87526
11,97,3.904979
11,98,17.019737
12,95,3.873682
12,96,3.8839390000000003
12,97,3.9723070000000003
12,98,17.018947999999998
13,95,3.888936
13,96,3.907609
13,97,17.020526
13,98,17.02
14,95,3.892618
14,96,4.017017
14,97,17.020263
15,95,17.02526
15,96,17.018947999999998
16,95,3.9489
16,96,17.02
17,95,17.024471
22,91,17.018421999999997
21,91,4.160089
21,92,17.02
20,91,3.9949250000000003
20,92,17.019737
19,91,3.904716
19,92,17.019737
19,93,17.020789
18,91,3.8897250000000003
18,92,3.9041900000000003
18,93,4.0038670000000005
18,94,17.02
17,91,3.872893
17,92,3.877101
17,93,17.018685
17,94,3.9675730000000002
16,91,3.871052
16,92,3.872104
16,93,3.873682
16,94,3.892618
15,91,3.8765750000000003
