X,Y,Value
-1,91,82.72529
-2,91,82.7174
-3,91,82.72003000000001
-4,91,82.71477
-5,91,82.7174
-6,91,82.72003000000001
-7,91,82.72529
-16,87,82.73055
-15,87,82.72529
-14,87,82.72529
-13,87,3.87
-12,87,21.38054
-11,87,21.90654
-10,87,22.122200000000003
-10,88,15.831240000000001
-10,89,15.42359
-9,87,22.16428
-9,88,22.0696
-9,89,15.907509999999998
-9,90,3.87
-8,87,22.19058
-8,88,22.01174
-8,89,9.903220000000001
-8,90,9.7349
-7,87,16.0732
-7,88,22.05645
-7,89,21.945990000000002
-7,90,9.661259999999999
-6,87,22.12746
-6,88,9.83221
-6,89,21.9118
-6,90,3.9830900000000002
-5,87,22.09064
-5,88,21.95388
-5,89,21.89865
-5,90,9.698080000000001
-4,87,22.11168
-4,88,22.02752
-4,89,21.79871
-4,90,9.74016
-3,87,16.06531
-3,88,21.99596
-3,89,21.92495
-3,90,16.84905
-2,87,16.25204
-2,88,20.15233
-2,89,15.97326
-2,90,15.707630000000002
-1,87,16.1784
-1,88,22.07223
-1,89,15.95485
-1,90,4.16982
0,87,22.153760000000002
0,88,22.05645
0,89,21.93021
0,90,9.63496
1,87,22.122200000000003
1,88,22.00911
1,89,15.920659999999998
1,90,3.87
2,87,16.002190000000002
2,88,15.946959999999997
2,89,15.831240000000001
2,90,3.87
3,87,22.11168
3,88,21.40947
3,89,9.85062
3,90,3.87
4,87,22.04856
4,88,21.832900000000002
4,89,3.88315
5,87,21.95914
5,88,15.728670000000001
5,89,3.87263
6,87,21.86972
6,88,3.87
7,87,9.85062
7,88,3.87
8,87,3.87
9,87,3.87
14,83,3.87
13,83,15.702369999999998
12,83,21.87761
12,84,3.87
11,83,15.97852
11,84,21.77241
11,85,3.87526
10,83,22.10905
10,84,21.919690000000003
10,85,21.80397
10,86,3.87
9,83,22.2011
9,84,22.10905
9,85,22.04067
9,86,9.70071
8,83,22.248440000000002
8,84,16.15999
8,85,22.14061
8,86,21.79082
7,83,22.2011
7,84,22.19584
7,85,22.18006
7,86,21.97755
6,83,22.29578
6,84,22.264219999999998
6,85,22.28263
6,86,16.31253
5,83,22.277369999999998
5,84,22.29052
5,85,16.17314
5,86,22.135350000000003
4,83,22.29841
4,84,22.25107
4,85,22.30893
4,86,22.15113
3,83,22.25633
3,84,22.26159
3,85,22.26159
3,86,22.18795
2,83,16.120540000000002
2,84,22.22214
2,85,22.31156
2,86,22.17743
1,83,22.28263
1,84,16.14684
1,85,22.32208
1,86,22.2011
0,83,22.29578
0,84,22.23529
0,85,22.351010000000002
0,86,22.21162
-1,83,22.27474
-1,84,22.25633
-1,85,22.29578
-1,86,22.18269
-2,83,16.128429999999998
-2,84,22.25633
-2,85,22.277369999999998
-2,86,22.18269
-3,83,22.23792
-3,84,22.25107
-3,85,22.28789
-3,86,22.18532
-4,83,22.26159
-4,84,22.20899
-4,85,22.28
-4,86,22.16954
-5,83,22.240550000000002
-5,84,22.21688
-5,85,16.18103
-5,86,22.14587
-6,83,22.258960000000002
-6,84,22.24318
-6,85,22.30893
-6,86,16.06268
-7,83,22.26948
-7,84,16.11265
-7,85,22.34049
-7,86,16.11528
-8,83,22.28789
-8,84,22.258960000000002
-8,85,16.27308
-8,86,16.14158
-9,83,22.25107
-9,84,22.23003
-9,85,16.19681
-9,86,22.23266
-10,83,22.28526
-10,84,22.277369999999998
-10,85,22.32471
-10,86,16.09161
-11,83,22.28789
-11,84,22.264219999999998
-11,85,22.32208
-11,86,22.18269
-12,83,22.30367
-12,84,22.29578
-12,85,22.345750000000002
-12,86,22.08012
-13,83,22.32734
-13,84,22.30367
-13,85,22.34838
-13,86,21.69614
-14,83,22.25633
-14,84,16.144209999999998
-14,85,22.258960000000002
-14,86,21.89076
-15,83,22.20899
-15,84,22.14587
-15,85,22.13009
-15,86,21.86972
-16,83,16.05742
-16,84,21.814490000000003
-16,85,15.84965
-16,86,21.654059999999998
-17,83,15.968
-17,84,15.925919999999998
-17,85,21.722440000000002
-17,86,9.64022
-18,83,21.919690000000003
-18,84,21.72507
-18,85,3.91471
-19,83,21.56464
-19,84,21.491
-19,85,9.71123
-20,83,15.87069
-20,84,9.71123
-21,83,3.87
-25,79,9.863769999999999
-24,79,21.94862
-24,80,9.74016
-23,79,22.02489
-23,80,21.76715
-23,81,9.78487
-22,79,22.06171
-22,80,15.896990000000002
-22,81,21.77241
-22,82,3.87
-21,79,22.11431
-21,80,22.00122
-21,81,15.97589
-21,82,21.37265
-20,79,22.066969999999998
-20,80,22.03541
-20,81,22.00648
-20,82,17.290889999999997
-19,79,22.11431
-19,80,22.07486
-19,81,16.02323
-19,82,21.40684
-18,79,22.14061
-18,80,22.12746
-18,81,22.12483
-18,82,22.00122
-17,79,22.18269
-17,80,22.16691
-17,81,22.21425
-17,82,22.07223
-16,79,19.74731
-16,80,22.21951
-16,81,22.26159
-16,82,22.143240000000002
-15,79,22.28526
-15,80,22.156390000000002
-15,81,22.35627
-15,82,16.236259999999998
-14,79,16.225740000000002
-14,80,22.30104
-14,81,22.40098
-14,82,16.3888
-13,79,22.32997
-13,80,22.32997
-13,81,22.42202
-13,82,22.32471
-12,79,16.18103
-12,80,22.33786
-12,81,22.26159
-12,82,22.29841
-11,79,22.34049
-11,80,22.31945
-11,81,22.40098
-11,82,22.32734
-10,79,22.32208
-10,80,22.33786
-10,81,22.374679999999998
-10,82,22.28526
-9,79,22.29578
-9,80,22.34838
-9,81,22.39835
-9,82,16.24678
-8,79,22.27474
-8,80,22.277369999999998
-8,81,16.2573
-8,82,22.27474
-7,79,16.26782
-7,80,16.19944
-7,81,22.36153
-7,82,22.28526
-6,79,16.19944
-6,80,16.17051
-6,81,22.36679
-6,82,22.248440000000002
-5,79,22.23266
-5,80,22.28789
-5,81,22.369419999999998
-5,82,22.24581
-4,79,22.29315
-4,80,22.30104
-4,81,16.3625
-4,82,22.27474
-3,79,22.35627
-3,80,16.19944
-3,81,22.42202
-3,82,22.29315
-2,79,16.27571
-2,80,22.28526
-2,81,22.3852
-2,82,22.30893
-1,79,22.33786
-1,80,22.31682
-1,81,22.39046
-1,82,22.29052
0,79,22.3326
0,80,22.31156
0,81,22.30104
0,82,22.153760000000002
1,79,22.351010000000002
1,80,22.31156
1,81,22.40098
1,82,22.28526
2,79,22.31945
2,80,16.29675
2,81,16.225740000000002
2,82,16.231
3,79,22.3326
3,80,22.32997
3,81,22.41413
3,82,22.28
4,79,22.3326
4,80,22.34312
4,81,22.42202
4,82,22.29315
5,79,22.33523
5,80,22.32734
5,81,22.40361
5,82,22.31156
6,79,22.345750000000002
6,80,22.32734
6,81,22.374679999999998
6,82,22.29315
7,79,22.34838
7,80,22.31156
7,81,16.24415
7,82,22.31945
8,79,22.33523
8,80,22.358900000000002
8,81,16.25993
8,82,22.29315
9,79,22.32997
9,80,22.29841
9,81,16.233629999999998
9,82,22.28789
10,79,22.31682
10,80,16.18103
10,81,22.33523
10,82,22.23792
11,79,16.16262
11,80,22.32997
11,81,22.30104
11,82,22.16954
12,79,22.28526
12,80,22.25107
12,81,22.23529
12,82,22.066969999999998
13,79,22.26159
13,80,22.20899
13,81,16.12317
13,82,21.86183
14,79,16.08635
14,80,16.01271
14,81,20.54157
14,82,15.66818
15,79,22.08538
15,80,21.90654
15,81,15.731299999999997
15,82,3.87
16,79,21.92232
16,80,15.6524
16,81,3.87
17,79,4.01728
