X,Y,Value
1,59,17.02
-1,59,17.02
-2,59,17.02
-19,55,17.02
-18,55,17.02
-17,55,17.02
-17,56,17.02
-16,55,17.02
-16,56,17.02
-15,55,3.878942
-15,56,17.02
-14,55,4.095391
-14,56,17.020263
-13,55,3.878942
-13,56,17.02
-13,57,17.02
-12,55,4.675569
-12,56,3.939169
-12,57,17.02
-11,55,3.881835
-11,56,17.023418999999997
-11,57,17.02
-10,55,17.019737
-10,56,3.8768380000000002
-10,57,17.02
-9,55,3.878153
-9,56,3.8765750000000003
-9,57,17.02
-8,55,3.877101
-8,56,17.019737
-8,57,3.907346
-8,58,17.02
-7,55,3.878153
-7,56,3.921285
-7,57,3.879731
-7,58,17.02
-6,55,6.78667
-6,56,17.02
-6,57,17.02
-6,58,3.881046
-5,55,17.02
-5,56,17.019474
-5,57,3.8768380000000002
-5,58,17.019474
-4,55,3.877627
-4,56,3.8768380000000002
-4,57,17.019737
-4,58,17.019474
-3,55,3.8778900000000003
-3,56,3.876312
-3,57,17.019737
-3,58,17.019737
-2,55,3.878679
-2,56,3.877364
-2,57,17.02
-2,58,17.02
-1,55,17.019737
-1,56,17.02
-1,57,17.02
-1,58,17.020263
0,55,3.878679
0,56,17.019211
0,57,17.020526
0,58,17.019737
1,55,17.020263
1,56,17.019737
1,57,17.02
1,58,17.019737
2,55,3.877101
2,56,17.019737
2,57,17.020263
2,58,17.019737
3,55,17.02
3,56,3.881046
3,57,17.019211
3,58,3.924967
4,55,17.019737
4,56,17.019474
4,57,17.02
4,58,17.02
5,55,17.019737
5,56,17.02
5,57,17.02
5,58,17.02
6,55,17.019737
6,56,17.02
6,57,17.020263
6,58,17.02
7,55,17.021841
7,56,17.019737
7,57,17.02
7,58,17.02
8,55,3.878416
8,56,17.019737
8,57,17.019474
9,55,17.019737
9,56,17.019211
9,57,17.02
10,55,3.882098
10,56,17.02
10,57,17.02
11,55,17.02
11,56,17.02
12,55,17.021314999999998
12,56,17.02
13,55,3.8815720000000002
13,56,17.02
14,55,17.02
15,55,17.02
22,51,17.02
21,51,17.02
20,51,3.8839390000000003
20,52,17.02
19,51,17.02
19,52,3.886043
19,53,17.02
18,51,17.02
18,52,17.020263
18,53,17.02
17,51,17.019737
17,52,17.019737
17,53,3.879731
17,54,17.02
16,51,17.02
16,52,17.020789
16,53,17.02
16,54,17.02
15,51,17.019737
15,52,17.02
15,53,17.021052
15,54,17.02
14,51,17.02
14,52,17.020263
14,53,17.019737
14,54,17.018947999999998
13,51,3.958631
13,52,17.019737
13,53,17.019737
13,54,17.018685
12,51,17.02
12,52,17.02
12,53,3.88052
12,54,17.02
11,51,17.019474
11,52,3.878153
11,53,17.018421999999997
11,54,17.019737
10,51,3.877364
10,52,17.019474
10,53,17.019737
10,54,17.019211
9,51,3.877364
9,52,17.020789
9,53,17.019474
9,54,3.8826240000000003
8,51,17.019474
8,52,17.02
8,53,17.016844
8,54,3.881835
7,51,3.877101
7,52,3.875786
7,53,17.018947999999998
7,54,17.02
6,51,17.019737
6,52,17.019474
6,53,17.02
6,54,17.019474
5,51,17.019211
5,52,17.019474
5,53,3.882361
5,54,3.88315
4,51,3.8778900000000003
4,52,3.876312
4,53,3.879468
4,54,17.019737
3,51,17.015792
3,52,17.019211
3,53,3.877101
3,54,17.02
2,51,17.019737
2,52,17.01737
2,53,3.877364
2,54,17.013951
1,51,3.881046
1,52,17.019737
1,53,3.8778900000000003
1,54,3.880783
0,51,17.019211
0,52,3.923126
0,53,3.878416
0,54,17.019737
-1,51,17.019211
-1,52,3.8768380000000002
-1,53,3.877627
-1,54,3.8802570000000003
-2,51,17.019737
-2,52,3.875786
-2,53,3.877364
-2,54,17.019474
-3,51,17.02
-3,52,3.877364
-3,53,3.877364
-3,54,3.88578
-4,51,3.877364
-4,52,3.876312
-4,53,17.021578
-4,54,3.8815720000000002
-5,51,3.8778900000000003
-5,52,3.876312
-5,53,3.877627
-5,54,3.879994
-6,51,3.877101
-6,52,3.8755230000000003
-6,53,3.879731
-6,54,17.018685
-7,51,3.877101
-7,52,3.9257560000000002
-7,53,3.878153
-7,54,3.880783
-8,51,3.8768380000000002
-8,52,12.437750999999999
-8,53,3.8768380000000002
-8,54,3.8792050000000002
-9,51,17.019474
-9,52,3.876312
-9,53,3.877364
-9,54,3.9210220000000002
-10,51,17.021052
-10,52,3.877101
-10,53,3.878416
-10,54,3.880783
-11,51,17.020789
-11,52,3.876312
-11,53,3.8802570000000003
-11,54,3.8802570000000003
-12,51,3.877364
-12,52,3.882098
-12,53,3.879731
-12,54,3.881835
-13,51,3.877101
-13,52,3.8755230000000003
-13,53,3.877101
-13,54,17.019737
-14,51,17.018159
-14,52,17.020526
-14,53,17.018947999999998
-14,54,3.879468
-15,51,17.019737
-15,52,3.876312
-15,53,4.085397
-15,54,4.010179
-16,51,3.8981410000000003
-16,52,17.02
-16,53,6.595206
-16,54,3.88052
-17,51,17.02
-17,52,3.917866
-17,53,17.020263
-17,54,17.019737
-18,51,17.020526
-18,52,3.8778900000000003
-18,53,3.877627
-18,54,3.902349
-19,51,17.02
-19,52,5.981364
-19,53,17.019737
-19,54,17.02
-20,51,17.02
-20,52,17.018947999999998
-20,53,17.019737
-20,54,17.02
-21,51,17.019737
-21,52,4.0625160000000005
-21,53,17.02
-21,54,17.02
-22,51,3.878942
-22,52,3.884728
-22,53,17.020263
-23,51,3.878679
-23,52,17.020789
-23,53,17.02
-24,51,17.018159
-24,52,17.02
-25,51,17.02
-26,51,17.02
-31,47,17.02
-30,47,17.019737
-29,47,3.879468
-29,48,17.02
-28,47,3.884202
-28,48,17.02
-28,49,17.02
-27,47,17.019474
-27,48,17.021052
-27,49,17.02
-27,50,17.02
-26,47,17.019737
-26,48,3.8768380000000002
-26,49,17.019474
-26,50,3.885517
-25,47,17.02
-25,48,4.081978
-25,49,17.019211
-25,50,17.019474
-24,47,17.019737
-24,48,17.020263
-24,49,3.8778900000000003
-24,50,3.881309
-23,47,3.88052
-23,48,17.019211
-23,49,17.02
-23,50,3.880783
-22,47,3.877101
-22,48,3.91997
-22,49,3.878942
-22,50,3.946796
-21,47,3.8849910000000003
-21,48,3.877627
-21,49,3.877364
-21,50,3.882361
-20,47,3.877364
-20,48,3.875786
-20,49,3.887095
-20,50,3.9226
-19,47,17.019211
-19,48,3.877101
-19,49,3.878416
-19,50,17.020789
-18,47,3.877101
-18,48,3.876049
-18,49,3.880783
-18,50,3.881046
-17,47,3.926545
-17,48,3.889199
-17,49,17.019737
-17,50,3.880783
-16,47,17.019737
-16,48,3.8765750000000003
-16,49,17.019737
-16,50,17.02
-15,47,17.020526
-15,48,3.876049
-15,49,3.878153
-15,50,3.881309
-14,47,3.879468
-14,48,17.02
-14,49,3.877364
-14,50,5.4656210000000005
-13,47,3.877627
-13,48,3.8765750000000003
-13,49,3.878679
-13,50,3.8802570000000003
-12,47,3.8765750000000003
-12,48,3.876312
-12,49,17.02
-12,50,17.020263
-11,47,3.877627
-11,48,3.875786
-11,49,3.8778900000000003
-11,50,3.881309
-10,47,3.8768380000000002
-10,48,3.8755230000000003
-10,49,17.019211
-10,50,3.880783
-9,47,3.878416
-9,48,3.878153
-9,49,17.020263
-9,50,3.894459
-8,47,3.877101
-8,48,3.875786
-8,49,17.02
-8,50,3.880783
-7,47,17.02
-7,48,3.9041900000000003
-7,49,3.879994
-7,50,17.019737
-6,47,3.877627
-6,48,17.019737
-6,49,3.8768380000000002
-6,50,17.020526
-5,47,3.877364
-5,48,3.8768380000000002
-5,49,3.877101
-5,50,17.020526
-4,47,17.018947999999998
-4,48,3.877627
-4,49,3.878942
-4,50,3.903138
-3,47,17.020263
-3,48,17.019737
-3,49,3.877627
-3,50,17.019211
-2,47,3.88315
-2,48,3.8765750000000003
-2,49,3.884728
-2,50,17.020263
-1,47,3.8778900000000003
-1,48,17.019737
-1,49,17.019737
-1,50,17.019474
0,47,3.877101
0,48,3.887095
0,49,3.889199
