X,Y,Value
-1,91,3.87
-2,91,3.87
-3,91,3.87
-4,91,3.87
-5,91,3.87
-7,91,3.87
-15,87,3.87
-11,87,9.9453
-10,87,22.26948
-10,88,9.94267
-10,89,9.855879999999999
-9,87,22.3063
-9,88,9.95319
-9,89,9.83221
-8,87,22.38257
-8,88,22.20373
-8,89,21.85657
-8,90,3.87
-7,87,16.233629999999998
-7,88,16.44666
-7,89,21.99596
-7,90,3.87
-6,87,16.24678
-6,88,22.36679
-6,89,22.2011
-6,90,9.79276
-5,87,22.46936
-5,88,22.43517
-5,89,16.19944
-5,90,5.0298300000000005
-4,87,22.37731
-4,88,22.33523
-4,89,22.18006
-4,90,9.863769999999999
-3,87,22.30893
-3,88,22.17743
-3,89,21.99859
-3,90,4.13563
-2,87,22.227400000000003
-2,88,22.08801
-2,89,21.86709
-2,90,9.62181
-1,87,22.122200000000003
-1,88,21.98807
-1,89,15.794419999999999
-1,90,9.58762
0,87,16.02323
0,88,21.89076
0,89,21.56201
0,90,3.87
1,87,21.98807
1,88,21.814490000000003
1,89,15.586649999999999
1,90,3.87526
2,87,16.36513
2,88,21.72507
2,89,15.413070000000001
2,90,3.87
3,87,21.87235
3,88,21.58042
3,89,9.556059999999999
4,87,21.79345
4,88,21.4121
4,89,3.87526
5,87,21.70403
5,88,21.15962
5,89,3.88052
6,87,21.506780000000003
6,88,3.87
7,87,9.70334
7,88,3.87
8,87,3.87
13,83,3.87263
12,83,21.506780000000003
12,84,3.87
11,83,15.820719999999998
11,84,15.64188
11,85,3.87526
10,83,21.90128
10,84,21.68562
10,85,15.4683
10,86,3.87
9,83,15.97063
9,84,15.86017
9,85,19.97875
9,86,3.87
8,83,16.06005
8,84,22.00385
8,85,15.88121
8,86,21.45155
7,83,22.143240000000002
7,84,22.08801
7,85,21.93547
7,86,21.69088
6,83,16.12317
6,84,22.13009
6,85,21.98544
6,86,21.827640000000002
5,83,22.153760000000002
5,84,22.13009
5,85,16.020599999999998
5,86,21.87761
4,83,16.36513
4,84,22.1748
4,85,16.08109
4,86,22.00385
3,83,22.23529
3,84,22.18795
3,85,22.13009
3,86,22.038040000000002
2,83,22.264219999999998
2,84,22.19058
2,85,22.14061
2,86,22.08275
1,83,22.26685
1,84,22.227400000000003
1,85,22.16428
1,86,22.13009
0,83,22.33786
