X,Y,Value
-2,91,3.87
-3,91,3.87
-4,91,3.87
-5,91,3.87
-6,91,3.87
-7,91,3.87
-16,87,3.87
-15,87,10.0242
-14,87,3.87
-13,87,3.87
-12,87,9.908479999999999
-11,87,10.09258
-10,87,22.55878
-10,88,10.08469
-9,87,22.46936
-9,88,10.03735
-9,89,9.995270000000001
-9,90,3.87
-8,87,22.46673
-8,88,22.43254
-8,89,10.04261
-8,90,4.13563
-7,87,16.45455
-7,88,22.31682
-7,89,22.22214
-7,90,9.8927
-6,87,22.32734
-6,88,22.28526
-6,89,22.148500000000002
-6,90,3.87
-5,87,22.36153
-5,88,10.11888
-5,89,22.16428
-5,90,9.89533
-4,87,16.23889
-4,88,22.31419
-4,89,22.2011
-4,90,9.88744
-3,87,22.39046
-3,88,22.06171
-3,89,16.09424
-3,90,9.982119999999998
-2,87,22.37205
-2,88,22.3326
-2,89,22.22214
-2,90,9.88481
-1,87,22.37731
-1,88,16.21522
-1,89,22.19321
-1,90,9.87955
0,87,22.39046
0,88,16.241519999999998
0,89,22.172169999999998
0,90,3.87
1,87,10.16622
1,88,22.30104
1,89,22.156390000000002
1,90,3.87
2,87,22.35364
2,88,22.264219999999998
2,89,17.70643
2,90,3.87
3,87,22.4115
3,88,22.32471
3,89,9.876919999999998
3,90,3.87
4,87,22.374679999999998
4,88,22.24318
4,89,3.87
5,87,22.31419
5,88,22.08012
5,89,3.87
6,87,16.217850000000002
6,88,3.87
7,87,16.78067
7,88,3.87
8,87,3.87
14,83,3.87
13,83,3.87
12,83,16.35724
12,84,3.87
11,83,22.6219
11,84,22.47462
11,85,3.87
10,83,22.55352
10,84,16.333569999999998
10,85,22.258960000000002
10,86,3.87
9,83,22.52985
9,84,16.3099
9,85,22.35627
9,86,3.87
8,83,22.54563
8,84,22.50881
8,85,22.44043
8,86,16.21522
7,83,22.55878
7,84,22.55089
7,85,22.44832
7,86,22.4115
6,83,22.569300000000002
6,84,22.50355
6,85,22.45884
6,86,22.45358
5,83,22.53248
5,84,22.50881
5,85,22.43254
5,86,16.323050000000002
4,83,22.548260000000003
4,84,22.49829
4,85,16.34935
4,86,22.37994
3,83,22.50618
3,84,22.50881
3,85,22.44569
3,86,22.42465
2,83,22.47725
2,84,22.47199
2,85,22.41676
2,86,22.40887
1,83,16.37565
1,84,22.48514
1,85,22.44832
1,86,22.39572
0,83,22.48251
0,84,22.47725
0,85,22.38257
0,86,22.40098
-1,83,22.49829
-1,84,22.45884
-1,85,22.40624
-1,86,16.19944
-2,83,22.47725
-2,84,16.249409999999997
-2,85,22.35627
-2,86,22.40098
-3,83,22.47199
-3,84,22.42465
-3,85,22.38783
-3,86,22.39572
-4,83,22.456210000000002
-4,84,22.44569
-4,85,22.40098
-4,86,22.38257
-5,83,22.45884
-5,84,22.43254
-5,85,22.29841
-5,86,22.37731
-6,83,22.456210000000002
-6,84,22.374679999999998
-6,85,22.37205
-6,86,22.36153
-7,83,22.42991
-7,84,22.38257
-7,85,22.16954
-7,86,22.38783
-8,83,22.47199
-8,84,15.307870000000001
-8,85,16.330940000000002
-8,86,22.48777
-9,83,22.464100000000002
-9,84,22.49829
-9,85,22.456210000000002
-9,86,22.47199
-10,83,22.55352
-10,84,22.548260000000003
-10,85,22.51933
-10,86,22.5167
-11,83,22.48514
-11,84,22.50092
-11,85,22.47725
-11,86,22.60612
-12,83,22.50355
-12,84,22.464100000000002
-12,85,22.52722
-12,86,22.59297
-13,83,16.29149
-13,84,22.46936
-13,85,16.39932
-13,86,16.31253
-14,83,16.41247
-14,84,22.479879999999998
-14,85,22.450950000000002
-14,86,10.103100000000001
-15,83,22.3852
-15,84,22.35364
-15,85,16.1521
-15,86,10.005790000000001
-16,83,22.25107
-16,84,22.253700000000002
-16,85,16.052159999999997
-16,86,15.936440000000001
-17,83,22.18006
-17,84,16.13369
-17,85,21.98544
-17,86,3.87
-18,83,22.01963
-18,84,21.90917
-18,85,9.798020000000001
-19,83,15.946959999999997
-19,84,15.75234
-19,85,3.87
-20,83,9.84799
-20,84,3.87
-21,83,3.87
-25,79,3.87
-24,79,21.80134
-24,80,3.87
-23,79,21.93547
-23,80,21.76452
-23,81,3.87
-22,79,22.030150000000003
-22,80,21.92495
-22,81,15.807569999999998
-22,82,3.87
-21,79,16.06005
-21,80,21.98807
-21,81,21.89602
-21,82,16.3888
-20,79,22.10379
-20,80,22.03278
-20,81,21.956509999999998
-20,82,21.91706
-19,79,16.04164
-19,80,16.09687
-19,81,16.0995
-19,82,16.06268
-18,79,22.18269
-18,80,22.13009
-18,81,22.0959
-18,82,22.07486
-17,79,22.264219999999998
-17,80,22.20899
-17,81,22.19058
-17,82,22.21425
-16,79,22.345750000000002
-16,80,22.29315
-16,81,22.27211
-16,82,22.253700000000002
-15,79,22.4115
-15,80,22.37205
-15,81,22.37994
-15,82,22.374679999999998
-14,79,22.42728
-14,80,16.31516
-14,81,22.40887
-14,82,22.443060000000003
-13,79,22.49829
-13,80,22.51407
-13,81,22.49566
-13,82,22.5167
-12,79,16.533450000000002
-12,80,22.50355
-12,81,22.48777
-12,82,16.38354
-11,79,22.49303
-11,80,22.50618
-11,81,22.48777
-11,82,22.535110000000003
-10,79,22.51407
-10,80,22.48777
-10,81,22.48251
-10,82,22.52459
-9,79,22.50092
-9,80,16.346719999999998
-9,81,22.38257
-9,82,16.63076
-8,79,22.47462
-8,80,22.47199
-8,81,22.450950000000002
-8,82,22.48514
-7,79,22.48777
-7,80,22.47725
-7,81,16.30201
-7,82,22.46936
-6,79,22.47725
-6,80,22.258960000000002
-6,81,22.43254
-6,82,22.450950000000002
-5,79,22.4904
-5,80,16.438769999999998
-5,81,22.47199
-5,82,22.49566
-4,79,22.479879999999998
-4,80,22.51933
-4,81,22.456210000000002
-4,82,22.48777
-3,79,22.50092
-3,80,22.49303
-3,81,22.47462
-3,82,22.47725
-2,79,22.51933
-2,80,22.47725
-2,81,22.46147
-2,82,22.479879999999998
-1,79,22.53248
-1,80,22.52196
-1,81,16.37039
-1,82,22.48251
0,79,22.5167
0,80,16.444029999999998
0,81,22.51407
0,82,22.51144
1,79,22.535110000000003
1,80,22.51407
1,81,16.57553
1,82,16.82275
2,79,22.55352
2,80,22.53248
2,81,22.48251
2,82,22.50355
3,79,22.59823
3,80,22.55089
3,81,22.5167
3,82,22.51407
4,79,22.58245
4,80,22.57456
4,81,22.50355
