X,Y,Value
-11,75,3.9436400000000003
-10,75,3.9436400000000003
-9,75,3.94627
-9,76,3.94101
-8,75,9.30621
-8,76,3.93838
-7,75,15.88384
-7,76,16.93058
-7,77,3.94627
-6,75,16.07057
-6,76,9.961079999999999
-6,77,4.16982
-5,75,16.044269999999997
-5,76,9.95319
-5,77,9.8401
-4,75,15.99167
-4,76,9.92163
-4,77,9.85325
-3,75,22.02752
-3,76,9.03795
-3,77,9.84273
-3,78,3.95153
-2,75,21.8066
-2,76,9.91637
-2,77,9.858509999999999
-2,78,3.9489
-1,75,9.77698
-1,76,9.88744
-1,77,9.758569999999999
0,75,9.82695
0,76,9.87955
0,77,9.25887
1,75,15.623470000000001
1,76,9.86903
1,77,3.9489
2,75,4.05936
2,76,21.49363
2,77,3.9489
3,75,9.968969999999999
3,76,4.2908
4,75,21.735590000000002
4,76,3.93838
5,75,3.99098
10,71,3.94627
9,71,4.0015
9,72,3.94101
8,71,16.09687
8,72,21.9644
8,73,3.9489
7,71,10.01368
7,72,16.031119999999998
7,73,9.91374
7,74,3.94627
6,71,16.08109
6,72,22.08538
6,73,3.9936100000000003
6,74,9.83221
5,71,16.05742
5,72,22.10379
5,73,16.020599999999998
5,74,15.912769999999998
4,71,16.06268
4,72,22.06171
4,73,16.0732
4,74,21.98807
3,71,22.08801
3,72,22.10379
3,73,22.08538
3,74,21.956509999999998
2,71,22.11957
2,72,16.044269999999997
2,73,22.08801
2,74,16.00482
1,71,16.02323
1,72,16.044269999999997
1,73,16.04953
1,74,22.066969999999998
0,71,22.10642
0,72,22.0959
0,73,16.039009999999998
0,74,16.03375
-1,71,16.031119999999998
-1,72,22.06434
-1,73,16.27045
-1,74,22.05908
-2,71,16.025859999999998
-2,72,16.02849
-2,73,22.04593
-2,74,22.030150000000003
-3,71,22.066969999999998
-3,72,22.06171
-3,73,16.01271
-3,74,10.00053
-4,71,22.09853
-4,72,22.10642
-4,73,16.04164
-4,74,16.05742
-5,71,10.008420000000001
-5,72,16.08898
-5,73,22.172169999999998
-5,74,22.15113
-6,71,22.17743
-6,72,16.09687
-6,73,22.19847
-6,74,16.09424
-7,71,22.17743
-7,72,16.10739
-7,73,16.11528
-7,74,16.09687
-8,71,22.11957
-8,72,15.994299999999999
-8,73,15.55509
-8,74,9.663889999999999
-9,71,21.37528
-9,72,3.93838
-10,71,16.06268
-10,72,21.66458
-10,73,9.95845
-10,74,15.494599999999998
-11,71,22.172169999999998
-11,72,10.01368
-11,73,22.06171
-11,74,21.84342
-12,71,22.10379
-12,72,22.066969999999998
-12,73,21.9118
-12,74,9.7349
-13,71,22.08275
-13,72,15.9417
-13,73,15.54457
-14,71,15.912769999999998
-14,72,15.55246
-15,71,15.45252
-18,67,15.98378
-17,67,22.05645
-17,68,21.90391
-17,69,9.8401
-16,67,22.05645
-16,68,22.038040000000002
-16,69,15.923290000000001
-16,70,9.99001
-15,67,16.08372
-15,68,22.07749
-15,69,22.0696
-15,70,15.912769999999998
-14,67,22.08801
-14,68,10.00053
-14,69,16.04953
-14,70,22.0696
-13,67,22.10905
-13,68,22.122200000000003
-13,69,22.10642
-13,70,16.07057
-12,67,22.14061
-12,68,10.011050000000001
-12,69,22.156390000000002
-12,70,16.06005
-11,67,22.153760000000002
-11,68,22.1748
-11,69,22.18532
-11,70,22.19058
-10,67,22.21951
-10,68,22.227400000000003
-10,69,16.18366
-10,70,22.21688
-9,67,22.23266
-9,68,16.144209999999998
-9,69,22.24318
-9,70,22.21688
-8,67,16.128429999999998
-8,68,22.19847
-8,69,10.03472
-8,70,22.17743
-7,67,22.17743
-7,68,16.10476
-7,69,16.14158
-7,70,22.17743
-6,67,22.11431
-6,68,22.14061
-6,69,22.11694
-6,70,22.19321
-5,67,22.09853
-5,68,16.11265
-5,69,16.07846
-5,70,22.156390000000002
-4,67,22.07749
-4,68,22.0959
-4,69,22.0959
-4,70,22.09853
-3,67,16.00745
-3,68,22.05908
-3,69,22.0959
-3,70,16.07846
-2,67,22.10642
-2,68,22.08538
-2,69,22.07486
-2,70,22.053819999999998
-1,67,16.0469
-1,68,22.08801
-1,69,16.05742
-1,70,16.052159999999997
0,67,22.13009
0,68,22.10116
0,69,22.11168
0,70,16.044269999999997
1,67,22.14587
1,68,22.10642
1,69,22.10905
1,70,22.10116
2,67,22.148500000000002
2,68,22.12483
2,69,22.11431
2,70,22.12483
3,67,22.159019999999998
3,68,22.14061
3,69,9.97686
3,70,22.13009
4,67,16.08372
4,68,16.136319999999998
4,69,16.0732
4,70,22.14061
5,67,16.09161
5,68,16.08898
5,69,16.08635
5,70,22.156390000000002
6,67,22.15113
6,68,22.17743
6,69,22.172169999999998
6,70,22.156390000000002
7,67,22.20899
7,68,22.2011
7,69,16.10476
7,70,22.16428
8,67,16.15473
8,68,22.258960000000002
8,69,10.03998
8,70,16.136319999999998
9,67,22.35364
9,68,22.369419999999998
9,69,16.2573
9,70,16.241519999999998
10,67,10.11888
10,68,22.42991
10,69,16.28886
10,70,22.34838
11,67,22.277369999999998
11,68,22.23529
11,69,10.13729
11,70,3.9489
12,67,22.02226
12,68,21.45681
12,69,43.31999999999999
13,67,9.874289999999998
16,63,4.54065
15,63,3.94627
15,64,9.83747
14,63,22.07223
14,64,21.96966
14,65,21.5962
14,66,3.95153
13,63,22.159019999999998
13,64,22.11168
13,65,22.08012
13,66,9.861139999999999
12,63,22.21688
12,64,22.20373
12,65,22.21951
12,66,22.1748
11,63,22.25107
11,64,22.264219999999998
11,65,22.26159
11,66,16.26256
10,63,22.29315
10,64,22.30104
10,65,22.32997
10,66,16.29149
9,63,16.16525
9,64,22.277369999999998
9,65,16.17577
9,66,22.345750000000002
8,63,16.144209999999998
8,64,22.24581
8,65,22.248440000000002
8,66,22.258960000000002
7,63,16.2047
7,64,22.23003
7,65,22.21951
7,66,22.22477
6,63,22.19584
6,64,22.2011
6,65,22.19584
6,66,22.18795
5,63,22.18269
5,64,16.11265
5,65,22.18006
5,66,22.1748
4,63,22.16954
4,64,16.13895
4,65,16.120540000000002
4,66,22.159019999999998
3,63,16.09161
3,64,16.09161
3,65,22.159019999999998
3,66,22.156390000000002
2,63,22.153760000000002
2,64,22.15113
2,65,16.07846
2,66,22.15113
1,63,22.15113
